"","IR.Open","IR.High","IR.Low","IR.Close","IR.Volume","IR.Adjusted"
"52",62,62.139999,61.560001,62.009998,1252800,60.977117
"53",61.880001,62.310001,61.450001,61.470001,1475800,60.446114
"54",61.830002,62.080002,61.599998,61.830002,1026300,60.800118
"55",61.889999,62.110001,61.009998,61.040001,1690100,60.023276
"56",61.16,61.43,60.799999,60.990002,1343400,59.97411
"57",60.810001,60.889999,60.380001,60.529999,1753600,59.521769
"58",60.84,60.860001,59.98,60.200001,2044900,59.197268
"59",60.509998,60.66,59.939999,60.220001,1692000,59.216935
"60",60.650002,60.860001,59.759998,59.919998,1031700,58.921929
"61",60,60.59,59.639999,59.880001,1843700,58.882598
"62",59.630001,60.220001,59.139999,60.16,2288200,59.157933
"63",60.25,61.299999,59.98,60.200001,2146500,59.197268
"64",60.009998,60.360001,59.720001,59.73,1749600,58.735095
"65",59.419998,60.209999,59.389999,59.889999,1739400,59.139958
"66",59.650002,60.41,59.619999,60.290001,1280900,59.53495
"67",60.150002,60.310001,59.580002,59.860001,1651300,59.110335
"68",59.700001,59.919998,59.400002,59.57,1676500,58.823966
"69",59.41,60.240002,59.130001,60.060001,1706100,59.307831
"70",60.040001,60.540001,59.509998,59.869999,1713600,59.120208
"71",59.98,60.360001,59.849998,60.139999,1385700,59.386827
"72",60.349998,60.5,59.16,59.27,4478000,58.527724
"73",59.240002,59.34,57.990002,58.200001,2200100,57.471124
"74",58.23,58.619999,57.75,58.009998,1667200,57.283501
"75",57.950001,58.060001,57.52,57.630001,1886900,56.908263
"76",57.5,57.52,56.57,56.75,2412200,56.039283
"77",56.860001,57.540001,56.709999,57.48,1876000,56.76014
"78",56.75,57.560001,56.57,57.259998,1733500,56.542894
"79",57.220001,57.259998,56.23,56.360001,2094600,55.654168
"80",56.139999,56.529999,55.139999,55.529999,3261400,54.83456
"81",55.41,55.790001,54.509998,55.639999,2741800,54.943183
"82",56.040001,56.540001,55.889999,56.41,2343600,55.703541
"83",56.59,57.060001,56.400002,56.669998,3239100,55.960283
"84",56.970001,57.169998,55.91,55.950001,2808900,55.249302
"85",55.950001,57.619999,55.720001,57.599998,3403100,56.878636
"86",57.419998,57.48,55.700001,55.84,3209600,55.140679
"87",55.77,55.970001,54.610001,54.669998,2854700,53.98533
"88",54.75,54.939999,53.48,53.57,3067700,52.899108
"89",54.009998,54.639999,53.830002,54.080002,3778900,53.402723
"90",53.27,54.310001,52.470001,53.939999,3232300,53.264473
"91",53,55.119999,52.990002,54.91,2755000,54.222326
"92",55.540001,56.869999,55.41,56.48,2981000,55.772664
"93",56.380001,57.25,56.09,57.150002,2675800,56.434275
"94",57.849998,59.130001,57.77,58.34,3758500,57.60937
"95",57.150002,60.099998,56.799999,57.740002,7247700,57.016886
"96",58.259998,60.84,58.25,60.009998,2757000,59.258454
"97",60.23,60.330002,59.34,60.259998,1734800,59.505323
"98",60.02,60.389999,59.59,60.18,1989500,59.426327
"99",60.599998,62.099998,60.5,62,2121400,61.223534
"100",61.98,62.18,60.709999,61.48,1602200,60.710045
"101",61.290001,62.009998,60.950001,61.73,1509200,60.956915
"102",62.380001,62.82,62.119999,62.619999,2368000,61.835768
"103",62.59,62.669998,61.560001,61.810001,2350200,61.035914
"104",61.68,61.810001,61.009998,61.34,1588400,60.571799
"105",61.799999,62.41,60.639999,62.200001,3315300,61.42103
"106",62.119999,63.200001,61.98,63.16,1855600,62.369006
"107",63.16,63.77,63.07,63.509998,1465800,62.714621
"108",63.509998,63.860001,63.34,63.419998,1628400,62.625748
"109",63.669998,63.759998,62.91,63.049999,1541500,62.260383
"110",62.830002,63.43,62.650002,63,1465200,62.21101
"111",63.139999,63.139999,62.330002,62.529999,1294600,61.746895
"112",62.419998,62.950001,62.419998,62.59,1085000,61.806145
"113",62.5,62.650002,62.220001,62.52,1531200,61.737022
"114",62.66,63.209999,62.349998,62.759998,1322300,61.974014
"115",62.68,62.720001,61.98,62.700001,1271700,61.914768
"116",62.279999,63.23,62.009998,63.02,1190900,62.23076
"117",63.73,64.169998,63.349998,63.470001,1150900,62.675125
"118",63.73,63.889999,63.490002,63.77,1237700,62.971367
"119",63.799999,64.150002,63.529999,63.84,1462600,63.04049
"120",63.84,63.93,63.360001,63.490002,1041000,62.694875
"121",63.34,63.389999,62.799999,63.060001,640400,62.27026
"122",62.860001,62.950001,61.639999,62.119999,1406000,61.34203
"123",62.540001,63.279999,62.360001,63.060001,1326700,62.27026
"124",63.060001,64.449997,62.98,63.810001,1638500,63.010867
"125",63.540001,63.740002,63.07,63.279999,1546600,62.487502
"126",63.279999,63.869999,63.189999,63.599998,1364600,62.803494
"127",63.419998,63.619999,62.439999,62.57,1293800,61.786395
"128",62.25,63.040001,61.799999,62.959999,1871500,62.17151
"129",62.610001,62.73,61.990002,62.290001,2438600,61.75512
"130",62.529999,63.580002,62.529999,63.099998,2314600,62.558162
"131",62.349998,62.810001,62.040001,62.07,2107300,61.537008
"132",62.23,62.639999,61.189999,61.580002,1549900,61.051218
"133",61.290001,62.330002,60.73,60.779999,1930000,60.258084
"134",60.919998,62.16,60.57,61.98,1958600,61.447781
"135",62.98,63.540001,62.279999,63.52,1462900,62.974558
"136",63.779999,64.160004,63.48,63.990002,2287000,63.440523
"137",64.040001,64.419998,63.939999,64.190002,1376400,63.638807
"138",64.339996,64.940002,64.25,64.470001,1206700,63.916401
"139",64.410004,64.739998,64.239998,64.489998,379200,63.936226
"140",64.809998,65,64.489998,64.589996,738100,64.035366
"141",64.480003,65.07,64.279999,64.589996,868000,64.035366
"142",64.449997,64.639999,63.939999,64.25,1132200,63.698289
"143",64.580002,64.629997,63.349998,63.389999,679400,62.845673
"144",63.490002,64,62.639999,63.259998,1104100,62.716788
"145",62.700001,62.990002,61.889999,62.16,1761800,61.626235
"146",62.220001,62.360001,60.360001,60.860001,2216900,60.337399
"147",61.509998,61.779999,61.02,61.189999,1715200,60.664564
"148",61.689999,62.459999,61.650002,62.43,1716800,61.893917
"149",62.619999,62.619999,61.619999,61.75,966900,61.219756
"150",62.939999,62.970001,61.439999,62.200001,2258400,61.665893
"151",62.84,63.25,61.110001,61.889999,1329400,61.358553
"152",60.73,61.490002,60.529999,61.43,1577400,60.902504
"153",61.720001,62.169998,60.919998,61.549999,2753900,61.021473
"154",61.310001,61.700001,60.150002,61.619999,2902900,61.090872
"155",62.189999,62.709999,61.43,62.369999,2466800,61.834431
"156",62.060001,63.279999,61.849998,63.119999,1864100,62.577991
"157",63.75,64.760002,63.41,64.739998,2714100,64.184079
"158",64.5,65.599998,64.349998,64.660004,3152700,64.104772
"159",64.669998,65.370003,63.959999,65.330002,1669400,64.769017
"160",64.449997,65.110001,63.779999,64.760002,1696800,64.203912
"161",65.150002,65.470001,63.799999,63.849998,2025700,63.301722
"162",63.790001,64.75,63.310001,64.660004,2840000,64.104772
"163",65.889999,66.540001,64.849998,66.400002,4296000,65.829828
"164",66.5,66.529999,64.949997,66.160004,3059200,65.591891
"165",66.589996,67.580002,66.519997,67.449997,2650100,66.870808
"166",67.5,67.5,66.470001,66.809998,2005900,66.236304
"167",66.910004,67.330002,66.739998,66.839996,1890200,66.266045
"168",66.889999,67.139999,66.449997,66.589996,2628000,66.018192
"169",66.550003,67.260002,66,66.400002,2257700,65.829828
"170",66.779999,67.07,66.32,66.989998,1658100,66.414759
"171",66.690002,67.059998,66.610001,66.660004,1988400,66.087598
"172",67.150002,67.830002,66.720001,67.629997,3518800,67.049262
"173",67.75,68.029999,66.959999,67.690002,2065900,67.108752
"174",67.589996,67.839996,67.050003,67.760002,1401900,67.178151
"175",67.760002,68.5,67.43,67.910004,2121100,67.326864
"176",67.629997,68.169998,67.5,67.970001,1309100,67.386347
"177",68.019997,69.010002,67.599998,68.809998,1736800,68.21913
"178",68.800003,68.940002,68.309998,68.639999,1768700,68.050592
"179",68.349998,68.839996,68.199997,68.75,1222400,68.159648
"180",68.379997,68.589996,67.879997,68.220001,1409400,67.6342
"181",68.300003,68.410004,67.690002,67.940002,1286800,67.356606
"182",67.769997,67.949997,67.120003,67.190002,1605700,66.613046
"183",67.190002,68.019997,67.120003,67.779999,1554000,67.197976
"184",67.410004,67.790001,66.959999,67.449997,1479100,66.870808
"185",67.18,67.32,66.18,67,2074400,66.424675
"186",67.410004,67.709999,67.300003,67.68,1882300,67.098836
"187",67.169998,67.529999,66.379997,66.860001,1621200,66.285878
"188",67,67.82,67,67.660004,1321300,67.079011
"189",67.029999,67.029999,66.150002,66.230003,1845400,65.66129
"190",66.279999,66.400002,65.739998,66.199997,1268000,65.920183
"191",66.410004,67.5,66.400002,67.389999,1055300,67.105155
"192",67.32,67.389999,66.349998,67.220001,1558200,66.935875
"193",67.580002,68.650002,67.32,68.599998,1661900,68.31004
"194",67.980003,68.080002,67.449997,67.779999,1623100,67.493506
"195",67.519997,68.75,67.019997,68.540001,1588800,68.250296
"196",68.190002,68.400002,67.410004,67.870003,1235800,67.58313
"197",68.269997,68.809998,68.129997,68.209999,1839500,67.921689
"198",68.389999,68.510002,67.559998,67.559998,1062700,67.274435
"199",67.650002,68.129997,67.099998,67.949997,1698800,67.662786
"200",67.970001,68.110001,66.769997,66.769997,1432400,66.487773
"201",66.730003,67.610001,66.400002,67.470001,2160400,67.184819
"202",67.139999,67.919998,66.959999,67.769997,1387500,67.483546
"203",68,68.559998,67.900002,68.449997,1416600,68.160672
"204",68.190002,68.519997,67.769997,68.080002,1473800,67.792241
"205",68.040001,68.110001,66.940002,67.050003,2106800,66.766596
"206",66.82,67.839996,66.620003,67.529999,1932900,67.244563
"207",66.919998,68.279999,66.629997,67.849998,1484900,67.56321
"208",68.120003,68.349998,67.349998,67.349998,1173600,67.065323
"209",67.279999,67.720001,67.019997,67.510002,1300800,67.224651
"210",67.459999,67.970001,67.07,67.870003,1935600,67.58313
"211",67.830002,68.730003,67.540001,68.589996,2034800,68.30008
"212",68.300003,69.150002,68.209999,68.699997,1465400,68.409616
"213",68.489998,68.730003,68.080002,68.580002,1267100,68.290128
"214",68.919998,69.419998,68.68,69.190002,1095800,68.89755
"215",68.949997,69.410004,68.68,68.800003,1645100,68.509199
"216",68.290001,68.360001,67.080002,67.339996,1364200,67.055363
"217",67.75,67.849998,67.400002,67.68,1048700,67.39393
"218",67.75,68.110001,67.139999,67.199997,1349500,66.915956
"219",67.190002,67.599998,66.620003,67.489998,1656000,67.204731
"220",68.82,69.400002,67.940002,69.059998,2832000,68.768094
"221",69.139999,69.139999,68.230003,68.629997,2055700,68.339912
"222",68.669998,69.400002,68.410004,68.629997,1787600,68.339912
"223",68.529999,69.220001,68.199997,69.190002,1718600,68.89755
"224",68.650002,68.959999,67.580002,67.650002,2412400,67.364058
"225",67.290001,67.790001,65.769997,65.839996,2886100,65.561704
"226",65.980003,67.059998,65.849998,66.849998,1713600,66.567437
"227",66.970001,67.379997,66.690002,66.889999,1262700,66.607268
"228",66.690002,66.980003,65.790001,65.830002,1589300,65.551751
"229",66.010002,66.82,65.470001,66.82,3489000,66.537565
"230",66.830002,67.410004,66.599998,67.139999,1556800,66.856212
"231",67.940002,68.330002,67.360001,67.440002,1588100,67.154947
"232",67.300003,67.82,67.089996,67.169998,1624700,66.886084
"233",67.160004,67.769997,66.93,67.519997,1466400,67.234603
"234",67.599998,68.440002,67.25,68.120003,1962200,67.832073
"235",69.489998,70.209999,68.980003,70.18,2622300,69.883363
"236",70.099998,70.93,70.040001,70.910004,3010400,70.610281
"237",70.5,70.839996,70.339996,70.5,1602400,70.20201
"238",70.540001,70.629997,69.519997,69.739998,1986200,69.445221
"239",69.809998,69.900002,69.199997,69.339996,1567500,69.04691
"240",69.349998,69.870003,68.959999,69.519997,1128300,69.226149
"241",70.339996,70.339996,69.269997,69.269997,1153800,68.977206
"242",69.050003,69.07,68.459999,68.589996,942500,68.30008
"243",68.959999,69.68,68.639999,69.519997,1236600,69.226149
"244",69.410004,69.699997,69.040001,69.440002,1090100,69.146493
"245",69.290001,69.5,68.589996,68.779999,2018200,68.489279
"246",69.029999,69.5,68.389999,68.989998,1299100,68.698391
"247",68.839996,69.709999,68.599998,69.239998,2193800,68.947334
"248",69.360001,69.510002,68.910004,69.089996,2269100,68.797966
"249",68.790001,69.120003,68.25,69.050003,2822100,68.758142
"250",69.019997,69.239998,68.629997,69.110001,2154500,68.817886
"251",69.059998,69.169998,68.580002,68.589996,960600,68.30008
"252",68.650002,69,68.43,68.610001,1258200,68.32
"253",68.720001,69.57,68.550003,69.190002,1052600,69.190002
