"","PCAR.Open","PCAR.High","PCAR.Low","PCAR.Close","PCAR.Volume","PCAR.Adjusted"
"106",66.040001,66.739998,65.82,66.57,2189200,64.927892
"107",66.860001,66.989998,66.290001,66.949997,1298500,65.298516
"108",67,67,66.489998,66.830002,1507200,65.181481
"109",66.699997,66.870003,66.199997,66.519997,1561300,64.879122
"110",66.160004,67.050003,65.800003,66.900002,1214500,65.46627
"111",67.050003,67.150002,66.279999,66.449997,1437900,65.025909
"112",66.68,66.870003,66.370003,66.629997,956500,65.202052
"113",66.639999,66.720001,66.290001,66.559998,853900,65.133552
"114",66.459999,66.940002,66.379997,66.540001,1230300,65.113984
"115",66.519997,66.629997,65.949997,66.43,1479400,65.006341
"116",65.75,66.510002,65.470001,66.489998,1308300,65.065053
"117",67.43,67.620003,66.830002,66.980003,2377300,65.544557
"118",67.290001,67.559998,66.959999,67.339996,1194500,65.896835
"119",67.550003,68.040001,67.290001,67.940002,2429500,66.483982
"120",67.839996,67.989998,67.120003,67.360001,1036800,65.916411
"121",67.519997,67.589996,66.709999,67.019997,1105000,65.583693
"122",67.029999,67.800003,66.599998,67.489998,2037100,66.043622
"123",67.690002,68.290001,67.559998,68.239998,1588900,66.777549
"124",68.870003,70.82,68.349998,70.760002,2981900,69.243547
"125",71.150002,71.150002,70.059998,70.230003,1595600,68.724906
"126",70.040001,70.709999,69.919998,70.25,1405700,68.744474
"127",70,70.690002,69.290001,69.610001,1202800,68.118191
"128",69,70.769997,68.830002,70.519997,1718000,69.008685
"129",70.519997,70.519997,68.25,68.309998,1828900,66.846048
"130",68.779999,69.790001,68.370003,69.449997,2059500,67.961616
"131",68.639999,68.989998,67.699997,67.699997,2462700,66.24912
"132",68.400002,68.57,66.730003,67.510002,1915000,66.063197
"133",67.459999,68.889999,66.93,67.720001,2778300,66.268696
"134",66.519997,68.139999,66.220001,68,3898300,67.540036
"135",68.940002,69.540001,68.400002,69.540001,2601500,69.06962
"136",69.480003,70,69.190002,69.239998,4214900,68.771647
"137",69.279999,69.550003,69.010002,69.190002,1505500,68.721989
"138",69.5,70.269997,69.309998,69.449997,1304900,68.980225
"139",69.699997,69.760002,69.349998,69.419998,499400,68.950429
"140",69.519997,69.769997,69.110001,69.129997,939700,68.66239
"141",68.989998,69.900002,68.800003,69.599998,1002000,69.129212
"142",69.300003,69.470001,68.75,68.800003,1108300,68.334628
"143",69.32,69.449997,68,68.010002,1121300,67.549971
"144",68.220001,68.870003,67.440002,68.150002,1508000,67.689023
"145",67.690002,68.139999,65.75,65.860001,2726600,65.414512
"146",66.110001,66.629997,64.830002,65.949997,4196500,65.5039
"147",66.449997,66.839996,65.760002,66.830002,1783600,66.377952
"148",67.449997,67.75,66.889999,67.709999,2058000,67.251997
"149",67.739998,67.970001,65,65.230003,2949300,64.788776
"150",66.389999,66.629997,65.010002,65.830002,2920600,65.384716
"151",66.419998,67.25,64.550003,65.360001,2169800,64.917894
"152",64.639999,65.239998,63.91,64.75,2081300,64.31202
"153",64.989998,65.419998,63.32,63.360001,1982000,62.931423
"154",63.25,64.57,63.080002,64.5,1922200,64.063711
"155",64.760002,64.900002,63.970001,64.480003,1310700,64.043849
"156",64.080002,65.279999,63.93,65.099998,1628200,64.659651
"157",64.800003,65.419998,63.919998,64.669998,2551600,64.232559
"158",64.720001,65.050003,64.330002,64.550003,1896400,64.113376
"159",64.300003,65.230003,64.279999,65.209999,1542200,64.768907
"160",64.18,64.489998,63.509998,64.120003,1297300,63.686284
"161",64.550003,64.959999,63.259998,63.439999,2100400,63.010879
"162",63.689999,64.32,63.369999,64.050003,3030200,63.616758
"163",62.200001,62.25,59.990002,60.110001,4799300,59.703406
"164",60.41,61.48,59.330002,61.41,3434800,60.994612
"165",62.189999,63.07,61.889999,62.75,2786600,62.325548
"166",62.389999,62.970001,62.09,62.459999,1966700,62.037509
"167",62.970001,63.34,61.849998,62.25,2296600,61.82893
"168",62.52,63.279999,62.439999,62.75,1828500,62.325548
"169",62.439999,63.349998,62.419998,63.16,1646900,62.732775
"170",63.09,63.720001,62.799999,63.16,1937900,62.732775
"171",62.779999,63.200001,62.220001,62.84,2067500,62.633103
"172",63.099998,63.290001,62.619999,63.240002,1234000,63.031788
"173",63.450001,64.489998,63.330002,64.220001,1507000,64.008561
"174",64.330002,64.660004,63.970001,64.459999,1115600,64.247768
"175",64.199997,64.730003,64.199997,64.5,1003200,64.287638
"176",64.330002,64.989998,64,64.5,1341300,64.287638
"177",64.449997,64.599998,63.529999,64.589996,1705600,64.377338
"178",64.510002,64.68,63.630001,63.91,1619900,63.69958
"179",63.759998,64.190002,63.610001,63.790001,1258900,63.579976
"180",64.029999,64.669998,63.880001,64.610001,1733800,64.397276
"181",64.720001,65.080002,64.360001,64.650002,1501300,64.437145
"182",64.650002,64.790001,63.93,64.050003,1493600,63.839122
"183",64.260002,65.230003,64.120003,64.910004,2120900,64.696291
"184",64.57,64.989998,64.339996,64.540001,1112300,64.327507
"185",64,64.459999,62.59,62.709999,2287500,62.50353
"186",62.220001,62.830002,62.130001,62.450001,1618900,62.244388
"187",62.18,62.52,61.509998,61.66,1881300,61.456988
