"","VRSN.Open","VRSN.High","VRSN.Low","VRSN.Close","VRSN.Volume","VRSN.Adjusted"
"101",58.419998,58.98,57.73,58.790001,860200,58.790001
"102",59.459999,59.830002,59.200001,59.759998,1313200,59.759998
"103",59.669998,60.18,59.490002,59.560001,675700,59.560001
"104",58.849998,59.279999,58.189999,58.790001,1308600,58.790001
"105",59.09,59.349998,58.610001,59.240002,732300,59.240002
"106",59.360001,60.25,59.139999,59.810001,1395800,59.810001
"107",59.77,60.029999,59.259998,59.799999,798400,59.799999
"108",59.709999,60.720001,59.509998,60.470001,1330500,60.470001
"109",60.529999,60.59,59.849998,59.93,723600,59.93
"110",59.59,60.389999,59.5,60.360001,578500,60.360001
"111",60.299999,60.540001,59.779999,60.189999,508400,60.189999
"112",59.950001,60.810001,59.93,60.68,697600,60.68
"113",60.68,61.23,60.400002,60.66,969500,60.66
"114",60.57,61.25,60.470001,60.599998,1162400,60.599998
"115",59.990002,59.990002,59.200001,59.380001,1107600,59.380001
"116",59.240002,59.98,59.060001,59.73,925900,59.73
"117",60.349998,60.349998,59.810001,59.900002,980800,59.900002
"118",60.189999,60.41,59.919998,60.240002,800800,60.240002
"119",60.23,60.290001,59.560001,59.869999,1254300,59.869999
"120",60,60.25,59.82,60.07,857900,60.07
"121",60,60.400002,59.98,60.099998,566400,60.099998
"122",59.669998,60.029999,58.700001,58.709999,898600,58.709999
"123",58.599998,59,58.240002,58.73,1198100,58.73
"124",58.459999,59.310001,58.310001,58.650002,1036200,58.650002
"125",58.59,59.299999,58.32,59.040001,749900,59.040001
"126",59.139999,59.540001,58.630001,58.82,708800,58.82
"127",58.73,59.23,57.400002,57.5,1143700,57.5
"128",56.860001,57.470001,56.66,57.380001,1323400,57.380001
"129",57.080002,57.639999,56.369999,56.650002,996400,56.650002
"130",56.959999,57.93,56.810001,57.490002,1185600,57.490002
"131",57.130001,57.650002,56.68,56.98,814900,56.98
"132",57.32,57.68,56.310001,56.490002,1115500,56.490002
"133",56.330002,56.919998,55.529999,55.540001,1035800,55.540001
"134",55.57,56.439999,55.419998,56.259998,922500,56.259998
"135",57,57.369999,56.66,57.299999,1555500,57.299999
"136",57.5,58.560001,57.5,58.290001,2513200,58.290001
"137",58.5,58.970001,58.220001,58.490002,864700,58.490002
"138",58.580002,58.950001,58.389999,58.459999,469400,58.459999
"139",58.509998,58.720001,58.279999,58.279999,199900,58.279999
"140",58.32,58.900002,58.32,58.580002,344800,58.580002
"141",58.490002,58.52,57.84,57.860001,536400,57.860001
