"","COL.Open","COL.High","COL.Low","COL.Close","COL.Volume","COL.Adjusted"
"61",76.82,77.260002,76.370003,76.519997,527500,75.736672
"62",76.540001,77.07,76.260002,76.989998,394500,76.201862
"63",76.790001,77.239998,76.339996,76.889999,716800,76.102887
"64",76.690002,77.120003,76.620003,76.769997,355000,75.984113
"65",76.660004,77.010002,76.459999,76.75,510400,75.964321
"66",76.610001,77.07,76.449997,76.940002,574500,76.152378
"67",77,77,76.419998,76.849998,504400,76.063296
"68",76.790001,76.919998,76.489998,76.910004,729000,76.122687
"69",76.900002,77.5,76.360001,77.230003,433800,76.439411
"70",77.260002,77.75,76.989998,77.309998,369700,76.518586
"71",77.360001,77.889999,77.309998,77.800003,629200,77.003575
"72",78.410004,81.900002,78.309998,79.93,2797900,79.111768
"73",79.879997,80.169998,79.32,79.360001,873900,78.547603
"74",78.849998,79.150002,78.25,78.489998,687000,77.686507
"75",78.360001,79.309998,78.360001,78.989998,757700,78.181388
"76",78.980003,78.989998,77.919998,78.139999,646000,77.340091
"77",77.879997,78.809998,77.790001,78.720001,605400,77.914156
"78",78.190002,79.199997,78.110001,78.93,562500,78.122005
"79",78.970001,79.190002,78.209999,78.5,510000,77.696407
"80",78.139999,78.5,76.559998,76.860001,672300,76.073196
"81",76.660004,77.099998,76.010002,76.57,525500,75.786163
"82",77.07,77.550003,76.699997,77.349998,349100,76.558177
"83",77.779999,78.099998,77.110001,77.290001,531600,76.498794
"84",76.980003,77.139999,75.919998,75.940002,587900,75.162615
"85",75.849998,76.480003,75.529999,76.25,1454000,75.469439
"86",76.209999,76.300003,74.739998,74.989998,746700,74.222336
"87",75.220001,75.449997,74.610001,74.82,1045100,74.054078
"88",74.940002,75.379997,73.419998,73.480003,766800,72.727799
"89",73.68,75,73.43,74.300003,812300,73.539404
"90",73.580002,74.559998,72.349998,74.099998,1086200,73.341447
"91",73.129997,74.760002,72.970001,74.230003,1593600,73.470121
"92",75.110001,77.120003,75,76.25,1495400,75.469439
"93",75.989998,76.660004,75.980003,76.599998,648200,75.815855
"94",77.169998,78.160004,76.830002,78.150002,1159100,77.349991
"95",78.389999,78.699997,77.339996,77.370003,967700,76.577977
"96",78,78.629997,77.970001,78.190002,1056900,77.389582
"97",78.300003,79.169998,78.120003,79.120003,747500,78.310062
"98",79.07,80.32,79.029999,80.220001,959600,79.3988
"99",80.82,82.18,80.75,82.019997,1048300,81.180369
"100",82.010002,82.410004,81.660004,82.239998,706100,81.398119
"101",81.830002,83.220001,81.610001,82.910004,677200,82.061266
"102",84.610001,84.949997,83.68,84.150002,2167700,83.28857
"103",84.370003,84.93,84.050003,84.160004,1715200,83.29847
"104",84.160004,84.849998,84.059998,84.32,1603000,83.456828
"105",84.440002,84.5,83.309998,83.940002,1028000,83.08072
"106",84.150002,84.410004,83.699997,83.980003,1144000,83.120312
"107",84.150002,84.809998,83.610001,84.800003,764200,83.931917
"108",84.800003,85.199997,84.360001,85.129997,643200,84.258533
"109",85.25,85.75,84.790001,85.160004,459500,84.288233
"110",85.010002,85.639999,84.93,85.230003,389200,84.357516
"111",84.980003,85.480003,84.620003,84.809998,684100,84.23832
"112",84.610001,84.610001,83.690002,84.150002,957600,83.582773
"113",84.160004,84.309998,83.559998,83.690002,796900,83.125874
"114",83.769997,84.080002,83.559998,83.919998,858100,83.35432
"115",83.919998,84.370003,83.489998,84.339996,655800,83.771487
"116",84.040001,84.529999,83.629997,84.370003,442600,83.801291
"117",85.190002,85.559998,84.279999,84.480003,2083800,83.91055
"118",84.610001,85.550003,84.400002,85.160004,859100,84.585967
"119",85.199997,85.389999,84.949997,85.110001,820300,84.536301
"120",85.199997,85.339996,84.980003,85.089996,499400,84.516431
"121",85.489998,86.199997,85.32,85.529999,505600,84.953468
"122",85.440002,85.459999,84.720001,84.879997,775600,84.307848
"123",84.959999,85.040001,84.449997,84.839996,677500,84.268116
"124",84.779999,85.349998,84.32,85.050003,2043400,84.476707
"125",85.190002,85.400002,84.349998,84.589996,1152100,84.019801
"126",84.559998,85.410004,84.559998,85.160004,958600,84.585967
"127",85.199997,85.389999,84.419998,84.779999,848100,84.208523
"128",83.879997,85,83.040001,84.959999,886400,84.38731
"129",84.68,84.830002,83.489998,83.639999,853100,83.076208
"130",83.800003,84.739998,83.790001,84.129997,607200,83.562903
"131",83.269997,83.32,82.209999,82.260002,956900,81.705513
"132",82.5,82.970001,81.25,81.400002,948800,80.851309
"133",81.32,83.459999,81.32,82.699997,794300,82.142542
"134",82.669998,83.720001,82.040001,83.489998,967400,82.927218
"135",84.440002,85.199997,84.169998,84.910004,1489500,84.337652
"136",84.949997,85.440002,84.629997,84.980003,1746000,84.40718
"137",85.25,85.809998,85,85.629997,803900,85.052792
"138",86,86.160004,85.57,85.879997,935800,85.301107
"139",86.080002,86.57,85.879997,86.160004,248200,85.579226
"140",85.940002,86.599998,85.900002,86.050003,341900,85.469967
"141",86.029999,86.139999,85.610001,85.739998,1221000,85.162051
"142",85.639999,85.760002,85.389999,85.480003,755300,84.903809
"143",85.699997,85.699997,84.360001,84.480003,623900,83.91055
"144",84.82,84.910004,83.82,84.620003,458200,84.049606
"145",84.25,85.019997,83.510002,83.879997,746300,83.314588
"146",84.18,84.839996,83.010002,83.769997,1000800,83.205329
"147",84.360001,85.139999,84.260002,84.919998,1450200,84.347579
"148",85.349998,86.029999,84.980003,85.849998,2587500,85.27131
"149",85.519997,85.779999,84.720001,84.790001,908000,84.218458
"150",85,85,83.639999,84.150002,641300,83.582773
"151",85.010002,85.639999,83.650002,84.419998,839600,83.850949
"152",83.620003,84.470001,83.300003,84.400002,608600,83.831087
"153",84.400002,85.190002,84.400002,84.849998,1066000,84.278051
"154",84.57,85.300003,84.309998,85.18,1270700,84.605828
"155",86.470001,86.709999,85.43,86,1526600,85.420301
"156",85.580002,86.080002,85.260002,85.599998,1348100,85.022995
