"","LSI.Open","LSI.High","LSI.Low","LSI.Close","LSI.Volume","LSI.Adjusted"
"80",0.08,0.081,0.08,0.08,0,0.0739
"81",0.077,0.079,0.077,0.078,0,0.07206
"82",0.078,0.078,0.078,0.078,0,0.07206
"83",0.078,0.078,0.078,0.078,0,0.07206
"84",0.078,0.078,0.078,0.078,0,0.07206
"85",0.081,0.081,0.079,0.079,0,0.07298
"86",0.082,0.082,0.081,0.081,0,0.07483
"87",0.081,0.081,0.081,0.081,0,0.07483
"88",0.081,0.082,0.081,0.082,0,0.07575
"89",0.08,0.081,0.08,0.081,0,0.07483
"90",0.08,0.08,0.08,0.08,0,0.0739
"91",0.08,0.08,0.08,0.08,0,0.0739
"92",0.08,0.08,0.08,0.08,0,0.0739
"93",0.078,0.078,0.078,0.078,0,0.07206
"94",0.08,0.08,0.079,0.079,0,0.07298
"95",0.079,0.079,0.079,0.079,0,0.07298
"96",0.079,0.079,0.079,0.079,0,0.07298
"97",0.08,0.08,0.08,0.08,0,0.0739
"98",0.079,0.08,0.079,0.08,0,0.0739
"99",0.08,0.08,0.079,0.079,0,0.07298
"100",0.077,0.077,0.077,0.077,0,0.07113
"101",0.079,0.079,0.079,0.079,0,0.07298
"102",0.078,0.079,0.078,0.079,0,0.07298
"103",0.08,0.08,0.08,0.08,0,0.0739
"104",0.081,0.081,0.079,0.079,0,0.07298
"105",0.081,0.081,0.081,0.081,0,0.07483
"106",0.082,0.082,0.082,0.082,0,0.07575
"107",0.079,0.079,0.079,0.079,0,0.07298
"108",0.079,0.079,0.079,0.079,0,0.07298
"109",0.08,0.081,0.08,0.081,0,0.07483
"110",0.08,0.08,0.08,0.08,0,0.0739
"111",0.08,0.081,0.08,0.081,0,0.07483
"112",0.08,0.08,0.08,0.08,0,0.0739
"113",0.081,0.081,0.081,0.081,0,0.07483
"114",0.08,0.08,0.08,0.08,0,0.0739
"115",0.08,0.08,0.08,0.08,0,0.0739
"116",0.08,0.08,0.08,0.08,0,0.0739
"117",0.079,0.079,0.079,0.079,0,0.07298
"118",0.079,0.079,0.079,0.079,0,0.07298
"119",0.078,0.079,0.078,0.079,0,0.07298
"120",0.08,0.08,0.08,0.08,0,0.0739
"121",0.079,0.081,0.079,0.081,0,0.07483
"122",0.079,0.08,0.079,0.079,0,0.07298
"123",0.082,0.082,0.081,0.081,0,0.07483
"124",0.08,0.08,0.08,0.08,0,0.0739
"125",0.079,0.08,0.079,0.079,0,0.07298
"126",0.08,0.082,0.08,0.082,0,0.07575
"127",0.081,0.081,0.081,0.081,0,0.07483
"128",0.08,0.08,0.08,0.08,0,0.0739
"129",0.08,0.08,0.08,0.08,0,0.0739
"130",0.081,0.081,0.079,0.079,0,0.07298
"131",0.077,0.078,0.077,0.078,0,0.07206
"132",0.078,0.08,0.078,0.08,0,0.0739
"133",0.078,0.079,0.078,0.079,0,0.07298
"134",0.08,0.08,0.08,0.08,0,0.0739
"135",0.079,0.08,0.079,0.08,0,0.0739
"136",0.081,0.081,0.081,0.081,0,0.07483
"137",0.079,0.079,0.078,0.079,0,0.07298
"138",0.079,0.08,0.079,0.08,0,0.0739
"139",0.079,0.079,0.079,0.079,0,0.07298
"140",0.079,0.079,0.079,0.079,0,0.07298
"141",0.079,0.079,0.078,0.078,0,0.07206
"142",0.078,0.078,0.078,0.078,0,0.07206
"143",0.078,0.078,0.078,0.078,0,0.07206
"144",0.078,0.078,0.078,0.078,0,0.07206
"145",0.08,0.08,0.08,0.08,0,0.0739
"146",0.079,0.079,0.079,0.079,0,0.07298
"147",0.079,0.079,0.079,0.079,0,0.07298
"148",0.079,0.079,0.079,0.079,0,0.07298
"149",0.082,0.082,0.081,0.081,0,0.07483
"150",0.083,0.083,0.081,0.081,0,0.07483
"151",0.083,0.083,0.083,0.083,0,0.07668
"152",0.082,0.082,0.081,0.081,0,0.07483
"153",0.084,0.084,0.084,0.084,0,0.0776
"154",0.083,0.084,0.083,0.084,0,0.0776
"155",0.086,0.086,0.083,0.083,0,0.07668
"156",0.085,0.085,0.085,0.085,0,0.07852
"157",0.084,0.084,0.084,0.084,0,0.0776
"158",0.084,0.085,0.084,0.085,0,0.07852
"159",0.084,0.086,0.084,0.086,0,0.07945
"160",0.085,0.085,0.085,0.085,0,0.07852
"161",0.085,0.085,0.084,0.084,0,0.0776
"162",0.087,0.087,0.086,0.086,0,0.07945
"163",0.086,0.086,0.085,0.086,0,0.07945
"164",0.088,0.088,0.088,0.088,0,0.0813
"165",0.089,0.089,0.089,0.089,0,0.08222
"166",0.088,0.088,0.087,0.087,0,0.08037
"167",0.086,0.086,0.085,0.085,0,0.07852
"168",0.087,0.087,0.085,0.085,0,0.07852
"169",0.085,0.086,0.085,0.086,0,0.07945
"170",0.087,0.087,0.085,0.085,0,0.07852
"171",0.085,0.085,0.084,0.084,0,0.0776
"172",0.085,0.085,0.083,0.084,0,0.0776
"173",0.084,0.084,0.083,0.083,0,0.07668
"174",0.084,0.084,0.084,0.084,0,0.0776
"175",0.084,0.084,0.084,0.084,0,0.0776
"176",0.083,0.083,0.083,0.083,0,0.07668
"177",0.084,0.084,0.083,0.083,0,0.07668
"178",0.084,0.084,0.084,0.084,0,0.0776
"179",0.083,0.083,0.083,0.083,0,0.07668
"180",0.083,0.083,0.083,0.083,0,0.07668
"181",0.085,0.085,0.085,0.085,0,0.07852
"182",0.084,0.084,0.084,0.084,0,0.0776
"183",0.083,0.083,0.083,0.083,0,0.07668
"184",0.084,0.084,0.083,0.083,0,0.07668
"185",0.086,0.087,0.086,0.086,0,0.07945
"186",0.085,0.085,0.085,0.085,0,0.07852
"187",0.086,0.086,0.086,0.086,0,0.07945
"188",0.086,0.087,0.086,0.087,0,0.08037
"189",0.087,0.087,0.085,0.085,0,0.07852
"190",0.085,0.085,0.085,0.085,0,0.07852
"191",0.085,0.085,0.085,0.085,0,0.07852
"192",0.085,0.086,0.085,0.086,0,0.07945
"193",0.088,0.088,0.086,0.086,0,0.07945
"194",0.085,0.087,0.085,0.087,0,0.08037
"195",0.087,0.087,0.087,0.087,0,0.08037
"196",0.088,0.088,0.088,0.088,0,0.0813
"197",0.089,0.09,0.089,0.09,0,0.08314
"198",0.089,0.089,0.089,0.089,0,0.08222
"199",0.088,0.089,0.088,0.089,0,0.08222
"200",0.088,0.089,0.088,0.089,0,0.08222
"201",0.088,0.088,0.087,0.087,0,0.08037
"202",0.087,0.088,0.087,0.088,0,0.0813
"203",0.085,0.085,0.085,0.085,0,0.07852
"204",0.087,0.087,0.086,0.086,0,0.07945
"205",0.086,0.086,0.085,0.085,0,0.07852
"206",0.085,0.085,0.083,0.083,0,0.07668
"207",0.085,0.085,0.085,0.085,0,0.07852
"208",0.085,0.085,0.085,0.085,0,0.07852
"209",0.084,0.084,0.084,0.084,0,0.0776
"210",0.083,0.085,0.083,0.085,0,0.07852
"211",0.085,0.085,0.085,0.085,0,0.07852
"212",0.085,0.085,0.084,0.084,0,0.0776
"213",0.085,0.085,0.085,0.085,0,0.07852
"214",0.085,0.085,0.085,0.085,0,0.07852
"215",0.085,0.085,0.085,0.085,0,0.07852
"216",0.084,0.084,0.084,0.084,0,0.0776
"217",0.088,0.088,0.087,0.088,0,0.0813
"218",0.091,0.093,0.091,0.093,0,0.08591
"219",0.094,0.096,0.094,0.095,0,0.08776
"220",0.098,0.098,0.098,0.098,0,0.09053
"221",0.098,0.098,0.098,0.098,0,0.09053
"222",0.097,0.097,0.097,0.097,0,0.08961
"223",0.097,0.097,0.097,0.097,0,0.08961
"224",0.1,0.1,0.097,0.097,0,0.08961
"225",0.095,0.095,0.095,0.095,0,0.08776
"226",0.098,0.098,0.096,0.096,0,0.08869
"227",0.098,0.105,0.098,0.104,0,0.09608
"228",0.109,0.109,0.106,0.106,0,0.09792
"229",0.104,0.106,0.104,0.106,0,0.09792
"230",0.106,0.106,0.105,0.105,0,0.097
"231",0.103,0.103,0.102,0.102,0,0.09423
"232",0.102,0.102,0.101,0.101,0,0.0933
"233",0.1,0.1,0.1,0.1,0,0.09238
"234",0.1,0.1,0.1,0.1,0,0.09238
"235",0.101,0.101,0.101,0.101,0,0.0933
"236",0.098,0.101,0.098,0.101,0,0.0933
"237",0.1,0.1,0.097,0.097,0,0.08961
"238",0.094,0.094,0.093,0.094,0,0.08684
"239",0.096,0.096,0.096,0.096,0,0.08869
"240",0.098,0.098,0.097,0.097,0,0.08961
"241",0.098,0.098,0.098,0.098,0,0.09053
"242",0.096,0.097,0.096,0.097,0,0.08961
"243",0.094,0.094,0.094,0.094,0,0.08684
"244",0.095,0.095,0.095,0.095,0,0.08776
"245",0.103,0.106,0.103,0.106,0,0.09792
"246",0.103,0.105,0.103,0.105,0,0.097
"247",0.106,0.106,0.105,0.106,0,0.106
"248",0.105,0.105,0.104,0.104,0,0.104
"249",0.103,0.104,0.103,0.104,0,0.104
"250",0.104,0.104,0.104,0.104,0,0.104
"251",0.105,0.107,0.104,0.105,0,0.105
"252",0.105,0.106,0.103,0.106,0,0.106
"253",0.105,0.105,0.104,0.104,0,0.104
"254",0.105,0.106,0.105,0.106,0,0.106
"255",0.105,0.106,0.105,0.105,0,0.105
"256",0.104,0.105,0.103,0.103,0,0.103
"257",0.106,0.108,0.106,0.107,0,0.107
"258",0.103,0.105,0.103,0.104,0,0.104
"259",0.103,0.104,0.103,0.104,0,0.104
"260",0.104,0.104,0.103,0.103,0,0.103
"261",0.099,0.1,0.097,0.097,0,0.097
"262",0.098,0.098,0.097,0.097,0,0.097
