"","YHOO.Open","YHOO.High","YHOO.Low","YHOO.Close","YHOO.Volume","YHOO.Adjusted"
"170",42.900002,43.18,42.66,43.07,12160800,43.07
"171",43.18,43.259998,42.759998,42.959999,9791100,42.959999
"172",43.07,44.16,42.860001,43.93,18158200,43.93
"173",44.119999,44.59,44,44.419998,13785800,44.419998
"174",44.369999,44.540001,43.349998,43.529999,12798400,43.529999
"175",43.560001,43.82,43.299999,43.650002,10410700,43.650002
"176",43.650002,44.419998,43.5,44.369999,13301000,44.369999
"177",44.299999,44.360001,43.759998,44.110001,12036200,44.110001
"178",43.990002,43.990002,43.419998,43.529999,12129100,43.529999
"179",43.450001,43.52,42.91,43.380001,9797500,43.380001
"180",43.209999,44.720001,43.209999,44.43,17922900,44.43
"181",44.599998,44.759998,44.259998,44.450001,9223800,44.450001
"182",44.380001,44.57,44.049999,44.279999,10044200,44.279999
"183",44.060001,44.43,43.700001,44.110001,11027300,44.110001
"184",43.700001,43.950001,42.419998,42.619999,22392400,42.619999
"185",42.080002,44.380001,41.970001,43.990002,30098500,43.990002
"186",44.18,44.310001,43.5,44.16,11867700,44.16
"187",43.98,44.240002,43.400002,43.439999,11888000,43.439999
"188",43.599998,43.93,42.669998,42.98,11801900,42.98
"189",42.57,42.919998,42.18,42.68,10600700,42.68
"190",42.77,42.990002,42.360001,42.5,10007300,42.5
"191",42.700001,43.360001,42.580002,42.950001,8384800,42.950001
"192",42.84,42.98,42.439999,42.869999,9087000,42.869999
"193",42.93,43.880001,42.75,43.509998,11376400,43.509998
"194",43.540001,44.16,43.459999,43.790001,9656200,43.790001
"195",43.580002,44.709999,43.43,44.669998,18919900,44.669998
"196",44.900002,45.450001,44.810001,44.98,14758000,44.98
"197",45.369999,45.580002,44.91,45.040001,14194200,45.040001
"198",45.25,45.540001,44.709999,44.720001,8268800,44.720001
"199",44.639999,44.779999,44.279999,44.419998,7559100,44.419998
"200",44.59,44.93,44.130001,44.200001,14036900,44.200001
"201",43.779999,44.669998,43.68,44.470001,16162900,44.470001
"202",45.200001,45.669998,45.009998,45.099998,20563500,45.099998
"203",45.360001,45.419998,44.82,44.950001,8884300,44.950001
"204",44.82,45.200001,44.419998,44.439999,10415500,44.439999
"205",44.450001,44.599998,43.950001,44.130001,14722300,44.130001
"206",44.240002,44.360001,43.68,44.150002,12229400,44.150002
"207",43.82,44.029999,43.610001,43.669998,10717000,43.669998
"208",43.790001,44.220001,43.560001,43.610001,11382000,43.610001
"209",43.860001,45.189999,43.799999,45.169998,16071000,45.169998
