"","HSY.Open","HSY.High","HSY.Low","HSY.Close","HSY.Volume","HSY.Adjusted"
"105",96.099998,96.150002,94.949997,95.550003,1243300,94.007577
"106",95.870003,96.900002,95.790001,96.82,1103700,95.257073
"107",96.470001,96.699997,96.019997,96.43,921500,94.873369
"108",96.5,97,96.370003,96.580002,733000,95.020949
"109",96.580002,96.989998,96.220001,96.470001,520400,94.912724
"110",96.07,96.730003,95.739998,96.599998,723000,95.040623
"111",96.650002,97.419998,96.110001,96.639999,956500,95.079978
"112",96.629997,96.699997,95.620003,96.059998,622300,94.509339
"113",96.059998,96.839996,96.050003,96.699997,642300,95.139007
"114",96.550003,96.809998,96,96.510002,626100,94.952079
"115",96.209999,96.5,95.300003,96.040001,1314500,94.489665
"116",95.800003,96.139999,95.190002,95.290001,961300,93.751772
"117",95.440002,96.300003,95.269997,96.290001,1318500,95.270523
"118",96.449997,96.639999,95.989998,96.510002,1016200,95.488195
"119",96.379997,97.459999,96.230003,96.93,1771900,95.903747
"120",96.989998,98.68,96.989998,98.580002,1511000,97.536279
"121",98.989998,100.449997,98.510002,100.279999,931300,99.218277
"122",100.239998,101.099998,99.860001,100.199997,1465500,99.139122
"123",100.019997,100.650002,99.830002,100.470001,870500,99.406268
"124",100.410004,100.470001,99.440002,99.889999,691600,98.832407
"125",99.760002,99.919998,98.980003,99.620003,1029800,98.565269
"126",99.550003,99.900002,99.309998,99.800003,574400,98.743363
"127",99.800003,100.269997,99.300003,99.620003,578700,98.565269
"128",99.040001,99.620003,98.389999,99,726200,97.95183
"129",99,99.550003,98.440002,98.580002,753600,97.536279
"130",98.760002,100.669998,98.699997,99.580002,1307100,98.525691
"131",99.410004,100.040001,98.489998,98.519997,860200,97.476909
"132",99,99.32,98.269997,98.529999,887300,97.486805
"133",98.470001,99.419998,97.699997,97.940002,812400,96.903056
"134",98.470001,100.459999,98.010002,100.330002,1053800,99.267751
"135",100.800003,103.779999,100.800003,103.779999,1656300,102.68122
"136",104.269997,105.68,103.959999,105.269997,2689700,104.155443
"137",105.389999,105.75,104.480003,105.010002,1074500,103.898201
"138",105.900002,107,105.150002,106.639999,1249600,105.510941
"139",106.629997,106.809998,106.050003,106.279999,537500,105.154752
"140",106.370003,106.730003,106.129997,106.410004,515600,105.28338
"141",106.290001,106.489998,105.639999,106.32,483700,105.194329
"142",105.940002,106.339996,105.370003,105.650002,579100,104.531424
"143",105.730003,105.870003,103.82,103.93,643500,102.829634
"144",104.330002,104.589996,102.93,103.709999,786500,102.611962
"145",103.150002,104,102.5,102.980003,857800,101.889695
"146",103.349998,104.300003,102.900002,103.32,1241200,102.226092
"147",104.199997,105.489998,103.830002,105.139999,1020600,104.026822
"148",105.93,107.5,105.510002,107.169998,1245800,106.035328
"149",107.300003,107.32,106.199997,106.410004,747500,105.28338
"150",106.449997,106.720001,105.330002,105.43,1123400,104.313752
"151",106.440002,107.110001,106.019997,106.669998,1414400,105.540622
"152",106.290001,107.18,106.139999,107.019997,1499500,105.886915
"153",107.019997,109.110001,107.019997,108.459999,1516400,107.311671
"154",108.959999,110.75,108.910004,110.660004,2532200,109.488383
"155",111,111.349998,109.459999,110.379997,1148700,109.211341
"156",108.959999,110.379997,108.709999,110.199997,1320600,109.033246
"157",110.349998,110.989998,109.260002,110.779999,1151900,109.607107
"158",108.730003,109.32,108.150002,108.620003,1556900,107.469981
"159",108.57,109.400002,108.160004,109.330002,808500,108.172462
"160",106.910004,109.779999,106.910004,109.18,1071400,108.024049
"161",109.18,110.220001,107.389999,107.68,1431300,106.53993
"162",101.919998,103.410004,98.730003,103.290001,6049100,102.19641
"163",102.339996,103.559998,101.800003,102.209999,3111800,101.127843
"164",102,104.160004,101.559998,104.059998,1624700,102.958255
"165",104.199997,104.779999,103.709999,104.699997,1264300,103.591478
"166",104.559998,106.480003,104.559998,105.699997,1555400,104.580891
"167",105.93,106.339996,105.089996,105.809998,886600,104.689726
"168",105.559998,106.410004,105.190002,105.529999,1101800,104.412692
"169",105.040001,105.970001,104.809998,104.949997,879500,103.838831
"170",105.610001,106.220001,104.989998,105.879997,793700,104.758985
"171",106.07,106.449997,104.989998,106.169998,781400,105.045916
"172",105.959999,106.669998,105.379997,106.660004,1043600,105.530733
"173",106.089996,106.510002,105.720001,106.019997,1122100,104.897502
"174",105.889999,106.309998,105,105.910004,1105100,104.788674
"175",105.910004,107,105.519997,106.949997,1267100,105.817656
"176",106.970001,107.309998,105.419998,105.949997,1447900,104.828244
"177",106.040001,107.57,105.459999,107.239998,1483700,106.104587
"178",106.089996,106.480003,105.199997,105.970001,1141300,105.373723
"179",105.559998,106.059998,104.639999,105.739998,1233300,105.145014
"180",105.5,105.830002,104.160004,104.330002,1428500,103.742952
"181",104.540001,104.540001,103.370003,103.629997,1768000,103.046886
"182",103.650002,104.32,103.419998,103.779999,1100600,103.196044
"183",103.779999,104.199997,102.349998,102.660004,1124400,102.08235
"184",102.629997,102.900002,102,102.550003,769800,101.972969
"185",102.099998,102.32,101.050003,101.529999,832500,100.958704
"186",101.910004,102.580002,101.690002,102.349998,891300,101.77409
"187",101.739998,101.870003,99.290001,99.650002,1266000,99.089285
"188",99.650002,100.690002,99.650002,100.010002,1447100,99.44726
"189",99.589996,99.720001,98.510002,98.519997,1406900,97.965639
"190",98.910004,99.43,98.269997,99.120003,1311400,98.562269
"191",99.419998,100.769997,99.139999,100.599998,998600,100.033937
"192",100.550003,100.760002,99.099998,99.879997,783500,99.317987
"193",100.110001,100.919998,99.989998,100.860001,739900,100.292476
"194",100.459999,100.720001,99.669998,100.07,709500,99.50692
"195",99.93,101.559998,98.709999,101.110001,1075800,100.541069
"196",100.720001,101.300003,100.129997,100.550003,650200,99.984223
"197",101.209999,102.389999,100.900002,102.089996,1011700,101.51555
"198",102.349998,102.540001,101.589996,101.790001,554600,101.217243
"199",101.940002,102.699997,100.57,100.610001,723500,100.043882
"200",101.190002,102.989998,100.760002,101.690002,1851000,101.117807
"201",101.620003,102.150002,100.849998,101.010002,892200,100.441633
"202",100.949997,102.040001,100.830002,101.889999,649000,101.316679
"203",102.169998,102.669998,101.349998,102.43,585200,101.853641
"204",102.25,102.720001,100.910004,100.910004,843700,100.342197
"205",100.139999,100.889999,99.379997,100.889999,1016400,100.322306
"206",100.599998,101.389999,100.029999,100.75,643000,100.183094
"207",100.660004,102.099998,100.589996,101.5,1151200,100.928874
"208",101.660004,102.559998,101.610001,101.739998,675300,101.167521
"209",101.709999,101.940002,100.089996,100.559998,846800,99.994161
"210",100.449997,100.980003,99.900002,100.739998,694400,100.173148
"211",100.739998,101.160004,100.010002,100.089996,853600,99.526804
"212",100.199997,100.589996,99.230003,99.459999,1147100,98.900352
"213",99.370003,101.360001,99.339996,101,905100,100.431687
"214",101.370003,101.860001,100.559998,100.650002,1138100,100.083658
"215",100.919998,101.970001,100.480003,101.419998,651800,100.849322
"216",100.410004,101.199997,99.809998,100.269997,1093300,99.705792
"217",99.980003,100.080002,98.059998,98.209999,2130900,97.657385
"218",98.300003,99,97.93,98.019997,1232500,97.468452
"219",98.059998,98.489998,97.739998,98.330002,1568600,97.776713
"220",95.849998,97.519997,93.82,94.93,3400100,94.395843
"221",95.150002,95.25,94.110001,94.629997,1713700,94.097528
"222",94.669998,94.779999,93.18,93.709999,2046800,93.182706
"223",93.910004,93.910004,93.199997,93.360001,1648600,92.834677
"224",93.309998,93.440002,91.25,91.370003,3189200,90.855877
"225",91.379997,92.269997,91.129997,91.919998,2093800,91.402777
"226",92.309998,93.959999,92.309998,93.599998,2225700,93.073325
"227",93.870003,94.650002,93.870003,94.239998,1361900,93.709723
"228",94.239998,94.629997,93.279999,93.889999,1315000,93.361694
"229",94.150002,94.370003,93.419998,94.199997,1179800,93.669947
"230",93.849998,94.519997,93.540001,94.370003,882400,93.838996
"231",94.529999,95.160004,94.349998,94.440002,1055500,93.908602
"232",94.360001,94.610001,93.620003,93.93,1076000,93.40147
"233",93.730003,94.629997,93.510002,94.370003,784000,93.838996
"234",94.5,95.349998,94.120003,94.300003,823900,93.76939
"235",94.959999,96.260002,94.709999,96.120003,1610200,95.579149
"236",96.019997,96.400002,95.769997,96.18,708000,95.638809
"237",95.940002,96,95.25,95.260002,696400,94.723988
"238",95.230003,95.389999,94.529999,95.25,1019500,94.714042
"239",95.339996,95.709999,94.949997,95.080002,1219100,94.545
"240",94.610001,95.059998,93.989998,94.059998,997900,94.059998
"241",94.230003,94.5,93.349998,93.529999,753100,93.529999
"242",93.57,93.889999,92.510002,93,755400,93
"243",93.199997,93.610001,92.809998,93.470001,885600,93.470001
"244",93.059998,93.550003,92.82,93.389999,613900,93.389999
"245",93.5,93.610001,92.860001,92.860001,1015800,92.860001
"246",92.919998,93.230003,92.449997,92.730003,695900,92.730003
"247",92.489998,92.730003,92.110001,92.529999,570300,92.529999
"248",92.290001,92.540001,91.370003,91.699997,1492100,91.699997
"249",91.269997,92.050003,91.199997,91.269997,1055000,91.269997
"250",91.190002,91.339996,90.790001,90.870003,1368900,90.870003
"251",91,91.93,90.709999,91.57,964800,91.57
"252",91.43,91.57,90.980003,91.07,851900,91.07
"253",91.330002,91.900002,91.07,91.110001,931400,91.110001
