"","CLF.Open","CLF.High","CLF.Low","CLF.Close","CLF.Volume","CLF.Adjusted"
"94",8.97,9.05,8.16,8.54,9499000,8.420948
"95",9.08,9.73,8.83,9.15,15382700,9.022444
"96",9.11,9.24,8.65,8.79,10165200,8.667463
"97",8.77,9.65,8.77,9.63,10559000,9.495753
"98",9.22,9.73,9.06,9.24,12596200,9.111189
"99",9.51,11.61,8.87,11.29,37653700,11.132612
"100",11.25,11.34,9.96,10.22,18053500,10.077528
"101",10.05,10.85,10,10.5,7718600,10.353625
"102",10.69,11.7,10.25,11.23,14355200,11.073448
"103",11.33,11.36,10.77,10.98,7328300,10.826933
"104",10.87,11.34,10.41,11.33,8156500,11.172054
"105",11.36,11.49,10.68,11.15,9120300,10.994563
"106",11.1,11.16,10.51,10.54,5462300,10.393067
"107",10.65,11.34,10.53,11.17,6877400,11.014285
"108",11.2,11.69,11.04,11.04,5931100,10.886097
"109",10.7,11.38,10.59,10.76,7099400,10.61
"110",10.71,11.3,10.47,10.71,6354300,10.71
"111",10.7,11,10.3,10.36,5238700,10.36
"112",10.26,10.78,10.25,10.69,5626900,10.69
"113",10.58,10.9,10.29,10.85,5513700,10.85
"114",10.45,10.5,9.91,10.21,12852600,10.21
"115",8.6,9.18,8.05,8.17,29482000,8.17
"116",8,8.94,7.91,8.76,14778500,8.76
"117",9.55,9.99,9.29,9.91,18642600,9.91
"118",9.9,9.91,9.26,9.77,7955600,9.77
"119",9.62,9.69,9.16,9.2,9851200,9.2
"120",9.25,9.39,9.12,9.15,4599500,9.15
"121",9.1,9.2,8.7,9.12,4186000,9.12
"122",8.9,9,8.22,8.36,7843200,8.36
"123",8.31,8.57,8.06,8.16,5779500,8.16
"124",8.43,8.67,8.38,8.6,6453200,8.6
"125",8.01,8.25,7.82,8.03,8318000,8.03
"126",7.95,8.44,7.9,7.97,6531200,7.97
"127",7.91,8,7.28,7.36,7656800,7.36
"128",7.19,7.91,7.12,7.47,7201300,7.47
"129",7.34,7.41,7,7.01,6160500,7.01
"130",7,7.15,6.82,6.94,7848500,6.94
"131",6.83,7.04,6.66,6.74,7296600,6.74
"132",6.75,6.9,6.59,6.66,7433900,6.66
"133",6.6,7.26,6.6,6.8,8632300,6.8
"134",6.04,6.6,5.63,6.41,19640800,6.41
"135",6.65,6.94,6.06,6.19,11030600,6.19
"136",6.22,6.72,6.07,6.69,11148800,6.69
"137",6.61,6.69,6.11,6.16,8049100,6.16
"138",6.18,6.5,6.1,6.15,7099100,6.15
"139",6.14,6.23,5.92,6.06,3156100,6.06
"140",6.15,6.41,6.02,6.31,5363600,6.31
"141",6.35,6.88,6.32,6.62,7504800,6.62
"142",6.6,7.19,6.6,6.9,10025100,6.9
"143",6.9,7.35,6.89,7.14,11664000,7.14
"144",7.35,7.37,6.85,7.03,7350500,7.03
"145",6.75,6.83,6.31,6.52,9190200,6.52
"146",6.56,6.64,6.24,6.31,6500800,6.31
"147",6.44,6.97,6.36,6.84,7722800,6.84
"148",7.08,7.39,6.85,7.33,11109600,7.33
"149",7.28,7.32,6.77,7.15,9977100,7.15
"150",6.98,7.73,6.71,7.7,14435400,7.7
"151",7.77,7.91,7.36,7.85,12581500,7.85
"152",7.53,7.9,7.23,7.79,9039200,7.79
"153",7.79,9,7.79,8.72,19525300,8.72
"154",8.74,8.93,8.33,8.9,10725000,8.9
"155",8.9,8.9,8.12,8.46,10597300,8.46
"156",8.42,9.39,8.35,9.07,7477600,9.07
"157",9.05,9.1,8.54,8.59,7228100,8.59
"158",8.4,8.43,7.48,7.49,10565700,7.49
"159",7.93,7.93,7.16,7.22,8721800,7.22
"160",7.08,7.96,6.75,6.8,15135400,6.8
"161",6.81,6.96,6.56,6.62,8331800,6.62
"162",6.64,6.64,6.02,6.11,11480400,6.11
"163",6.07,6.46,6.04,6.42,8574200,6.42
"164",6.4,7.23,6.4,6.97,13253700,6.97
"165",7.37,7.41,6.52,6.8,27440100,6.8
"166",6.65,6.92,6.29,6.31,14041500,6.31
"167",6.31,6.75,6.27,6.43,16071400,6.43
"168",6.39,6.52,6.15,6.27,10562200,6.27
"169",6.24,6.83,6.24,6.57,11494900,6.57
"170",6.52,6.78,6.43,6.67,6418700,6.67
"171",6.54,6.71,6.45,6.47,5344700,6.47
"172",6.64,6.83,6.59,6.65,4705400,6.65
"173",6.81,7.05,6.74,7,7518800,7
"174",7,7.08,6.82,6.89,5950700,6.89
"175",6.84,7.28,6.8,6.92,6258900,6.92
"176",6.89,7.1,6.76,6.91,3423400,6.91
"177",6.92,7.13,6.82,6.96,4516900,6.96
"178",6.83,6.9,6.57,6.65,4416700,6.65
"179",6.67,6.89,6.61,6.79,3618700,6.79
"180",6.73,6.92,6.66,6.76,3511600,6.76
"181",6.82,6.88,6.65,6.78,2692200,6.78
"182",6.77,6.98,6.76,6.84,4024000,6.84
"183",6.8,6.86,6.68,6.76,3981500,6.76
"184",6.73,6.93,6.6,6.72,4656900,6.72
"185",6.62,6.89,6.39,6.72,8434700,6.72
"186",6.69,6.93,6.43,6.63,8511700,6.63
"187",6.51,6.7,6.21,6.27,7632100,6.27
"188",6.12,6.18,5.64,5.79,12083600,5.79
"189",5.69,5.97,5.45,5.46,6944300,5.46
"190",5.42,5.45,5.02,5.21,10439100,5.21
"191",5.3,5.45,5.1,5.13,6119400,5.13
"192",5.1,5.14,4.8,4.94,8006900,4.94
"193",4.94,4.94,4.53,4.87,8414400,4.87
"194",4.85,4.88,4.52,4.54,10843600,4.54
"195",4.49,4.59,4.12,4.58,17409500,4.58
"196",4.47,4.53,4.21,4.31,7689600,4.31
"197",4.35,4.4,4.15,4.3,11885000,4.3
"198",4.4,4.84,4.32,4.81,10819600,4.81
"199",4.77,5.07,4.77,4.99,7119300,4.99
"200",5.05,5.48,5,5.07,12472600,5.07
"201",5.09,5.22,4.68,4.79,8510500,4.79
"202",4.7,4.9,4.63,4.73,5589300,4.73
"203",4.71,5.13,4.66,5.06,7917900,5.06
"204",4.99,4.99,4.65,4.81,9288400,4.81
"205",4.69,4.81,4.46,4.55,8214600,4.55
"206",4.45,4.69,4.35,4.59,8874500,4.59
"207",4.6,4.76,4.59,4.71,7049600,4.71
"208",4.77,5.01,4.73,4.93,8821600,4.93
"209",5.03,5.08,4.79,4.81,6591300,4.81
"210",4.64,5.04,4.54,5,7804100,5
"211",4.95,5.09,4.84,4.87,5692300,4.87
"212",4.8,4.85,4.64,4.75,5928100,4.75
"213",4.93,5.45,4.93,5.32,14137100,5.32
"214",5.3,5.72,5.17,5.61,10884100,5.61
"215",5.53,5.79,5.35,5.51,8817400,5.51
"216",5.4,5.57,5.17,5.29,6863400,5.29
"217",5.33,5.5,5.23,5.28,7147900,5.28
"218",5.26,5.35,4.93,5.05,7963300,5.05
"219",5.05,5.33,4.95,5.08,11551100,5.08
"220",5.09,5.57,5.08,5.56,18162900,5.56
"221",5.77,6.35,5.7,6.03,41274600,6.03
"222",6.12,6.35,5.9,6.13,12948200,6.13
"223",6.2,6.38,5.81,5.87,15485000,5.87
"224",5.92,6.18,5.3,5.41,20222400,5.41
"225",5.42,5.98,5.29,5.94,13899100,5.94
"226",6.05,6.24,5.68,5.7,9651000,5.7
"227",5.78,6.07,5.76,5.86,7153600,5.86
"228",5.98,6.59,5.88,6.58,15991900,6.58
"229",6.65,6.87,6.54,6.57,16245100,6.57
"230",6.52,6.52,6.21,6.32,9650600,6.32
"231",6.41,6.44,6.03,6.09,8107700,6.09
"232",6.14,6.39,6.13,6.14,6286100,6.14
"233",6.16,6.34,5.91,5.92,9046600,5.92
"234",5.95,6.17,5.81,5.86,7961500,5.86
"235",5.9,5.98,5.57,5.61,9402000,5.61
"236",5.62,5.75,5.54,5.71,6915000,5.71
"237",5.62,5.79,5.28,5.3,9613000,5.3
"238",5.28,5.32,4.93,5.05,9984900,5.05
"239",5.05,5.09,4.7,5.03,11173300,5.03
"240",5.04,5.1,4.91,5.03,4821600,5.03
"241",5.03,5.22,4.97,5.17,6978300,5.17
"242",5.23,5.49,5.02,5.1,8906500,5.1
"243",5.16,5.38,5.07,5.36,6806300,5.36
"244",5.31,5.66,5.31,5.65,8473700,5.65
"245",5.61,5.65,5.3,5.31,8355100,5.31
"246",5.36,5.39,5.08,5.11,7643000,5.11
"247",5.1,5.56,5.1,5.42,8206000,5.42
"248",5.39,5.54,5.22,5.27,8145800,5.27
"249",5.27,5.39,5.15,5.34,5004900,5.34
"250",5.35,5.36,5.2,5.29,3335600,5.29
"251",5.21,5.3,5.01,5.12,6867800,5.12
"252",5.17,5.32,5.01,5.04,7258900,5.04
"253",5.23,5.33,5.08,5.25,7626200,5.25
