"","CF.Open","CF.High","CF.Low","CF.Close","CF.Volume","CF.Adjusted"
"1",243.279991,243.279991,240.489998,242.880001,2596500,47.531376
"2",241.149998,241.149998,238.390007,239.249992,3085000,46.820987
"3",238.149986,239.169998,234.960003,235.929985,3154500,46.171265
"4",235.760002,235.909996,233.380013,235.240002,2969000,46.036236
"5",235.179996,239.689999,235,239.419994,4368000,46.854256
"6",238.859997,241.899986,237.649994,241.550007,2268500,47.271098
"7",242.889996,244.220009,241.199989,243.880005,2682500,47.727076
"8",244.729996,246.700001,241.940002,245.990009,3479000,48.140002
"9",246.990013,247.630005,244.370003,245.990009,3683000,48.140002
"10",245.539989,246.990013,244.300003,245.529995,1648500,48.049977
"11",245.139999,245.160007,240.85001,241.030006,2562000,47.169334
"12",239.839993,243.110008,239.659996,241.730003,2270000,47.306323
"13",242.600002,242.600002,238.910007,241.479988,2136000,47.257395
"14",240.009995,240.710011,238.479996,240.270004,3029500,47.020603
"15",240.679989,243.199997,239.580002,240.529995,4273500,47.071482
"16",242.280006,244.570007,241.130009,244.090004,2922500,47.768173
"17",243.859997,245.489998,242.119999,244.650002,2516500,47.877764
"18",244.720001,245.699997,243.55999,245.419998,1533000,48.028451
"19",244.939995,245.59,241.860008,242.199993,2680500,47.398299
"20",241.800003,245.130005,239.820004,245,3787000,47.946258
"21",244.93,244.93,242.679996,243.139992,2170000,47.582256
"22",240.330009,241.479988,238.859997,240.460014,2349000,47.057787
"23",239.860001,240.73,238.549995,239.780006,1730500,46.92471
"24",240.529995,241.100006,239.160004,241.070004,2826500,47.177162
"25",241.590004,243.839989,241.199989,243.050003,2214000,47.564646
"26",243.82,245.389996,243.82,245.330009,2252000,48.010841
"27",243.990002,255.279999,243.75,250.85001,7626000,49.091099
"28",251.25,252.999992,249.659996,252.539997,4470500,49.421828
"29",251.289997,252.989998,250.139999,252.250004,2247000,49.365077
"30",253.220005,255.310001,252.57,253.829994,2531000,49.674279
"31",254.050007,254.239998,251.679993,252.189999,2258000,49.353334
"32",254.570007,257.290001,253.600006,254.559994,4598000,49.817139
"33",253.449993,254.330006,252.140007,252.609997,2133000,49.435527
"34",251.690006,255.079994,251.64999,254.990005,2445000,49.901292
"35",254.979992,256.359978,254.050007,255.030003,2035500,49.90912
"36",255.610008,256.679993,253.990002,254.619999,2176500,49.828882
"37",252.520008,254.399986,249.910011,250.340004,3498500,48.991292
"38",246.990013,252.960014,246.990013,252.589989,2940500,49.431611
"39",253.260002,253.470001,250.369987,252.43,3333000,49.400302
"40",250.380001,254.169998,249.34,249.669991,4289500,48.860171
"41",247.869987,253.699989,247.299995,253.070011,4784000,49.525551
"42",254.200001,254.210014,240.669994,243.810005,10106000,47.713377
