"","YUM.Open","YUM.High","YUM.Low","YUM.Close","YUM.Volume","YUM.Adjusted"
"182",79.220001,82.470001,78.839996,81.110001,9799900,80.685234
"183",81,82.830002,80.480003,81.800003,3377500,81.371623
"184",81,81.620003,80.110001,81.510002,4648400,81.08314
"185",80.480003,81.160004,79.769997,80.080002,7731300,79.660629
"186",80.07,80.860001,79.660004,80.519997,3352500,80.09832
"187",79.839996,80.290001,78.779999,79.160004,4217600,78.745449
"188",79.260002,79.970001,79.199997,79.440002,2375000,79.023981
"189",78.970001,79.190002,77.849998,77.879997,3186300,77.472146
"190",77.5,78.190002,76.400002,76.5,4675800,76.099375
"191",77.059998,77.93,76.739998,77.839996,2891900,77.432354
"192",78.339996,78.339996,76.790001,77.510002,2624100,77.104088
"193",78.059998,78.470001,77.720001,78.190002,3173800,77.780527
"194",78.080002,78.279999,77.769997,77.860001,2845300,77.452254
"195",77.970001,79.32,77.519997,78.940002,2671100,78.5266
"196",78.800003,79.190002,78.489998,78.739998,3082500,78.327643
"197",79.209999,80,78.870003,79.209999,6976100,78.795182
"198",79.25,80.089996,79.110001,79.269997,3454600,78.854866
"199",79.5,80.360001,79.5,80.169998,4553100,79.750154
"200",80.5,80.5,79.110001,79.150002,3450300,78.735499
"201",78.529999,79.18,78.220001,78.550003,2592700,78.138643
"202",78.610001,79.07,78.18,78.309998,1947800,77.899894
"203",78.360001,79.580002,78.360001,79.410004,2014500,78.99414
"204",79.209999,79.830002,78.720001,78.720001,2395400,78.307751
"205",78.650002,78.889999,78.150002,78.839996,2705900,78.427117
"206",79.019997,79.919998,78.480003,79.790001,3547000,79.372147
"207",79.459999,80.489998,79.150002,79.730003,2503100,79.312463
"208",79.75,79.889999,78.169998,78.290001,4351800,77.880002
"209",78.639999,78.910004,77.919998,78.300003,3147100,78.300003
"210",78.040001,78.970001,78.010002,78.919998,3968400,78.919998
"211",78.949997,80.110001,78.739998,80.019997,2441100,80.019997
"212",79.75,81.199997,79.349998,80.720001,4330900,80.720001
"213",80.25,80.349998,79.309998,79.620003,2830000,79.620003
"214",79.970001,80.440002,79.580002,79.599998,2674600,79.599998
"215",79.589996,80.75,79.370003,79.489998,3001200,79.489998
"216",78.959999,80.019997,78.739998,79.75,4114600,79.75
"217",80.470001,81.330002,80.07,81.089996,2938400,81.089996
"218",80.989998,81.139999,80.290001,80.849998,4716600,80.849998
"219",83.510002,85.300003,82.459999,84.040001,12845800,84.040001
"220",83.839996,84.440002,83.349998,84.07,4539000,84.07
"221",84.25,87.150002,84.080002,87.099998,7617700,87.099998
"222",87.099998,87.419998,86.389999,86.610001,3896300,86.610001
"223",86.290001,87.239998,85.889999,86.839996,3022400,86.839996
"224",86.279999,86.769997,86.050003,86.25,2875600,86.25
"225",86.059998,86.809998,85.610001,85.959999,2579700,85.959999
"226",86.5,91.989998,86.459999,91.900002,15785100,91.900002
"227",91.949997,94.129997,90.980003,91.010002,10146500,91.010002
"228",90.309998,90.599998,89.830002,89.989998,4900900,89.989998
"229",90.25,90.419998,88.870003,89.209999,2942500,89.209999
"230",89.419998,90.529999,88.940002,90.129997,3359100,90.129997
"231",91,91.760002,89.870003,89.879997,4860500,89.879997
"232",89.959999,90.519997,89.639999,89.739998,4320800,89.739998
"233",89.220001,90.879997,89.080002,90.389999,2882000,90.389999
"234",90.129997,90.870003,89.690002,89.900002,1573600,89.900002
"235",90.370003,90.739998,89.760002,90.019997,2001700,90.019997
"236",91.730003,94.099998,91.099998,93.959999,6202800,93.959999
"237",93.800003,94.879997,92.949997,93.589996,3682800,93.589996
"238",93.860001,94.949997,93.349998,94.309998,3375200,94.309998
"239",94.949997,95.900002,94.150002,94.879997,3546000,94.879997
"240",94.529999,94.620003,93.139999,93.440002,3382500,93.440002
"241",93.370003,93.419998,91.230003,91.540001,5633800,91.540001
"242",91.480003,92.209999,90.699997,91.540001,2934500,91.540001
"243",92.529999,92.860001,91.639999,91.980003,3433200,91.980003
"244",91.949997,92.190002,91.139999,91.800003,2823900,91.800003
"245",91.57,91.790001,89.790001,90.110001,3668300,90.110001
"246",89.860001,90.830002,89.540001,90.269997,2477200,90.269997
"247",90.220001,90.769997,89.769997,89.870003,2156600,89.870003
"248",90.57,92.260002,90,91.550003,4961200,91.550003
"249",90.75,91.099998,90.199997,90.519997,2320600,90.519997
"250",90.370003,91.150002,90.169998,90.790001,1603700,90.790001
"251",90.550003,91.410004,90.440002,90.5,2652600,90.5
"252",90.370003,90.800003,90.169998,90.589996,1701200,90.589996
"253",90.480003,91.760002,90.480003,91.599998,1815600,91.599998
