"","V.Open","V.High","V.Low","V.Close","V.Volume","V.Adjusted"
"178",272.959991,273.320007,270.25,273.01001,6654800,68.133269
"179",273.809998,273.809998,271.170013,272.470001,9045200,67.998502
"180",271.26001,274.230011,271.26001,273.01001,6842800,68.133269
"181",273.200012,274.5,272.019989,273.75,13459600,68.317943
"182",273.470001,274.190002,271.309998,271.309998,7965200,67.709008
"183",276.709991,278.290009,274.440002,278.290009,11653600,69.450962
"184",278.649994,278.649994,273.5,275.299988,8807200,68.704763
"185",275.149994,275.149994,272.25,273.75,8021200,68.317943
"186",275,275.140015,273.75,274.130005,6756000,68.412778
"187",273.399994,274.480011,269.25,269.339996,11590800,67.217368
"188",270.519989,272.209991,269.079987,271.420013,8902000,67.736464
"189",269.640015,269.859985,265.200012,265.200012,11125600,66.18418
"190",265.630005,267.380005,263.049988,264.75,12105200,66.071874
"191",266.399994,270,266.299988,269.579987,9530800,67.277261
"192",268.839996,268.839996,264.5,265.029999,12578800,66.141751
"193",266.890015,270.049988,266.630005,269.019989,9849600,67.137506
"194",268.059998,268.359985,264.140015,264.5,14290800,66.009483
"195",264.089996,267.980011,259.01001,267.670013,12664500,66.800602
"196",66.830002,67.190002,65.75,66.809998,15407500,66.693284
"197",67.25,67.699997,66.779999,67.410004,15372000,67.292242
"198",68.029999,68.209999,67.07,67.080002,8128000,66.962816
"199",67.099998,67.690002,66.839996,67.099998,6534800,66.982778
"200",67.099998,67.43,65.730003,65.730003,13054300,65.615176
"201",65.25,66.300003,65.019997,65.589996,9487200,65.475414
"202",65.519997,65.809998,65.150002,65.540001,6521100,65.425506
"203",66.019997,66.32,65.5,65.660004,11237100,65.545299
"204",65.470001,66.209999,65.389999,65.410004,7400500,65.295735
"205",65.449997,65.519997,64.449997,65.18,7633000,65.066134
"206",64.989998,65.620003,64.809998,65.290001,5083000,65.175942
"207",64.730003,65.639999,64.410004,65.199997,8351200,65.086096
"208",65.379997,66.190002,65.309998,65.800003,6660800,65.685054
"209",65.889999,66.839996,65.800003,66.5,6604200,66.383828
"210",66.57,66.82,65.760002,66.440002,5408500,66.323935
"211",66.690002,66.690002,65.93,66.339996,4628500,66.224104
"212",66.220001,66.800003,65.510002,65.610001,5059800,65.495383
"213",65.519997,65.940002,64.879997,65.529999,5621800,65.415521
"214",65.599998,65.910004,65.300003,65.68,5347100,65.56526
"215",65.529999,66.010002,65.349998,65.650002,4121300,65.535314
"216",65.099998,65.5,64.349998,64.519997,11212900,64.407283
"217",65,65.209999,64.580002,64.720001,5948900,64.606938
"218",65.029999,65.830002,64.989998,65.349998,9619700,65.235835
"219",65.82,69.980003,65.790001,68.010002,20912400,67.891192
"220",68.199997,68.220001,67.519997,67.720001,7193400,67.601698
"221",68.129997,68.18,67.309998,67.480003,6219900,67.362119
"222",68.389999,68.610001,66.93,67.099998,7122400,66.982778
"223",67.309998,67.5,66.410004,66.769997,6297500,66.653353
"224",66.860001,68.459999,66.779999,67.339996,9812400,67.222357
