"","PETM.Open","PETM.High","PETM.Low","PETM.Close","PETM.Volume","PETM.Adjusted"
"154",81.25,81.28,81.07,81.07,1292300,81.07
"155",81.08,81.12,81,81.04,1886800,81.04
"156",81.16,81.25,81.07,81.21,1556700,81.21
"157",81.03,81.285,81.01,81.22,1588700,81.22
"158",81.22,81.5,81.18,81.38,1468000,81.38
"159",81.35,81.5,81.25,81.465,1344100,81.465
"160",81.465,81.465,81.465,81.465,0,81.465
"161",81.46,81.46,81.15,81.23,2008300,81.23
"162",81.1,81.5,81.1,81.5,813000,81.5
"163",81.41,81.61,81.33,81.47,3738700,81.47
"164",81.45,81.58,81.4,81.5,1220000,81.5
"165",81.52,81.62,81.385,81.45,4566500,81.45
"166",81.39,81.53,81.37,81.47,2587100,81.47
"167",81.45,81.55,81.35,81.54,3095100,81.54
"168",81.43,81.7,81.385,81.62,2531100,81.62
"169",81.58,81.95,81.49,81.705,2687600,81.705
"170",81.72,82.29,81.61,82.19,1903700,82.19
"171",82.18,82.5,82.16,82.45,1476200,82.45
"172",82.39,82.59,82.34,82.54,2131900,82.54
"173",82.54,82.68,82.4601,82.55,2584300,82.55
"174",82.58,82.605,82.41,82.51,4975700,82.51
"175",82.47,82.585,82.43,82.45,1166600,82.45
"176",82.507,82.59,82.45,82.5,1183900,82.5
"177",82.53,82.59,82.48,82.5,1036500,82.5
"178",82.5,82.79,82.5,82.665,1881300,82.665
"179",82.67,82.7,82.6,82.7,944400,82.7
"180",82.7,82.7,82.7,82.7,0,82.7
"181",82.66,82.81,82.62,82.77,1288900,82.77
"182",82.68,82.97,82.67,82.84,2573800,82.84
"183",82.85,82.9,82.83,82.88,2118000,82.88
"184",82.85,83.49,82.82,82.91,4669500,82.91
"185",82.92,83.02,82.82,82.95,1740300,82.95
"186",82.87,82.99,82.86,82.99,1471300,82.99
"187",82.95,82.98,82.89,82.97,1333300,82.97
"188",82.95,82.98,82.8,82.9,1046200,82.9
"189",82.9,82.96,82.89,82.91,850500,82.91
"190",82.97,82.99,82.92,82.94,1028200,82.94
"191",82.95,82.97,82.91,82.93,1200600,82.93
"192",82.965,82.98,82.91,82.93,1226700,82.93
"193",82.93,82.98,82.93,82.98,742300,82.98
"194",82.93,82.97,82.91,82.91,3073100,82.91
"195",82.97,82.97,82.94,82.96,786800,82.96
"196",82.95,82.97,82.95,82.95,1167100,82.95
"197",82.98,83,82.98,82.98,11623200,82.98
