"","CVH.Open","CVH.High","CVH.Low","CVH.Close","CVH.Volume","CVH.Adjusted"
"135",8.5,8.59,8.4,8.59,455000,8.47596
"136",8.59,8.59,8.59,8.59,0,8.47596
"137",8.6,8.75,8.31,8.7,417300,8.5845
"138",8.3,8.85,8.3,8.79,60900,8.6733
"139",8.8,9,8.6,9,192200,8.88051
"140",8.51,8.85,8.25,8.6,44000,8.48582
"141",8.41,8.75,8.41,8.63,58600,8.51543
"142",8.5,8.5,8.5,8.5,2700,8.38715
"143",8.5,8.5,8.5,8.5,0,8.38715
"144",8.5,8.5,8.5,8.5,0,8.38715
"145",8.6,8.6,8.5,8.5,23500,8.38715
"146",8.6,8.6,8.45,8.5,156700,8.38715
"147",8.45,8.87,8.45,8.87,12600,8.75224
"148",8.87,8.87,8.87,8.87,0,8.75224
"149",8.87,8.87,8.51,8.51,500,8.39702
"150",8.41,8.92,8.41,8.92,4300,8.80158
"151",8.55,8.8,8.41,8.56,649300,8.44636
"152",8.56,8.64,8.22,8.3,42600,8.18981
"153",8.3,8.65,8.29,8.5,2141800,8.38715
"154",8.5,8.61,8.35,8.35,33600,8.23914
"155",8.61,8.61,8.5,8.5,4200,8.38715
"156",8.35,8.61,8.35,8.57,71500,8.45622
"157",8.4,8.64,8.35,8.64,11600,8.52529
"158",8.65,8.69,8.5,8.6,107900,8.48582
"159",8.66,8.89,8.5,8.75,88500,8.63383
"160",8.72,8.72,8.5,8.51,54900,8.39702
"161",8.53,8.6,8.5,8.51,60800,8.39702
"162",8.5,8.55,8.5,8.55,184100,8.43649
"163",8.51,8.72,8.51,8.58,66100,8.46609
"164",8.72,8.72,8.5,8.5,39800,8.38715
"165",8.72,8.72,8.5,8.5,30700,8.38715
"166",8.5,8.75,8.5,8.75,190200,8.63383
"167",8.75,8.75,8.6,8.7,154400,8.5845
"168",8.7,8.9,8.7,8.7,889700,8.5845
"169",8.6,8.89,8.5,8.5,396500,8.38715
"170",8.6,8.75,8.52,8.7,38800,8.5845
"171",8.7,9.1,8.7,8.83,20088000,8.71277
"172",9,9.58,9,9.15,31311800,9.02852
"173",9.2,9.2,9.05,9.1,3397200,8.97919
"174",9,9.3,9,9.11,3825200,8.98905
"175",9.08,9.25,8.7,9.06,286800,8.93972
"176",9.06,9.15,9,9.11,1405900,8.98905
"177",9.18,9.3,9.01,9.21,74900,9.08773
"178",9.1,9.5,9.1,9.24,139500,9.11733
"179",9.3,9.5,9.25,9.25,203200,9.12719
"180",9.25,9.3,9.25,9.25,369100,9.12719
"181",9.3,9.44,9.3,9.31,343200,9.1864
"182",9.3,9.3,9.01,9.01,402700,8.89038
"183",9.15,9.19,9,9,1650000,8.88051
"184",9.2,9.2,9.11,9.12,654800,8.99892
"185",9,9.5,9,9.31,535400,9.1864
"186",9.3,10.05,9.3,9.5,406300,9.37388
"187",9.3,10.04,9.3,9.6,526600,9.47255
"188",9.6,9.89,9.51,9.7,134000,9.57122
"189",9.75,10,9.75,9.91,473700,9.77843
"190",9.8,10.05,9.75,9.9,1531500,9.76857
"191",9.75,9.89,9.5,9.75,167600,9.62056
"192",9.75,9.9,9.75,9.75,281300,9.62056
"193",9.75,10.4,9.75,10.3,2758500,10.16326
"194",9.8,10.5,9.8,10.05,340300,9.91657
"195",10.05,10.25,10.05,10.25,46000,10.11392
"196",10.25,10.25,10.09,10.1,806700,9.96591
"197",10.1,10.1,9.88,9.88,64600,9.74883
"198",9.88,9.88,9.57,9.85,558700,9.71923
"199",9.85,9.99,9.6,9.92,195500,9.7883
"200",9.9,9.9,9.41,9.5,1958800,9.37388
"201",9.75,9.8,9.65,9.67,348300,9.54162
"202",9.73,9.87,9.58,9.6,60500,9.47255
"203",9.8,9.8,9.55,9.6,634400,9.47255
"204",9.13,9.8,9,9,222300,8.88051
"205",9.2,9.65,9.02,9.4,439900,9.2752
"206",9.4,9.7,9.39,9.65,460600,9.52188
"207",9.78,9.8,9.28,9.6,199900,9.47255
"208",9.45,9.6,9.45,9.49,94200,9.36401
"209",9.28,9.59,9.28,9.32,183400,9.19627
"210",9.32,9.33,9.28,9.29,681900,9.16666
"211",9.26,9.84,9.1,9.26,5277200,9.13706
"212",9.32,9.32,9.18,9.22,131900,9.09759
"213",9.21,9.48,9.21,9.33,3874700,9.20613
"214",9.33,9.33,9.33,9.33,0,9.20613
"215",9.33,9.33,9.33,9.33,0,9.20613
"216",9.33,9.35,9.18,9.31,210300,9.1864
"217",9.31,9.48,9.3,9.43,267300,9.30481
"218",9.48,9.69,9.4,9.42,262000,9.29494
"219",9.5,9.5,9.2,9.34,75000,9.216
"220",9.22,9.4,9.22,9.23,392900,9.23
"221",9.25,9.25,9.02,9.19,8268100,9.19
"222",9.2,9.7,9.2,9.6,10639100,9.6
"223",9.6,9.9,9.31,9.61,529400,9.61
"224",9.75,9.75,9.42,9.55,61200,9.55
"225",9.55,9.7,9.31,9.61,31300,9.61
"226",9.93,9.93,9.55,9.66,358000,9.66
"227",9.61,9.69,9.21,9.61,243800,9.61
"228",9.63,9.7,9.44,9.66,151500,9.66
"229",9.7,10,9.45,9.75,1952800,9.75
"230",9.75,9.75,9.75,9.75,0,9.75
"231",9.75,9.98,9.68,9.76,146500,9.76
"232",9.75,9.98,9.45,9.98,240700,9.98
"233",9.9,9.9,9.6,9.63,136100,9.63
"234",9.63,9.63,9.63,9.63,0,9.63
"235",9.61,9.72,9.6,9.6,115900,9.6
"236",9.6,9.67,9.6,9.67,15300,9.67
"237",9.7,9.7,9.59,9.62,59000,9.62
"238",9.6,9.8,9.55,9.8,99900,9.8
"239",9.65,9.75,9.5,9.5,247600,9.5
"240",9.5,9.67,9.5,9.51,87500,9.51
"241",9.48,9.59,9.48,9.51,94400,9.51
"242",9.56,9.75,9.5,9.5,397600,9.5
"243",9.35,9.5,9.25,9.25,212700,9.25
"244",9.35,9.45,9.35,9.37,80200,9.37
"245",9.45,9.5,9.45,9.5,22500,9.5
"246",9.5,9.6,9.4,9.6,489300,9.6
"247",9.53,9.64,9.53,9.6,317100,9.6
"248",9.75,9.75,9.54,9.55,591600,9.55
"249",9.8,9.8,9.55,9.6,107700,9.6
"250",9.5,9.6,9.5,9.6,134800,9.6
"251",9.8,9.83,9.58,9.73,356700,9.73
"252",9.65,9.75,9.6,9.75,654100,9.75
"253",9.75,9.82,9.71,9.74,306700,9.74
"254",9.75,9.83,9.64,9.71,255000,9.71
"255",9.64,9.84,9.63,9.7,526700,9.7
"256",9.67,9.68,9.3,9.57,879400,9.57
"257",9.53,9.8,9.5,9.6,63400,9.6
"258",9.65,9.65,9.52,9.55,149400,9.55
"259",9.55,9.55,9.49,9.5,960800,9.5
"260",9.51,9.65,9.5,9.5,64700,9.5
"261",9.5,9.59,9.31,9.47,470200,9.47
"262",9.4,9.57,9.36,9.4,244100,9.4
