"","LTD.Open","LTD.High","LTD.Low","LTD.Close","LTD.Volume","LTD.Adjusted"
"229",84.55,84.55,84.55,84.55,0,84.55
"230",83.88,83.88,83.88,83.88,0,83.88
"231",82.87,82.87,82.87,82.87,0,82.87
"232",82,82,82,82,0,82
"233",80.17,80.17,80.17,80.17,0,80.17
"234",80.17,80.17,80.17,80.17,0,80.17
"235",81.67,81.67,81.67,81.67,0,81.67
"236",81.19,81.19,81.19,81.19,0,81.19
"237",80.15,80.15,80.15,80.15,0,80.15
"238",79.87,79.87,79.87,79.87,0,79.87
"239",79.59,79.59,79.59,79.59,0,79.59
"240",80.82,80.82,80.82,80.82,0,80.82
"241",79.85,79.85,79.85,79.85,0,79.85
"242",78.49,78.49,78.49,78.49,0,78.49
"243",76.35,76.35,76.35,76.35,0,76.35
"244",76.94,76.94,76.94,76.94,0,76.94
"245",76.98,76.98,76.98,76.98,0,76.98
"246",78.59,78.59,78.59,78.59,0,78.59
"247",79.33,79.33,79.33,79.33,0,79.33
"248",78.75,78.75,78.75,78.75,0,78.75
"249",79.2,79.2,79.2,79.2,0,79.2
"250",78.42,78.42,78.42,78.42,0,78.42
"251",79.72,79.72,79.72,79.72,0,79.72
"252",78.6,78.6,78.6,78.6,0,78.6
"253",79.65,79.65,79.65,79.65,0,79.65
"254",79.6,79.6,79.6,79.6,0,79.6
"255",79.13,79.13,79.13,79.13,0,79.13
"256",78.86,78.86,78.86,78.86,0,78.86
"257",76.81,76.81,76.81,76.81,0,76.81
"258",76.18,76.18,76.18,76.18,0,76.18
"259",77.4,77.4,77.4,77.4,0,77.4
"260",76.75,76.75,76.75,76.75,0,76.75
"261",74.07,74.07,74.07,74.07,0,74.07
"262",74.15,74.15,74.15,74.15,0,74.15
