"","MNST.Open","MNST.High","MNST.Low","MNST.Close","MNST.Volume","MNST.Adjusted"
"187",139.369995,139.710007,135.820007,136.619995,1222200,136.619995
"188",137,138.990005,136.699997,137.210007,815000,137.210007
"189",136.270004,136.610001,135.169998,135.919998,802000,135.919998
"190",135.759995,136.830002,135.059998,135.960007,952300,135.960007
"191",137.360001,138.949997,136.820007,137.850006,637500,137.850006
"192",137.419998,137.889999,134.830002,135.479996,953300,135.479996
"193",136.639999,138.460007,136.270004,138.039993,956200,138.039993
"194",137.119995,137.889999,135.729996,136.289993,699600,136.289993
"195",136.360001,137.270004,133.919998,136.710007,1230000,136.710007
"196",136.740005,139.789993,135.869995,138.279999,964700,138.279999
"197",139.729996,140.580002,137.419998,137.520004,2205900,137.520004
"198",138.240005,138.850006,137.300003,137.940002,898900,137.940002
"199",139.220001,141.279999,138.690002,138.699997,839700,138.699997
"200",139.169998,139.839996,135.809998,136.029999,810500,136.029999
"201",135.080002,137.320007,134.580002,136.570007,638700,136.570007
"202",136.139999,139.279999,135.470001,137.990005,918900,137.990005
"203",138.169998,140.550003,136.710007,140.440002,845000,140.440002
"204",139.880005,140.330002,138.360001,138.399994,1144800,138.399994
"205",138.720001,138.720001,134.649994,136.649994,1244600,136.649994
"206",136.559998,137.330002,135.110001,135.660004,935000,135.660004
"207",134.779999,138.960007,134,137.720001,1397100,137.720001
"208",138.080002,140.240005,137.479996,137.520004,925000,137.520004
"209",137.610001,138.619995,136.800003,137.789993,828400,137.789993
"210",138.050003,138.630005,136.169998,137.600006,700100,137.600006
"211",137.220001,139.009995,136.660004,138.339996,606100,138.339996
"212",138.229996,138.660004,137.440002,137.779999,586900,137.779999
"213",137.009995,138.429993,135.350006,135.800003,770400,135.800003
"214",136.419998,138.289993,136.279999,137.690002,663300,137.690002
"215",137.389999,138.470001,136.779999,138,678900,138
"216",136.850006,137.800003,136.070007,136.910004,878100,136.910004
"217",138.649994,140.820007,138,139.580002,846300,139.580002
"218",140.25,141.5,139.080002,139.850006,1111900,139.850006
"219",140.039993,140.149994,138.899994,139.910004,858300,139.910004
"220",140,140.699997,139.039993,140.360001,816700,140.360001
"221",140.759995,142.529999,139.619995,141.779999,913500,141.779999
"222",142.710007,144.690002,142.559998,143.440002,1389500,143.440002
"223",142.279999,142.490005,139.210007,140.740005,1197100,140.740005
"224",140.070007,140.990005,137.5,139.160004,1378700,139.160004
"225",138.130005,139.350006,136.369995,137.110001,2504300,137.110001
"226",137.240005,141.839996,136.5,141.130005,1516800,141.130005
"227",140.729996,144,139.559998,141.850006,1486000,141.850006
"228",141.279999,142.139999,139.029999,140.630005,1461200,140.630005
"229",141,141.990005,139.210007,140.479996,1163300,140.479996
"230",140.960007,144.350006,140.509995,143.490005,1865500,143.490005
"231",134.589996,136.5,127.599998,128.470001,10066900,128.470001
"232",129.240005,139.020004,129,134.009995,4623100,134.009995
"233",133.100006,133.839996,131.130005,131.919998,2337400,131.919998
"234",131.589996,133,129.520004,129.940002,2194200,129.940002
"235",131.130005,132.770004,130.399994,132.639999,2202200,132.639999
"236",132.960007,133.559998,131.729996,132.320007,956500,132.320007
"237",131.630005,132.690002,130.820007,131.259995,901300,131.259995
"238",131.699997,132.850006,129.809998,130.300003,1018600,130.300003
"239",130.350006,130.350006,128.589996,129.240005,1154100,129.240005
"240",129.270004,130.479996,129.020004,130.210007,1050800,130.210007
"241",129.490005,130.179993,129.039993,129.410004,1120500,129.410004
"242",128.699997,129.380005,126.370003,127.660004,1288700,127.660004
"243",127.580002,130.880005,127.540001,130.039993,1941800,130.039993
"244",129.639999,130.25,128.830002,129.199997,826800,129.199997
"245",128.759995,129.550003,127.010002,127.279999,2298200,127.279999
"246",127.82,128.169998,126.370003,127.169998,1314100,127.169998
"247",126.730003,127.230003,125.559998,126.120003,1348300,126.120003
"248",126.139999,126.669998,125.239998,125.970001,1280500,125.970001
"249",125.300003,127.959999,125.300003,127.18,1375800,127.18
"250",126.889999,126.900002,125.419998,125.550003,957400,125.550003
"251",125.43,125.949997,124.529999,125.489998,1289700,125.489998
"252",125.260002,125.82,124.18,124.879997,839100,124.879997
"253",125.440002,127.519997,124.779999,127.029999,1442400,127.029999
