"","NBR.Open","NBR.High","NBR.Low","NBR.Close","NBR.Volume","NBR.Adjusted"
"81",21.85,22.059999,20.549999,21.51,9334700,21.219227
"82",21.549999,21.549999,20.83,21.15,5513300,20.864093
"83",21.280001,21.68,21.01,21.309999,4381100,21.02193
"84",21.120001,21.780001,20.959999,20.98,8349200,20.696391
"85",20.889999,20.969999,19.809999,20.85,9913100,20.568149
"86",20.629999,20.66,19.469999,19.76,9153400,19.492884
"87",19.77,19.77,18.790001,18.860001,8902400,18.60505
"88",18.780001,19.200001,17.52,17.57,10600600,17.332488
"89",17.709999,17.889999,16.57,16.82,12268400,16.592626
"90",16.799999,17.49,16.17,17.17,12258800,16.937895
"91",16.719999,17.76,16.5,17.530001,10997100,17.29303
"92",18.41,19.02,17.41,17.74,11456800,17.50019
"93",17.6,17.950001,17.48,17.870001,7369900,17.628434
"94",18.120001,18.73,18.059999,18.65,9232500,18.397888
"95",18.9,19.299999,18.15,18.200001,10912200,17.953973
"96",18.48,19.379999,18.059999,18.99,8922800,18.733292
"97",19.15,19.15,18.139999,18.73,9384100,18.476807
"98",18.26,18.34,17.379999,17.48,7247900,17.243704
"99",17.49,17.77,17.139999,17.620001,8912500,17.381813
"100",17.9,18.309999,17.6,17.92,6931500,17.677757
"101",17.719999,17.93,17.26,17.5,5018200,17.263434
"102",17.459999,17.860001,17.040001,17.85,6492400,17.608703
"103",17.99,18.469999,17.450001,17.620001,6922400,17.381813
"104",17.299999,17.370001,16.34,16.370001,7761100,16.148711
"105",16.67,17.190001,16.450001,16.65,9106600,16.424924
"106",16.49,17.200001,16.219999,17.17,6964400,16.937895
"107",17.139999,17.9,17.1,17.700001,7616600,17.460732
"108",17.950001,18.33,17.26,17.440001,6447000,17.204246
"109",17.52,17.629999,17.01,17.370001,5355300,17.135193
"110",17.190001,17.879999,17.059999,17.24,6223400,17.006949
"111",17.09,17.09,16.030001,16.620001,13337000,16.395331
"112",16.65,16.93,16.110001,16.59,8452600,16.365736
"113",16.559999,16.559999,15.88,16.200001,10464000,15.981009
"114",16.110001,16.33,15.8,16.059999,6786800,15.8429
"115",16.110001,16.110001,15.7,15.81,9914400,15.59628
"116",15.83,16.540001,15.79,16.370001,9035900,16.148711
"117",16.809999,17.33,16.65,16.91,7384800,16.68141
"118",16.889999,17.059999,16.34,16.4,5533100,16.178304
"119",16.389999,16.629999,15.55,15.6,8951500,15.389119
"120",15.53,15.61,15.01,15.07,8239400,14.866283
"121",14.23,14.24,12.87,13.12,8834200,12.942643
"122",13.3,13.52,12.42,12.91,13323600,12.735482
"123",12.82,13.7,12.8,12.88,11901200,12.705888
"124",13,13.69,12.8,13.3,10245500,13.12021
"125",12.98,13.29,12.84,12.95,9295000,12.774941
"126",12.88,13,12.11,12.21,12115000,12.044945
"127",11.87,11.87,11.23,11.26,11475300,11.16264
"128",11,11.69,10.98,11.52,9818200,11.420392
"129",11.09,11.09,10.61,10.85,12797100,10.756185
"130",10.8,11.09,10.48,10.51,9560400,10.419125
"131",10.36,10.48,9.96,10,11953200,9.913535
"132",10.3,10.43,9.91,10.28,15801600,10.191113
"133",10.15,11.32,9.98,10.51,16485600,10.419125
"134",10.58,11.97,10.51,11.49,16420100,11.390651
"135",12.1,12.39,11.44,11.89,15624400,11.787193
"136",11.98,13.69,11.9,13.63,21688700,13.512148
"137",13.33,13.39,12.54,13.1,14504900,12.986731
"138",13.12,13.27,12.38,12.68,9986300,12.570362
"139",12.55,12.61,11.9,12.42,5255300,12.31261
"140",12.6,13.02,12.44,12.82,7579600,12.709151
"141",12.9,13.48,12.65,13.01,10144300,12.897509
"142",12.87,13.38,12.52,12.9,8460000,12.788459
"143",12.69,13.24,12.35,12.98,10034600,12.867767
"144",12.82,13.09,12.37,12.49,10147800,12.382004
"145",12.01,12.08,11.66,11.97,11666800,11.866501
"146",11.81,12.2,11.44,11.66,13059900,11.559181
"147",11.77,11.82,11.02,11.25,12006900,11.152726
"148",11.44,11.72,11.17,11.29,10734900,11.19238
"149",11.3,11.43,10.79,11.07,10474300,10.974282
"150",10.81,10.88,10.27,10.45,7947300,10.359643
"151",10.41,10.65,10.2,10.41,9979300,10.319989
"152",10.29,10.53,9.96,10.36,14313700,10.270421
"153",10.65,10.77,9.98,10,11109700,9.913535
"154",10.04,10.68,10.01,10.63,13267500,10.538087
"155",10.5,10.52,10.05,10.22,9790600,10.131633
"156",10.24,10.9,10.22,10.86,13435800,10.766098
"157",10.89,11.07,10.57,10.97,11707700,10.875148
"158",10.94,11.52,10.82,11.12,11680900,11.02385
"159",11.15,11.44,11.02,11.41,8690800,11.311343
"160",11.35,12,11.29,11.88,9615700,11.777279
"161",11.77,11.77,10.32,10.49,17469600,10.399297
"162",10.5,10.66,10.13,10.61,10116100,10.51826
"163",10.47,11.71,10.3,11.51,15808600,11.410478
"164",11.65,12.01,11.33,12.01,15884500,11.906155
"165",12.5,13.04,12.43,12.66,14458600,12.550535
"166",12.32,12.53,11.81,12.15,11533100,12.044944
"167",12.39,12.61,12.22,12.47,8168500,12.362178
"168",12.66,12.87,12.23,12.41,8889400,12.302696
"169",12.52,13.15,12.49,12.83,10275800,12.719065
"170",12.7,12.7,11.87,12.2,11161300,12.094512
"171",11.83,12.2,11.7,12.03,6956800,11.925982
"172",12.37,12.63,12.06,12.21,6387800,12.104426
"173",12.39,12.78,12.21,12.73,8770600,12.619929
"174",12.62,13.32,12.29,13.3,10280100,13.185001
"175",13.03,13.71,12.92,13.67,15094100,13.551802
"176",13.19,14.09,12.92,13.9,17353500,13.779813
"177",13.84,13.99,13.41,13.52,9538600,13.403099
"178",13.3,13.33,12.78,12.85,8515900,12.738892
"179",13.04,13.16,12.55,12.87,8348200,12.758719
"180",12.89,13.1,12.67,13.01,6105000,12.897509
"181",12.85,12.9,12.4,12.49,7155100,12.382004
"182",12.61,13,12.56,12.81,7762400,12.699238
"183",12.81,12.82,12.35,12.54,7194900,12.431572
"184",12.25,13.09,12.25,12.61,11576500,12.500967
"185",12.67,12.86,12.39,12.84,9027900,12.728978
"186",12.81,13.2,12.69,13.13,9123900,13.016471
"187",12.92,13.28,12.68,12.69,7303200,12.638027
"188",12.52,12.84,12.32,12.38,7780900,12.329297
"189",12.14,12.3,11.6,11.6,10510000,11.552492
"190",11.6,12.21,11.48,12.18,9883500,12.130116
"191",12.22,12.33,11.87,11.98,6352100,11.930935
"192",11.85,11.98,11.58,11.96,6184400,11.911017
"193",11.78,11.96,11.41,11.92,8043000,11.871181
"194",11.75,12.25,11.74,12.17,7507900,12.120157
"195",12.01,13.14,11.89,12.94,10001700,12.887003
"196",12.57,12.95,12.54,12.79,7053400,12.737618
"197",12.96,13.39,12.9,13.15,59873100,13.096143
"198",13.26,13.78,13.15,13.17,13879000,13.116062
"199",13.41,13.53,12.92,13.24,9280500,13.185775
"200",13.43,13.96,13.31,13.58,9181700,13.524382
"201",13.77,14,13.26,13.63,10332000,13.574178
"202",13.45,13.48,12.96,13.3,7053700,13.245529
"203",13.48,13.8,13.3,13.64,8273100,13.584137
"204",13.61,13.84,13.39,13.65,6883100,13.594095
"205",13.74,14.3,13.7,14.08,9619300,14.022335
"206",14.01,14.62,13.9,14.07,9796000,14.012375
"207",14.24,14.96,14.23,14.87,9480700,14.809099
"208",14.81,15.09,14.64,14.88,7163300,14.819058
"209",14.94,15.04,14.16,14.21,10477600,14.151802
"210",14.34,14.82,14.3,14.6,9786500,14.540205
"211",14.73,14.84,14.52,14.8,4977500,14.739386
"212",14.71,14.97,14.57,14.77,5703300,14.709509
"213",14.92,15.41,14.88,15.33,6227900,15.267215
"214",15.51,15.92,15.39,15.5,12682100,15.436519
"215",15.43,15.82,15.23,15.33,6917800,15.267215
"216",15.27,15.27,14.54,14.72,9125200,14.659714
"217",14.72,15.1,14.67,14.88,6523400,14.819058
"218",14.87,14.92,14.3,14.37,8905200,14.311147
"219",15.07,15.19,14.6,15.05,13640200,14.988362
"220",15.18,15.74,15.17,15.57,9763500,15.506232
"221",15.51,15.55,14.93,15.04,6693300,14.978403
"222",15.41,15.82,15.38,15.44,7371800,15.376764
"223",15.38,15.79,15.34,15.7,6440400,15.6357
"224",15.58,16.77,15.58,16.469999,10084000,16.402546
"225",16.59,16.950001,16.309999,16.700001,10342400,16.631605
"226",16.6,16.84,16.18,16.5,7989100,16.432423
"227",16.57,16.639999,16.27,16.48,4813300,16.412505
"228",16.799999,16.99,16.299999,16.43,8164000,16.36271
"229",16.77,16.84,16.209999,16.33,7868500,16.26312
"230",16.23,16.25,15.57,15.68,7160300,15.615782
"231",15.96,16.34,15.54,16.309999,6620700,16.243201
"232",16.32,16.34,15.8,15.96,5862300,15.894635
"233",16.02,16.26,15.68,16.219999,5963300,16.153569
"234",16.34,16.370001,15.74,15.98,6631200,15.914553
"235",16.07,16.18,15.57,15.6,4736300,15.53611
"236",15.56,15.69,15.28,15.48,5809900,15.4166
"237",15.52,15.72,15.28,15.67,4639600,15.605823
"238",15.43,15.47,14.77,14.94,7226600,14.878812
"239",15.05,15.47,14.73,15.41,6435800,15.346887
"240",15.55,16.139999,15.5,15.84,6434100,15.775127
"241",15.62,15.9,15.53,15.71,3761700,15.645659
"242",15.39,15.42,14.51,14.76,8573600,14.69955
"243",14.63,14.87,14.39,14.82,7165200,14.759304
"244",14.7,14.76,14.31,14.53,5418200,14.470491
"245",14.59,15,14.51,14.75,7961100,14.689591
"246",14.75,14.78,14.4,14.45,5162400,14.390819
"247",14.6,15.25,14.6,15.13,6296600,15.068034
"248",14.98,15.34,14.82,14.93,4719200,14.868854
"249",14.71,14.88,14.61,14.65,4784800,14.59
"250",14.53,15.21,14.45,14.99,5264600,14.99
"251",14.96,15.27,14.62,14.7,4759800,14.7
"252",14.96,15.16,14.61,14.63,5463800,14.63
"253",14.99,15.24,14.9,15.13,6028800,15.13
