"","AMD.Open","AMD.High","AMD.Low","AMD.Close","AMD.Volume","AMD.Adjusted"
"109",2.78,2.79,2.72,2.73,8113500,2.73
"110",2.73,2.75,2.65,2.71,15873200,2.71
"111",2.71,2.74,2.65,2.66,10908400,2.66
"112",2.68,2.7,2.61,2.61,12368500,2.61
"113",2.62,2.69,2.61,2.67,12591600,2.67
"114",2.69,2.73,2.63,2.65,14967800,2.65
"115",2.68,2.68,2.61,2.63,10318400,2.63
"116",2.6,2.72,2.59,2.69,15043300,2.69
"117",2.72,2.77,2.71,2.77,11310700,2.77
"118",2.8,2.85,2.8,2.83,12292700,2.83
"119",2.84,2.86,2.76,2.83,11071600,2.83
"120",2.81,2.84,2.8,2.84,10553500,2.84
"121",2.85,2.85,2.77,2.79,5665000,2.79
"122",2.77,2.79,2.64,2.67,16025100,2.67
"123",2.69,2.71,2.61,2.68,12437700,2.68
"124",2.71,2.82,2.69,2.74,18256500,2.74
"125",2.75,2.75,2.66,2.69,14513400,2.69
"126",2.69,2.7,2.66,2.66,9479300,2.66
"127",2.65,2.68,2.52,2.58,25402100,2.58
"128",2.55,2.59,2.49,2.59,22914800,2.59
"129",2.58,2.58,2.46,2.48,17690100,2.48
"130",2.51,2.54,2.46,2.49,10151600,2.49
"131",2.46,2.55,2.35,2.52,21211600,2.52
"132",2.52,2.6,2.46,2.47,19636400,2.47
"133",2.44,2.53,2.42,2.5,17051600,2.5
"134",2.5,2.57,2.46,2.55,12521300,2.55
"135",2.58,2.59,2.54,2.55,12423900,2.55
"136",2.53,2.57,2.51,2.57,14701500,2.57
"137",2.55,2.68,2.52,2.66,15044900,2.66
"138",2.69,2.72,2.66,2.67,8274400,2.67
"139",2.63,2.7,2.63,2.65,4624000,2.65
"140",2.65,2.69,2.65,2.65,4029600,2.65
"141",2.64,2.66,2.63,2.66,8527000,2.66
"142",2.64,2.7,2.63,2.63,7783700,2.63
"143",2.64,2.7,2.64,2.67,11177900,2.67
"144",2.67,2.67,2.67,2.67,0,2.67
"145",2.67,2.7,2.64,2.66,8878200,2.66
"146",2.65,2.66,2.55,2.63,13912500,2.63
"147",2.63,2.65,2.54,2.58,12377600,2.58
"148",2.59,2.65,2.56,2.61,11136600,2.61
"149",2.63,2.64,2.58,2.63,8907600,2.63
"150",2.62,2.64,2.55,2.63,9979600,2.63
"151",2.64,2.68,2.6,2.66,17907400,2.66
"152",2.6,2.66,2.58,2.63,9989900,2.63
"153",2.62,2.65,2.49,2.52,17744000,2.52
"154",2.52,2.53,2.39,2.39,30192400,2.39
"155",2.39,2.43,2.19,2.24,56713300,2.24
"156",2.18,2.45,2.14,2.45,46530800,2.45
"157",2.42,2.5,2.37,2.47,36169600,2.47
"158",2.48,2.5,2.43,2.45,11107200,2.45
"159",2.44,2.64,2.44,2.61,36571300,2.61
"160",2.58,2.84,2.56,2.7,51805800,2.7
"161",2.71,2.75,2.6,2.63,24786200,2.63
"162",2.63,2.69,2.51,2.61,17789200,2.61
"163",2.56,2.6,2.51,2.57,12908200,2.57
"164",2.69,2.75,2.65,2.67,25688700,2.67
"165",2.7,2.8,2.68,2.76,22592300,2.76
"166",2.78,2.92,2.76,2.85,34829300,2.85
"167",2.88,3.37,2.87,3.31,73355600,3.31
"168",3.2,3.21,3,3.03,38110700,3.03
"169",3.03,3.07,2.93,3.04,24133800,3.04
"170",3.07,3.1,3.01,3.04,13995100,3.04
"171",3.03,3.1,3,3.07,11741100,3.07
"172",3.08,3.15,3.05,3.12,12975000,3.12
"173",3.13,3.18,3.11,3.15,9627600,3.15
"174",3.16,3.17,3.08,3.11,8678100,3.11
"175",3.11,3.14,3.06,3.08,7286100,3.08
"176",3.06,3.08,3.01,3.06,6573600,3.06
"177",3.03,3.13,3.02,3.06,10666700,3.06
"178",3.05,3.1,3.03,3.06,6323500,3.06
"179",3.06,3.12,3.02,3.11,10916300,3.11
"180",3.08,3.14,3.06,3.1,6151300,3.1
"181",3.1,3.13,3.06,3.08,8680900,3.08
"182",3.07,3.12,3.07,3.11,7150200,3.11
"183",3.13,3.23,3.11,3.21,15638100,3.21
"184",3.2,3.23,3.13,3.14,8644000,3.14
"185",3.14,3.14,3.01,3.05,12122100,3.05
"186",3.1,3.1,2.98,2.98,11472300,2.98
"187",2.96,2.99,2.83,2.92,16785200,2.92
"188",2.92,2.98,2.9,2.93,12405900,2.93
"189",2.97,2.98,2.92,2.92,10312400,2.92
"190",2.92,2.95,2.8,2.84,11772800,2.84
"191",2.76,2.79,2.72,2.76,13847200,2.76
"192",2.74,2.78,2.71,2.75,8098100,2.75
"193",2.75,2.81,2.75,2.76,6132900,2.76
"194",2.75,2.8,2.74,2.77,7742200,2.77
"195",2.77,2.82,2.72,2.75,11385200,2.75
"196",2.76,2.78,2.73,2.74,8819400,2.74
"197",2.76,2.8,2.74,2.8,10764800,2.8
"198",2.81,2.85,2.8,2.84,7450200,2.84
"199",2.85,2.85,2.76,2.79,8724500,2.79
"200",2.78,2.79,2.56,2.63,26985300,2.63
"201",2.59,2.7,2.53,2.65,28286300,2.65
"202",2.7,2.8,2.63,2.72,16844100,2.72
"203",2.73,2.76,2.66,2.7,8557500,2.7
"204",2.66,2.7,2.65,2.68,7025000,2.68
"205",2.66,2.75,2.65,2.69,11240500,2.69
"206",2.66,2.7,2.65,2.69,7047600,2.69
"207",2.68,2.73,2.68,2.7,8178500,2.7
"208",2.7,2.74,2.69,2.7,5738100,2.7
"209",2.68,2.74,2.68,2.71,4349000,2.71
"210",2.69,2.75,2.69,2.72,7127600,2.72
"211",2.74,2.78,2.73,2.76,6184800,2.76
"212",2.76,2.8,2.73,2.78,8391500,2.78
"213",2.77,2.79,2.65,2.67,13364100,2.67
"214",2.7,2.74,2.65,2.7,15281400,2.7
"215",2.72,2.94,2.7,2.87,28617300,2.87
"216",2.54,2.58,2.45,2.58,53185300,2.58
"217",2.56,2.57,2.45,2.49,29164300,2.49
"218",2.53,2.53,2.35,2.35,31279400,2.35
"219",2.35,2.36,2.25,2.28,27634900,2.28
"220",2.28,2.36,2.26,2.33,15130400,2.33
"221",2.36,2.38,2.3,2.3,15001200,2.3
"222",2.3,2.36,2.29,2.34,13486900,2.34
"223",2.36,2.37,2.31,2.31,11448700,2.31
"224",2.3,2.33,2.27,2.28,11870200,2.28
"225",2.28,2.31,2.26,2.26,11465300,2.26
"226",2.26,2.31,2.25,2.31,11652500,2.31
"227",2.31,2.36,2.3,2.31,9653000,2.31
"228",2.34,2.34,2.25,2.28,12363500,2.28
"229",2.29,2.31,2.24,2.29,18467000,2.29
"230",2.32,2.32,2.26,2.32,15009100,2.32
"231",2.33,2.36,2.3,2.31,9744400,2.31
"232",2.31,2.35,2.31,2.32,10042700,2.32
"233",2.32,2.35,2.3,2.35,9999100,2.35
"234",2.36,2.38,2.35,2.37,7247700,2.37
"235",2.38,2.39,2.33,2.33,8851100,2.33
"236",2.33,2.38,2.32,2.32,8036500,2.32
"237",2.35,2.36,2.33,2.35,4671500,2.35
"238",2.36,2.37,2.28,2.28,9582100,2.28
"239",2.3,2.33,2.28,2.32,6800100,2.32
"240",2.31,2.35,2.28,2.28,7105400,2.28
"241",2.3,2.31,2.27,2.28,12814600,2.28
"242",2.27,2.28,2.22,2.22,10000900,2.22
"243",2.24,2.28,2.2,2.28,17413600,2.28
"244",2.28,2.33,2.27,2.27,11913700,2.27
"245",2.27,2.32,2.25,2.28,7726200,2.28
"246",2.29,2.3,2.25,2.25,6778000,2.25
"247",2.26,2.3,2.25,2.3,7101100,2.3
"248",2.3,2.32,2.28,2.28,8041800,2.28
"249",2.28,2.33,2.26,2.33,11482600,2.33
"250",2.31,2.34,2.29,2.33,7347900,2.33
"251",2.31,2.33,2.29,2.31,6207600,2.31
"252",2.35,2.36,2.28,2.29,12273900,2.29
"253",2.31,2.35,2.3,2.32,8158300,2.32
