"","AAPL.Open","AAPL.High","AAPL.Low","AAPL.Close","AAPL.Volume","AAPL.Adjusted"
"130",112.260002,113.800003,111.339996,111.620003,41401700,110.718738
"131",110.459999,111.870003,109.580002,109.730003,56028100,108.843999
"132",110.699997,111.599998,106.349998,108.230003,67218100,107.356111
"133",106.370003,110.160004,106.260002,106.75,60790700,105.888058
"134",107.120003,109.839996,106.82,109.410004,53411800,108.526583
"135",111.870003,112.650002,110.660004,112.650002,59006200,111.74042
"136",112.260002,113.239998,111.660004,111.779999,88429800,110.877442
"137",112.160004,113.489998,111.970001,112.940002,45167500,112.028079
"138",113.230003,113.330002,112.459999,112.540001,26028400,111.631308
"139",112.580002,112.709999,112.010002,112.010002,14479600,111.105588
"140",112.099998,114.519997,112.010002,113.989998,33721000,113.069597
"141",113.790001,114.769997,113.699997,113.910004,27598900,112.990248
"142",113.639999,113.919998,112.110001,112.519997,29881500,111.611465
"143",112.82,113.129997,110.209999,110.379997,41403400,109.488745
"144",111.389999,111.440002,107.349998,109.330002,53204600,108.447227
"145",108.290001,108.650002,105.410004,106.25,64285500,105.392095
"146",106.540001,107.43,104.629997,106.260002,65797100,105.402016
"147",107.199997,108.199997,106.699997,107.75,40105900,106.879983
"148",109.230003,112.150002,108.699997,111.889999,59364500,110.986554
"149",112.669998,113.25,110.209999,112.010002,53699500,111.105588
"150",112.599998,112.629997,108.800003,109.25,49650800,108.367871
"151",111.43,112.800003,108.910004,110.220001,67091900,109.330041
"152",109.040001,110.489998,108.5,109.800003,48956600,108.913434
"153",110,110.059998,106.660004,106.82,60014000,105.957492
"154",107.029999,107.580002,105.199997,105.989998,78513300,105.134192
"155",107.839996,108.970001,106.5,108.720001,49899900,107.842152
"156",108.949997,111.059998,108.269997,109.550003,48575900,108.665452
"157",110.260002,112.470001,109.720001,112.400002,53796400,111.492439
"158",112.300003,113.75,111.529999,112.980003,46464800,112.067757
"159",113.739998,114.360001,112.800003,113.099998,55615000,112.186784
"160",112.419998,112.480003,109.029999,109.139999,95568700,108.258759
"161",117.629997,118.120003,115.309998,115.309998,146477100,114.378938
"162",116.32,119.190002,115.559998,118.900002,84436400,117.939955
"163",118.400002,120,116.849998,117.160004,83745500,116.214007
"164",118.050003,119.169998,116.080002,118.629997,62739100,117.672131
"165",118.5,119.089996,117.610001,118.650002,51915700,117.691974
"166",118.5,120.510002,118.309998,119.559998,70149700,118.594622
"167",120.019997,120.230003,119.25,119.940002,42246200,119.441089
"168",120.019997,120.25,118.449997,118.93,43372000,118.435288
"169",118.550003,119.839996,118.43,119.720001,38889800,119.222003
"170",120.169998,122.150002,120.160004,122.019997,62008500,121.512431
"171",122.769997,124.919998,122.5,124.879997,73561800,124.360535
"172",126.059998,127.480003,125.57,126.459999,74474500,125.933965
"173",127.279999,127.279999,125.650002,127.080002,54272200,126.551389
"174",127.489998,128.880005,126.919998,127.830002,63152400,127.298269
"175",127.629997,128.779999,127.449997,128.720001,44891700,128.184566
"176",128.479996,129.029999,128.330002,128.449997,37362400,127.915685
"177",128.619995,129.5,128.050003,129.5,48948400,128.96132
"178",130.020004,133,129.660004,133,70974100,132.446761
"179",132.940002,133.600006,131.169998,132.169998,69228100,131.620212
"180",131.559998,131.600006,128.149994,128.789993,74711700,128.254267
"181",128.789993,130.869995,126.610001,130.419998,91287500,129.877492
"182",130,130.570007,128.240005,128.460007,62014800,127.925653
"183",129.25,130.279999,128.300003,129.089996,48096700,128.553022
"184",128.960007,129.520004,128.089996,129.360001,37816300,128.821903
"185",129.100006,129.559998,128.320007,128.539993,31666300,128.005307
"186",128.580002,128.75,125.760002,126.410004,56517100,125.884177
"187",128.399994,129.369995,126.260002,126.599998,72842100,126.073382
"188",127.959999,129.570007,125.059998,127.139999,88528500,126.611137
"189",126.410004,127.220001,123.800003,124.510002,68856600,123.992079
"190",124.75,124.769997,122.110001,122.239998,68939000,121.731517
"191",122.309998,124.900002,121.629997,124.449997,48362700,123.932324
"192",124.400002,125.400002,122.580002,123.589996,51827300,123.0759
"193",123.879997,124.949997,122.870003,124.949997,35874300,124.430244
"194",125.900002,127.32,125.650002,127.040001,51023100,126.511554
"195",127,129.160004,126.370003,128.470001,65270900,127.935606
"196",128.75,129.25,127.400002,127.5,45809500,126.96964
"197",128.25,128.399994,125.160004,125.900002,68695100,125.376297
"198",127.120003,127.849998,126.519997,127.209999,37709700,126.680845
"199",127.230003,128.039993,126.559998,126.690002,32842300,126.163011
