"","RHT.Open","RHT.High","RHT.Low","RHT.Close","RHT.Volume","RHT.Adjusted"
"39",58.360001,58.73,58.02,58.610001,807800,58.610001
"40",58.200001,58.84,58.029999,58.439999,975800,58.439999
"41",58,58.73,57.82,58.279999,799400,58.279999
"42",58.68,58.700001,58.119999,58.380001,765900,58.380001
"43",58.43,59.02,58.23,58.810001,891700,58.810001
"44",59.200001,59.400002,58.849998,59.169998,591700,59.169998
"45",59.209999,59.360001,58.889999,59.259998,840100,59.259998
"46",59.43,59.82,59.310001,59.779999,391700,59.779999
"47",59.889999,59.939999,59.509998,59.830002,683600,59.830002
"48",60,60.389999,59.27,59.849998,1041400,59.849998
"49",60.25,60.990002,60.119999,60.970001,981400,60.970001
"50",60.959999,62.689999,60.860001,62.540001,1997600,62.540001
"51",62.290001,62.389999,61.529999,61.68,1280300,61.68
"52",61.77,62.119999,61.470001,61.57,931400,61.57
"53",61.639999,62.580002,61.279999,62.110001,1509700,62.110001
"54",62.380001,62.400002,61.220001,61.349998,992800,61.349998
"55",61.490002,62.189999,61.360001,62.029999,766000,62.029999
"56",62.040001,62.110001,60.93,61.07,1033100,61.07
"57",60.790001,60.880001,59.810001,60.650002,1372400,60.650002
"58",60.93,61.439999,60.41,60.919998,1199000,60.919998
"59",61.119999,61.43,60.799999,61.299999,925300,61.299999
"60",61.66,61.84,61.41,61.52,852300,61.52
"61",61.549999,61.740002,60.98,61.200001,846600,61.200001
"62",61.18,61.369999,60.75,61.07,1078800,61.07
"63",61.189999,61.98,60.919998,61.389999,851300,61.389999
"64",61.48,61.48,60.73,60.810001,776700,60.810001
"65",61.209999,61.529999,60.639999,61.290001,687600,61.290001
"66",61.060001,61.799999,60.720001,61.68,999200,61.68
"67",61.48,61.52,60.439999,60.529999,1548000,60.529999
"68",60.57,60.700001,59.310001,59.689999,1120800,59.689999
"69",59.549999,60.75,59.150002,60.73,1080600,60.73
"70",60.610001,61.529999,60.279999,61.080002,1021300,61.080002
"71",61.130001,61.400002,60.450001,60.66,2241700,60.66
"72",59.689999,59.91,55.619999,57.93,11974800,57.93
"73",57.849998,57.959999,56.299999,56.669998,2202700,56.669998
"74",56.5,56.880001,56.209999,56.330002,1828600,56.330002
"75",56.290001,57.080002,56.009998,56.900002,1313300,56.900002
"76",56.709999,56.98,55.75,55.860001,1141300,55.860001
"77",56.060001,56.080002,55.16,55.439999,1736000,55.439999
"78",55.009998,55.68,54.849998,55.490002,1402600,55.490002
"79",55.52,56.439999,55.360001,56.150002,1816900,56.150002
"80",56.560001,57,56.110001,56.470001,3654400,56.470001
"81",56.900002,57.450001,56.23,57.380001,4829000,57.380001
"82",57.599998,59.23,57.599998,58.139999,3117500,58.139999
"83",58.32,59.310001,57.759998,58.139999,1794600,58.139999
"84",57.57,57.57,56.57,56.68,2090800,56.68
"85",56.75,58.630001,56.380001,58.560001,2031200,58.560001
"86",58.41,59.23,57.889999,58.049999,2394700,58.049999
"87",57.91,58.580002,55.439999,55.5,3126200,55.5
"88",55.43,55.669998,54.189999,54.220001,2111200,54.220001
"89",54.5,54.93,54.09,54.310001,1740600,54.310001
"90",53.380001,55.130001,52.529999,54.869999,2732100,54.869999
"91",53.790001,55.82,53.73,54.93,1978200,54.93
"92",55.41,56.549999,55.34,55.689999,1669900,55.689999
"93",55.240002,56.419998,54.939999,56.34,1401200,56.34
"94",56.59,57.5,56.349998,57.130001,1434500,57.130001
"95",56.77,56.77,54.709999,54.799999,2586800,54.799999
"96",55.279999,56,55.150002,55.509998,1619400,55.509998
"97",55.77,56.189999,55.200001,56.02,1490000,56.02
"98",55.900002,56.380001,55.630001,56.169998,1096200,56.169998
"99",56.369999,57.389999,56.240002,57.369999,1155900,57.369999
"100",57.310001,57.669998,56.650002,56.849998,1112000,56.849998
"101",56.75,58.43,56.73,58.25,1835600,58.25
"102",59.09,59.240002,58.740002,58.919998,1522300,58.919998
"103",58.93,59.560001,58.66,59.150002,1763200,59.150002
"104",58.849998,59.369999,58.73,59.150002,1683400,59.150002
"105",59.52,59.610001,58.990002,59.59,1282200,59.59
"106",59.68,60.849998,59.580002,60.740002,1714300,60.740002
"107",60.84,61.299999,60.52,61.299999,1756900,61.299999
"108",61.310001,61.57,61,61.41,1531500,61.41
"109",61.560001,61.599998,60.799999,61.299999,1548700,61.299999
"110",61.139999,61.66,61.07,61.41,1221800,61.41
"111",61.43,61.990002,60.77,61.130001,1562900,61.130001
"112",61.080002,62.470001,61.049999,62.360001,1918300,62.360001
"113",62.139999,63.330002,61.939999,63,2740800,63
"114",63.029999,63.619999,63,63.220001,1595700,63.220001
"115",63.09,63.09,62.040001,62.939999,1391600,62.939999
"116",62.389999,63.139999,62.060001,62.790001,1065200,62.790001
"117",63.540001,63.689999,61.849998,62.25,1804500,62.25
"118",62.27,62.540001,61.990002,62.34,1014700,62.34
"119",62.34,62.66,61.889999,62,1132000,62
"120",62.099998,62.209999,61.759998,62.099998,803600,62.099998
"121",62.200001,62.77,61.900002,62.150002,723000,62.150002
"122",62,62.509998,61.48,61.509998,1285700,61.509998
"123",61.77,62.16,61.139999,61.43,1438300,61.43
"124",61.369999,62.540001,61.369999,62.139999,1220700,62.139999
"125",62.119999,62.32,61.580002,61.68,1789700,61.68
"126",61.720001,61.900002,61.330002,61.68,1178500,61.68
"127",61.07,61.400002,59.959999,60.060001,2145500,60.060001
"128",59.259998,59.759998,58.75,59.099998,2859900,59.099998
"129",59.09,59.48,58.599998,58.700001,2167300,58.700001
"130",58.84,59.59,58.279999,58.419998,1749100,58.419998
"131",58.25,58.889999,57.869999,57.869999,1812400,57.869999
"132",58.310001,59.299999,58.189999,58.950001,2608100,58.950001
"133",58.330002,59.549999,58,58.23,2617900,58.23
"134",58.549999,59.799999,58.099998,59.48,2012200,59.48
"135",60.689999,61.75,60.34,61.5,4581100,61.5
"136",67.379997,70.129997,67,68.040001,10488700,68.040001
"137",68.150002,69.309998,68.110001,68.889999,2454200,68.889999
"138",69.459999,70.660004,69.260002,70.449997,1899300,70.449997
"139",70.470001,71.75,70.459999,70.919998,911600,70.919998
"140",70.93,71.769997,70.529999,71.089996,898400,71.089996
"141",70.940002,71.07,69.849998,70.290001,1356000,70.290001
"142",70.110001,70.779999,69.349998,69.480003,1196000,69.480003
"143",69.529999,69.980003,69.059998,69.139999,1175600,69.139999
"144",69.440002,69.809998,68.330002,68.989998,1131200,68.989998
"145",68.650002,68.800003,67.779999,68.089996,1409500,68.089996
"146",68.540001,69.309998,66.669998,67.5,2678700,67.5
"147",67.989998,68.849998,67.650002,68.800003,1840500,68.800003
"148",69.160004,70.279999,68.669998,69.029999,2634500,69.029999
"149",69.18,69.419998,68.519997,68.739998,2013600,68.739998
"150",69.019997,69.25,67.440002,67.620003,1479100,67.620003
"151",68,69.040001,66.849998,67.440002,1460000,67.440002
"152",65.440002,66.599998,64.889999,66.379997,2052000,66.379997
"153",66.790001,66.830002,64.300003,64.370003,2133300,64.370003
"154",64.279999,65.349998,64.279999,65.190002,2075500,65.190002
"155",65.419998,65.699997,64.480003,65.150002,1399400,65.150002
"156",64.739998,65.349998,64.199997,64.790001,1242700,64.790001
"157",64.93,66.120003,64.010002,65.919998,1095800,65.919998
"158",66,66.720001,65.82,66.059998,1262600,66.059998
"159",66.050003,66.510002,65.349998,66.269997,831100,66.269997
"160",65.260002,65.910004,64.300003,65.080002,1181900,65.080002
"161",65.790001,65.800003,64.400002,64.660004,1574100,64.660004
"162",64.639999,65.790001,64,65.75,1622900,65.75
"163",65.019997,65.669998,63.68,63.790001,1460800,63.790001
"164",64.029999,64.290001,62.43,64.239998,1194600,64.239998
"165",64.480003,65,63.799999,64.989998,1221700,64.989998
"166",64.739998,65.339996,64.379997,64.790001,1310900,64.790001
"167",64.959999,65.480003,64.550003,65.309998,795300,65.309998
"168",65.379997,65.800003,64.760002,64.970001,1195400,64.970001
"169",64.610001,65.529999,64.540001,64.900002,1435500,64.900002
"170",65.379997,65.940002,65.160004,65.739998,834100,65.739998
"171",65.75,67.639999,65.599998,67.349998,1727400,67.349998
"172",67.790001,68.510002,67.349998,67.900002,1807200,67.900002
"173",68.059998,68.639999,67.760002,68.470001,897500,68.470001
"174",68.349998,68.769997,67.860001,68.599998,1231300,68.599998
"175",68.620003,69.480003,68.160004,69.230003,1205200,69.230003
"176",69.190002,69.889999,68.900002,69.470001,1059200,69.470001
"177",69.300003,70.529999,69.099998,70.459999,1168800,70.459999
"178",70.269997,70.459999,68.419998,68.540001,1128200,68.540001
"179",68.389999,69.050003,67.889999,68.889999,894400,68.889999
"180",68.879997,70.050003,68.550003,69.760002,1227700,69.760002
"181",70.040001,70.550003,68.889999,69.400002,1186900,69.400002
"182",69.290001,69.779999,69.050003,69.120003,792700,69.120003
"183",69,69.709999,68.510002,69.660004,672500,69.660004
"184",69.25,69.370003,68.290001,68.5,787800,68.5
"185",68.139999,68.139999,66.959999,67.190002,2078600,67.190002
"186",67.449997,68.059998,67.199997,67.980003,1080500,67.980003
"187",67.779999,68.169998,66.400002,66.580002,795400,66.580002
"188",66.669998,67.139999,66.43,66.830002,676500,66.830002
"189",66.059998,66.160004,65.129997,65.129997,969200,65.129997
"190",65.029999,65.720001,65,65.120003,713600,65.120003
"191",65.129997,66.400002,65.010002,66.339996,970000,66.339996
"192",66.269997,66.639999,65.68,66.150002,575900,66.150002
"193",66.260002,67.32,66.080002,67.300003,810400,67.300003
"194",67.010002,67.459999,66.779999,67.089996,819900,67.089996
"195",66.849998,67.5,65.720001,67.07,1233500,67.07
"196",67.230003,69.5,66.959999,69.18,1905200,69.18
"197",69.650002,69.970001,69.269997,69.5,2113800,69.5
"198",69.790001,69.940002,69.029999,69.470001,1213600,69.470001
"199",69.669998,70.529999,69.389999,69.400002,1649300,69.400002
"200",69.370003,69.389999,66.809998,68.449997,4159400,68.449997
"201",72.699997,76.699997,72.279999,75.360001,10824600,75.360001
"202",75,76.599998,74.610001,76.519997,2785100,76.519997
"203",77,77.82,76.309998,76.690002,1840300,76.690002
"204",76.129997,76.559998,75.75,75.75,1873600,75.75
"205",75.540001,75.919998,74.669998,75.389999,2057000,75.389999
"206",75.199997,75.449997,74.650002,75.099998,1066000,75.099998
"207",74.809998,75.830002,74.330002,75.370003,1113800,75.370003
"208",75.550003,76.110001,75.230003,75.379997,726800,75.379997
"209",75.309998,75.809998,74.870003,75.040001,1086400,75.040001
"210",75.07,75.559998,74.360001,75.480003,1049900,75.480003
"211",75.139999,75.919998,74.900002,75.75,873000,75.75
"212",75.480003,76.5,74.970001,75.029999,898800,75.029999
"213",75.209999,75.440002,74.580002,74.919998,1046500,74.919998
"214",75.279999,76.220001,75.040001,75.900002,1345300,75.900002
"215",75.580002,75.690002,74.75,74.809998,1327100,74.809998
"216",74.160004,74.279999,73.339996,73.93,1382900,73.93
"217",74.120003,74.519997,73.830002,74.459999,723600,74.459999
"218",74.800003,75.760002,74.57,75.220001,868900,75.220001
"219",75.5,76.07,74.860001,75.760002,859600,75.760002
"220",75.260002,77.080002,75.059998,76.849998,1065600,76.849998
"221",76.980003,77.07,76.480003,76.830002,768400,76.830002
"222",76.889999,77.550003,76.290001,76.57,1005500,76.57
"223",76.550003,76.989998,76.040001,76.559998,870700,76.559998
"224",76.199997,76.849998,75.260002,76.419998,1017800,76.419998
"225",75.830002,76.459999,74.919998,75.260002,1849300,75.260002
"226",75.220001,75.889999,74.870003,75.360001,1231000,75.360001
"227",75.330002,75.5,74.540001,74.779999,1313100,74.779999
"228",74.459999,75.309998,74.230003,75,1527600,75
"229",75.230003,75.410004,74.309998,74.75,696800,74.75
"230",74.480003,75.150002,74.269997,74.760002,719700,74.760002
"231",75.300003,76.209999,75.080002,75.980003,700300,75.980003
"232",75.830002,76.940002,75.559998,76.379997,1229800,76.379997
"233",75.709999,76.5,75.07,76.139999,942400,76.139999
"234",76.190002,76.889999,75.800003,76.589996,805100,76.589996
"235",76.870003,78.260002,76.599998,78.010002,1212600,78.010002
"236",78.099998,78.400002,77.239998,77.769997,1025200,77.769997
"237",77.449997,78.690002,77.269997,78.489998,883300,78.489998
"238",78.400002,78.629997,77.809998,78.139999,1189400,78.139999
"239",78.139999,78.870003,78.010002,78.480003,534400,78.480003
"240",78.57,78.93,77.839996,78.830002,816800,78.830002
"241",78.760002,79.349998,78.440002,78.809998,626800,78.809998
"242",78.440002,78.75,77.010002,77.279999,1048800,77.279999
"243",77.309998,78.620003,77.120003,78.480003,908100,78.480003
"244",78.32,78.599998,77.699997,77.779999,902900,77.779999
"245",77.589996,78.099998,76.849998,77.269997,1815500,77.269997
"246",77.559998,77.669998,76.260002,76.739998,1395200,76.739998
"247",76.489998,78,76.32,77.510002,1299000,77.510002
"248",77.870003,78.230003,77.379997,77.830002,549900,77.830002
"249",77.169998,77.779999,76.769997,77.029999,761800,77.029999
"250",76.900002,78.199997,76.32,77.900002,1797000,77.900002
"251",78.220001,79.139999,78,78.239998,1634600,78.239998
"252",78.379997,78.470001,77.129997,77.370003,1060500,77.370003
"253",77.910004,78.5,77.5,78.410004,1739700,78.410004
