"","K.Open","K.High","K.Low","K.Close","K.Volume","K.Adjusted"
"86",61.099998,61.52,60.43,60.669998,2005900,59.295002
"87",60.799999,61.25,60.27,60.299999,2106000,58.933388
"88",60.330002,60.59,59.700001,59.700001,1853500,58.346988
"89",59.959999,60.75,59.84,60.189999,1106700,58.825881
"90",59.599998,60.09,59.09,59.91,2376800,58.552228
"91",59.099998,60.060001,58.830002,59.75,1698500,58.395854
"92",60.169998,61.139999,59.830002,60.919998,1836200,59.539336
"93",60.450001,61.77,60.450001,61.759998,2130400,60.360299
"94",61.779999,61.889999,61.560001,61.700001,2436900,60.301661
"95",62.34,62.5,61.790001,62.040001,1447200,60.633955
"96",62.41,62.470001,61.630001,61.740002,1549700,60.340755
"97",61.799999,62.139999,61.599998,61.939999,1507800,60.536219
"98",61.939999,62.450001,61.66,62.099998,1975700,60.692593
"99",62.419998,62.75,62.200001,62.75,1512600,61.327863
"100",62.599998,62.669998,61.439999,62.470001,2793400,61.05421
"101",62.27,64.82,62.099998,64.040001,4149900,62.588628
"102",64.5,64.739998,63.630001,63.959999,2069600,62.510439
"103",63.639999,64.269997,63.639999,64.099998,1528200,62.647266
"104",63.93,64.360001,63.52,63.700001,1668100,62.256334
"105",64.300003,64.57,63.669998,63.84,1231500,62.39316
"106",64,64.550003,63.779999,64.529999,1553500,63.067521
"107",63.73,63.830002,63.099998,63.66,2308200,62.217239
"108",63.57,63.990002,63.130001,63.900002,1719500,62.451802
"109",64,64.040001,63.580002,63.75,899200,62.3052
"110",63.380001,63.73,63.150002,63.68,1377400,62.236786
"111",63.560001,63.98,63.560001,63.799999,1033000,62.354066
"112",63.799999,64.019997,63.639999,63.810001,1025500,62.363841
"113",63.990002,65.160004,63.91,65.139999,2046500,63.663697
"114",65.199997,66.190002,65.110001,65.599998,2805000,64.113271
"115",65.629997,65.980003,65.379997,65.889999,2128800,64.396699
"116",65.599998,66.199997,65.459999,65.639999,1683200,64.152365
"117",66.230003,66.639999,65.290001,65.470001,3784900,63.98622
"118",65.610001,65.739998,64.980003,65.120003,1667500,63.644153
"119",65.059998,65.489998,65,65.139999,1267500,63.663697
"120",64.809998,65,64.699997,64.93,1382300,63.939425
"121",65.239998,66.309998,65.239998,66.25,1476400,65.239287
"122",65.849998,66.459999,65.800003,66.089996,1628900,65.081724
"123",66.099998,66.739998,66.07,66.580002,2486800,65.564254
"124",66.410004,66.620003,66.040001,66.379997,1774800,65.367301
"125",66.360001,66.389999,65.779999,66.089996,2158200,65.081724
"126",65.989998,66.400002,65.889999,66.400002,1146700,65.387
"127",66.339996,66.43,65.870003,66.080002,1891400,65.071882
"128",65.900002,66.260002,65.550003,65.82,2234900,64.815847
"129",65.720001,66.07,64.739998,64.790001,1555700,63.801562
"130",65.360001,67.400002,65.059998,67.099998,3847300,66.076318
"131",66.699997,66.959999,65.599998,65.629997,2100700,64.628743
"132",65.800003,65.82,64.019997,64.089996,2602600,63.112236
"133",64.150002,65.620003,64.010002,64.099998,1695200,63.122086
"134",64.449997,65.050003,63.669998,64.839996,1615400,63.850794
"135",65.389999,66.050003,65.389999,66.019997,1817800,65.012792
"136",66.260002,67.110001,65.940002,66.82,2510100,65.800591
"137",66.75,67.029999,66.480003,66.849998,1302300,65.830132
"138",66.940002,67.440002,66.75,67.239998,923300,66.214181
"139",67.339996,67.349998,67.019997,67.019997,376200,65.997536
"140",67.080002,67.239998,66.900002,67.010002,378400,65.987694
"141",66.900002,67.25,66.559998,66.959999,581000,65.938454
"142",66.870003,67.050003,66.580002,66.620003,460600,65.603645
"143",66.309998,66.720001,65.339996,65.440002,1266100,64.441647
"144",65.629997,66.139999,65.089996,65.480003,846800,64.481037
"145",65.239998,65.370003,64.139999,64.260002,1360200,63.279649
"146",64.529999,65.089996,64.209999,64.449997,2198100,63.466745
"147",65.099998,66.089996,65.07,66.010002,1683400,65.00295
"148",66.480003,67.25,66.370003,67.209999,1422800,66.18464
"149",67.150002,67.150002,66.339996,66.43,1350900,65.416541
"150",65.980003,66.449997,65.360001,65.480003,1361800,64.481037
"151",65.949997,66.57,65.419998,65.970001,1374200,64.96356
"152",65.629997,66.889999,65.279999,66.730003,2631200,65.711967
"153",66.730003,68.290001,66.730003,67.739998,2281900,66.706553
"154",67.519997,68.300003,67.5,68.120003,2242600,67.080761
"155",68.169998,69.010002,67.790001,68.970001,2512900,67.917792
"156",68.709999,69.150002,68.279999,69.029999,5279500,67.976874
"157",69.190002,69.889999,68.959999,69.839996,2258500,68.774514
"158",69.440002,69.459999,68.620003,68.68,2104800,67.632215
"159",69.080002,69.080002,68.190002,68.879997,1431500,67.829161
"160",68.290001,68.860001,68.059998,68.43,1346300,67.386029
"161",68.629997,68.860001,67.290001,67.379997,1712700,66.352045
"162",67.279999,67.449997,66.290001,67.339996,1896100,66.312654
"163",67.059998,67.150002,65.489998,65.580002,2828800,64.57951
"164",65.650002,66.5,65.010002,66.470001,1388900,65.455932
"165",66.730003,66.970001,66.269997,66.650002,1458200,65.633186
"166",66.559998,67.32,66.389999,66.639999,1520300,65.623336
"167",67.099998,67.18,66.660004,67.029999,1306500,66.007386
"168",66.739998,66.849998,65.980003,66.25,1796500,65.239287
"169",66.059998,66.489998,65.699997,65.800003,1526100,64.796155
"170",66.150002,66.529999,65.900002,66.309998,1442900,65.298369
"171",66.410004,66.779999,65.980003,66.300003,1272700,65.288527
"172",62.869999,64.300003,62.490002,63.299999,5481700,62.334291
"173",62.599998,63.299999,61.82,63.200001,4007500,62.235819
"174",62.84,63.389999,62.330002,63.209999,2788800,62.245664
"175",62.860001,63.98,62.779999,63.790001,2179300,62.816818
"176",63.66,64.169998,63.560001,63.790001,2395300,62.816818
"177",63.740002,64.389999,63.5,64.089996,1550300,63.112236
"178",63.93,64.400002,63.75,64.290001,1851800,63.30919
"179",63.970001,64.239998,63.470001,64.029999,1879900,63.053154
"180",64.029999,64.980003,63.91,64.779999,2253300,63.791712
"181",64.75,64.940002,64.529999,64.669998,2219200,63.68339
"182",64.519997,65.029999,64.459999,64.480003,2067500,63.496293
"183",64.370003,64.709999,64.150002,64.290001,1274100,63.30919
"184",64.040001,64.82,63.68,64.760002,2825800,63.77202
"185",64.449997,64.900002,64.269997,64.720001,5147300,64.218535
"186",64.720001,64.93,63.810001,64.050003,2686800,63.553728
"187",63.639999,63.77,62.259998,62.470001,2811100,61.985968
"188",62.549999,62.869999,62.380001,62.599998,1617000,62.114958
"189",62.330002,62.77,61.950001,62.610001,2485100,62.124883
"190",62.599998,62.619999,61.77,61.970001,1824600,61.489842
"191",61.98,62.389999,61.98,62.310001,1582500,61.827208
"192",62.169998,62.349998,61.709999,62.150002,1461000,61.668448
"193",62.310001,62.849998,62.130001,62.84,2043800,62.3531
"194",62.330002,62.529999,62,62.25,1787100,61.767672
"195",62.200001,63.200001,61.529999,63.060001,2169500,62.571397
"196",62.799999,63.259998,62.619999,62.810001,1956500,62.323334
"197",62.98,64.080002,62.98,64.080002,4427200,63.583494
"198",63.919998,64.279999,63.779999,63.950001,1594200,63.4545
"199",64,64.099998,62.93,62.939999,1764000,62.452324
"200",63.529999,63.98,62.630001,63.150002,5476600,62.6607
"201",63.450001,63.52,62.459999,63,2513600,62.51186
"202",63.110001,63.869999,63,63.84,1859700,63.345352
"203",63.900002,65.5,63.66,65.5,3614800,64.99249
"204",65.139999,66.379997,65.040001,65.949997,3946800,65.439
"205",65.690002,66.25,64.989998,66.18,3601500,65.667221
"206",65.910004,66.639999,65.809998,66.379997,2442100,65.865669
"207",66.550003,67,66.029999,66.029999,3972100,65.518382
"208",65.949997,66.18,65.620003,65.739998,1605800,65.230628
"209",65.839996,65.839996,65.230003,65.589996,1950700,65.081789
"210",65.510002,65.650002,65.25,65.489998,1631900,64.982565
"211",65.660004,65.980003,65.379997,65.730003,1544100,65.220711
"212",65.75,65.839996,65.410004,65.459999,967700,64.952799
"213",65.43,65.870003,65.260002,65.580002,1692100,65.071872
"214",65.699997,66.040001,65.110001,65.169998,1387200,64.665045
"215",65.099998,65.360001,64.800003,65.050003,1251600,64.54598
"216",64.620003,64.790001,64.120003,64.389999,1496100,63.89109
"217",64.839996,65.470001,64.199997,64.559998,1624600,64.059771
"218",64.620003,64.82,63.77,63.860001,1753500,63.365198
"219",64.040001,64.290001,63.73,63.98,1156800,63.484267
"220",63.860001,64.110001,63.610001,63.849998,934500,63.355273
"221",64.010002,64.199997,63.619999,63.73,1196900,63.236204
"222",63.669998,63.880001,63.290001,63.610001,1437800,63.117135
"223",63.66,63.82,63.34,63.669998,1573900,63.176667
"224",63.610001,63.959999,63.299999,63.380001,1239900,62.888917
"225",63.470001,63.540001,63.029999,63.330002,1332300,62.839305
"226",63.419998,63.970001,63.389999,63.889999,1613900,63.394964
"227",63.869999,64.43,63.849998,64.129997,2199100,63.633102
"228",64.93,65.080002,62.59,63.18,3151900,62.690466
"229",63.389999,63.5,62.459999,63.009998,1651400,62.521781
"230",63.02,63.68,62.950001,63.560001,1268100,63.067523
"231",64,64.370003,63.57,63.610001,1567600,63.117135
"232",63.34,64.199997,63.34,63.779999,1421600,63.285816
"233",63.490002,63.709999,63.200001,63.669998,1340400,63.176667
"234",63.689999,64.099998,63.490002,63.73,1386500,63.236204
"235",64.129997,64.75,63.900002,64.580002,1815100,64.07962
"236",64.620003,65.639999,64.540001,65.230003,3109300,64.724585
"237",65.080002,65.080002,64.5,64.639999,1738500,64.139153
"238",64.790001,64.790001,64.080002,64.190002,1741200,63.692642
"239",64.309998,64.610001,64.209999,64.230003,1390400,63.732333
"240",64.139999,64.339996,63.790001,63.959999,1022400,63.464421
"241",63.919998,64.160004,63.66,63.68,978600,63.186592
"242",63.540001,63.66,62.869999,63,1132000,62.51186
"243",63.150002,63.299999,62.919998,63.240002,1426800,62.750003
"244",62.619999,62.84,62.240002,62.560001,1697400,62.560001
"245",62.709999,62.889999,62.400002,62.77,1991900,62.77
"246",62.599998,62.990002,62.130001,62.549999,1833300,62.549999
"247",62.32,62.450001,62.040001,62.169998,2204400,62.169998
"248",62.259998,62.389999,61.740002,62.27,3584400,62.27
"249",62.009998,62.450001,61.939999,62.259998,3106800,62.259998
"250",61.959999,62.110001,61.189999,61.450001,1584100,61.450001
"251",61.470001,61.66,61.130001,61.310001,1727600,61.310001
"252",61.459999,62.099998,61.299999,61.509998,1483000,61.509998
"253",61.75,62.18,61.52,62.049999,1111100,62.049999
