"","CFN.Open","CFN.High","CFN.Low","CFN.Close","CFN.Volume","CFN.Adjusted"
"134",58.94,59.11,58.84,58.86,1563400,58.86
"135",58.98,59.01,58.69,58.72,2737400,58.72
"136",58.73,58.88,58.635,58.65,2632200,58.65
"137",58.73,58.97,58.67,58.9,2919300,58.9
"138",59,59.305,58.94,59.29,2464300,59.29
"139",59.48,59.48,59.13,59.15,3529000,59.15
"140",59.18,59.29,59.18,59.21,1494600,59.21
"141",59.33,59.33,59.08,59.14,1408900,59.14
"142",59.14,59.33,59.11,59.18,981900,59.18
"143",59.18,59.18,59.18,59.18,0,59.18
"144",59.21,59.45,59.21,59.26,1614700,59.26
"145",59.21,59.34,59.21,59.26,2190000,59.26
"146",59.25,59.51,59.25,59.4,1441000,59.4
"147",59.51,59.62,59.31,59.34,2219900,59.34
"148",59.34,59.34,59.34,59.34,0,59.34
"149",59.53,59.6,59.34,59.43,1608200,59.43
"150",59.41,59.62,59.25,59.51,2416700,59.51
"151",59.52,59.6,59.365,59.44,3336900,59.44
"152",59.58,59.76,59.55,59.75,2276500,59.75
"153",59.9,60.01,59.84,59.96,2077600,59.96
"154",59.94,60.04,59.8,59.84,1458600,59.84
"155",59.9,60,59.695,59.79,1815900,59.79
"156",59.94,59.99,59.53,59.67,2425700,59.67
"157",59.55,59.64,59.39,59.59,3104400,59.59
"158",59.76,59.76,59.47,59.48,4219400,59.48
"159",59.36,59.55,59.34,59.5,3591800,59.5
"160",59.5,59.5,59.5,59.5,0,59.5
"161",59.68,59.74,59.36,59.55,1633800,59.55
"162",59.59,59.76,59.52,59.68,2481800,59.68
"163",59.74,59.99,59.65,59.98,1749900,59.98
"164",60.08,60.08,59.7,59.77,2138400,59.77
"165",59.75,59.82,59.6,59.81,1475000,59.81
"166",59.68,59.81,59.59,59.74,1587300,59.74
"167",59.89,59.89,59.5,59.56,2071200,59.56
"168",59.59,59.6,59.36,59.6,1606600,59.6
"169",59.47,59.56,59.26,59.3,2383000,59.3
"170",59.43,59.57,59.14,59.53,2292000,59.53
"171",59.41,59.65,59.41,59.55,1493400,59.55
"172",59.56,59.64,59.41,59.47,1905300,59.47
"173",59.61,60.06,59.61,59.95,1610300,59.95
"174",59.85,60.03,59.73,59.78,2046800,59.78
"175",59.74,59.745,59.54,59.61,1114200,59.61
"176",59.7,59.77,59.62,59.7,2887500,59.7
"177",59.66,59.86,59.62,59.72,1576700,59.72
"178",59.8,59.95,59.73,59.8,2018300,59.8
"179",59.78,59.86,59.68,59.81,2765300,59.81
"180",59.81,59.81,59.81,59.81,0,59.81
"181",59.72,59.87,59.72,59.81,2072400,59.81
"182",59.94,59.94,59.76,59.82,1487600,59.82
"183",59.78,59.83,59.73,59.8,2859800,59.8
"184",59.77,59.97,59.72,59.96,2196400,59.96
"185",59.89,60.17,59.89,60.17,3041600,60.17
"186",60.17,60.27,60.02,60.22,1676900,60.22
"187",60.25,60.25,60.14,60.22,1316000,60.22
"188",60.31,60.36,60.145,60.21,1286000,60.21
"189",60.18,60.27,60.05,60.08,1587900,60.08
"190",60.07,60.24,60.07,60.2,2012100,60.2
"191",60.14,60.2,59.99,60.13,1663400,60.13
"192",60.04,60.32,60.01,60.25,1583800,60.25
"193",60.25,60.395,60.23,60.34,1009700,60.34
"194",60.26,60.31,59.95,60,1633500,60
"195",60.01,60.08,59.95,60.05,1001500,60.05
"196",59.95,59.96,59.73,59.73,5561800,59.73
"197",59.7,59.83,59.61,59.63,6107900,59.63
"198",59.84,60.05,59.69,60.04,2456900,60.04
"199",59.95,60.05,59.84,59.97,3537700,59.97
"200",60,60.17,59.91,59.91,18647400,59.91
