"","SLB.Open","SLB.High","SLB.Low","SLB.Close","SLB.Volume","SLB.Adjusted"
"52",109.959999,109.989998,108.900002,109.440002,4642900,107.310911
"53",109.059998,109.709999,108.059998,109.029999,4162600,106.908883
"54",109.669998,110.5,109.330002,110.220001,4497400,108.075735
"55",110.75,111.879997,110.68,111.019997,4827000,108.860167
"56",111.480003,112,110.519997,111.040001,4339700,108.879782
"57",110.839996,110.839996,110.010002,110.160004,3515800,108.016905
"58",110.290001,110.379997,109.169998,109.639999,4594700,107.898806
"59",109.629997,109.660004,107.519997,108.059998,6242700,106.343897
"60",109.25,109.93,108.110001,108.169998,4598900,106.45215
"61",108.239998,108.269997,105.089996,105.639999,7410500,103.96233
"62",106.029999,106.790001,104.889999,106.760002,5971700,105.064546
"63",105.919998,105.989998,103.769997,104.489998,7e+06,102.830592
"64",104.669998,105.419998,103.260002,103.970001,6221300,102.318853
"65",104.07,104.43,102.75,104.269997,5709500,102.614085
"66",103.220001,104.900002,103,104.449997,5823100,102.791226
"67",103.730003,104.080002,102.089996,102.220001,7383100,100.596645
"68",102.029999,103.599998,101.849998,103.050003,5737800,101.413466
"69",102.870003,105.849998,102.860001,104.959999,6676400,103.293129
"70",105.410004,105.82,103.099998,103.309998,8185000,101.669331
"71",103.779999,104.940002,103.32,104.470001,6514100,102.810913
"72",104.57,105.18,103.209999,103.209999,9520200,101.570921
"73",103.239998,103.239998,101.239998,101.720001,5644100,100.104586
"74",101.809998,103.07,101.25,102.089996,4969000,100.468705
"75",102.209999,102.779999,100.300003,102.07,6742900,100.449026
"76",103.389999,103.43,100.370003,101.010002,7353300,99.405862
"77",101.349998,103.620003,100.849998,103.459999,6353800,101.816951
"78",102.25,103.639999,101.620003,103.279999,7040600,101.639809
"79",103.629997,104.379997,101.32,101.690002,8082800,100.075063
"80",101.410004,102.400002,98.379997,98.849998,8674100,97.280161
"81",98.139999,98.449997,96.800003,97.779999,10864100,96.227154
"82",98.239998,98.449997,96.550003,97.900002,6807000,96.345251
"83",98.379997,99.82,97.629997,98.559998,6058800,96.994766
"84",98.18,100.18,97.550003,98.230003,9573500,96.670012
"85",97.699997,98.529999,95.75,98.440002,10521000,96.876677
"86",97.959999,97.970001,94.699997,94.919998,14844800,93.412573
"87",94.099998,94.970001,92.07,93.07,13965100,91.591955
"88",92.830002,94.230003,90.739998,90.93,13965300,89.485941
"89",91.099998,92.519997,88.209999,88.959999,14772500,87.547225
"90",87.900002,89.779999,86.199997,89.209999,18304100,87.793255
"91",86.75,91.220001,86,90.639999,15422000,89.200545
"92",97.309998,98.440002,93.080002,93.970001,17948500,92.477663
"93",94.519997,94.940002,93.75,94.599998,8209900,93.097656
"94",96.959999,97.75,95.669998,97.75,9180700,96.197632
"95",98.18,98.660004,95.93,95.989998,8312300,94.465581
"96",98.209999,99.400002,97.07,98.260002,7767700,96.699535
"97",98.199997,98.199997,96.279999,97.239998,7489500,95.695729
"98",95.309998,95.309998,92.449997,93.519997,15256800,92.034805
"99",94.230003,96.75,93.540001,96.510002,8307400,94.977327
"100",97.870003,98.660004,96.449997,97.410004,7375200,95.863035
"101",96.879997,97.910004,96.029999,97.620003,5104000,96.069699
"102",96.800003,98.800003,96.540001,98.660004,8293900,97.093184
"103",98.019997,99.18,96.160004,96.519997,7732700,94.987162
"104",95.519997,95.519997,93.440002,94.160004,9568200,92.664648
"105",94.580002,97.150002,94.150002,96.639999,7443600,95.105259
"106",95.5,97.080002,94.099998,96.980003,9507500,95.439864
"107",97.389999,99.93,97.269997,98.730003,7826000,97.162072
"108",99.449997,100.540001,98.18,98.290001,7972900,96.729057
"109",98.370003,98.489998,96.75,98.360001,6111500,96.797945
"110",97.75,99.690002,97.239998,97.43,6679000,95.882714
"111",96.610001,97.470001,92.720001,94.849998,18116000,93.343685
"112",96.260002,96.849998,94.419998,95.32,11825000,93.806223
"113",95.25,96.5,94.940002,95.629997,8499600,94.111297
"114",96.669998,96.669998,94.949997,95.279999,5971400,93.766857
"115",95.120003,95.75,93.93,95,6553200,93.491305
"116",95,96.25,94.660004,96.139999,8198700,94.6132
"117",98.080002,98.75,96.800003,97.870003,9293500,96.315729
"118",98.709999,99.209999,97.970001,98.449997,10324700,96.886512
"119",98.809998,99.019997,95.050003,95.199997,10729600,93.688126
"120",94.830002,94.910004,92.300003,92.809998,9882600,91.336082
"121",86.300003,86.68,83.25,85.949997,18876100,84.585025
"122",84.529999,85.82,82.660004,84.839996,18083200,83.883032
"123",85.059998,86.099998,83.830002,85.220001,13740300,84.25875
"124",85.769997,87.169998,85.099998,86.760002,11464800,85.78138
"125",86.080002,88.160004,85.400002,87.43,9000100,86.443821
"126",87.209999,88.160004,86,87.160004,8983600,86.17687
"127",86.040001,86.18,83.910004,84.209999,11306800,83.26014
"128",83.309998,85.529999,82.900002,85.470001,10595600,84.50593
"129",83.989998,84.059998,82.129997,83.169998,11166500,82.23187
"130",82.949997,85.199997,82.75,83.010002,12332600,82.073679
"131",82.050003,82.849998,79.730003,80,17708800,79.097629
"132",80.239998,81.830002,79.839996,79.900002,11164500,78.998758
"133",78.870003,83.410004,78.470001,80.190002,16034600,79.285488
"134",81.169998,84.43,80.25,82.879997,13900600,81.945141
"135",85.25,85.519997,82.07,84.230003,13255300,83.279919
"136",84.309998,87.720001,84.019997,87.519997,15493800,86.532802
"137",87.339996,87.800003,85.900002,86.75,10563800,85.771491
"138",87.099998,87.690002,86.260002,87.32,8377900,86.335061
"139",86.760002,87.639999,85.599998,87.059998,3624100,86.077992
"140",87.550003,88.029999,86.519997,87.129997,4835500,86.147202
"141",87.400002,88.089996,86.559998,87.349998,5872800,86.364722
"142",87.059998,87.199997,86.050003,86.440002,6116200,85.46499
"143",85.720001,86.43,84.800003,85.410004,5346800,84.446609
"144",84.809998,86.199997,84.620003,85.669998,5500800,84.703671
"145",84.400002,84.400002,82.589996,83.349998,10039400,82.40984
"146",82.940002,83.360001,80.660004,81.720001,9758400,80.798229
"147",82.550003,82.660004,80.529999,81.709999,7951600,80.788339
"148",82.489998,83.290001,81.940002,82.699997,7911600,81.767171
"149",83.279999,83.370003,80.580002,81.220001,7649800,80.303869
"150",79.129997,79.129997,76.730003,78.050003,13257100,77.169627
"151",78,79,77.029999,77.779999,11931600,76.902668
"152",75.989998,78.559998,75.599998,78.389999,12226700,77.505788
"153",78.739998,79.160004,76.43,76.629997,10918900,75.765638
"154",77.480003,81.519997,77.470001,81.330002,17587500,80.412628
"155",80.379997,80.940002,78.900002,80.480003,10948600,79.572218
"156",80.419998,82.639999,79.599998,82.209999,9178800,81.2827
"157",82.940002,83.120003,80.709999,82.139999,9040000,81.21349
"158",81.93,83.199997,81.599998,82,8032800,81.075069
"159",82.059998,84.099998,81.550003,83.68,7060500,82.73612
"160",82.720001,85,82.720001,84.550003,7332800,83.596309
"161",84.199997,84.239998,80.529999,80.75,10041700,79.839169
"162",81.160004,82.059998,79.519997,81.900002,9037300,80.976199
"163",81.339996,83.82,80.769997,82.389999,9947200,81.46067
"164",83.989998,84.75,82.5,84.639999,9426800,83.68529
"165",85.989998,88.080002,85.870003,87.080002,15913300,86.097771
"166",85.75,85.870003,83.639999,84.550003,12071700,83.596309
"167",85.639999,86.440002,84.910004,85.919998,7749700,84.950851
"168",86.82,87.419998,85.800003,86.160004,8530800,85.18815
"169",86.160004,86.870003,85.529999,85.82,7614600,85.347267
"170",85.779999,86.099998,84.029999,85.220001,7217600,84.750573
"171",83.900002,85.330002,83.5,84.730003,6630800,84.263275
"172",86.160004,87.400002,85.480003,85.959999,6561100,85.486495
"173",87.370003,88.529999,86.959999,88.379997,7562900,87.893163
"174",88.43,89,87.279999,88.889999,7958300,88.400356
"175",88.120003,88.330002,87.349998,87.739998,7182100,87.256689
"176",85.239998,87.580002,85.120003,86.980003,6764800,86.500881
"177",86.669998,87.239998,85.25,85.879997,8123200,85.406934
"178",84.790001,86.190002,84.389999,85.540001,6033800,85.06881
"179",86.589996,86.730003,84.529999,85.309998,8430700,84.840074
"180",85.389999,85.639999,84.550003,85.209999,5597000,84.740626
"181",84.480003,84.620003,83.269997,83.889999,8485400,83.427898
"182",83.970001,84.760002,83.970001,84.160004,7836000,83.696415
"183",83.690002,84.860001,83.160004,84.620003,7725600,84.15388
"184",84.860001,85.5,83.970001,84.910004,6774800,84.442283
"185",85.059998,85.290001,83.760002,85.139999,8229900,84.671012
"186",84.339996,85.080002,83.919998,84.82,5798200,84.352775
"187",84.019997,84.480003,82.900002,83.110001,9674500,82.652196
"188",82.870003,83.389999,82.050003,82.360001,6296400,81.906327
"189",81.32,82.449997,81.239998,81.309998,8140600,80.862108
"190",81.440002,81.919998,81.139999,81.269997,6157000,80.822327
"191",81.459999,81.639999,80.769997,80.940002,7630200,80.494151
"192",80.239998,80.900002,79.669998,80.419998,8836700,79.977011
"193",79.910004,81.400002,79.669998,81.260002,8265500,80.812388
"194",80.349998,81.089996,79.989998,80.470001,7954600,80.026738
"195",80.059998,82.660004,79.389999,82.050003,11542100,81.598037
"196",80.730003,81.900002,80.610001,81.010002,8425600,80.563765
"197",81.610001,83.18,81.540001,82.370003,14383800,81.916274
"198",82.489998,83.57,82,82,8932100,81.548309
"199",81.900002,82.510002,81.660004,81.849998,6446100,81.399134
"200",82.650002,84.120003,82.32,83.290001,8243100,82.831204
"201",84,84.599998,82.760002,83.160004,8150500,82.701923
"202",83.010002,83.470001,82.32,83.309998,5729100,82.851091
"203",83.879997,84.730003,83.410004,84.480003,6537900,84.014652
"204",83.720001,84.260002,83.349998,83.440002,7304700,82.98038
"205",84,84.800003,83.599998,84.279999,7808400,83.815749
"206",84.089996,85.43,83.889999,84.389999,6039400,83.925144
"207",84.959999,87.040001,84.809998,85.910004,8092500,85.436775
"208",86.139999,86.989998,85.25,86.269997,7175700,85.794785
"209",86.559998,87.080002,85.260002,86.120003,8739200,85.645617
"210",86.379997,88.93,86.260002,88.449997,9207300,87.962777
"211",88.779999,89.370003,88.199997,89.110001,7315700,88.619145
"212",88.980003,89.300003,87.760002,88.019997,7936900,87.535145
"213",88.589996,89.339996,88.349998,88.800003,12053100,88.310855
"214",89.459999,92,88.900002,92,13207800,91.493225
"215",91.25,93.260002,90.230003,91.889999,17143200,91.38383
"216",94.110001,94.889999,91.540001,92.860001,20002600,92.348488
"217",92.580002,93.800003,92.209999,92.470001,8938000,91.960637
"218",92.459999,92.68,90.610001,91.290001,6850200,90.787137
"219",91.870003,92.459999,91.110001,92.160004,5910200,91.652347
"220",92.32,93.940002,92.32,93.050003,6192500,92.537444
"221",92.510002,92.690002,91.160004,91.610001,7604000,91.105374
"222",92.18,92.589996,91.449997,92.330002,7422500,91.821409
"223",92.089996,92.800003,91.480003,92.660004,4480500,92.149593
"224",92.580002,94.400002,91.900002,94.279999,8134100,93.760665
"225",94.230003,95.129997,93.43,94.610001,8166600,94.088849
"226",94.480003,94.889999,92.809998,93,6926700,92.487717
"227",94.18,94.18,92.379997,92.980003,4993700,92.46783
"228",93.660004,94.410004,92.029999,92.040001,7349800,91.533006
"229",92.709999,93.57,91.550003,92.269997,6665500,91.761734
"230",91.610001,91.68,89.57,90.230003,8670100,89.732978
"231",91.32,92.559998,90.129997,92.43,6078900,91.920857
"232",93.389999,93.410004,91.669998,91.769997,7335800,91.264489
"233",91.379997,92.940002,91.139999,92.470001,5088100,91.960637
"234",93.120003,93.169998,91.769997,92.510002,5913600,92.000418
"235",92.800003,93.25,91.900002,92.169998,5266400,91.662287
"236",91.849998,92.690002,91.169998,92.139999,4640500,91.632453
"237",91.959999,93,91.650002,92.75,4023600,92.239094
"238",91.739998,91.739998,89.940002,90.559998,6213000,90.061155
"239",90.699997,91.18,89.82,90.75,4476300,90.250111
"240",91.360001,92.669998,90.779999,92.029999,5117000,91.523059
"241",91.459999,92.349998,90.769997,92.019997,4104200,91.513112
"242",91.120003,91.690002,90.25,90.739998,6106700,90.240164
"243",90.089996,91.690002,90.089996,91,5406800,90.498734
"244",90.660004,90.839996,89.720001,90.650002,4400300,90.150663
"245",91.019997,91.650002,90.760002,90.769997,6089700,90.269997
"246",90.190002,91.050003,89.68,90.650002,5003300,90.650002
"247",91.059998,92.610001,90.75,91.5,5205800,91.5
"248",91.279999,92.470001,91.080002,91.360001,3959400,91.360001
"249",90.839996,91.339996,90,90.07,6392900,90.07
"250",89.690002,91.720001,89.540001,90.169998,7061700,90.169998
"251",89.830002,90.669998,89.139999,89.370003,7067900,89.370003
"252",90.160004,90.629997,89.790001,89.860001,5023100,89.860001
"253",90.980003,91.830002,90.730003,91.629997,6016500,91.629997
