"","MPC.Open","MPC.High","MPC.Low","MPC.Close","MPC.Volume","MPC.Adjusted"
"109",94,95.349998,93.150002,94.629997,5707400,46.600536
"110",94.470001,95.589996,94.139999,95.010002,5957400,46.78767
"111",94.349998,94.779999,92.360001,93.550003,6880200,46.068693
"112",94.080002,94.720001,92.349998,92.379997,7134400,45.492524
"113",91.870003,93.650002,91.699997,92.510002,9014800,45.804458
"114",92.919998,94.639999,92.339996,93.879997,8154400,46.482784
"115",94,94.769997,93.089996,93.800003,8838600,46.443176
"116",93.75,95.580002,93.629997,95.160004,6156200,47.116553
"117",96.43,97.940002,95.970001,96.919998,8871000,47.987979
"118",96.68,97.370003,95.900002,96.120003,4756400,47.591877
"119",96.580002,96.900002,95.120003,95.239998,5576600,47.156161
"120",95.32,96.519997,95.07,95.669998,3290400,47.369066
"121",93.260002,93.260002,89.650002,90.089996,7651600,44.606241
"122",89.400002,91.199997,89.25,90.790001,6449400,44.952834
"123",90.720001,95.110001,90.5,94.139999,8941600,46.611518
"124",94.18,97.120003,94.18,96.019997,6801000,47.542361
"125",97,97.099998,94.480003,96.669998,5024800,47.864196
"126",96.360001,97.150002,91.980003,92.150002,9278000,45.626211
"127",91.309998,92.290001,88.269997,88.720001,7801600,43.927916
"128",87.68,88.889999,86.110001,88.760002,14885200,43.947722
"129",87.489998,88.489998,83.650002,85.059998,10562600,42.115739
"130",85.25,86.739998,83.699997,83.879997,8591000,41.531486
"131",80.480003,85.160004,80.480003,83.199997,7719400,41.194797
"132",83.480003,84.209999,81.160004,81.370003,7761000,40.288713
"133",80.75,84.160004,80,82.199997,6132200,40.699668
"134",81.769997,85.440002,81.220001,84.730003,7400800,41.952349
"135",86.169998,86.379997,81.580002,84.029999,6876400,41.605756
"136",84.660004,87.32,84.120003,87.199997,8382800,43.175317
"137",86.459999,87.599998,85.610001,87.290001,5983400,43.21988
"138",88.129997,88.839996,87.269997,88.379997,3625400,43.75957
"139",87.949997,89.110001,87.209999,88.620003,2568000,43.878404
"140",88.849998,90.739998,88.669998,89.720001,3188400,44.423046
"141",90.110001,91.230003,89.959999,91.059998,4696200,45.086518
"142",90.5,91.660004,90.400002,90.639999,4362200,44.878564
"143",90.959999,91.110001,90.18,90.260002,3204200,44.690416
"144",89.550003,91.870003,89.550003,91.639999,5359400,45.373694
"145",90.849998,91.300003,87.849998,89.089996,10492800,44.111112
"146",89.129997,90.330002,87.220001,88.209999,5604600,43.675399
"147",89.639999,89.639999,87.639999,88.940002,7012000,44.036845
"148",89.970001,91.489998,89.5,91.029999,7000200,45.071665
"149",90.870003,91.169998,88.360001,88.489998,5370600,43.814034
"150",87.449997,88.150002,85.010002,85.419998,8258200,42.293986
"151",84.940002,86.43,80.220001,80.860001,12575200,40.036195
"152",80.010002,80.040001,75.959999,77.629997,14329400,38.436925
"153",77.629997,78.239998,75.239998,76.849998,9460400,38.050724
"154",77.220001,78.690002,77.040001,77.559998,9135800,38.402266
"155",77.459999,80.739998,77.459999,80.419998,7446200,39.818337
"156",80.470001,81.75,80.019997,80.949997,7159200,40.080755
"157",81.699997,84.269997,80.949997,83.970001,7920400,41.576049
"158",84.169998,88.5,83.57,87.160004,9278000,43.155515
"159",87.150002,88.57,87.150002,88.190002,6269200,43.665498
"160",87.489998,88.93,87.370003,88.68,4695800,43.90811
"161",89,90.57,87.889999,89.290001,8432200,44.21014
"162",90.309998,91.239998,88.190002,90.010002,5209200,44.566634
"163",89.019997,93.389999,88.809998,92.589996,9757800,45.844066
"164",92.849998,93.989998,90.970001,93.940002,6282800,46.512494
"165",94.080002,95.82,93.279999,95.82,8428600,47.443337
"166",96.010002,97.209999,94.349998,96.190002,9119600,47.626536
"167",96.940002,98.25,96.209999,97.300003,6988400,48.17613
"168",97.339996,99.919998,96.790001,98.879997,9859200,48.958433
"169",98.660004,100.449997,98.220001,100.169998,8388200,49.597151
"170",100.480003,102.610001,98.769997,102.18,9031600,50.592362
"171",101.199997,101.989998,100.190002,100.919998,5344400,49.968498
"172",101.870003,101.940002,100.199997,101.400002,6356200,50.206162
"173",101.760002,103.550003,101.389999,103.480003,5890600,51.489928
"174",103.269997,104.610001,101.75,103.82,6645800,51.659104
"175",103.339996,104.699997,102.5,104.629997,4855800,52.062146
"176",104.150002,105.870003,103.769997,105.650002,5253800,52.569683
"177",105.660004,106.949997,104.32,105.57,6478600,52.529875
"178",105.529999,108.129997,105.150002,106.349998,5051000,52.91799
"179",106.650002,106.790001,104.150002,105.18,5082400,52.335818
"180",105.389999,106.480003,103.940002,104.660004,5200000,52.077076
"181",104.709999,108.32,104.709999,107.040001,6895400,53.261323
"182",107.120003,108.209999,104.949997,105,4386200,52.246253
"183",104.089996,104.089996,101.260002,101.779999,9264000,50.644034
"184",102.620003,103.669998,101.849998,102.769997,7101000,51.13664
"185",102,103.010002,100.879997,102.010002,5459200,50.75848
"186",102.360001,103.059998,101.68,101.75,3759600,50.629107
"187",101.010002,102.610001,98.370003,98.489998,4593600,49.006984
"188",99.089996,101.889999,98.699997,99.769997,5025800,49.64389
"189",98.720001,98.75,96,96.120003,6255000,47.827714
"190",96.360001,97.529999,95.559998,96.870003,5476400,48.200901
"191",97.889999,99.150002,95.470001,95.669998,4567200,47.603799
"192",96.519997,97.300003,95.480003,96.199997,4498200,47.867518
"193",95.650002,98.120003,94.290001,98.059998,4739200,48.793023
"194",97.019997,97.949997,96,97.739998,3544400,48.633796
"195",97.5,101.410004,97.330002,101.010002,5108200,50.260896
"196",100.150002,100.650002,99.5,100.059998,3166000,49.78819
"197",100.510002,102.839996,100,102.260002,7781200,50.882875
"198",102.660004,103.800003,102.370003,102.419998,5235800,50.962487
"199",102.080002,103.260002,101.5,101.699997,3938800,50.604226
"200",102.800003,104.860001,102.699997,103.080002,6384600,51.290894
"201",103.730003,103.93,100.730003,100.879997,4386400,50.196208
"202",101.410004,101.580002,99.269997,99.650002,4887400,49.584183
"203",100.410004,103.07,100.410004,102.900002,4501000,51.201328
"204",102.120003,104.07,101.690002,102.389999,5779200,50.94756
"205",102.760002,103.639999,101.330002,101.760002,5426800,50.634084
"206",101.629997,102.050003,96.889999,97.080002,8617000,48.305393
"207",97.629997,99.639999,96.959999,98.540001,5108200,49.031865
"208",98.989998,99.190002,97.239998,98.239998,5944400,48.882588
"209",99.440002,99.989998,98.339996,98.639999,4358800,49.081622
"210",98.660004,100.339996,98.029999,99.860001,5468000,49.688675
"211",100.089996,100.519997,99.470001,100.419998,2708000,49.96732
"212",100.32,100.669998,96.809998,97.209999,7489000,48.370078
"213",97.839996,98.669998,97.220001,98.040001,6153400,48.783073
"214",98.519997,99.970001,97.940002,98.029999,5412400,48.778096
"215",98,100.690002,97.68,100,6300400,49.758336
"216",99.629997,100.269997,98.230003,98.720001,5224600,49.12143
"217",99.32,100.589996,98.660004,99.330002,4473200,49.424956
"218",99.360001,100.330002,99.019997,100.010002,3214200,49.763313
"219",100.589996,102.18,100.099998,102.129997,4482600,50.818187
"220",102.199997,102.480003,100.550003,101.690002,3613200,50.599253
"221",101.300003,103.43,101.300003,103.150002,4212200,51.325724
"222",103.809998,104.080002,102.760002,102.940002,4899400,51.221232
"223",102.639999,103.489998,102.129997,102.510002,3160400,51.007271
"224",103.370003,103.870003,101.580002,102.529999,4841200,51.017221
"225",104.199997,104.559998,97.75,98.57,10060400,49.046792
"226",98.989998,103.190002,98.650002,102.660004,5698400,51.08191
"227",102.43,103.199997,101.089996,101.25,4090800,50.380315
"228",101.699997,102.290001,101.150002,101.830002,3847800,50.668914
"229",102.790001,102.919998,99.75,101.019997,4899400,50.265869
"230",101,103.470001,99.940002,102.690002,4755600,51.096836
"231",103.040001,105.519997,101.699997,104.879997,5191200,52.186541
"232",106.019997,106.139999,101.440002,102.279999,4492600,50.892825
"233",102.199997,102.199997,100.620003,101.330002,3628400,50.420123
"234",102.019997,102.690002,101.43,102.279999,2999600,50.892825
"235",102.699997,104.970001,102.57,104.709999,3743400,52.101953
"236",104.559998,104.610001,102.449997,103.449997,3199400,51.474997
"237",103.190002,104.480003,102.43,104.269997,2567800,52.134998
"238",102.82,104.489998,102.82,104.260002,3442600,52.130001
"239",104.760002,104.949997,103.480003,104.330002,3563200,52.165001
"240",104.300003,104.839996,103.519997,103.660004,4210200,51.830002
"241",103.279999,104.559998,102.870003,103.080002,4338000,51.540001
"242",102.699997,102.980003,99.690002,100.440002,6473000,50.220001
"243",101.410004,102.190002,100.290001,100.959999,4688800,50.48
"244",100.910004,103.080002,100.360001,102.769997,3650800,51.384998
"245",102.980003,105,102.489998,103.459999,5635200,51.73
"246",103.160004,104.900002,103.160004,103.550003,4692800,51.775002
"247",103.400002,103.779999,101.900002,103.029999,3849200,51.514999
"248",102.709999,103.190002,101.639999,102.199997,5167200,51.099998
"249",101.330002,101.980003,99.959999,100.330002,6044400,50.165001
"250",100.150002,101.5,99.959999,100.919998,5814000,50.459999
"251",100.809998,102.150002,100.279999,100.459999,3041800,50.23
"252",100.790001,101.239998,99.309998,99.330002,4973800,49.665001
"253",99.82,102.239998,99.82,101.790001,2399800,50.895
