"","VNO.Open","VNO.High","VNO.Low","VNO.Close","VNO.Volume","VNO.Adjusted"
"1",106.399994,106.849993,105.309992,105.609997,1088800,93.26608
"2",105.559991,105.989994,105.019994,105.349992,644800,93.036465
"3",105.180002,105.439999,104.309989,104.540001,818700,92.321147
"4",104.760005,104.849987,104.019991,104.5,981100,92.285822
"5",104.519996,105.119998,104.110006,104.250002,858500,92.065044
"6",104.089993,104.789999,103.760002,104.620009,1044200,92.391804
"7",104.589999,105.249988,104.019991,105.019994,1440600,92.745037
"8",105.15,106.349996,104.839989,106.349996,1144800,93.919586
"9",106.070003,106.659999,105.400007,106.589996,1126200,94.131535
"10",106.529992,106.929993,106.149995,106.339989,696100,93.910749
"11",106.209999,106.659999,105.879992,106.199993,531500,93.787116
"12",106.159993,106.419998,105.909994,106.33,723200,93.901927
"13",106.33,106.440002,105.459995,105.870002,713500,93.495696
"14",105.940005,107.480005,105.909994,107.349999,1281500,94.802707
"15",107.139992,107.399997,105.739987,106.730001,974100,94.255176
"16",106.529992,109.120002,105.699996,106.709997,874700,94.237509
"17",106.580007,106.859999,105.830002,106.789997,576100,94.308159
"18",106.449992,106.470004,105.19,105.949994,660100,93.566338
"19",105.989994,106.659999,105.580004,105.909994,668500,93.531013
"20",106.019997,106.360002,105.559991,106.230004,776600,93.813619
"21",106.41,106.57,105.519999,106.37,501100,93.937252
"22",105.870002,106.599994,105.529997,106.059997,629600,93.663483
"23",106.180006,106.839995,105.899996,106.560002,644600,94.105047
"24",106.870006,107.189998,106.349996,106.980008,585700,94.475961
"25",106.789997,107.250002,106.41,106.999995,486600,94.493612
"26",107.179992,107.689995,106.659999,107.519989,608400,94.952828
"27",106.949997,107.289994,105.949994,105.969999,866500,93.584004
"28",106.279993,107.480005,105.839992,107.480005,786400,94.917518
"29",107.339992,107.379992,106.670005,106.960004,391500,94.458295
"30",107.620001,108.199991,107.349999,107.949992,532300,95.332571
"31",107.829992,108.300004,107.579993,108.219995,416800,95.571016
"32",108.260003,108.699988,107.740002,108.599992,1099300,95.906598
"33",108.050005,108.309993,107.089994,107.339992,702800,94.79387
"34",107.080004,107.760006,107.080004,107.319988,864400,94.776204
"35",107.289994,107.539993,106.599994,106.830005,919400,94.343491
"36",107.029989,107.719989,106.560002,107.129994,988900,94.608416
"37",106.379989,107.06,105.940005,106.019997,986600,93.628158
"38",106.009999,106.749997,105.079998,105.129996,1034900,92.842183
"39",105.180002,106.199993,104.610003,105.819996,950700,93.451534
"40",104.929995,106.050007,104.479996,105.129996,1008700,92.842183
"41",105.03,105.609997,104.690003,104.779993,806700,92.533089
"42",104.3,105.209996,103.800003,104.069989,618500,92.550874
"43",104.410002,104.760005,103.600002,104.729995,682100,93.137827
"44",105.03,105.969999,104.760005,105.209996,696600,93.564699
"45",105.309992,105.72,104.969996,105.300003,755500,93.644743
"46",105.670002,106.889993,105.369997,106.610001,822000,94.809742
"47",106.909997,107.070006,105.920001,106.109995,721400,94.36508
"48",106.389996,106.749997,105.169996,105.550002,2207900,93.86707
"49",106.159993,106.339989,105.589993,106.309995,1294600,94.542943
"50",106.489992,106.810001,105.84999,106.430004,923300,94.649668
"51",106.120001,107.279996,105.519999,106.970002,680300,95.129896
"52",107.019991,107.379992,106.560002,106.629988,783200,94.827517
"53",106.499998,106.730001,105.300003,105.540004,689800,93.858179
"54",106.099997,106.099997,104.760005,105.089987,646800,93.457973
"55",105.269992,105.729998,104.849987,105.010004,601000,93.386843
"56",105.119998,105.529997,104.99,105.35999,598900,93.69809
"57",105.140002,105.699996,104.929995,105.419995,563800,93.751453
"58",105.749994,105.899996,105.290005,105.870002,751400,94.151651
"59",105.999992,106.639994,105.72,106.619998,1153000,94.818633
"60",106.629988,107.410003,106.449992,107.1,991100,95.245505
"61",106.980008,107.79,106.480002,106.870006,1078400,95.040968
"62",106.709997,107.91999,106.41,107.779994,762200,95.850233
"63",107.779994,108.100003,107.42999,107.769996,579700,95.841341
"64",107.549999,107.779994,106.610001,106.870006,585100,95.040968
