"","SEE.Open","SEE.High","SEE.Low","SEE.Close","SEE.Volume","SEE.Adjusted"
"177",47.5,48.439999,47.169998,48.18,1730800,47.918392
"178",47.900002,48.16,47.459999,47.91,1454000,47.649858
"179",47.599998,48.439999,47.560001,48.299999,1042900,48.03774
"180",48.16,48.41,47.27,47.549999,1459100,47.291812
"181",47.560001,48.34,47.439999,48.099998,1024700,47.838825
"182",47.689999,48,47.09,47.130001,3173900,46.874094
"183",47.130001,47.880001,47.130001,47.509998,2038500,47.252028
"184",47.259998,47.560001,46.700001,46.830002,2057600,46.575724
"185",46.349998,46.880001,45.709999,46.580002,1700800,46.456042
"186",46.57,46.689999,46.080002,46.139999,1139300,46.01721
"187",45.82,46.049999,45,45.27,1879600,45.149527
"188",45.369999,46.400002,45.279999,46.09,1362900,45.967344
"189",45.529999,45.77,45.139999,45.41,1780600,45.289153
"190",45.110001,45.610001,45.110001,45.459999,2301300,45.33902
"191",45.91,46.439999,45.700001,46.169998,1751700,46.047129
"192",45.959999,46.080002,45.27,45.700001,1885500,45.578383
"193",46.110001,46.290001,45.77,46.220001,1427200,46.096999
"194",45.959999,46.209999,45.59,46.060001,1082400,45.937425
"195",45.91,46.93,45.66,46.77,2066800,46.645535
"196",46.470001,46.779999,46.349998,46.529999,1205100,46.406172
"197",46.759998,46.869999,45.919998,46.720001,1665400,46.595669
"198",46.779999,47.209999,46.43,46.43,1067200,46.306439
"199",46.310001,46.369999,45.91,46.080002,876900,45.957372
"200",46.060001,46.220001,45.060001,45.099998,2318500,44.979977
"201",45.029999,45.290001,44.689999,45.049999,1107100,44.930111
"202",44.919998,45.450001,44.900002,45.27,1320100,45.149527
"203",45.549999,46.279999,45.490002,45.919998,1022100,45.797795
"204",45.689999,46.02,45.450001,45.560001,1314900,45.438756
"205",45.380001,45.43,44.720001,45.290001,1607900,45.169474
"206",45.299999,45.869999,44.990002,45.09,1152100,44.970005
"207",44.700001,45.689999,44.610001,45.560001,1076300,45.438756
"208",45.490002,46,45.189999,45.220001,1013200,45.09966
"209",45.220001,46.310001,45.080002,46.23,1591200,46.106971
"210",46.049999,46.700001,45.990002,46.630001,1569500,46.505908
"211",46.119999,46.549999,45.849998,46.299999,1302000,46.176784
"212",46.18,46.779999,45.91,46.040001,905600,45.917478
"213",45.900002,46.119999,45.080002,45.220001,1229900,45.09966
"214",45.5,45.73,44.25,44.459999,2137600,44.341681
"215",44.279999,44.84,44.279999,44.48,1378100,44.361628
"216",44.349998,44.450001,43.82,44.049999,1277400,43.932772
"217",44.43,44.459999,44.07,44.150002,780700,44.032508
"218",44.16,44.389999,43.59,43.799999,1473800,43.683437
"219",43.830002,44.380001,43.43,44.330002,1380500,44.21203
"220",44.32,44.98,44,44.790001,1885500,44.670805
"221",44.790001,45.110001,44.509998,44.740002,998100,44.620938
"222",44.849998,45.029999,44.169998,44.200001,1493600,44.082374
"223",44.16,44.59,43.970001,44.43,1401200,44.311762
"224",44.400002,44.759998,43.900002,44.119999,2337200,44.002586
"225",45.470001,46.130001,44.490002,45.599998,4012900,45.478646
"226",45.790001,47.119999,45.639999,46.93,3953100,46.805109
"227",46.959999,47.66,46.689999,47.419998,2167700,47.293803
"228",47.400002,47.400002,46.290001,46.669998,2784600,46.545799
"229",46.860001,47.290001,46.529999,46.900002,1014500,46.77519
"230",46.959999,48.080002,46.93,47.970001,1878400,47.842342
"231",48.59,48.810001,47.860001,47.91,3040900,47.7825
"232",47.82,48.919998,47.73,48.48,2600900,48.350983
"233",48.25,48.470001,47.919998,47.950001,1324300,47.822395
"234",48.150002,48.389999,47.860001,47.990002,1613600,47.862289
"235",48.330002,49.459999,48.060001,49.369999,2888500,49.238614
"236",49.5,49.529999,48.740002,48.950001,1650600,48.819734
"237",48.84,49.799999,48.84,49.720001,1234700,49.587685
"238",49.630001,49.860001,49.439999,49.630001,1561600,49.497924
"239",49.700001,49.82,49.27,49.639999,892500,49.507896
"240",49.630001,49.700001,49.150002,49.43,1322100,49.298456
"241",49.41,49.490002,48.939999,49.32,1344700,49.188748
"242",49.259998,49.34,48.900002,49.040001,851100,48.909494
"243",49.189999,49.98,49.029999,49.869999,1265700,49.737283
"244",49.82,50.110001,49.400002,49.470001,1327100,49.33835
"245",49.34,49.34,48.509998,48.700001,2163500,48.570399
"246",49.099998,49.52,48.689999,49.18,1669400,49.049121
"247",49.099998,49.34,48.490002,48.849998,1380400,48.719997
"248",48.970001,49.16,48.580002,48.740002,1439000,48.740002
"249",48.360001,48.849998,48.16,48.310001,960400,48.310001
"250",48.099998,48.650002,47.970001,48.52,1049800,48.52
"251",49.139999,49.68,48.869999,49.110001,2114400,49.110001
"252",48.990002,49.68,48.73,49.560001,1277400,49.560001
"253",49.669998,50.150002,49.5,49.93,1365300,49.93
