"","CHRW.Open","CHRW.High","CHRW.Low","CHRW.Close","CHRW.Volume","CHRW.Adjusted"
"168",71.199997,71.209999,70.339996,70.510002,2360800,69.718701
"169",70.379997,70.589996,69.839996,70.5,1914200,69.708811
"170",70.900002,71.480003,70.360001,71.150002,1757600,70.351518
"171",71.239998,71.959999,71.169998,71.25,1825300,70.450394
"172",71.550003,72.129997,71.330002,71.830002,1415200,71.023887
"173",72.089996,72.739998,71.93,72.580002,1367000,71.76547
"174",72.32,72.470001,71.650002,71.809998,1005100,71.004107
"175",71.489998,72.400002,70.620003,71.379997,1243300,70.578932
"176",71.379997,72.389999,70.989998,71.839996,904000,71.033769
"177",71.610001,72.599998,71.050003,72.5,965700,71.686366
"178",72.529999,73.199997,72.349998,73.139999,885100,72.319183
"179",73.050003,74,72.779999,73.980003,1181800,73.14976
"180",74.160004,74.550003,73.480003,73.550003,1105600,72.724585
"181",73.620003,74.260002,73.150002,74.209999,1288200,73.377174
"182",74.099998,74.589996,73.760002,74.300003,1620500,73.466168
"183",74.400002,74.459999,73.410004,73.599998,2058400,72.774019
"184",74.519997,75.209999,74.25,74.669998,3108800,73.832011
"185",74.160004,74.230003,73.730003,73.959999,1301100,73.504047
"186",74.010002,74.309998,73.599998,74.120003,932300,73.663064
"187",73.559998,74.110001,73.389999,73.580002,1139700,73.126392
"188",73.519997,74.190002,73.370003,73.910004,973200,73.45436
"189",73.160004,73.169998,72.32,72.489998,1662300,72.043108
"190",72.019997,72.550003,71.660004,72.480003,1676600,72.033175
"191",72.660004,74.07,72.610001,73.970001,1125500,73.513987
"192",73.82,74.019997,73.019997,73.449997,1369500,72.997189
"193",74.699997,75.43,73.989998,75.349998,1976400,74.885477
"194",74.690002,75.089996,74.209999,74.660004,1165700,74.199736
"195",74.230003,75.389999,73.760002,75.190002,1204900,74.726467
"196",75.139999,75.459999,74.779999,75.160004,1493400,74.696654
"197",75.650002,76.059998,75.050003,75.400002,3329100,74.935172
"198",75.959999,76.18,75.669998,75.739998,2062900,75.273072
"199",75.589996,76.010002,74.809998,75.059998,2802400,74.597264
"200",75.059998,75.230003,73.300003,73.309998,1560900,72.858053
"201",72.879997,73.559998,72.43,73.139999,1592800,72.689102
"202",73.059998,73.260002,72.769997,73.029999,1467500,72.57978
"203",73.110001,73.699997,72.800003,73.199997,1700200,72.74873
"204",73.089996,73.790001,72.650002,73.220001,1427300,72.768611
"205",72.849998,73.089996,71.919998,71.989998,1438600,71.54619
"206",72.150002,72.330002,71.25,71.330002,2028500,70.890263
"207",70.839996,71.620003,70.650002,71.279999,1448600,70.840568
"208",71.43,72.029999,71.160004,71.410004,1211400,70.969772
"209",71.110001,71.879997,70.339996,71.220001,1214100,70.780941
"210",71.190002,71.870003,71.190002,71.639999,1140300,71.19835
"211",71.830002,72.269997,71.510002,72.059998,1039500,71.615759
"212",71.849998,71.900002,70.230003,70.370003,1490000,69.936182
"213",70.129997,71.099998,69.580002,70.779999,1600200,70.343651
"214",70.75,71.220001,69.839996,70.230003,1583700,69.797046
"215",70.029999,70.169998,69.379997,69.510002,1105600,69.081483
"216",68.720001,68.959999,68.360001,68.57,1847300,68.147276
"217",69.07,70.699997,68.860001,70.089996,1567200,69.657902
"218",70.18,70.870003,70.029999,70.540001,1353100,70.105132
"219",70.489998,70.650002,70.019997,70.43,926500,69.99581
"220",70.059998,71,70.040001,70.620003,937000,70.184641
"221",70.849998,70.919998,70.230003,70.650002,1028900,70.214455
"222",67.5,69.959999,67.269997,68.940002,5273600,68.514998
"223",66.150002,66.5,64.940002,65.730003,6254500,65.324788
"224",64.830002,65.360001,64.010002,64.720001,3013400,64.321012
"225",64.419998,64.720001,64.010002,64.389999,2555500,63.993045
"226",64.720001,65.389999,64.510002,64.739998,1895800,64.340886
"227",65.830002,66.519997,65.309998,66.080002,3001100,65.672629
"228",65.68,66.010002,63.959999,63.990002,1803900,63.595513
"229",64.449997,64.760002,63.869999,64.550003,1639000,64.152062
"230",64.440002,65.949997,64.440002,65.230003,1755000,64.82787
"231",65.889999,66.839996,65.660004,65.699997,1856000,65.294966
"232",65.43,66,65,65.269997,1234200,64.867617
"233",64.970001,65.220001,64.599998,64.989998,1130800,64.589344
"234",64.949997,65.550003,64.419998,64.540001,1133600,64.142122
"235",64.900002,64.910004,64.099998,64.379997,1563900,63.983104
"236",64.550003,65.089996,64.260002,64.519997,1043500,64.122241
"237",64.529999,65.529999,64.339996,65.410004,1402500,65.006761
"238",65.410004,65.769997,64.779999,64.860001,1260700,64.460149
"239",64.830002,64.919998,63.860001,63.91,904100,63.516004
"240",63.939999,64.489998,63.740002,64.260002,1543700,63.863849
"241",64.080002,64.209999,63.82,64.029999,1066900,63.635264
"242",63.389999,63.59,62.68,62.93,1892800,62.542046
"243",62.98,63.549999,62.580002,63.360001,1290600,62.969396
"244",63.310001,63.57,62.27,62.5,1618100,62.114697
"245",62.349998,62.689999,61.549999,61.73,2290900,61.349443
"246",62.040001,62.290001,61.459999,62.110001,1615900,61.727102
"247",61.650002,62.330002,61.459999,61.639999,3272300,61.259998
"248",61.970001,64.980003,61.900002,64.620003,3307000,64.620003
"249",64.089996,64.290001,63.139999,63.349998,2389000,63.349998
"250",63.07,64.410004,63.07,64.18,2217300,64.18
"251",63.959999,64,63.209999,63.349998,1609500,63.349998
"252",63.150002,64.650002,63.060001,63.77,2148900,63.77
"253",63.950001,64.540001,63.700001,63.82,1146500,63.82
