"","CBG.Open","CBG.High","CBG.Low","CBG.Close","CBG.Volume","CBG.Adjusted"
"236",38.669998,38.720001,38.369999,38.57,1265500,38.57
"237",38.43,38.810001,38.349998,38.720001,1241000,38.720001
"238",38.740002,38.869999,38.529999,38.689999,1316100,38.689999
"239",38.799999,39,38.509998,38.68,1097100,38.68
"240",38.639999,38.759998,37.990002,38.25,1633700,38.25
"241",38.209999,38.439999,37.959999,38.290001,1137200,38.290001
"242",38.23,38.450001,37.93,38.360001,1619900,38.360001
"243",38.509998,38.66,38.220001,38.610001,1904500,38.610001
"244",38.490002,38.619999,38.16,38.32,1108300,38.32
"245",38.369999,38.369999,37.849998,38.240002,2458600,38.240002
"246",38.360001,38.639999,38.080002,38.48,1921100,38.48
"247",38.23,38.709999,37.880001,38.439999,1404400,38.439999
"248",38.41,38.5,37.990002,38.150002,969200,38.150002
"249",38,38.049999,37.759998,37.91,1801100,37.91
"250",37.650002,37.860001,37.389999,37.419998,1493300,37.419998
"251",37.529999,37.540001,36.830002,36.849998,1390400,36.849998
"252",36.900002,37.080002,36.470001,36.599998,1461900,36.599998
"253",36.68,37.290001,36.68,37.099998,1724700,37.099998
