"","WPI.Open","WPI.High","WPI.Low","WPI.Close","WPI.Volume","WPI.Adjusted"
"38",0.34,0.34,0.335,0.34,60000,0.34
"39",0.33,0.34,0.33,0.335,570000,0.335
"40",0.335,0.34,0.325,0.34,540000,0.34
"41",0.34,0.34,0.34,0.34,0,0.34
"42",0.33,0.34,0.33,0.34,230000,0.34
"43",0.34,0.345,0.34,0.345,1e+05,0.345
"44",0.34,0.34,0.335,0.34,40000,0.34
"45",0.33,0.34,0.33,0.33,240000,0.33
"46",0.34,0.34,0.33,0.34,80000,0.34
"47",0.335,0.34,0.33,0.33,70000,0.33
"48",0.34,0.345,0.34,0.345,930000,0.345
"49",0.35,0.35,0.35,0.35,10000,0.35
"50",0.35,0.35,0.35,0.35,10000,0.35
"51",0.35,0.35,0.35,0.35,0,0.35
"52",0.33,0.35,0.33,0.35,220000,0.35
"53",0.35,0.35,0.35,0.35,0,0.35
"54",0.345,0.345,0.335,0.345,30000,0.345
"55",0.345,0.345,0.345,0.345,0,0.345
"56",0.35,0.35,0.345,0.35,180000,0.35
"57",0.34,0.34,0.34,0.34,10000,0.34
"58",0.35,0.35,0.34,0.35,120000,0.35
"59",0.35,0.35,0.35,0.35,0,0.35
"60",0.35,0.35,0.35,0.35,0,0.35
"61",0.35,0.35,0.35,0.35,0,0.35
"62",0.34,0.36,0.34,0.36,470000,0.36
"63",0.36,0.36,0.355,0.355,360000,0.355
"64",0.36,0.36,0.36,0.36,40000,0.36
"65",0.36,0.36,0.36,0.36,0,0.36
"66",0.36,0.36,0.36,0.36,70000,0.36
"67",0.36,0.37,0.36,0.36,120000,0.36
"68",0.355,0.36,0.355,0.36,110000,0.36
"69",0.355,0.375,0.355,0.36,2e+06,0.36
"70",0.36,0.365,0.36,0.36,2260000,0.36
"71",0.355,0.36,0.35,0.355,240000,0.355
"72",0.36,0.36,0.34,0.36,1440000,0.36
"73",0.355,0.405,0.355,0.37,6720000,0.37
"74",0.37,0.37,0.37,0.37,0,0.37
"75",0.355,0.375,0.34,0.34,3580000,0.34
"76",0.35,0.385,0.34,0.375,5680000,0.375
"77",0.38,0.435,0.38,0.415,10780000,0.415
"78",0.42,0.42,0.375,0.395,2260000,0.395
"79",0.375,0.4,0.375,0.395,810000,0.395
"80",0.4,0.4,0.365,0.385,1290000,0.385
"81",0.38,0.39,0.355,0.37,2160000,0.37
"82",0.36,0.38,0.355,0.36,590000,0.36
"83",0.38,0.38,0.36,0.365,180000,0.365
"84",0.38,0.38,0.365,0.365,2e+05,0.365
"85",0.365,0.365,0.365,0.365,0,0.365
"86",0.375,0.375,0.355,0.37,550000,0.37
"87",0.35,0.4,0.35,0.37,6800000,0.37
"88",0.395,0.395,0.365,0.375,3160000,0.375
"89",0.36,0.38,0.355,0.38,2440000,0.38
"90",0.385,0.39,0.365,0.37,1720000,0.37
"91",0.385,0.385,0.36,0.36,860000,0.36
"92",0.385,0.385,0.36,0.37,940000,0.37
"93",0.37,0.385,0.365,0.38,1410000,0.38
"94",0.385,0.41,0.365,0.365,11380000,0.365
"95",0.38,0.405,0.38,0.39,8680000,0.39
"96",0.405,0.455,0.39,0.43,28150000,0.43
"97",0.44,0.45,0.395,0.415,7740000,0.415
"98",0.4,0.41,0.385,0.395,5550000,0.395
"99",0.41,0.41,0.39,0.4,970000,0.4
"100",0.425,0.425,0.395,0.4,610000,0.4
"101",0.415,0.42,0.395,0.4,2200000,0.4
"102",0.405,0.425,0.39,0.42,10380000,0.42
"103",0.425,0.49,0.425,0.455,40030000,0.455
"104",0.455,0.46,0.435,0.445,4810000,0.445
"105",0.46,0.46,0.405,0.41,8190000,0.41
"106",0.41,0.42,0.4,0.41,4280000,0.41
"107",0.4,0.42,0.4,0.405,2070000,0.405
"108",0.41,0.41,0.38,0.385,4060000,0.385
"109",0.4,0.4,0.365,0.39,1700000,0.39
"110",0.38,0.39,0.37,0.385,550000,0.385
"111",0.385,0.395,0.38,0.385,2100000,0.385
"112",0.39,0.39,0.375,0.375,730000,0.375
"113",0.385,0.385,0.365,0.385,1750000,0.385
"114",0.385,0.395,0.365,0.38,1610000,0.38
"115",0.39,0.44,0.39,0.425,23740000,0.425
"116",0.425,0.44,0.4,0.42,4390000,0.42
"117",0.42,0.425,0.4,0.415,1480000,0.415
"118",0.42,0.42,0.395,0.41,870000,0.41
"119",0.415,0.42,0.385,0.42,2100000,0.42
"120",0.4,0.415,0.385,0.4,840000,0.4
"121",0.385,0.4,0.38,0.395,1760000,0.395
"122",0.395,0.405,0.38,0.4,720000,0.4
"123",0.405,0.405,0.385,0.395,360000,0.395
"124",0.38,0.4,0.38,0.4,4e+05,0.4
"125",0.395,0.395,0.38,0.39,5e+05,0.39
"126",0.395,0.395,0.395,0.395,10000,0.395
"127",0.395,0.395,0.37,0.385,1600000,0.385
"128",0.395,0.395,0.37,0.39,260000,0.39
"129",0.38,0.38,0.37,0.38,750000,0.38
"130",0.38,0.38,0.38,0.38,0,0.38
"131",0.39,0.39,0.375,0.385,90000,0.385
"132",0.38,0.38,0.375,0.38,40000,0.38
"133",0.385,0.385,0.365,0.375,1340000,0.375
"134",0.375,0.375,0.36,0.375,1070000,0.375
"135",0.37,0.38,0.37,0.38,5e+05,0.38
"136",0.37,0.37,0.37,0.37,1e+05,0.37
"137",0.38,0.38,0.37,0.38,420000,0.38
"138",0.385,0.385,0.36,0.375,350000,0.375
"139",0.38,0.385,0.36,0.36,1290000,0.36
"140",0.355,0.38,0.355,0.375,1e+05,0.375
"141",0.38,0.4,0.37,0.385,3460000,0.385
"142",0.385,0.385,0.385,0.385,0,0.385
"143",0.385,0.385,0.385,0.385,0,0.385
"144",0.385,0.385,0.385,0.385,0,0.385
"145",0.385,0.385,0.36,0.38,1010000,0.38
"146",0.38,0.38,0.38,0.38,0,0.38
"147",0.38,0.38,0.38,0.38,0,0.38
"148",0.38,0.38,0.38,0.38,0,0.38
"149",0.38,0.38,0.38,0.38,0,0.38
"150",0.38,0.39,0.36,0.39,3200000,0.39
"151",0.37,0.39,0.37,0.385,1450000,0.385
"152",0.365,0.385,0.365,0.385,670000,0.385
"153",0.385,0.39,0.385,0.39,190000,0.39
"154",0.385,0.39,0.385,0.39,90000,0.39
"155",0.385,0.39,0.38,0.39,510000,0.39
"156",0.385,0.4,0.385,0.4,1740000,0.4
"157",0.395,0.4,0.37,0.375,1660000,0.375
"158",0.375,0.375,0.375,0.375,0,0.375
"159",0.375,0.375,0.375,0.375,0,0.375
"160",0.385,0.385,0.385,0.385,370000,0.385
"161",0.385,0.395,0.38,0.39,310000,0.39
"162",0.375,0.395,0.375,0.395,960000,0.395
"163",0.38,0.395,0.38,0.395,1030000,0.395
"164",0.395,0.395,0.395,0.395,380000,0.395
"165",0.395,0.4,0.375,0.395,1920000,0.395
"166",0.39,0.395,0.39,0.395,510000,0.395
"167",0.39,0.39,0.39,0.39,470000,0.39
"168",0.39,0.39,0.39,0.39,0,0.39
"169",0.395,0.395,0.385,0.385,580000,0.385
"170",0.38,0.38,0.375,0.375,720000,0.375
"171",0.375,0.375,0.37,0.37,960000,0.37
"172",0.365,0.385,0.365,0.385,350000,0.385
"173",0.385,0.385,0.375,0.385,260000,0.385
"174",0.375,0.385,0.375,0.385,390000,0.385
"175",0.37,0.37,0.365,0.365,660000,0.365
"176",0.37,0.37,0.37,0.37,210000,0.37
"177",0.37,0.37,0.365,0.37,250000,0.37
"178",0.38,0.38,0.365,0.38,570000,0.38
"179",0.38,0.38,0.365,0.38,890000,0.38
"180",0.37,0.37,0.365,0.37,3380000,0.37
"181",0.365,0.385,0.36,0.385,740000,0.385
"182",0.37,0.4,0.37,0.38,7940000,0.38
"183",0.38,0.38,0.38,0.38,0,0.38
"184",0.375,0.385,0.37,0.38,1870000,0.38
"185",0.375,0.38,0.37,0.38,260000,0.38
"186",0.37,0.385,0.37,0.385,330000,0.385
"187",0.365,0.39,0.365,0.365,2400000,0.365
"188",0.37,0.375,0.365,0.365,750000,0.365
"189",0.375,0.385,0.365,0.375,1670000,0.375
"190",0.38,0.385,0.37,0.38,560000,0.38
"191",0.38,0.39,0.365,0.375,530000,0.375
"192",0.365,0.38,0.365,0.375,1010000,0.375
"193",0.38,0.38,0.37,0.375,570000,0.375
"194",0.37,0.38,0.365,0.37,450000,0.37
"195",0.38,0.38,0.37,0.375,170000,0.375
"196",0.38,0.385,0.37,0.38,920000,0.38
"197",0.38,0.39,0.365,0.38,2400000,0.38
"198",0.38,0.38,0.38,0.38,0,0.38
"199",0.365,0.375,0.365,0.365,490000,0.365
"200",0.365,0.375,0.365,0.37,250000,0.37
"201",0.36,0.37,0.35,0.35,560000,0.35
"202",0.35,0.37,0.345,0.35,6e+05,0.35
"203",0.35,0.35,0.35,0.35,0,0.35
"204",0.35,0.36,0.345,0.36,1760000,0.36
"205",0.345,0.345,0.345,0.345,30000,0.345
"206",0.36,0.36,0.36,0.36,40000,0.36
"207",0.36,0.36,0.36,0.36,0,0.36
"208",0.345,0.36,0.345,0.355,90000,0.355
"209",0.345,0.355,0.335,0.355,1060000,0.355
"210",0.335,0.355,0.335,0.35,60000,0.35
"211",0.345,0.35,0.34,0.35,110000,0.35
"212",0.36,0.365,0.35,0.35,480000,0.35
"213",0.35,0.35,0.35,0.35,0,0.35
"214",0.35,0.35,0.35,0.35,0,0.35
"215",0.365,0.365,0.34,0.36,740000,0.36
"216",0.34,0.37,0.33,0.36,1740000,0.36
"217",0.34,0.355,0.34,0.355,360000,0.355
"218",0.355,0.355,0.355,0.355,0,0.355
"219",0.35,0.35,0.35,0.35,110000,0.35
"220",0.345,0.345,0.34,0.345,780000,0.345
"221",0.35,0.355,0.35,0.355,30000,0.355
"222",0.355,0.355,0.355,0.355,0,0.355
"223",0.355,0.355,0.34,0.345,250000,0.345
"224",0.345,0.355,0.34,0.35,140000,0.35
"225",0.335,0.35,0.33,0.35,380000,0.35
"226",0.35,0.355,0.335,0.355,640000,0.355
"227",0.335,0.355,0.33,0.355,1180000,0.355
"228",0.355,0.355,0.35,0.355,50000,0.355
"229",0.35,0.35,0.35,0.35,10000,0.35
"230",0.35,0.355,0.335,0.34,2e+05,0.34
"231",0.335,0.35,0.335,0.35,20000,0.35
"232",0.35,0.35,0.35,0.35,0,0.35
"233",0.35,0.35,0.35,0.35,0,0.35
"234",0.35,0.35,0.35,0.35,0,0.35
"235",0.33,0.345,0.325,0.34,1070000,0.34
"236",0.345,0.345,0.33,0.34,760000,0.34
"237",0.34,0.345,0.34,0.345,50000,0.345
"238",0.33,0.34,0.32,0.335,3520000,0.335
"239",0.325,0.325,0.325,0.325,10000,0.325
"240",0.33,0.33,0.33,0.33,10000,0.33
"241",0.33,0.335,0.33,0.335,340000,0.335
"242",0.33,0.33,0.33,0.33,30000,0.33
"243",0.34,0.34,0.34,0.34,130000,0.34
"244",0.325,0.325,0.325,0.325,6e+05,0.325
"245",0.34,0.35,0.34,0.35,530000,0.35
"246",0.34,0.345,0.33,0.33,410000,0.33
"247",0.35,0.355,0.35,0.35,2e+05,0.35
"248",0.33,0.33,0.33,0.33,3e+05,0.33
"249",0.33,0.34,0.33,0.33,110000,0.33
"250",0.35,0.35,0.33,0.33,210000,0.33
"251",0.325,0.325,0.325,0.325,30000,0.325
"252",0.325,0.325,0.32,0.32,540000,0.32
"253",0.32,0.32,0.32,0.32,0,0.32
"254",0.32,0.32,0.32,0.32,0,0.32
"255",0.32,0.32,0.32,0.32,0,0.32
"256",0.33,0.33,0.33,0.33,3e+05,0.33
"257",0.33,0.33,0.32,0.33,70000,0.33
"258",0.32,0.33,0.32,0.33,3e+05,0.33
"259",0.33,0.33,0.33,0.33,0,0.33
"260",0.33,0.33,0.33,0.33,250000,0.33
"261",0.32,0.33,0.32,0.33,670000,0.33
"262",0.325,0.33,0.325,0.33,3e+05,0.33
