"","GNW.Open","GNW.High","GNW.Low","GNW.Close","GNW.Volume","GNW.Adjusted"
"151",7.69,7.86,7.55,7.63,5019000,7.63
"152",7.48,7.53,7.18,7.31,7369300,7.31
"153",7.31,7.46,7.11,7.13,4848500,7.13
"154",7.11,7.31,7.06,7.3,4531100,7.3
"155",7.4,7.4,7.05,7.1,4684400,7.1
"156",7.05,7.17,6.92,7.11,5560800,7.11
"157",7.16,7.43,7.1,7.39,4772800,7.39
"158",7.36,7.42,7.2,7.22,3362900,7.22
"159",7.2,7.35,7.16,7.35,3166700,7.35
"160",7.22,7.27,7.09,7.19,4084200,7.19
"161",7.21,7.29,6.93,6.93,4937600,6.93
"162",6.97,7.03,6.75,6.94,6183300,6.94
"163",6.87,7.14,6.78,6.98,7764500,6.98
"164",7.02,7.47,7.02,7.42,6031700,7.42
"165",7.43,7.71,7.42,7.64,8140000,7.64
"166",7.6,7.81,7.4,7.46,5833100,7.46
"167",7.42,7.68,7.41,7.59,3527500,7.59
"168",7.66,7.92,7.66,7.76,5542800,7.76
"169",7.73,7.94,7.65,7.88,4509700,7.88
"170",7.94,7.98,7.67,7.81,7108100,7.81
"171",8.28,8.75,7.96,8.33,24690500,8.33
"172",8.39,8.53,8.24,8.5,8826100,8.5
"173",8.51,8.7,8.48,8.67,8251700,8.67
"174",8.59,8.82,8.52,8.82,6450000,8.82
"175",8.73,8.73,8.02,8.02,11516500,8.02
"176",7.74,8.19,7.61,8.09,10321300,8.09
"177",8.06,8.1,7.79,7.99,10727300,7.99
"178",7.97,8.03,7.83,7.91,6291300,7.91
"179",7.91,8.15,7.83,8,6233500,8
"180",8.02,8.06,7.71,7.87,5350800,7.87
"181",7.88,7.99,7.73,7.77,3741300,7.77
"182",7.77,7.85,7.66,7.75,4706300,7.75
"183",7.75,7.79,7.04,7.33,21302300,7.33
"184",7.21,7.58,7.18,7.51,7986600,7.51
"185",7.43,7.6,7.32,7.58,4529400,7.58
"186",7.57,7.64,7.44,7.61,4591100,7.61
"187",7.59,7.97,7.57,7.67,6193100,7.67
"188",7.66,7.73,7.41,7.44,5238300,7.44
"189",7.35,7.36,7.11,7.15,5645300,7.15
"190",7.18,7.33,7.06,7.27,5785600,7.27
"191",7.32,7.39,7.16,7.38,4844400,7.38
"192",7.33,7.43,7.23,7.35,4797800,7.35
"193",7.36,7.44,7.26,7.43,4372100,7.43
"194",7.37,7.46,7.22,7.35,4856900,7.35
"195",7.34,7.45,7.18,7.33,5716800,7.33
"196",7.3,7.38,7.1,7.26,5341200,7.26
"197",7.3,7.44,7.25,7.38,8150700,7.38
"198",7.79,7.96,7.7,7.75,13604500,7.75
"199",7.76,7.84,7.59,7.6,6629700,7.6
"200",7.62,7.65,7.34,7.35,5948900,7.35
"201",7.34,7.39,7.24,7.3,4802700,7.3
"202",7.31,7.33,7.21,7.29,4705700,7.29
"203",7.32,7.38,7.25,7.34,3698700,7.34
"204",7.26,7.32,7.22,7.31,5951800,7.31
"205",7.28,7.45,7.27,7.33,4703300,7.33
"206",7.34,7.94,7.29,7.76,15235100,7.76
"207",7.61,7.78,7.54,7.75,6253900,7.75
"208",7.77,7.8,7.68,7.75,6021300,7.75
"209",7.74,7.84,7.68,7.71,4854000,7.71
"210",7.71,8,7.65,7.89,6523900,7.89
"211",7.89,7.94,7.69,7.73,4533700,7.73
"212",7.81,7.97,7.69,7.94,4889200,7.94
"213",7.95,8.11,7.9,7.98,4798500,7.98
"214",8,8.14,7.99,8.09,5455200,8.09
"215",8.09,8.11,7.95,7.99,4454500,7.99
"216",7.87,8.06,7.82,8.02,7138700,8.02
"217",8.03,8.08,7.75,7.79,15881300,7.79
"218",7.79,7.85,7.64,7.65,4877900,7.65
"219",7.65,7.92,7.65,7.84,5722200,7.84
"220",7.82,8,7.82,7.96,6409500,7.96
"221",7.95,8.02,7.76,7.86,5533900,7.86
"222",7.87,8,7.85,7.89,6206600,7.89
"223",7.86,8.12,7.79,7.99,9625300,7.99
"224",8.49,9.08,8.31,8.92,23800200,8.92
"225",9.03,9.05,8.7,8.79,14301100,8.79
"226",8.85,9.14,8.81,9.03,10684600,9.03
"227",9.11,9.19,9.05,9.15,6754600,9.15
"228",8.82,8.92,8.54,8.64,20868000,8.64
"229",8.72,8.76,8.25,8.33,9262600,8.33
"230",8.17,8.4,8.09,8.25,8657000,8.25
"231",8.3,8.37,8.15,8.28,4679100,8.28
"232",8.39,8.56,8.32,8.4,7980700,8.4
"233",8.46,8.46,8.11,8.18,6272000,8.18
"234",8.13,8.16,7.9,8.03,9029300,8.03
"235",8.05,8.05,7.9,7.98,7949100,7.98
"236",7.99,8,7.88,7.91,6198400,7.91
"237",7.92,8.05,7.81,8.03,4792300,8.03
"238",8.05,8.07,7.86,7.9,7087200,7.9
"239",7.89,7.89,7.64,7.73,9454600,7.73
"240",7.72,7.91,7.69,7.78,6074500,7.78
"241",7.78,7.96,7.72,7.93,4801300,7.93
"242",7.9,7.92,7.62,7.65,9599100,7.65
"243",7.68,7.79,7.55,7.75,5241500,7.75
"244",7.85,7.88,7.7,7.86,6137800,7.86
"245",7.85,7.99,7.76,7.94,25770600,7.94
"246",7.9,7.93,7.7,7.72,7133200,7.72
"247",7.71,7.96,7.7,7.91,5506500,7.91
"248",7.97,8.11,7.91,8.05,7346500,8.05
"249",8.01,8.02,7.84,7.85,4742700,7.85
"250",7.97,8.01,7.86,7.88,7287700,7.88
"251",7.88,7.89,7.65,7.67,6616800,7.67
"252",7.71,7.88,7.68,7.83,6148600,7.83
"253",7.9,8.01,7.85,8,5516400,8
