"","DE.Open","DE.High","DE.Low","DE.Close","DE.Volume","DE.Adjusted"
"1",92.690002,92.989998,92.099998,92.449997,1793400,89.377999
"2",92.010002,92.040001,91.129997,91.419998,2233900,88.382225
"3",91.239998,91.599998,90.110001,90.470001,2352900,87.463796
"4",90.459999,90.879997,90.300003,90.470001,1785500,87.463796
"5",90.32,90.459999,89.959999,90.370003,1672200,87.36712
"6",90.360001,90.669998,89.769997,90.599998,1441500,87.589473
"7",90.419998,91.220001,90.010002,91.190002,1554900,88.159872
"8",91.010002,91.860001,90.879997,91.580002,1817500,88.536912
"9",91.879997,92.110001,91.660004,92.040001,2796600,88.981626
"10",91.339996,92.489998,91.339996,91.389999,2375300,88.353223
"11",91.239998,91.739998,90.5,90.629997,2042900,87.618475
"12",90.300003,91.07,89.970001,90.739998,2810500,87.724821
"13",90.360001,90.629997,89.980003,90.410004,1827300,87.987594
"14",90.269997,90.870003,90.169998,90.82,5211400,88.386605
"15",90.879997,91.949997,90.139999,90.550003,3243800,88.123843
"16",90.809998,90.809998,89.629997,90.080002,3464900,87.666434
"17",90.269997,90.519997,89.980003,90.349998,1785900,87.929197
"18",91.050003,91.5,90.760002,91.379997,1798200,88.931598
"19",90.970001,91.339996,90.32,90.790001,2135800,88.35741
"20",90.75,91.010002,90.080002,90.120003,3261500,87.705364
"21",90.089996,90.230003,88.419998,89.160004,4591400,86.771086
"22",88.370003,88.959999,87.879997,88.120003,4364900,85.758951
"23",87.940002,88.629997,87.169998,88.529999,3823800,86.157961
"24",89.190002,89.220001,88.470001,88.510002,3242200,86.138501
"25",88.349998,89.080002,88.279999,88.559998,3072800,86.187156
"26",88.589996,89.519997,88.309998,89.449997,3632600,87.05331
"27",88.830002,89,87.32,87.43,4071000,85.087436
"28",87.769997,88.239998,87.57,87.629997,2834200,85.282074
"29",87.400002,88.059998,87.199997,87.639999,2590800,85.291808
"30",88.209999,88.93,88.059998,88.400002,2389300,86.031447
"31",88.480003,88.559998,87.379997,87.449997,2974000,85.106897
"32",87.190002,87.599998,86.849998,86.980003,3273300,84.649496
"33",86.889999,86.949997,85.889999,86.169998,3398300,83.861194
"34",86,86.129997,85.190002,86.010002,5173400,83.705485
"35",85.830002,86.459999,85.690002,85.830002,3803500,83.530307
"36",85.959999,86.059998,85.010002,85.43,2744200,83.141023
"37",85,85.660004,84.529999,85.110001,3906000,82.829597
"38",85.220001,85.629997,84.559998,84.959999,3549700,82.683615
"39",84.989998,85.279999,84.629997,85.269997,2312300,82.985307
"40",84.919998,86.510002,84.849998,85.290001,4468800,83.004775
"41",84.860001,85.68,84.860001,85.410004,2825800,83.121562
"42",85.510002,86.099998,85.239998,85.370003,2593600,83.082633
"43",85.470001,87,85.309998,86.980003,2718700,84.649496
"44",87.07,87.389999,86.660004,87.160004,2178800,84.824673
"45",86.900002,87.190002,86.160004,86.480003,5172600,84.162893
"46",85.510002,86.980003,84.370003,84.489998,9515900,82.226207
"47",84.610001,84.980003,83.5,84.889999,6386700,82.615491
"48",85.120003,85.150002,83.879997,84.800003,4553200,82.527906
"49",85.209999,86.18,85.089996,86.110001,3225800,83.802804
"50",86.300003,86.300003,85.629997,85.709999,2101700,83.41352
"51",85.800003,86.330002,85.620003,85.870003,2755600,83.569236
"52",85.860001,86.610001,85.370003,86.209999,2217200,83.900123
"53",85.669998,85.940002,84.699997,84.760002,4225800,82.488977
"54",84.940002,85.349998,84.839996,85.110001,2210800,82.829597
"55",84.970001,85.260002,83.980003,84.099998,3716000,81.846657
"56",84.150002,84.25,83.660004,83.849998,3453700,81.603355
"57",83.580002,84.110001,83.190002,83.970001,2295600,81.720143
"58",84.080002,84.110001,83.470001,84.089996,2382100,81.836923
"59",84.010002,84.580002,83.529999,83.769997,2790200,81.525497
"60",84.169998,84.25,83.099998,83.169998,3042200,80.941575
"61",83.309998,84.010002,83.010002,83.110001,3421100,80.883185
"62",83.120003,83.18,82.57,82.790001,3524200,80.571759
