"","WFM.Open","WFM.High","WFM.Low","WFM.Close","WFM.Volume","WFM.Adjusted"
"73",39.099998,39.119999,38.470001,38.799999,4935700,38.357629
"74",38.709999,38.779999,38.07,38.139999,4850300,37.705154
"75",38.060001,38.389999,37.759998,38.34,3400700,38.022505
"76",38.18,38.360001,37.380001,37.580002,3984600,37.2688
"77",37.560001,37.880001,37.5,37.669998,2385700,37.358051
"78",37.459999,37.669998,37.299999,37.560001,2662300,37.248965
"79",37.560001,39.5,37.560001,38.110001,6965300,37.79441
"80",38.080002,38.150002,37.529999,37.849998,3935800,37.536561
"81",37.790001,38.439999,37.380001,37.529999,4719100,37.219211
"82",37.669998,38.400002,37.48,38.209999,3369200,37.89358
"83",38.349998,38.790001,38.23,38.490002,4708300,38.171264
"84",38.119999,38.139999,37.080002,37.43,5838400,37.120041
"85",37.369999,37.959999,37.110001,37.799999,4837900,37.486975
"86",37.73,37.900002,36.900002,37.23,4344300,36.921696
"87",37.189999,37.650002,36.689999,36.700001,4756700,36.396086
"88",36.759998,37.360001,36.689999,36.720001,4968200,36.415921
"89",36.799999,37.299999,36.759998,37.07,6079500,36.763021
"90",36.959999,37.43,36.240002,36.919998,6358500,36.614262
"91",36.439999,37.119999,36.349998,36.869999,3484600,36.564677
"92",37.150002,37.27,36.619999,36.939999,4054400,36.634097
"93",36.93,37.400002,36.93,37.200001,3837300,36.891946
"94",37.360001,38.09,37.150002,37.950001,3871300,37.635735
"95",37.900002,38.439999,37.639999,37.66,3475400,37.348135
"96",37.849998,38.43,37.759998,38.029999,3777200,37.71507
"97",38.150002,38.150002,37.580002,37.709999,4324900,37.397721
"98",37.669998,38.599998,37.630001,38.450001,4557800,38.131594
"99",38.560001,38.91,38.209999,38.799999,4314200,38.478694
"100",38.639999,39.080002,38,38.599998,3940800,38.28035
"101",38.220001,39.02,38,38.77,3624300,38.448944
"102",39.220001,39.43,38.82,39.330002,5263700,39.004308
"103",39.299999,40.389999,39.299999,39.950001,4906300,39.619173
"104",40,40.110001,39.450001,39.799999,4171200,39.470413
"105",40.389999,40.639999,39.790001,39.990002,10069500,39.658842
"106",43.389999,44.970001,43.369999,44.849998,27468400,44.478593
"107",45,47.490002,44.880001,46.810001,22488000,46.422365
"108",46.630001,48.09,46.389999,48.049999,13028100,47.652095
"109",48.200001,48.639999,47.029999,47.490002,8448700,47.096734
"110",47.560001,47.68,47.18,47.48,4725700,47.086815
"111",47.630001,47.68,46.32,46.73,5950600,46.343026
"112",46.709999,47.150002,46.32,47.110001,4985800,46.71988
"113",47.009998,47.740002,46.880001,47.41,4432100,47.017395
"114",47.439999,48.16,47.330002,47.889999,4761200,47.49342
"115",47.709999,48.119999,47.599998,47.779999,4306900,47.38433
"116",47.52,48.240002,47.52,47.689999,3794500,47.295075
"117",48.27,48.400002,47.650002,48.23,3883800,47.830604
"118",48.110001,48.209999,47.630001,48.209999,5029700,47.81077
"119",48.25,48.509998,47.93,48.18,3641000,47.781019
"120",48.099998,48.380001,48.060001,48.360001,2366100,47.959529
"121",48.48,49.299999,48.400002,49.029999,2517900,48.623979
"122",49,49.490002,48.580002,48.700001,3765500,48.296714
"123",48.73,48.950001,48.23,48.299999,2474900,47.900024
"124",48.529999,48.560001,47.790001,48.189999,2793300,47.790935
"125",48.259998,48.919998,48.209999,48.91,3900300,48.504974
"126",48.810001,48.939999,48.099998,48.290001,2325600,47.890109
"127",48.200001,48.580002,47.68,48.02,3493900,47.622344
"128",47.43,48.369999,47.240002,48.150002,3229300,47.751269
"129",48,48.349998,47.25,47.400002,2735800,47.00748
"130",47.470001,48.509998,47.459999,47.700001,2829100,47.304995
"131",47.209999,48.77,47.150002,48.32,4333000,47.919859
"132",47.810001,49.48,47.810001,48.540001,5180000,48.138039
"133",48.32,48.830002,47.869999,47.880001,3672900,47.483504
"134",47.889999,48.689999,47.610001,48.560001,3389800,48.157873
"135",49.02,49.099998,48.139999,48.959999,5615800,48.554559
"136",49.029999,49.200001,48.52,48.799999,4821500,48.395884
"137",48.950001,49.439999,48.75,49.07,2823500,48.663648
"138",49.240002,49.459999,49.049999,49.07,2021400,48.663648
"139",49.139999,49.27,48.639999,48.669998,1321300,48.266959
"140",48.84,48.970001,48.290001,48.400002,2309400,47.999199
"141",48.349998,50.040001,48.330002,49.709999,4464100,49.298348
"142",49.630001,50.939999,49.630001,50.400002,4275200,49.982636
"143",50.959999,51.040001,50.049999,50.419998,3277300,50.002468
"144",50.52,51.110001,49.779999,50.130001,3543700,49.714872
"145",50.040001,50.110001,49.200001,49.810001,4714000,49.397522
"146",49.830002,49.959999,49.009998,49.459999,4099200,49.050418
