"","UNH.Open","UNH.High","UNH.Low","UNH.Close","UNH.Volume","UNH.Adjusted"
"66",86.760002,87.120003,86.199997,87.080002,3034500,86.098944
"67",87.239998,87.239998,85.860001,86.18,2582400,85.209082
"68",86.300003,86.82,85.830002,86.029999,2441800,85.06077
"69",86,87.370003,85.849998,87.160004,2973700,86.178044
"70",86.949997,87.559998,86.470001,86.989998,3302700,86.009954
"71",87.419998,87.970001,87.190002,87.629997,2584000,86.642743
"72",88.510002,88.720001,87.639999,87.800003,6486300,86.810833
"73",87.800003,88.440002,87.480003,87.769997,2335400,86.781165
"74",87.32,87.690002,86.379997,86.589996,2640200,85.614459
"75",86.620003,88.459999,86.599998,88.209999,2661500,87.21621
"76",87.790001,88,86.029999,86.18,3657100,85.209082
"77",86.25,86.970001,85.910004,86.599998,2260500,85.624348
"78",85.580002,86.949997,85.580002,86.510002,3114800,85.535366
"79",86.68,87.080002,86.120003,86.25,2843200,85.278293
"80",86,86.260002,84.610001,84.879997,4140200,83.923725
"81",84.849998,85.269997,83.730003,84.900002,3047000,83.943504
"82",85.370003,86.279999,85.07,86.019997,3108100,85.050881
"83",86.650002,86.949997,84.949997,85.089996,2596100,84.131358
"84",84.900002,85.129997,83.93,84.190002,3412900,83.241503
"85",84.290001,86.839996,83.989998,86.620003,4787400,85.644127
"86",86.349998,86.550003,84.629997,84.940002,4432800,83.983054
"87",85.089996,86.82,85.050003,85.389999,4036800,84.427981
"88",85.220001,85.949997,83.760002,83.949997,3672600,83.004202
"89",84.339996,84.57,82.550003,82.82,5929500,81.886935
"90",82.169998,82.980003,80.720001,82.160004,8308900,81.234375
"91",84.760002,86.699997,84.099998,85.389999,10233000,84.427981
"92",86.849998,88.809998,86.75,88.18,8532800,87.186549
"93",88.239998,88.839996,88,88.540001,4890900,87.542494
"94",89.160004,91.080002,88.849998,90.949997,5882100,89.925339
"95",91.440002,91.440002,89.709999,89.769997,4290300,88.758632
"96",90.940002,91.279999,90.419998,90.660004,3159200,89.638612
"97",90.660004,91.699997,90.589996,91.639999,2977300,90.607567
"98",91.43,92.279999,91.379997,92.129997,3948900,91.092045
"99",91.050003,92.779999,90.360001,92.639999,4741300,91.596301
"100",92.900002,93.68,92.690002,92.959999,4330400,91.912696
"101",92.559998,94.150002,92.5,93.879997,2836400,92.822329
"102",95,95.669998,94.309998,95.010002,5031500,93.939603
"103",95.449997,95.669998,94.5,94.860001,4001200,93.791292
"104",94.989998,95.599998,94.239998,94.980003,4437300,93.909942
"105",95.57,96.010002,95.019997,95.800003,3454700,94.720704
"106",96.040001,96.639999,95.900002,96.209999,3743200,95.126081
"107",95.5,95.720001,93.010002,93.610001,6155400,92.555374
"108",93.68,95,93.5,94.75,4087700,93.68253
"109",95.050003,95.75,94.720001,95.690002,2291400,94.611942
"110",95.230003,95.970001,94.519997,95.68,2897600,94.602053
"111",95.639999,96.739998,95.400002,95.900002,2767700,94.819576
"112",96.019997,96.120003,94.870003,95.110001,2709500,94.038475
"113",95.199997,96.690002,94.839996,96.470001,3297600,95.383154
"114",96.989998,98.610001,96.849998,98.190002,4320800,97.083777
"115",97.730003,98.410004,96.790001,96.860001,3433800,95.768759
"116",96.459999,96.849998,96.169998,96.849998,3316700,95.75887
"117",97.400002,98.040001,96.589996,96.709999,4408600,95.620448
"118",97.269997,97.290001,96.510002,96.900002,3998800,95.808309
"119",97,98.139999,96.910004,97.900002,4066300,96.797043
"120",97.989998,98.739998,97.82,98.110001,2765900,97.004676
"121",98.699997,99.419998,98.43,98.629997,2177500,97.518815
"122",98.75,99.830002,98.010002,99.059998,4892800,97.943971
"123",99,100,98.199997,99.830002,4025700,98.7053
"124",99.879997,101.330002,99.699997,100.800003,6689000,100.040165
"125",100.839996,100.93,99.419998,99.669998,4065200,98.918678
"126",99.809998,100.709999,99.68,100.330002,3104900,99.573706
"127",100.32,100.900002,99.639999,99.919998,3085800,99.166793
"128",99.040001,101.089996,98.75,101.019997,3792200,100.2585
"129",100.769997,101.019997,99.010002,99.089996,3908700,98.343048
"130",99.389999,100.669998,99.239998,99.730003,2940600,98.978231
"131",99.580002,100.410004,98.690002,98.760002,3086500,98.015541
"132",98.800003,99.75,97.410004,98.269997,3649300,97.52923
"133",97.650002,98.779999,95.75,95.849998,4843800,95.127473
"134",96.550003,99.75,96.169998,99.139999,6235000,98.392674
"135",100.279999,102.260002,99.910004,102.239998,4681000,101.469305
"136",102,104,102,102.489998,7986500,101.71742
"137",102.580002,103.239998,102.470001,103.040001,2398100,102.263277
"138",103.720001,103.93,102.440002,102.849998,3028600,102.074707
"139",103,103.32,102.540001,102.68,950700,101.90599
"140",102.589996,103,102.160004,102.550003,2019900,101.776973
"141",102.379997,103.010002,101.830002,102.330002,1708100,101.55863
"142",102.25,103.059998,102.25,102.849998,1767600,102.074707
"143",103.120003,103.68,101.029999,101.089996,2313900,100.327972
"144",101.5,102.620003,100.010002,100.779999,3060900,100.020311
"145",100.300003,100.449997,98.75,99.120003,4679000,98.372828
"146",99.830002,100.139999,98.459999,98.919998,3468300,98.174331
"147",98.959999,100.300003,98.919998,99.93,3225800,99.17672
"148",101.57,104.980003,100.720001,104.699997,5346100,103.91076
"149",104.419998,104.629997,102.900002,103.720001,3397600,102.938152
"150",103.830002,104,101.910004,102.550003,3051500,101.776973
"151",103.940002,105.599998,101.839996,103.07,3856500,102.29305
"152",101.610001,103.480003,101.18,103.330002,4725600,102.551092
"153",103.559998,104.589996,103.129997,104.459999,5888900,103.672571
"154",104.5,106,103.650002,105.769997,6045500,104.972694
"155",106.199997,106.379997,104.5,105.620003,6526800,104.823831
"156",106.519997,109.449997,105.620003,109.32,8293700,108.495937
"157",109.75,114.120003,109.330002,113.849998,8055200,112.991788
"158",113.639999,114.32,112,112,5256000,111.155735
"159",112,112,110.760002,111.610001,4203400,110.768675
"160",110.949997,111.25,109.919998,110.010002,4718300,109.180738
"161",110.57,110.879997,108.449997,108.459999,6633500,107.642419
"162",108.150002,109.580002,106.739998,109.389999,4912300,108.565409
"163",108.620003,109.389999,106.139999,106.25,5397500,105.449079
"164",106.730003,107.339996,105.07,107.290001,4657100,106.48124
"165",107.349998,108,106.519997,107.809998,4192600,106.997317
"166",106.830002,108.739998,106.75,107.919998,4768900,107.106489
"167",108.32,109.809998,108.32,108.82,3297700,107.999706
"168",108.589996,109.400002,107.190002,107.599998,3610200,106.788901
"169",106.93,107.239998,106.279999,106.489998,3909700,105.687268
"170",107.260002,109.459999,107.129997,108.970001,5437400,108.148577
"171",108.730003,110.059998,108.379997,109.849998,3798500,109.02194
"172",110.699997,110.779999,108.830002,109.839996,3378000,109.012014
"173",109.690002,109.839996,108.68,109.440002,3727600,108.615035
"174",109.339996,109.760002,108.519997,109.760002,3430600,108.932622
"175",109.760002,110.220001,108.949997,109.769997,2958700,108.942542
"176",109.540001,110.360001,109.440002,110.029999,2674800,109.200584
"177",109.959999,112.82,109.440002,112.620003,4647100,111.771064
"178",112.989998,116.489998,112.849998,116.400002,7060000,115.522569
"179",116.260002,116.580002,115.32,115.43,3582800,114.55988
"180",115.82,115.82,113.720001,114.050003,3845900,113.190285
"181",114.410004,114.620003,113.370003,113.660004,3126800,112.803225
"182",113.769997,114.25,113.410004,113.629997,4016400,112.773445
"183",113.629997,114.849998,113.629997,114.400002,2952200,113.537645
"184",113.949997,114.489998,112.360001,112.860001,3163700,112.009253
"185",112.25,113.970001,111.650002,113.82,3180900,112.962015
"186",114.07,115.720001,114.07,114.790001,2941400,113.924705
"187",115.160004,115.160004,112.610001,112.879997,3196900,112.029099
"188",112.970001,114.959999,112.870003,114.900002,3942000,114.033876
"189",114.260002,114.410004,112.459999,112.459999,3957900,111.612267
"190",112.900002,113.589996,112.639999,112.720001,2593700,112.244591
"191",113.32,115.050003,113.150002,114.879997,3258600,114.395477
"192",114.440002,115.389999,113.529999,115.25,3066800,114.763919
"193",116,118.690002,115.82,118.519997,4692200,118.020124
"194",118.080002,118.129997,116.919998,117.599998,3303500,117.104006
"195",117.43,120.519997,116.730003,119.959999,5533500,119.454053
"196",120,121.099998,119.82,120.760002,4032500,120.250682
"197",121.349998,121.529999,119,119.139999,7195700,118.637512
"198",119.480003,120.480003,118.589996,119.040001,4576500,118.537935
"199",118.900002,119.639999,118.080002,118.120003,3054700,117.621817
"200",118.849998,119.75,116.510002,116.540001,3385500,116.048479
"201",116.07,117.209999,114.599998,116.25,2856400,115.759701
"202",116.059998,118.220001,116.019997,118.010002,2608500,117.51228
"203",122.32,123.760002,120.529999,121,5178500,120.489667
"204",120.800003,120.93,118.220001,118.290001,4573100,117.791098
"205",119.519997,119.519997,116.540001,117.449997,4826200,116.954637
"206",117.599998,118.379997,116.870003,117.360001,2497100,116.86502
"207",116.019997,118.519997,115.949997,117.699997,2544700,117.203583
"208",119.449997,119.830002,117.269997,117.349998,2528500,116.85506
"209",117.779999,118.830002,117.470001,118.190002,2627000,117.691521
"210",117.830002,118.760002,117.599998,118.550003,2247200,118.050004
"211",118.550003,119.099998,117.970001,119,2232600,118.498103
"212",121,121.309998,119.129997,119.370003,3961000,118.866545
"213",119.339996,120.18,118.519997,119.919998,3208800,119.414221
"214",120.379997,120.739998,116.550003,117.32,7344000,116.825188
"215",121.93,122.32,120.519997,121.599998,7068000,121.087135
"216",121,121.050003,117.739998,118.709999,4390000,118.209325
"217",119.849998,120.330002,118.07,118.580002,4650700,118.079876
"218",119,119.629997,118.760002,119.279999,3379800,118.776921
"219",119.540001,119.940002,117.169998,117.809998,3846700,117.313119
"220",117.480003,118.580002,116.959999,118.260002,3244300,117.761226
"221",118.279999,119.089996,118.019997,118.690002,3139200,118.189413
"222",119.18,119.410004,116.07,116.239998,5174300,115.749741
"223",116.889999,117.739998,114.279999,117.589996,4144800,117.094046
"224",116.220001,117.32,112.040001,113.610001,7122600,113.130836
"225",113.529999,114.330002,111.120003,111.400002,6705600,110.930158
"226",112.290001,113.660004,111.739998,113.199997,5805100,112.722562
"227",113.699997,114.93,113.449997,114.559998,3531500,114.076826
"228",113.940002,114.279999,113.010002,113.370003,3960400,112.891851
"229",114,114.489998,112.660004,113.489998,3369800,113.01134
"230",113.150002,115.139999,113.110001,114.760002,3300200,114.275988
"231",115.93,116.589996,115.050003,115.68,3066000,115.192105
"232",115.610001,115.790001,114.720001,114.769997,3376400,114.28594
"233",114.230003,115.080002,113.830002,114.639999,3844600,114.156491
"234",114.620003,116.300003,114.620003,115.860001,3667700,115.371347
"235",117.18,118.620003,116.209999,118.529999,4771400,118.030084
"236",118.779999,119.349998,118.309998,119.330002,3083800,118.826713
"237",119.220001,119.980003,118.839996,119.800003,2824700,119.294732
"238",119.82,121.129997,119.690002,120.550003,3554900,120.041568
"239",120.730003,121.849998,120.029999,121.239998,3379200,120.728653
"240",120.760002,120.839996,120.050003,120.459999,2983500,119.951944
"241",120.300003,120.779999,119.139999,119.589996,2945900,119.085611
"242",119.220001,119.589996,117.699997,118.239998,3014500,117.741306
"243",118.879997,119.849998,118.269997,119.449997,2887700,118.946202
"244",119.309998,119.82,118.290001,119.620003,2873600,119.11549
"245",120.059998,121.620003,117.739998,120.209999,6019900,119.702998
"246",120.540001,120.559998,118.75,119.860001,3876400,119.354476
"247",119.489998,119.68,117.410004,117.75,4219500,117.253375
"248",118,118.989998,117.449997,118.349998,3438100,117.850843
"249",117.919998,117.970001,116.029999,116.650002,3300300,116.158016
"250",116.330002,116.75,115.360001,116.529999,2724500,116.038519
"251",116.379997,117.669998,116.32,116.910004,3271300,116.416921
"252",116.93,117.379997,115.790001,116.989998,3047300,116.496578
"253",117.029999,118.879997,116.730003,118.550003,4006400,118.050004
