"","WYN.Open","WYN.High","WYN.Low","WYN.Close","WYN.Volume","WYN.Adjusted"
"238",87.220001,87.779999,86.610001,86.849998,569100,86.420957
"239",86.800003,87.010002,86.139999,86.489998,520500,86.062734
"240",86.489998,86.82,86.029999,86.720001,724200,86.291602
"241",86.690002,87.160004,86.300003,86.889999,607500,86.46076
"242",86.800003,86.809998,84.669998,85.019997,963200,84.599995
"243",85.099998,85.870003,85.050003,85.620003,670600,85.620003
"244",85.559998,85.849998,84.57,85.300003,717000,85.300003
"245",85.089996,85.330002,84.650002,84.910004,924700,84.910004
"246",85.07,85.690002,84.699997,84.870003,782800,84.870003
"247",84.43,85.400002,84.239998,85.07,931600,85.07
"248",85,85.709999,84.919998,85.550003,778200,85.550003
"249",85,86.120003,84.839996,85.029999,787300,85.029999
"250",84.739998,85.370003,84.169998,84.599998,1271300,84.599998
"251",84.029999,84.400002,83.57,83.75,1114700,83.75
"252",83.980003,85.120003,83.739998,84.580002,1092400,84.580002
"253",84.620003,85.410004,84.480003,85.019997,789800,85.019997
