"","EBAY.Open","EBAY.High","EBAY.Low","EBAY.Close","EBAY.Volume","EBAY.Adjusted"
"44",54.23,54.439999,53.73,53.880001,7929400,53.880001
"45",53.869999,53.93,53.18,53.43,7719000,53.43
"46",52.759998,53.150002,52.5,52.939999,12375200,52.939999
"47",52.880001,53.16,52.810001,52.93,9930900,52.93
"48",53.380001,53.380001,52.580002,52.639999,13588900,52.639999
"49",53.060001,53.169998,52.810001,53.110001,8867400,53.110001
"50",53.279999,53.759998,53.139999,53.75,8113400,53.75
"51",53.509998,53.669998,53.279999,53.400002,7511600,53.400002
"52",53.52,57.049999,53.5,55.889999,50434100,55.889999
"53",55.700001,55.98,55.220001,55.5,11738200,55.5
"54",55.610001,56.119999,55.380001,55.490002,6733700,55.490002
"55",55.5,56.5,55.41,56.25,8994500,56.25
"56",56.279999,56.709999,55.779999,55.919998,7576900,55.919998
"57",55.860001,55.860001,55.029999,55.43,9602900,55.43
"58",55.759998,55.759998,54.939999,55.5,8658500,55.5
"59",55.48,55.59,54.689999,54.880001,11178500,54.880001
"60",55.139999,55.310001,54.349998,54.549999,8117300,54.549999
"61",54.790001,55.450001,53.990002,54.439999,13083500,54.439999
"62",54.299999,54.41,53.299999,53.900002,16203700,53.900002
"63",53.779999,54.279999,53.470001,54.23,9067200,54.23
"64",54.360001,55,52.43,52.73,20227700,52.73
"65",51.48,51.549999,50.540001,51.099998,31000400,51.099998
"66",50.779999,51.279999,50.509998,50.68,16968200,50.68
"67",50.599998,53.07,50.040001,52.189999,42371100,52.189999
"68",52.220001,52.290001,50.759998,50.959999,12764800,50.959999
"69",50.970001,51.880001,50.560001,51.610001,13644100,51.610001
"70",51.720001,52.139999,51.400002,51.950001,11468000,51.950001
"71",52,52.73,51.77,52.700001,12390200,52.700001
"72",52.869999,53.060001,52.330002,52.400002,20415400,52.400002
"73",52.27,52.5,51.830002,52.470001,9501400,52.470001
"74",52.299999,53.040001,52.169998,52.740002,11232500,52.740002
"75",52.799999,53.189999,52.630001,52.93,8766100,52.93
"76",52.740002,52.93,52.02,52.150002,7517900,52.150002
"77",52,53.139999,51.950001,52.93,7569200,52.93
"78",52.509998,53.009998,52.299999,52.66,6996300,52.66
"79",56.619999,57.299999,55.950001,56.630001,77254500,56.630001
"80",55.150002,56.080002,54.98,55.459999,24292300,55.459999
"81",55.23,55.619999,54.369999,54.860001,12521600,54.860001
"82",55.060001,55.189999,54.16,54.439999,9569500,54.439999
"83",54.48,54.549999,53.48,53.549999,9324900,53.549999
"84",53.220001,53.68,52.939999,52.970001,9623600,52.970001
"85",53.279999,54.669998,53.220001,54.509998,15358100,54.509998
"86",54.169998,54.220001,52.799999,52.860001,8951000,52.860001
"87",52.799999,52.84,51.830002,51.860001,9128700,51.860001
"88",51.560001,51.93,50.360001,50.459999,9653900,50.459999
"89",50.939999,51.5,50.360001,50.59,12413200,50.59
"90",50.060001,50.32,48.919998,50.240002,16801900,50.240002
"91",48.490002,48.689999,46.34,47.880001,38140800,47.880001
"92",48.240002,48.580002,47.919998,47.950001,13942300,47.950001
"93",48.040001,49.360001,47.91,49.200001,12497400,49.200001
"94",49.650002,50.970001,49.52,50.860001,13959700,50.860001
"95",51.200001,51.610001,49.970001,50.130001,13560000,50.130001
"96",50.610001,51.07,50.360001,50.790001,10796700,50.790001
"97",50.790001,51.279999,50.57,51.119999,6387300,51.119999
"98",51.099998,51.490002,50.970001,51.189999,6959000,51.189999
"99",51.349998,51.349998,51,51.200001,8105500,51.200001
"100",50.790001,51.41,50.740002,51.330002,7322900,51.330002
"101",51.049999,52,50.919998,51.549999,6923200,51.549999
"102",52.68,52.73,51.98,52.5,8298300,52.5
"103",52.32,52.950001,52.290001,52.700001,6985900,52.700001
"104",52.560001,53.330002,52.360001,53.27,7727900,53.27
"105",53.470001,53.75,53.32,53.59,10761800,53.59
"106",53.619999,53.650002,52.990002,53.259998,5893400,53.259998
"107",53.349998,53.73,53.110001,53.52,5415100,53.52
"108",53.470001,53.939999,53.259998,53.889999,5283400,53.889999
"109",54.169998,54.360001,53.48,54.189999,7115600,54.189999
"110",53.810001,54.349998,53.299999,54.060001,6058900,54.060001
"111",54.060001,54.619999,53.93,54.369999,7812900,54.369999
"112",54.27,54.610001,54.060001,54.360001,4971300,54.360001
"113",54.369999,55.099998,54.369999,54.830002,7775000,54.830002
"114",54.810001,55.66,54.700001,55.380001,6966200,55.380001
"115",55.330002,55.330002,54.259998,54.939999,6721400,54.939999
"116",54.509998,54.720001,54.32,54.540001,5554200,54.540001
"117",54.75,54.849998,54.23,54.419998,8439900,54.419998
"118",54.68,54.700001,54.23,54.389999,6067100,54.389999
"119",54.23,54.689999,54.23,54.400002,6635400,54.400002
"120",54.560001,54.68,54.299999,54.57,3989500,54.57
"121",54.900002,55.200001,54.580002,54.880001,2969600,54.880001
"122",54.759998,55.119999,54.419998,54.869999,6842000,54.869999
"123",54.860001,55.400002,54.549999,55.02,5964300,55.02
"124",55.029999,55.029999,54.5,54.810001,5386500,54.810001
"125",54.630001,54.75,54.450001,54.669998,5646600,54.669998
"126",54.889999,54.889999,54.509998,54.810001,5589600,54.810001
"127",55.349998,55.639999,54.759998,55.150002,13228500,55.150002
"128",54.59,55.509998,54.560001,55.400002,11047900,55.400002
"129",55.02,55.59,54.900002,55.27,16424600,55.27
"130",55.41,57.630001,55.310001,56.790001,23727400,56.790001
"131",56.169998,56.779999,55.759998,55.77,9516000,55.77
"132",55.860001,56.700001,55.25,55.439999,7465500,55.439999
"133",55.380001,56.77,55.150002,55.939999,15189700,55.939999
"134",55.959999,56.470001,55.669998,56.41,10527700,56.41
"135",57.009998,57.529999,56.880001,57.529999,9036600,57.529999
"136",57.5,57.689999,56.959999,57.139999,15784000,57.139999
"137",57.470001,57.939999,57.060001,57.330002,13453300,57.330002
"138",57.73,57.740002,57.209999,57.23,5688100,57.23
"139",57.43,57.459999,57.09,57.099998,1761400,57.099998
"140",57.34,57.34,56.939999,57.040001,2858100,57.040001
"141",57.139999,57.439999,56.82,57.029999,3575400,57.029999
"142",56.860001,57.490002,56.84,57.220001,4398500,57.220001
"143",57.060001,57.25,56.080002,56.119999,5917700,56.119999
"144",56.380001,56.84,55.73,56.209999,5901200,56.209999
"145",55.849998,56.240002,55.299999,55.740002,7447000,55.740002
"146",55.799999,55.799999,54.689999,55.02,9649300,55.02
"147",55.18,55.48,54.439999,54.93,9251500,54.93
"148",55.310001,56.419998,55.299999,56.41,10238400,56.41
"149",56.32,56.43,55.5,55.630001,7008800,55.630001
"150",55.66,55.849998,54.970001,55.200001,4542000,55.200001
"151",55.82,56.400002,54.919998,55.130001,6468400,55.130001
"152",54.369999,54.73,53.52,54.029999,10080900,54.029999
"153",54.169998,54.310001,52.950001,53.02,11704400,53.02
"154",52.93,53.950001,52.759998,53.66,9823600,53.66
"155",53.900002,54.07,52.919998,53.68,8338900,53.68
"156",53.41,53.98,53.150002,53.380001,15990800,53.380001
"157",55.18,57.23,54.990002,57.150002,29893300,57.150002
"158",56.990002,57.279999,56.32,56.759998,13389700,56.759998
"159",56.369999,56.93,55.830002,56.060001,10291000,56.060001
"160",55.52,55.759998,54.669998,54.689999,9527400,54.689999
"161",55.049999,55.279999,53.790001,53.84,8592900,53.84
"162",53.75,54.060001,53.34,53.959999,6348800,53.959999
"163",53.849998,54.060001,52.959999,53,10509300,53
"164",53.110001,53.91,52.540001,53.709999,7796700,53.709999
"165",53.91,54.5,53.889999,54.25,7400600,54.25
"166",54.09,54.380001,53.509998,53.709999,6839900,53.709999
"167",53.849998,54.509998,53.709999,54.290001,6175000,54.290001
"168",54.200001,54.900002,54.060001,54.5,7952100,54.5
"169",54.009998,54.830002,54.009998,54.330002,4297100,54.330002
"170",54.439999,55.57,53.880001,55.27,10928500,55.27
"171",55.419998,55.450001,54.650002,55.139999,6225400,55.139999
"172",55.639999,55.650002,54.689999,54.740002,8954500,54.740002
"173",55.02,56.610001,55,56.470001,10285400,56.470001
"174",56.169998,56.459999,55.810001,56.419998,7448400,56.419998
"175",56.389999,56.990002,56.310001,56.900002,5919500,56.900002
"176",56.970001,57.700001,56.43,57.650002,7792200,57.650002
"177",57.669998,58.049999,57.259998,58.02,7009700,58.02
"178",57.84,58.599998,57.740002,58.07,8120300,58.07
"179",58.07,58.540001,57.869999,58.400002,5041800,58.400002
"180",58.540001,58.599998,57.970001,58.349998,7677700,58.349998
"181",58.23,58.860001,58.209999,58.540001,5710800,58.540001
"182",58.68,58.700001,57.740002,57.91,6269500,57.91
"183",57.549999,58.66,57.549999,58.380001,6490800,58.380001
"184",58.360001,58.630001,58.009998,58.259998,4903900,58.259998
"185",57.860001,58.799999,57.610001,58.310001,5791000,58.310001
"186",58.279999,59.290001,58.279999,59.080002,6882900,59.080002
"187",59.099998,60.470001,59.02,59.869999,13804800,59.869999
"188",59.869999,60.93,59.73,60.810001,13773800,60.810001
"189",60.049999,60.5,59.07,59.209999,15744600,59.209999
"190",59.330002,60.200001,59.32,59.68,10799900,59.68
"191",60.060001,60.150002,59.09,59.41,7425100,59.41
"192",60.040001,60.040001,58.619999,59.07,7867000,59.07
"193",59.52,59.98,59.119999,59.57,6324200,59.57
"194",59.549999,59.889999,58.849998,59.490002,6891000,59.490002
"195",59.360001,59.360001,57.68,58.43,15651900,58.43
"196",56.810001,58.34,56.689999,57.880001,13573300,57.880001
"197",58.209999,58.580002,57.93,57.93,21583900,57.93
"198",57.919998,59.220001,57.919998,58.619999,7417500,58.619999
"199",58.330002,60.029999,58.310001,59.509998,12523300,59.509998
"200",59.619999,59.619999,58.02,58.060001,10582500,58.060001
"201",57.560001,58.169998,57.259998,57.52,6548300,57.52
"202",57.349998,57.959999,57.299999,57.630001,6067300,57.630001
"203",57.75,58.400002,57.740002,57.93,4763100,57.93
"204",57.700001,58.389999,57.669998,57.68,4857900,57.68
"205",57.330002,57.73,56.810001,57.130001,4939200,57.130001
"206",57.049999,57.25,56.759998,56.91,3543600,56.91
"207",55.5,57.16,55.450001,56.82,6189500,56.82
"208",57.099998,57.91,56.84,57.080002,6840000,57.080002
"209",57.189999,57.610001,56.630001,57.110001,6875800,57.110001
"210",57.110001,57.450001,56.5,57.009998,4869900,57.009998
"211",57.419998,57.689999,57.060001,57.34,5094400,57.34
"212",57.16,58.23,56.790001,56.939999,7020800,56.939999
"213",56.790001,57.110001,56.369999,56.950001,5073400,56.950001
"214",56.98,57.299999,56.669998,57.02,5178400,57.02
"215",56.990002,57.389999,56.66,57.040001,4415100,57.040001
"216",56.330002,56.490002,55.400002,55.790001,8919500,55.790001
"217",55.990002,56.450001,55.41,56.07,8690700,56.07
"218",56.490002,56.66,56.029999,56.419998,7438600,56.419998
"219",56.380001,56.950001,56.220001,56.75,11053400,56.75
"220",59.41,59.849998,58.5,58.889999,15702000,58.889999
"221",59.099998,59.98,58.889999,59.200001,8691700,59.200001
"222",59.049999,59.279999,58.720001,59.09,6904800,59.09
"223",58.959999,60.139999,58.759998,59.48,9443500,59.48
"224",59.110001,59.639999,58.580002,58.880001,7271900,58.880001
"225",58.57,59,57.93,58.259998,6285900,58.259998
"226",58.259998,59.330002,58.02,59.299999,6836200,59.299999
"227",59.139999,59.48,58.880001,59.110001,4119700,59.110001
"228",58.77,59.02,57.880001,57.939999,7837100,57.939999
"229",57.810001,58.119999,56.93,57.490002,6983300,57.490002
"230",57.490002,58.220001,57.299999,57.959999,6618500,57.959999
"231",58.630001,58.970001,58.470001,58.82,4756300,58.82
"232",58.849998,59.18,58.189999,58.34,4559800,58.34
"233",57.84,58.59,57.57,58.299999,4534100,58.299999
"234",58.540001,59.389999,58.049999,58.810001,6363200,58.810001
"235",59.23,60.119999,58.950001,60.099998,6093300,60.099998
"236",60.150002,60.830002,59.369999,59.41,6180400,59.41
"237",59.220001,59.669998,59.16,59.459999,3913100,59.459999
"238",59.650002,59.73,59.209999,59.25,2902500,59.25
"239",59.470001,59.599998,58.619999,59.150002,4895900,59.150002
"240",59,59.939999,59,59.740002,5135700,59.740002
"241",59.73,60.169998,59.470001,59.720001,4539500,59.720001
"242",60.029999,60.049999,58.540001,58.73,6294200,58.73
"243",58.860001,59.639999,58.610001,59.380001,4255800,59.380001
"244",59.23,60.93,58.950001,60.560001,8905900,60.560001
"245",60.650002,61.639999,60.349998,61.360001,14554300,61.360001
"246",61.549999,63.029999,61.549999,62.560001,14084400,62.560001
"247",62.099998,63.029999,61.91,62,7035900,62
"248",62.369999,62.5,61.509998,62.009998,7894800,62.009998
"249",61.77,62.549999,61.73,62.490002,7440300,62.490002
"250",62.490002,63.299999,62.16,63.23,8988000,63.23
"251",62.52,62.52,60.450001,60.849998,12112700,60.849998
"252",60.73,60.84,59.740002,60.41,9463900,60.41
"253",60.560001,60.939999,60.209999,60.470001,8852500,60.470001
