"","PM.Open","PM.High","PM.Low","PM.Close","PM.Volume","PM.Adjusted"
"155",83.209999,83.989998,82.889999,83.580002,6172300,81.540595
"156",83.080002,84.610001,82.720001,84.550003,4518500,82.486928
"157",85.040001,85.290001,84.43,85.160004,6069700,83.082044
"158",84.610001,84.75,82.699997,82.82,6649300,80.799138
"159",82.949997,83.410004,82.5,83.050003,4658500,81.023529
"160",82.529999,82.720001,81.379997,81.599998,8541900,79.608905
"161",82.029999,82.300003,80.389999,80.580002,5878700,78.613797
"162",80.510002,81.5,80.32,81.220001,4108200,79.23818
"163",80.529999,81.190002,80.099998,80.239998,6692900,78.28209
"164",80.239998,81.699997,80.059998,81.629997,4129600,79.638172
"165",82,82.440002,81.809998,82.239998,4103200,80.233288
"166",82.040001,82.599998,81.849998,82.080002,5151100,80.077196
"167",82.419998,83.239998,81.309998,82.57,6317100,80.555238
"168",82.32,82.32,80.940002,81.269997,5856100,79.286956
"169",80.809998,81.480003,80.559998,80.830002,4357200,78.857697
"170",80.919998,81.209999,80.529999,81.080002,6732200,79.101597
"171",81.360001,82.730003,81.160004,82.480003,5670500,80.467438
"172",82.709999,83.720001,82.580002,83.690002,5324600,81.647912
"173",83.809998,83.860001,82.660004,82.870003,4924700,80.847921
"174",82.800003,82.849998,82.300003,82.709999,4391000,80.691821
"175",82.339996,83.010002,82.239998,83,2487300,80.974746
"176",82.959999,83.050003,82.410004,82.620003,3774300,80.604021
"177",82.470001,83.129997,82.25,83.040001,3572000,81.013771
"178",82.800003,82.949997,82.279999,82.889999,3362400,80.867429
"179",82.709999,83.620003,82.639999,83.510002,3313300,81.472304
"180",83.510002,83.720001,83.199997,83.470001,2850200,81.433279
"181",83.239998,83.400002,82.57,82.800003,2973200,80.779629
"182",82.730003,83.099998,82.139999,82.959999,5971700,80.935721
"183",82.959999,83.220001,82.639999,82.949997,3188900,80.925963
"184",82.669998,82.989998,82.459999,82.699997,3597500,80.682063
"185",82.690002,82.699997,81.690002,82.169998,3582500,80.164997
"186",82.199997,82.370003,81.540001,81.709999,3418800,79.716222
"187",81.279999,81.349998,79.790001,80.050003,7757400,78.096731
"188",80.18,80.599998,80.07,80.449997,4574300,78.486965
"189",80,80,79.059998,79.25,7066900,77.316248
"190",79.330002,79.440002,77.379997,77.82,7285400,75.921141
"191",78.260002,78.779999,77.959999,78.730003,4806600,76.80894
"192",78.730003,78.730003,76.849998,77.650002,5337600,75.755291
"193",78.07,78.379997,77.459999,77.889999,5361800,75.989433
"194",77.769997,78.25,77.629997,77.889999,4141000,75.989433
"195",77.599998,79.279999,76.589996,78.559998,9179200,76.643082
"196",78.639999,79.32,78.559998,78.860001,9453800,76.935765
"197",78.830002,79.480003,78.790001,79.449997,10919200,77.511365
"198",79.449997,80.150002,79.449997,79.860001,4841100,77.911365
"199",78.870003,79.199997,77.5,77.529999,6021500,76.597363
"200",77.809998,77.970001,76.540001,76.699997,7923800,75.777346
"201",76.559998,76.959999,76.269997,76.339996,7069200,75.421676
"202",76.269997,76.870003,76.160004,76.790001,5158800,75.866267
"203",77.25,77.25,76.260002,76.860001,4390600,75.935425
"204",76.540001,76.550003,75.300003,75.330002,7498300,74.423831
"205",75.269997,76.089996,75.269997,76.07,6915100,75.154927
"206",76.440002,77.419998,75.949997,77.260002,4745400,76.330615
"207",77.290001,78.660004,77.239998,78.199997,5553100,77.259302
"208",78.190002,78.57,77.739998,77.739998,4790500,76.804836
"209",77.730003,78,76.93,77.239998,4556200,76.310851
"210",77.019997,77.989998,77,77.860001,3371800,76.923395
"211",78.110001,78.57,77.870003,77.900002,3860100,76.962915
"212",77.5,77.889999,77.25,77.389999,3585400,76.459048
"213",77.139999,78.279999,77.120003,78.110001,4890200,77.170388
"214",78.440002,78.910004,77.870003,78.129997,7231400,77.190144
"215",82.419998,85.260002,82.209999,84.959999,23609500,83.937986
"216",84.57,85.489998,84.32,85.260002,8306700,84.23438
"217",85.400002,85.75,84.470001,84.980003,6388200,83.957749
"218",84.989998,85.300003,83.860001,84.050003,4399300,83.038936
"219",84.059998,84.059998,82.919998,83.690002,5951900,82.683266
"220",83.169998,84.379997,82.879997,83.550003,4347100,82.544951
"221",83.540001,83.870003,82.669998,82.75,4498500,81.754571
"222",82.779999,82.900002,82.050003,82.089996,4865200,81.102507
"223",82.019997,83.099998,82.019997,82.879997,5079800,81.883005
"224",82.459999,82.879997,81.949997,82.730003,5879500,81.734815
"225",82.860001,83.510002,82.480003,83.470001,6162100,82.465911
"226",83.470001,83.730003,82.910004,83.389999,3269200,82.386872
"227",83.660004,83.699997,83,83.209999,2482400,82.209037
"228",83.190002,83.440002,82.559998,82.809998,2903600,81.813847
"229",83.610001,83.879997,82.989998,83.870003,5323900,82.861101
"230",83.760002,84.260002,83.25,84.010002,3250500,82.999416
"231",84.839996,85.739998,84.699997,85.190002,4380600,84.165222
"232",85.019997,85.370003,84.010002,84.129997,3155100,83.117968
"233",83.510002,84.75,83.32,84.129997,3027100,83.117968
"234",84.330002,84.889999,83.870003,84.529999,4317500,83.513158
"235",85,86.910004,84.910004,86.790001,6186300,85.745974
"236",86.68,86.769997,85.989998,86.57,3702900,85.528619
"237",86.650002,86.709999,85.599998,86.029999,3173300,84.995114
"238",85.589996,85.919998,85.019997,85.660004,2952500,84.62957
"239",85.550003,86.080002,85.309998,85.410004,2411300,84.382577
"240",85.410004,85.410004,84.599998,85.139999,3041900,84.115821
"241",84.75,84.860001,84.099998,84.150002,2733800,83.137732
"242",83.970001,84.019997,83.18,83.720001,2961100,82.712904
"243",84,84.370003,83.620003,84.220001,3436200,83.206889
"244",84.349998,84.760002,83.660004,84.260002,2849000,83.246409
"245",84.040001,84.040001,82.970001,83.07,4481000,82.070722
"246",82.900002,83.43,82.5,83.190002,3378800,82.189281
"247",82.800003,83.519997,82.32,82.949997,3741000,81.952162
"248",83.400002,83.43,82.389999,82.419998,2936900,81.428539
"249",82.410004,82.839996,81.660004,81.830002,3281600,80.84564
"250",81.5,81.669998,79.5,79.699997,6152000,78.741258
"251",79.699997,80.639999,79.379997,80.150002,4313300,79.185849
"252",80.040001,81.209999,80.040001,80.75,3823000,79.77863
"253",80.760002,82.709999,80.760002,82.290001,6310700,81.300106
