0,1,2,3,4,5,6,7,8,9,10,11
NBL,,,,,,,,,,,
MYL,,,,,,,,,,,
MWV,,,,,,,,,,,
MUR,,,,,,,,,,,
MU,,,,,,,,,,,
MTB,,,,,,,,,,,
MSI,,,,,,,,,,,
MSFT,,,,,,,,,,,
MS,,,,,,,,,,,
MRO,,,,,,,,,,,
MRK,,,,,,,,,,,
MPC,,,,,,,,,,,
MON,,,,,,,,,,,
MO,,,,,,,,,,,
MMM,,,,,,,,,,,
MMC,,,,,,,,,,,
MKC,,,,,,,,,,,
MJN,,,,,,,,,,,
MET,,,,,,,,,,,
MDT,,,,,,,,,,,
MDLZ,,,,,,,,,,,
MCHP,,,,,,,,,,,
MCD,,,,,,,,,,,
MAT,,,,,,,,,,,
MAS,,,,,,,,,,,
MAR,,,,,,,,,,,
M,,,,,,,,,,,
LUV,,,,,,,,,,,
LUK,,,,,,,,,,,
LTD,,,,,,,,,,,
LRCX,,,,,,,,,,,
LOW,,,,,,,,,,,
LO,,,,,,,,,,,
LNC,,,,,,,,,,,
LMT,,,,,,,,,,,
LM,,,,,,,,,,,
LLY,,,,,,,,,,,
LLTC,,,,,,,,,,,
LLL,,,,,,,,,,,
LH,,,,,,,,,,,
LEN,,,,,,,,,,,
LEG,,,,,,,,,,,
L,,,,,,,,,,,
KSS,,,,,,,,,,,
KRFT,,,,,,,,,,,
KR,,,,,,,,,,,
KO,,,,,,,,,,,
KMX,,,,,,,,,,,
KMI,,,,,,,,,,,
KMB,,,,,,,,,,,
KLAC,,,,,,,,,,,
KIM,,,,,,,,,,,
KEY,,,,,,,,,,,
K,,,,,,,,,,,
JWN,,,,,,,,,,,
JPM,,,,,,,,,,,
JOY,,,,,,,,,,,
JNPR,,,,,,,,,,,
JNJ,,,,,,,,,,,
JEC,,,,,,,,,,,
JDSU,,,,,,,,,,,
JCP,,,,,,,,,,,
JCI,,,,,,,,,,,
JBL,,,,,,,,,,,
IVZ,,,,,,,,,,,
ITW,,,,,,,,,,,
IRM,,,,,,,,,,,
IR,,,,,,,,,,,
IPG,,,,,,,,,,,
IP,,,,,,,,,,,
INTC,,,,,,,,,,,
IGT,,,,,,,,,,,
IFF,,,,,,,,,,,
ICE,,,,,,,,,,,
HSY,,,,,,,,,,,
HST,,,,,,,,,,,
HSP,,,,,,,,,,,
HRS,,,,,,,,,,,
HRL,,,,,,,,,,,
HRB,,,,,,,,,,,
HPQ,,,,,,,,,,,
HP,,,,,,,,,,,
HOT,,,,,,,,,,,
HON,,,,,,,,,,,
HOG,,,,,,,,,,,
HIG,,,,,,,,,,,
HES,,,,,,,,,,,
HD,,,,,,,,,,,
HCP,,,,,,,,,,,
HCN,,,,,,,,,,,
HCBK,,,,,,,,,,,
HBAN,,,,,,,,,,,
HAS,,,,,,,,,,,
HAR,,,,,,,,,,,
HAL,,,,,,,,,,,
GT,,,,,,,,,,,
GS,,,,,,,,,,,
GPS,,,,,,,,,,,
GPC,,,,,,,,,,,
GNW,,,,,,,,,,,
GME,,,,,,,,,,,
GLW,,,,,,,,,,,
GIS,,,,,,,,,,,
GILD,,,,,,,,,,,
GE,,,,,,,,,,,
GD,,,,,,,,,,,
GAS,,,,,,,,,,,
FTR,,,,,,,,,,,
FTI,,,,,,,,,,,
FOSL,,,,,,,,,,,
FMC,,,,,,,,,,,
FLS,,,,,,,,,,,
FLR,,,,,,,,,,,
FLIR,,,,,,,,,,,
FITB,,,,,,,,,,,
FIS,,,,,,,,,,,
FII,,,,,,,,,,,
FHN,,,,,,,,,,,
FFIV,,,,,,,,,,,
FE,,,,,,,,,,,
FDX,,,,,,,,,,,
FDO,,,,,,,,,,,
FAST,,,,,,,,,,,
F,,,,,,,,,,,
EXPE,,,,,,,,,,,
EXPD,,,,,,,,,,,
EXC,,,,,,,,,,,
EW,,,,,,,,,,,
ETR,,,,,,,,,,,
ETN,,,,,,,,,,,
ETFC,,,,,,,,,,,
ESV,,,,,,,,,,,
ESRX,,,,,,,,,,,
EQT,,,,,,,,,,,
EQR,,,,,,,,,,,
EOG,,,,,,,,,,,
EMR,,,,,,,,,,,
EMN,,,,,,,,,,,
EMC,,,,,,,,,,,
EL,,,,,,,,,,,
EIX,,,,,,,,,,,
EFX,,,,,,,,,,,
ED,,,,,,,,,,,
ECL,,,,,,,,,,,
EBAY,,,,,,,,,,,
EA,,,,,,,,,,,
DVN,,,,,,,,,,,
DVA,,,,,,,,,,,
DUK,,,,,,,,,,,
DTV,,,,,,,,,,,
DTE,,,,,,,,,,,
DRI,,,,,,,,,,,
DPS,,,,,,,,,,,
DOW,,,,,,,,,,,
DOV,,,,,,,,,,,
DNB,,,,,,,,,,,
DLTR,,,,,,,,,,,
DISCA,,,,,,,,,,,
DIS,,,,,,,,,,,
DHR,,,,,,,,,,,
DHI,,,,,,,,,,,
DGX,,,,,,,,,,,
DG,,,,,,,,,,,
DFS,,,,,,,,,,,
DF,,,,,,,,,,,
DE,,,,,,,,,,,
DD,,,,,,,,,,,
D,,,,,,,,,,,
CVX,,,,,,,,,,,
CVS,,,,,,,,,,,
CVH,,,,,,,,,,,
CVC,,,,,,,,,,,
CTXS,,,,,,,,,,,
CTSH,,,,,,,,,,,
CTL,,,,,,,,,,,
CTAS,,,,,,,,,,,
CSX,,,,,,,,,,,
CSCO,,,,,,,,,,,
CSC,,,,,,,,,,,
CRM,,,,,,,,,,,
CPB,,,,,,,,,,,
COST,,,,,,,,,,,
COP,,,,,,,,,,,
COL,,,,,,,,,,,
COH,,,,,,,,,,,
COG,,,,,,,,,,,
COF,,,,,,,,,,,
CNX,,,,,,,,,,,
CNP,,,,,,,,,,,
CMS,,,,,,,,,,,
CMI,,,,,,,,,,,
CME,,,,,,,,,,,
CMCSA,,,,,,,,,,,
CMA,,,,,,,,,,,
CLX,,,,,,,,,,,
CL,,,,,,,,,,,
CINF,,,,,,,,,,,
CHRW,,,,,,,,,,,
CFN,,,,,,,,,,,
CERN,,,,,,,,,,,
CCL,,,,,,,,,,,
CCI,,,,,,,,,,,
CCE,,,,,,,,,,,
CBS,,,,,,,,,,,
CBG,,,,,,,,,,,
CB,,,,,,,,,,,
CAT,,,,,,,,,,,
CAM,,,,,,,,,,,
CAH,,,,,,,,,,,
CAG,,,,,,,,,,,
CA,,,,,,,,,,,
C,,,,,,,,,,,
BXP,,,,,,,,,,,
BWA,,,,,,,,,,,
BSX,,,,,,,,,,,
BRCM,,,,,,,,,,,
BMY,,,,,,,,,,,
BMS,,,,,,,,,,,
BLL,,,,,,,,,,,
BLK,,,,,,,,,,,
BK,,,,,,,,,,,
BIG,,,,,,,,,,,
BHI,,,,,,,,,,,
BEN,,,,,,,,,,,
BDX,,,,,,,,,,,
BBY,,,,,,,,,,,
BBT,,,,,,,,,,,
BBBY,,,,,,,,,,,
BAX,,,,,,,,,,,
BAC,,,,,,,,,,,
BA,,,,,,,,,,,
AXP,,,,,,,,,,,
AVY,,,,,,,,,,,
AVB,,,,,,,,,,,
ATI,,,,,,,,,,,
ARG,,,,,,,,,,,
APH,,,,,,,,,,,
APD,,,,,,,,,,,
APC,,,,,,,,,,,
AON,,,,,,,,,,,
ANF,,,,,,,,,,,
AN,,,,,,,,,,,
AMT,,,,,,,,,,,
AMGN,,,,,,,,,,,
AMAT,,,,,,,,,,,
ALTR,,,,,,,,,,,
ALL,,,,,,,,,,,
AKAM,,,,,,,,,,,
AIZ,,,,,,,,,,,
AIV,,,,,,,,,,,
AIG,,,,,,,,,,,
AFL,,,,,,,,,,,
AET,,,,,,,,,,,
AES,,,,,,,,,,,
AEP,,,,,,,,,,,
AEE,,,,,,,,,,,
ADT,,,,,,,,,,,
ADSK,,,,,,,,,,,
ADP,,,,,,,,,,,
ADM,,,,,,,,,,,
ADI,,,,,,,,,,,
ADBE,,,,,,,,,,,
ACE,,,,,,,,,,,
ABT,,,,,,,,,,,
ABC,,,,,,,,,,,
AA,,,,,,,,,,,
A,,,,,,,,,,,
