"","APD.Open","APD.High","APD.Low","APD.Close","APD.Volume","APD.Adjusted"
"1123",143.910004,145.389999,143.630005,145.149994,1694500,142.812008
"1124",145.149994,145.619995,144.259995,144.75,1054400,142.418457
"1125",144.860001,146.460007,144.860001,145.350006,1748300,143.008798
"1126",144.880005,145.289993,143.869995,145.210007,925100,142.871054
"1127",144.830002,145,143.410004,143.830002,551100,141.513277
"1128",143.630005,144.559998,142.970001,144.089996,955700,141.769084
"1129",143.860001,144.449997,143.339996,143.809998,992200,141.493595
"1130",143.649994,145.699997,143.419998,145.380005,942700,143.038314
"1131",144.990005,146.309998,144.229996,145.800003,826000,143.451547
"1132",145.929993,147.529999,145.820007,146.729996,787800,144.36656
"1133",146.600006,146.690002,145.110001,145.589996,944200,143.244923
"1134",144.649994,145.039993,143.380005,144.770004,919400,142.438139
"1135",144.350006,144.820007,141.490005,142.009995,1180700,139.722586
"1136",142.929993,144.529999,142.130005,143.270004,1160400,140.9623
"1137",141.880005,142.630005,137.970001,138.059998,1797100,135.836213
"1138",138.919998,139.119995,135.410004,137.320007,1995300,135.108142
"1139",136.520004,139.869995,136.380005,136.820007,1236800,134.616195
"1140",137.539993,141.350006,137.139999,140.960007,1568800,138.68951
"1141",142.630005,144.690002,142.399994,144.449997,2255800,142.123286
"1142",144.990005,148.740005,144.449997,147.039993,2286100,144.671564
"1143",147,147.860001,146.520004,147.830002,992100,145.448848
"1144",148.339996,149.279999,148.139999,148.580002,666300,146.186767
"1145",148.580002,149.080002,148.050003,148.580002,272300,146.186767
"1146",148.720001,149.610001,148.039993,149.119995,323200,146.718063
"1147",148.720001,149.300003,147.759995,148.339996,532600,145.950628
"1148",146.929993,147.929993,146.179993,146.440002,649600,144.833032
"1149",145.679993,146.850006,144.119995,144.229996,1037300,142.647277
"1150",143.389999,145.839996,142.880005,145.429993,1344600,143.834106
"1151",144.360001,144.360001,139.720001,140.779999,1762600,139.235139
"1152",141.490005,142.75,139.710007,140.729996,1184200,139.185685
"1153",141.830002,142.649994,140.729996,142.25,677100,140.689009
"1154",142.899994,145.899994,142.899994,145.539993,997100,143.9429
"1155",145.880005,145.880005,143.199997,143.360001,741500,141.786829
"1156",143.25,143.339996,141.529999,142.369995,526100,140.807688
"1157",143.270004,144.289993,140.100006,141.619995,689100,140.065918
"1158",139.490005,140.220001,137.619995,139.929993,1023800,138.394461
"1159",141.339996,142.050003,139.100006,139.460007,917700,137.929632
"1160",139.5,140.399994,137.070007,139.710007,1464000,138.176889
"1161",140.970001,141.720001,138.979996,141.380005,967500,139.828561
"1162",141.330002,143.660004,140.630005,143.100006,747100,141.529688
"1163",143.789993,144.460007,141.630005,144.320007,883400,142.736301
"1164",144,144.080002,142.210007,143.460007,847900,141.885738
"1165",143.059998,143.550003,141.679993,143.080002,1218100,141.509903
"1166",141.559998,143.169998,140.490005,141.850006,1240500,140.293405
"1167",142.25,142.899994,138.389999,138.830002,1854100,137.306541
"1168",143,148.050003,143,146.990005,3451200,145.377
"1169",145.649994,149,145,145.610001,2650300,144.012139
"1170",144.369995,148.160004,141.880005,147.679993,1360100,146.059416
"1171",148.490005,149.149994,146.559998,148.410004,1313900,146.781416
"1172",148.059998,149.5,147.229996,148.419998,988200,146.791301
"1173",149.279999,151.570007,148.949997,151.520004,1207700,149.857288
"1174",151.270004,151.779999,149.770004,150.320007,741900,148.67046
"1175",150.199997,151.100006,149.339996,149.770004,864500,148.126492
"1176",150.020004,150.860001,148.649994,150.289993,915500,148.640775
"1177",149.889999,150.539993,148.740005,150.009995,756000,148.363849
"1178",150.979996,152.570007,150.119995,152.220001,1440200,150.549604
"1179",152.059998,153.580002,151.789993,152.809998,727900,151.133126
"1180",152.520004,154.190002,152.199997,153.460007,827300,151.776002
"1181",153.460007,154.029999,152.600006,153.869995,715600,152.181492
"1182",154.5,157.110001,154.050003,156.080002,960000,154.367247
"1183",155.809998,157.729996,154.610001,157.660004,898400,155.92991
"1184",156.820007,157.360001,155.839996,156.100006,830000,154.387031
"1185",156.440002,157.539993,155.949997,156.979996,741100,155.257364
"1186",156.979996,157.639999,156.809998,157.050003,450800,155.326603
"1187",156.740005,157.279999,155.850006,156.630005,514200,154.911214
"1188",156.779999,156.869995,155.949997,156.139999,648700,154.426586
"1189",156.139999,158.199997,156,158.130005,883000,156.394754
"1190",157.839996,158.199997,155.860001,156.059998,686100,154.347462
"1191",155.899994,156.699997,154.429993,154.740005,1121900,153.041955
"1192",154.800003,155.059998,154.199997,154.860001,611200,153.160633
"1193",153.75,154.210007,152.309998,152.610001,993900,150.935324
"1194",153.270004,154.25,152.970001,153.889999,591400,152.201276
"1195",152.460007,152.75,151.279999,152.100006,966700,150.430926
"1196",152.649994,152.789993,151.289993,151.300003,798900,149.639701
"1197",152.119995,153.470001,152,153.289993,731500,151.607854
"1198",152.690002,153.139999,151.119995,152,678400,150.332017
"1199",152.899994,153.440002,151.949997,152.630005,653600,150.955108
"1200",152.309998,153.240005,151.380005,152.639999,790800,150.964993
"1201",151.759995,155.789993,150.350006,154.679993,1188300,152.982601
"1202",153.770004,154.029999,151.580002,152.240005,779100,150.569389
"1203",151.949997,153.649994,150.949997,152.710007,1866500,151.034232
"1204",152.710007,153.199997,151.889999,151.889999,813500,150.223223
"1205",152,152.800003,151.639999,152.179993,632300,150.510034
"1206",152.309998,153.619995,150.630005,150.660004,830900,149.006725
"1207",149.919998,151.960007,148.910004,151.160004,843100,149.501238
"1208",151.289993,153.169998,150.360001,152.75,1061800,151.073787
"1209",154.009995,154.550003,153.009995,153.800003,1598900,152.923188
"1210",153.229996,154.110001,151.160004,151.279999,1619700,150.417551
"1211",150.889999,151.820007,149.339996,150.089996,1409400,149.234332
"1212",149.830002,151.720001,149.600006,151.039993,587900,150.178913
"1213",151.070007,152.529999,150.619995,152.089996,874500,151.22293
"1214",151.710007,153.440002,151.119995,151.179993,662500,150.318115
"1215",151.429993,152.229996,150.220001,150.970001,640900,150.10932
