"","FOSL.Open","FOSL.High","FOSL.Low","FOSL.Close","FOSL.Volume","FOSL.Adjusted"
"147",71.779999,71.980003,69.120003,70.529999,985600,70.529999
"148",71.019997,72,69.800003,71.900002,813200,71.900002
"149",71.839996,71.870003,70.779999,71.459999,829900,71.459999
"150",71.610001,72.769997,69.160004,69.519997,1171500,69.519997
"151",69.959999,70.019997,66.889999,68.589996,1689700,68.589996
"152",68.739998,69.660004,67.519997,69.279999,833400,69.279999
"153",68.839996,70.300003,68.760002,70.290001,537300,70.290001
"154",70.199997,70.849998,69.25,70.160004,623300,70.160004
"155",70.169998,70.989998,68.849998,69.209999,718100,69.209999
"156",68.879997,70.879997,68.879997,70.050003,622400,70.050003
"157",70.110001,70.949997,69.110001,69.239998,606800,69.239998
"158",69.239998,69.849998,68.480003,69.660004,520900,69.660004
"159",69.300003,69.300003,66.050003,67.860001,1071200,67.860001
"160",67.980003,69.639999,67.349998,69.419998,516100,69.419998
"161",69.470001,71.199997,68.699997,70.900002,538100,70.900002
"162",70.790001,71.440002,69,69.959999,529100,69.959999
"163",69.989998,71.519997,69.300003,71.050003,471400,71.050003
"164",71.57,73.379997,70.849998,73.050003,851000,73.050003
"165",72.980003,73.300003,72.139999,72.82,279500,72.82
"166",72.599998,74.75,72.25,74.150002,632500,74.150002
"167",74.220001,76.669998,73.720001,76.559998,644500,76.559998
"168",76.690002,76.940002,75.739998,76.559998,339000,76.559998
"169",76.620003,78.25,76.480003,78.209999,464700,78.209999
"170",78.269997,80.150002,78.019997,79.660004,1275400,79.660004
"171",79.370003,80.470001,78.510002,80.449997,738600,80.449997
"172",80.459999,83.400002,79.290001,82.790001,1218600,82.790001
"173",82.379997,83.68,81.919998,83.510002,1564900,83.510002
"174",80.779999,80.980003,75.489998,78.769997,4328600,78.769997
"175",78.800003,80.980003,78.519997,79.089996,1160300,79.089996
"176",78.489998,78.839996,77.190002,78.419998,751300,78.419998
"177",78.629997,79.650002,78.410004,78.889999,740900,78.889999
"178",78.059998,79.25,76.959999,77.57,975800,77.57
"179",77.650002,77.650002,72.57,74.709999,1021300,74.709999
"180",74.599998,76.269997,73.760002,74.809998,973500,74.809998
"181",75.239998,78,74.82,77.870003,1220300,77.870003
"182",77.800003,78.260002,75.699997,76.739998,1108500,76.739998
"183",77.169998,77.790001,74.75,75.110001,763500,75.110001
"184",74.809998,76.879997,74.029999,76.190002,670200,76.190002
"185",76.900002,80.589996,76.660004,80.330002,1231900,80.330002
"186",80.419998,80.849998,79.059998,80.830002,1389300,80.830002
"187",81.129997,83.389999,80.089996,83.050003,1878500,83.050003
"188",82.830002,84.190002,81.480003,83.209999,1194700,83.209999
"189",83.120003,85.199997,82.809998,84.830002,1065100,84.830002
"190",83.699997,85.129997,82.489998,83.279999,1010300,83.279999
"191",82.550003,83.440002,81.540001,82.550003,989700,82.550003
"192",82,82.720001,80.559998,82.43,724900,82.43
"193",79.779999,83.050003,79.410004,82.550003,877600,82.550003
"194",82.190002,85.010002,81.050003,81.769997,1064100,81.769997
"195",83.029999,83.839996,80.720001,81.040001,874300,81.040001
"196",82,82.059998,79.220001,79.519997,1643600,79.519997
"197",80.589996,81.989998,79.629997,81.800003,917100,81.800003
"198",81.690002,83.660004,81.239998,83.040001,749400,83.040001
"199",82.580002,84.830002,81.709999,84.330002,1186600,84.330002
"200",84.809998,85.779999,83.68,85.519997,803000,85.519997
"201",86,89.419998,85.970001,88.529999,1154900,88.529999
"202",88.910004,89.199997,87.910004,88.25,697100,88.25
"203",88.120003,90.18,87.589996,90.050003,725300,90.050003
"204",90.790001,91.949997,90.080002,91.690002,588600,91.690002
"205",90.989998,93.650002,90.400002,93.650002,1065400,93.650002
"206",93.650002,94.769997,92.949997,93.610001,760300,93.610001
"207",93.699997,94.220001,92.800003,93.519997,746000,93.519997
"208",93.5,94.120003,93.160004,93.620003,626700,93.620003
"209",94.309998,94.709999,90.959999,91.599998,736300,91.599998
"210",91.410004,94.019997,90.93,94.019997,890700,94.019997
"211",94.300003,95.389999,92.089996,93,453500,93
"212",93.190002,94.139999,91.989998,93.32,620200,93.32
"213",92.639999,94.629997,92.190002,92.510002,852000,92.510002
"214",93.220001,94.709999,92.07,94.669998,1020800,94.669998
"215",93.860001,95.099998,92.339996,93.639999,887400,93.639999
"216",93.760002,94.529999,92.040001,94.480003,548300,94.480003
"217",93.169998,93.25,89.779999,91.839996,760900,91.839996
"218",92.169998,93.379997,91.720001,92.400002,579400,92.400002
"219",94.080002,96.760002,93.43,95.949997,730800,95.949997
"220",96.5,96.989998,95.580002,96.709999,607900,96.709999
"221",96.959999,96.989998,95.089996,96.629997,373200,96.629997
"222",96.68,96.830002,95.269997,95.889999,509300,95.889999
"223",96.089996,96.370003,93.110001,95.519997,775100,95.519997
"224",95.290001,96.209999,94.660004,95.870003,407900,95.870003
"225",95.779999,96.25,93.769997,95.779999,6e+05,95.779999
"226",95.970001,95.989998,91.160004,91.540001,979200,91.540001
"227",91.459999,92.5,89.550003,91.010002,551900,91.010002
"228",90.669998,92.419998,90.040001,91.699997,432600,91.699997
"229",90.779999,93.629997,90.57,93.110001,625700,93.110001
"230",94.120003,95.230003,92.669998,93.120003,599800,93.120003
"231",93.669998,95.199997,93.199997,94,973300,94
"232",100.639999,107.269997,100.029999,105.970001,3992200,105.970001
"233",107.32,107.379997,105.370003,106.839996,1200000,106.839996
"234",106.489998,107.540001,105.099998,106.760002,917000,106.760002
"235",106.620003,107.080002,104.849998,105.339996,690700,105.339996
"236",104.760002,105.480003,103.309998,103.620003,639200,103.620003
"237",103.099998,103.339996,100.260002,102.220001,962200,102.220001
"238",102.599998,103.57,101.449997,102.129997,754000,102.129997
"239",102.980003,105.339996,102.25,104.980003,713500,104.980003
"240",104.839996,104.860001,101.800003,102.940002,472100,102.940002
"241",101.339996,103.050003,99.410004,100.580002,426100,100.580002
"242",100.870003,102.470001,100.720001,101.529999,516600,101.529999
"243",101.129997,102.43,100.029999,102.260002,357700,102.260002
"244",101.589996,105.330002,101.389999,105.150002,663200,105.150002
"245",104.959999,106,104.550003,105.279999,299600,105.279999
"246",106,106.18,104.139999,105.839996,476300,105.839996
"247",105.93,106.199997,101.900002,102.059998,474400,102.059998
"248",102.160004,103.139999,100.769997,102.260002,337800,102.260002
"249",101.010002,102.970001,99.5,100.5,394200,100.5
"250",100.360001,100.900002,99.620003,100.07,436100,100.07
"251",100.239998,101.989998,99.82,101.790001,578800,101.790001
"252",101.779999,103.910004,99.019997,102.410004,1164700,102.410004
"253",100.059998,106.75,100.059998,105.760002,1044000,105.760002
"254",106.110001,108.349998,104.949997,105.480003,1173300,105.480003
"255",106,108.809998,105.099998,106.900002,821800,106.900002
"256",108.550003,110.610001,107.220001,107.720001,618000,107.720001
"257",106.889999,107.599998,105.779999,106.400002,607200,106.400002
"258",106.400002,108.379997,105.32,107.529999,867700,107.529999
"259",108.43,109.290001,106.540001,106.68,826700,106.68
"260",106.540001,110.980003,106.309998,110.709999,633300,110.709999
"261",111.199997,114.449997,111.050003,113.800003,826600,113.800003
"262",113.690002,114.800003,112.169998,112.43,461100,112.43
"263",111.389999,115,109.730003,114.769997,851300,114.769997
"264",115.199997,115.5,112.900002,113.410004,462600,113.410004
"265",113.550003,115.300003,112.739998,114.040001,492500,114.040001
"266",114.839996,117.800003,114.5,117.730003,665800,117.730003
"267",118.220001,118.559998,115.779999,116.82,1056900,116.82
"268",117.129997,119.459999,116.610001,117.720001,929400,117.720001
"269",117.510002,122,117.510002,121.959999,581700,121.959999
"270",122.580002,123.470001,121.279999,122.629997,825700,122.629997
"271",121.900002,124.129997,121,124.010002,610900,124.010002
"272",125.110001,126.360001,122.639999,123.160004,705900,123.160004
"273",122,124.970001,121.290001,124.650002,1037600,124.650002
"274",125.739998,128.419998,123,125,1111000,125
"275",124.610001,126.199997,124.080002,125.57,883400,125.57
"276",126.620003,129.820007,126.620003,128.580002,1123800,128.580002
"277",129.210007,130.460007,126.879997,128.029999,1125500,128.029999
"278",128.910004,129.580002,127,128.899994,509900,128.899994
"279",128.929993,130.5,127.75,128.919998,626100,128.919998
"280",130.089996,134.770004,130.029999,134.289993,1034800,134.289993
"281",134.979996,134.979996,130.919998,133.029999,680900,133.029999
"282",134,134.619995,131.809998,133.029999,602200,133.029999
"283",133.679993,133.889999,132.029999,133.009995,434900,133.009995
"284",131.899994,134.5,131.199997,132.610001,386900,132.610001
"285",132.289993,134,130.119995,130.429993,559200,130.429993
"286",130.100006,130.110001,123.769997,125.019997,957600,125.019997
"287",125.440002,129.800003,124.900002,126.730003,572000,126.730003
"288",125.410004,127.199997,121.75,125.669998,1135000,125.669998
"289",129.539993,129.899994,123.870003,126.739998,643400,126.739998
"290",125.489998,127.82,122.089996,122.209999,714500,122.209999
"291",121.809998,123.919998,114.720001,123.57,1166300,123.57
"292",121.699997,122.25,113.540001,113.870003,1292900,113.870003
"293",112.75,114,106.010002,110.559998,1416700,110.559998
"294",101.889999,106,93.099998,93.889999,2720100,93.889999
"295",78.290001,82.529999,69.57,82.150002,7693400,82.150002
"296",81.489998,90.510002,78.019997,85.290001,2565000,85.290001
"297",85.290001,91.099998,83.5,89.730003,1703500,89.730003
"298",91,94,89.18,93.360001,1139400,93.360001
"299",94.339996,95.239998,90.779999,94.519997,1231800,94.519997
"300",93.690002,93.849998,85.919998,88.110001,1832600,88.110001
"301",89.160004,90.120003,82.400002,84.07,2299300,84.07
"302",78.07,80.419998,73.260002,74.239998,2294400,74.239998
"303",73.32,76.919998,72.260002,72.93,2305700,72.93
"304",74.440002,75.540001,72.970001,74.279999,1337000,74.279999
"305",74.620003,87.110001,74.029999,86.519997,3019700,86.519997
"306",86.18,92.879997,86.089996,92.720001,3177900,92.720001
"307",92.860001,94.699997,91.419998,91.910004,2140100,91.910004
"308",91,95.769997,87.650002,95.309998,1568500,95.309998
"309",97,103.32,96.720001,102.370003,1827100,102.370003
"310",100.5,104.709999,99.169998,101.18,2174300,101.18
"311",102.190002,104.25,95.330002,96.610001,4922900,96.610001
"312",96.540001,99.050003,94.889999,95.489998,1276800,95.489998
"313",93.43,96.489998,91,93.760002,1075400,93.760002
"314",90.709999,93.339996,87.82,92.379997,1252000,92.379997
"315",94.190002,96.949997,92.940002,96.650002,771000,96.650002
"316",95.900002,100.239998,95,97.449997,1324600,97.449997
"317",96.389999,97.25,92.25,94,1428200,94
"318",92.18,94.68,89.260002,92.959999,1411800,92.959999
"319",93.239998,98.919998,92.209999,98.160004,1457600,98.160004
"320",98.860001,100.470001,94.599998,98.989998,963400,98.989998
"321",100.040001,102.800003,98.709999,101.699997,1061000,101.699997
"322",101.980003,104.68,99.629997,102.5,1756900,102.5
"323",100.919998,101.330002,95.699997,100.330002,1260300,100.330002
"324",100.93,102.720001,96.669998,97.080002,1092500,97.080002
"325",97.110001,100.5,95.900002,97.690002,1274100,97.690002
"326",94.389999,95.220001,87.900002,90.660004,1919300,90.660004
"327",90.440002,95.019997,90.379997,94.190002,749800,94.190002
"328",95.169998,95.400002,89.050003,93.839996,1004700,93.839996
"329",96.339996,100.809998,94.559998,97.279999,1761300,97.279999
"330",97.449997,99.720001,95.440002,95.650002,1283000,95.650002
"331",96.419998,96.5,84.699997,88.900002,3239000,88.900002
"332",84.760002,87.720001,80.970001,81.059998,2003500,81.059998
