"","NKE.Open","NKE.High","NKE.Low","NKE.Close","NKE.Volume","NKE.Adjusted"
"286",89.940002,90.57,88.550003,88.720001,6343200,42.055545
"287",88.870003,91.360001,88.870003,90.480003,7405200,42.88983
"288",89.809998,90.800003,89.25,90.150002,4952600,42.733401
"289",90.419998,90.459999,88.010002,89.339996,5023400,42.349438
"290",88.260002,89.199997,84.980003,85.110001,8530800,40.344312
"291",85.300003,87.120003,82.910004,87.080002,7977200,41.278143
"292",86.110001,86.75,81.489998,81.550003,9425400,38.656782
"293",82.510002,84.510002,80.339996,83.870003,10755600,39.756521
"294",81.379997,83.339996,78,79.190002,11930800,37.538082
"295",80.360001,82.650002,76.980003,82.5,10772000,39.107105
"296",81.669998,82.900002,79.040001,79.330002,9654800,37.604445
"297",79.660004,84.389999,79.32,83.25,7475200,39.462624
"298",83.860001,85.050003,83.389999,84.239998,5331600,39.931909
"299",84.610001,85.160004,82.779999,85.129997,5013400,40.353791
"300",84.089996,85.529999,83.129997,83.220001,7020600,39.448404
"301",83.650002,84.589996,81.839996,82.550003,6008600,39.130808
"302",80.760002,81.389999,78.970001,79.919998,8322000,37.884119
"303",78.940002,81.489998,78.5,78.580002,6324400,37.248926
"304",80.029999,80.580002,79.029999,79.25,5569400,37.566522
"305",79.57,83.629997,79.099998,83.589996,6022800,39.623791
"306",83.209999,85.989998,82.860001,85.800003,7640800,40.671391
"307",85.849998,86.489998,83.489998,83.760002,6179800,39.704378
"308",83.300003,86.459999,82.300003,86.290001,6115400,40.903662
"309",87.110001,88.599998,86.800003,88.540001,5582000,41.97022
"310",88.300003,88.529999,86.360001,86.370003,9415600,40.941585
"311",87.040001,88.529999,86.150002,86.650002,6979000,41.074312
"312",86.349998,88.099998,86.019997,86.550003,7877200,41.174214
"313",84.870003,85.830002,83.800003,84.040001,5150600,39.980137
"314",81.150002,83.910004,80.199997,83.760002,5646600,39.846934
"315",85.040001,86.510002,84.160004,86.510002,5703000,41.155184
"316",85.75,87.489998,84.800003,85.330002,5599400,40.593826
"317",84.43,85.389999,82.480003,82.5,7451600,39.247516
"318",81.760002,84.419998,81.449997,84.360001,4958400,40.13237
"319",84.410004,86.379997,84.059998,85.82,5922800,40.826931
"320",86.269997,88.790001,85.410004,87.489998,7708000,41.621395
"321",88.260002,88.400002,86.760002,88.040001,5502800,41.883047
"322",88.620003,89.980003,88.330002,89.769997,8087800,42.706053
"323",88.239998,90.5,88.029999,90.199997,7269000,42.910616
"324",90.669998,91.18,89.239998,89.459999,7927200,42.558579
