"","HOT.Open","HOT.High","HOT.Low","HOT.Close","HOT.Volume","HOT.Adjusted"
"219",59.82,59.939999,59.049999,59.27,2324500,52.812678
"220",59.450001,60.880001,58.919998,60.790001,3310700,54.167078
"221",60.599998,61.259998,60.130001,60.25,2168700,53.685909
"222",60.66,60.939999,59.939999,60.279999,2e+06,53.712639
"223",60.630001,61.07,59.91,60.68,2901800,54.069061
"224",60.799999,61.700001,59.900002,59.950001,3829700,53.418594
"225",60.099998,60.18,59.169998,59.57,2100000,53.079993
"226",59.889999,60.16,58.810001,58.990002,2556800,52.563184
"227",58.810001,58.939999,57.25,57.689999,2893900,51.404813
"228",57.549999,58.299999,56.75,57.790001,2862700,51.49392
"229",57.349998,59.130001,57.130001,58.599998,3806500,52.215671
"230",59.57,60.130001,58.66,58.709999,2651200,52.313687
"231",58.709999,58.91,57.830002,58.299999,1832100,51.948356
"232",58.349998,59.950001,58.349998,59.759998,2091800,53.249291
"233",59.860001,60.23,58.939999,59.41,3414300,52.937424
"234",59.549999,59.66,58.810001,59.150002,2172600,52.705752
"235",59.23,59.310001,57.580002,58.139999,2942500,51.805787
"236",57.849998,58.23,57.099998,57.18,2193100,50.950378
"237",56.990002,57.220001,56.200001,56.560001,3810200,50.397926
"238",56.639999,57.529999,56.619999,57.439999,2492700,51.18205
"239",57.73,59.560001,57.73,59.150002,3989000,52.705752
"240",58.990002,59.689999,58.93,59.209999,3656300,52.759213
"241",58.32,58.490002,57.59,57.93,2408700,51.618667
"242",58,58.369999,57.220001,57.48,1787900,51.217693
"243",57.23,58.349998,57.23,57.889999,1792300,51.583024
"244",58.040001,61.139999,57.900002,60.77,6595000,54.149256
"245",60.849998,61.380001,60.16,60.48,2215600,53.89085
"246",61.16,61.220001,60.139999,60.98,3198200,54.336376
"247",60.849998,60.880001,58.599998,58.68,3598300,52.286957
"248",58.669998,59.18,58.110001,58.560001,2592100,52.180031
"249",57.450001,58.580002,57.110001,58.029999,3844500,51.707771
"250",57.619999,59.310001,57.490002,57.580002,3468900,51.3068
"251",57.939999,59.259998,57.650002,57.740002,3007800,51.449369
