"","SAI.Open","SAI.High","SAI.Low","SAI.Close","SAI.Volume","SAI.Adjusted"
"88",0.205,0.205,0.205,0.205,0,0.205
"89",0.205,0.205,0.205,0.205,0,0.205
"90",0.23,0.25,0.23,0.25,75000,0.25
"91",0.25,0.25,0.25,0.25,0,0.25
"92",0.25,0.25,0.25,0.25,0,0.25
"93",0.25,0.25,0.25,0.25,0,0.25
"94",0.25,0.25,0.25,0.25,0,0.25
"95",0.25,0.25,0.25,0.25,0,0.25
"96",0.25,0.25,0.25,0.25,0,0.25
"97",0.25,0.25,0.25,0.25,0,0.25
"98",0.23,0.23,0.21,0.21,19000,0.21
"99",0.21,0.21,0.21,0.21,2800,0.21
"100",0.21,0.21,0.21,0.21,0,0.21
"101",0.21,0.21,0.21,0.21,0,0.21
"102",0.22,0.22,0.22,0.22,5000,0.22
"103",0.22,0.22,0.22,0.22,0,0.22
"104",0.22,0.22,0.22,0.22,5000,0.22
"105",0.22,0.22,0.22,0.22,0,0.22
"106",0.22,0.22,0.22,0.22,0,0.22
"107",0.22,0.22,0.22,0.22,0,0.22
"108",0.29,0.38,0.28,0.34,1415100,0.34
"109",0.36,0.36,0.3,0.315,150400,0.315
"110",0.325,0.325,0.3,0.31,161300,0.31
"111",0.31,0.31,0.285,0.31,92800,0.31
"112",0.305,0.31,0.3,0.31,22500,0.31
"113",0.31,0.31,0.3,0.3,49000,0.3
"114",0.3,0.3,0.28,0.28,46000,0.28
"115",0.285,0.285,0.265,0.265,26000,0.265
"116",0.27,0.285,0.27,0.285,9500,0.285
"117",0.285,0.3,0.285,0.29,33000,0.29
"118",0.265,0.27,0.265,0.27,22000,0.27
"119",0.27,0.27,0.27,0.27,104500,0.27
"120",0.28,0.28,0.27,0.27,137600,0.27
"121",0.27,0.27,0.26,0.26,29100,0.26
"122",0.26,0.26,0.255,0.255,38000,0.255
"123",0.265,0.265,0.235,0.26,182200,0.26
"124",0.26,0.27,0.24,0.24,0,0.24
"125",0.25,0.265,0.24,0.26,233400,0.26
"126",0.25,0.27,0.25,0.26,106500,0.26
"127",0.26,0.27,0.26,0.27,136300,0.27
"128",0.27,0.3,0.27,0.285,290900,0.285
"129",0.29,0.29,0.265,0.27,101000,0.27
"130",0.265,0.275,0.25,0.27,95200,0.27
"131",0.27,0.27,0.27,0.27,0,0.27
"132",0.27,0.27,0.265,0.265,128000,0.265
"133",0.275,0.28,0.265,0.275,91000,0.275
"134",0.275,0.28,0.25,0.28,70800,0.28
"135",0.28,0.28,0.28,0.28,0,0.28
"136",0.255,0.27,0.255,0.27,44800,0.27
"137",0.26,0.275,0.26,0.26,133000,0.26
"138",0.26,0.26,0.26,0.26,2800,0.26
"139",0.25,0.275,0.24,0.24,80000,0.24
"140",0.24,0.24,0.24,0.24,24500,0.24
"141",0.245,0.245,0.24,0.245,95000,0.245
"142",0.245,0.245,0.24,0.24,23500,0.24
"143",0.24,0.24,0.24,0.24,0,0.24
"144",0.24,0.24,0.24,0.24,0,0.24
"145",0.26,0.26,0.235,0.235,77200,0.235
"146",0.235,0.24,0.235,0.235,81700,0.235
"147",0.235,0.24,0.23,0.24,30000,0.24
"148",0.235,0.24,0.23,0.24,59500,0.24
"149",0.24,0.25,0.23,0.24,91500,0.24
"150",0.25,0.25,0.235,0.24,143000,0.24
"151",0.24,0.24,0.24,0.24,59500,0.24
"152",0.24,0.245,0.24,0.245,110000,0.245
"153",0.235,0.24,0.23,0.23,48700,0.23
"154",0.23,0.24,0.23,0.23,37000,0.23
"155",0.23,0.235,0.22,0.235,38900,0.235
"156",0.225,0.24,0.22,0.23,168000,0.23
"157",0.24,0.24,0.23,0.23,104000,0.23
"158",0.235,0.235,0.235,0.235,20000,0.235
"159",0.235,0.24,0.23,0.23,84400,0.23
"160",0.22,0.22,0.22,0.22,9000,0.22
"161",0.225,0.23,0.225,0.23,7000,0.23
"162",0.22,0.22,0.205,0.205,25200,0.205
"163",0.23,0.24,0.23,0.23,154500,0.23
"164",0.23,0.23,0.22,0.22,11000,0.22
"165",0.22,0.23,0.22,0.225,76000,0.225
"166",0.23,0.23,0.22,0.22,33100,0.22
"167",0.21,0.21,0.205,0.205,51000,0.205
"168",0.21,0.235,0.21,0.235,5000,0.235
"169",0.205,0.24,0.2,0.21,19000,0.21
"170",0.21,0.21,0.21,0.21,25000,0.21
"171",0.205,0.205,0.2,0.2,48000,0.2
"172",0.21,0.22,0.2,0.22,24000,0.22
"173",0.2,0.2,0.2,0.2,20500,0.2
"174",0.2,0.2,0.2,0.2,36300,0.2
"175",0.215,0.215,0.185,0.19,139000,0.19
"176",0.18,0.185,0.18,0.185,15000,0.185
"177",0.185,0.185,0.185,0.185,6700,0.185
"178",0.18,0.215,0.18,0.215,33500,0.215
"179",0.2,0.2,0.2,0.2,20000,0.2
"180",0.18,0.18,0.18,0.18,27000,0.18
"181",0.18,0.18,0.18,0.18,20000,0.18
"182",0.2,0.2,0.18,0.2,24000,0.2
"183",0.2,0.2,0.2,0.2,5000,0.2
"184",0.175,0.175,0.175,0.175,50000,0.175
"185",0.175,0.185,0.17,0.185,13000,0.185
"186",0.17,0.17,0.155,0.165,85300,0.165
"187",0.16,0.165,0.155,0.165,78400,0.165
"188",0.17,0.17,0.16,0.16,61800,0.16
"189",0.16,0.165,0.15,0.165,80500,0.165
"190",0.15,0.15,0.15,0.15,14000,0.15
"191",0.14,0.15,0.14,0.15,24500,0.15
"192",0.15,0.15,0.15,0.15,1000,0.15
"193",0.15,0.15,0.125,0.135,124500,0.135
"194",0.145,0.145,0.135,0.145,64000,0.145
"195",0.135,0.135,0.135,0.135,21900,0.135
"196",0.135,0.135,0.135,0.135,33000,0.135
"197",0.14,0.14,0.14,0.14,1500,0.14
"198",0.14,0.14,0.14,0.14,10000,0.14
"199",0.14,0.14,0.14,0.14,13500,0.14
"200",0.145,0.145,0.135,0.135,15000,0.135
"201",0.135,0.135,0.135,0.135,17000,0.135
"202",0.125,0.125,0.08,0.12,48000,0.12
"203",0.12,0.12,0.12,0.12,1700,0.12
"204",0.13,0.13,0.13,0.13,13000,0.13
"205",0.135,0.135,0.135,0.135,13000,0.135
"206",0.13,0.13,0.13,0.13,6500,0.13
"207",0.145,0.145,0.145,0.145,15500,0.145
"208",0.145,0.145,0.145,0.145,15400,0.145
"209",0.16,0.17,0.16,0.165,86500,0.165
"210",0.18,0.18,0.17,0.17,17000,0.17
"211",0.175,0.175,0.175,0.175,41000,0.175
"212",0.18,0.18,0.18,0.18,11000,0.18
"213",0.165,0.165,0.165,0.165,16000,0.165
"214",0.18,0.18,0.18,0.18,3000,0.18
"215",0.165,0.165,0.165,0.165,70000,0.165
"216",0.18,0.18,0.18,0.18,20600,0.18
"217",0.165,0.165,0.165,0.165,12500,0.165
"218",0.15,0.16,0.15,0.16,6000,0.16
"219",0.15,0.15,0.15,0.15,16500,0.15
"220",0.11,0.11,0.11,0.11,2000,0.11
"221",0.16,0.16,0.16,0.16,6000,0.16
"222",0.15,0.16,0.15,0.16,10000,0.16
"223",0.12,0.155,0.115,0.155,6200,0.155
"224",0.16,0.16,0.16,0.16,5000,0.16
"225",0.16,0.17,0.16,0.17,242500,0.17
"226",0.14,0.14,0.14,0.14,10000,0.14
"227",0.16,0.16,0.16,0.16,10000,0.16
"228",0.165,0.165,0.165,0.165,110000,0.165
"229",0.165,0.17,0.165,0.17,78800,0.17
"230",0.13,0.165,0.13,0.165,54000,0.165
"231",0.155,0.165,0.155,0.165,22000,0.165
"232",0.13,0.13,0.13,0.13,20000,0.13
"233",0.13,0.13,0.11,0.11,22000,0.11
"234",0.15,0.15,0.15,0.15,1000,0.15
"235",0.13,0.13,0.13,0.13,4000,0.13
"236",0.12,0.12,0.12,0.12,36500,0.12
"237",0.11,0.11,0.11,0.11,10000,0.11
"238",0.09,0.09,0.09,0.09,13500,0.09
"239",0.08,0.08,0.08,0.08,30000,0.08
"240",0.075,0.075,0.07,0.07,75600,0.07
"241",0.08,0.08,0.08,0.08,100500,0.08
"242",0.08,0.08,0.08,0.08,14000,0.08
"243",0.08,0.08,0.08,0.08,20000,0.08
"244",0.075,0.075,0.075,0.075,4000,0.075
"245",0.075,0.075,0.075,0.075,55500,0.075
"246",0.075,0.075,0.075,0.075,2500,0.075
"247",0.075,0.075,0.075,0.075,2000,0.075
"248",0.07,0.07,0.07,0.07,4000,0.07
"249",0.07,0.07,0.07,0.07,2000,0.07
"250",0.07,0.07,0.07,0.07,5000,0.07
"251",0.07,0.07,0.07,0.07,2000,0.07
"252",0.055,0.055,0.055,0.055,5000,0.055
"253",0.055,0.06,0.055,0.06,30000,0.06
"254",0.06,0.06,0.05,0.05,22500,0.05
"255",0.06,0.075,0.06,0.075,54200,0.075
"256",0.07,0.07,0.05,0.05,47000,0.05
"257",0.05,0.05,0.05,0.05,3000,0.05
"258",0.05,0.05,0.05,0.05,8000,0.05
"259",0.04,0.05,0.04,0.05,9000,0.05
"260",0.04,0.04,0.04,0.04,2000,0.04
"261",0.04,0.04,0.04,0.04,10000,0.04
"262",0.04,0.04,0.04,0.04,2500,0.04
"263",0.05,0.065,0.05,0.065,81000,0.065
"264",0.07,0.075,0.07,0.075,54000,0.075
"265",0.07,0.07,0.07,0.07,1000,0.07
"266",0.075,0.075,0.075,0.075,17500,0.075
"267",0.04,0.04,0.04,0.04,9000,0.04
"268",0.1,0.1,0.1,0.1,30000,0.1
"269",0.1,0.1,0.1,0.1,1000,0.1
"270",0.1,0.1,0.1,0.1,2000,0.1
"271",0.095,0.095,0.095,0.095,5000,0.095
"272",0.095,0.1,0.095,0.1,5000,0.1
"273",0.1,0.1,0.1,0.1,1000,0.1
"274",0.1,0.1,0.1,0.1,0,0.1
"275",0.1,0.1,0.1,0.1,0,0.1
"276",0.05,0.055,0.05,0.055,104000,0.055
"277",0.06,0.06,0.06,0.06,50000,0.06
"278",0.045,0.045,0.045,0.045,40000,0.045
"279",0.05,0.05,0.045,0.045,22000,0.045
"280",0.045,0.045,0.045,0.045,0,0.045
"281",0.05,0.09,0.05,0.09,60000,0.09
"282",0.09,0.09,0.09,0.09,0,0.09
"283",0.06,0.06,0.04,0.05,60000,0.05
"284",0.06,0.06,0.06,0.06,15000,0.06
"285",0.08,0.095,0.08,0.08,1e+05,0.08
"286",0.055,0.055,0.05,0.05,27000,0.05
"287",0.05,0.05,0.05,0.05,0,0.05
"288",0.06,0.075,0.06,0.075,10000,0.075
"289",0.075,0.075,0.075,0.075,0,0.075
"290",0.055,0.055,0.05,0.05,25000,0.05
"291",0.06,0.06,0.06,0.06,15000,0.06
"292",0.05,0.05,0.05,0.05,32000,0.05
"293",0.04,0.045,0.04,0.04,125000,0.04
"294",0.04,0.04,0.04,0.04,0,0.04
"295",0.04,0.04,0.04,0.04,0,0.04
"296",0.05,0.05,0.05,0.05,10000,0.05
"297",0.05,0.05,0.05,0.05,0,0.05
"298",0.07,0.07,0.07,0.07,10000,0.07
"299",0.045,0.07,0.045,0.07,170000,0.07
"300",0.08,0.08,0.055,0.055,13500,0.055
"301",0.055,0.055,0.055,0.055,0,0.055
"302",0.055,0.055,0.055,0.055,0,0.055
"303",0.05,0.05,0.05,0.05,8000,0.05
"304",0.05,0.05,0.05,0.05,0,0.05
"305",0.05,0.05,0.05,0.05,0,0.05
"306",0.05,0.05,0.05,0.05,0,0.05
"307",0.08,0.08,0.08,0.08,10000,0.08
"308",0.08,0.08,0.08,0.08,0,0.08
"309",0.08,0.08,0.08,0.08,0,0.08
"310",0.08,0.08,0.08,0.08,0,0.08
"311",0.08,0.08,0.08,0.08,0,0.08
"312",0.08,0.08,0.08,0.08,0,0.08
"313",0.08,0.08,0.08,0.08,0,0.08
"314",0.05,0.05,0.05,0.05,9000,0.05
"315",0.08,0.08,0.08,0.08,10000,0.08
"316",0.08,0.08,0.08,0.08,0,0.08
"317",0.08,0.08,0.08,0.08,0,0.08
"318",0.08,0.08,0.08,0.08,0,0.08
"319",0.08,0.08,0.08,0.08,0,0.08
"320",0.08,0.08,0.08,0.08,0,0.08
"321",0.08,0.08,0.08,0.08,0,0.08
"322",0.08,0.08,0.08,0.08,0,0.08
"323",0.08,0.08,0.08,0.08,0,0.08
"324",0.08,0.08,0.08,0.08,0,0.08
"325",0.08,0.08,0.08,0.08,0,0.08
"326",0.08,0.08,0.08,0.08,0,0.08
"327",0.08,0.08,0.08,0.08,0,0.08
"328",0.08,0.08,0.08,0.08,0,0.08
"329",0.08,0.08,0.08,0.08,0,0.08
"330",0.08,0.08,0.08,0.08,0,0.08
"331",0.08,0.08,0.08,0.08,0,0.08
"332",0.08,0.08,0.08,0.08,0,0.08
"333",0.08,0.08,0.08,0.08,0,0.08
"334",0.05,0.05,0.05,0.05,11000,0.05
"335",0.05,0.05,0.05,0.05,0,0.05
"336",0.05,0.05,0.05,0.05,0,0.05
"337",0.05,0.05,0.05,0.05,0,0.05
"338",0.05,0.05,0.05,0.05,0,0.05
"339",0.05,0.05,0.05,0.05,0,0.05
"340",0.05,0.05,0.05,0.05,0,0.05
"341",0.05,0.05,0.05,0.05,0,0.05
"342",0.05,0.05,0.05,0.05,0,0.05
"343",0.05,0.05,0.05,0.05,0,0.05
"344",0.05,0.05,0.05,0.05,0,0.05
"345",0.05,0.05,0.05,0.05,0,0.05
"346",0.05,0.05,0.05,0.05,0,0.05
"347",0.05,0.05,0.05,0.05,0,0.05
"348",0.05,0.05,0.05,0.05,0,0.05
"349",0.045,0.045,0.045,0.045,11000,0.045
"350",0.045,0.045,0.045,0.045,0,0.045
"351",0.045,0.045,0.045,0.045,0,0.045
"352",0.045,0.045,0.045,0.045,0,0.045
"353",0.045,0.045,0.045,0.045,0,0.045
"354",0.045,0.045,0.045,0.045,0,0.045
"355",0.045,0.045,0.045,0.045,0,0.045
"356",0.045,0.045,0.045,0.045,0,0.045
"357",0.045,0.045,0.045,0.045,0,0.045
"358",0.045,0.045,0.045,0.045,8000,0.045
"359",0.045,0.045,0.045,0.045,0,0.045
"360",0.045,0.045,0.045,0.045,0,0.045
"361",0.045,0.045,0.045,0.045,0,0.045
"362",0.045,0.045,0.04,0.04,16500,0.04
"363",0.04,0.04,0.04,0.04,0,0.04
"364",0.04,0.04,0.04,0.04,0,0.04
"365",0.04,0.04,0.04,0.04,8000,0.04
"366",0.04,0.04,0.04,0.04,0,0.04
"367",0.04,0.04,0.04,0.04,0,0.04
"368",0.04,0.04,0.04,0.04,0,0.04
"369",0.04,0.04,0.04,0.04,0,0.04
"370",0.04,0.04,0.025,0.025,47000,0.025
"371",0.05,0.05,0.05,0.05,10000,0.05
"372",0.025,0.03,0.025,0.025,48000,0.025
"373",0.025,0.025,0.025,0.025,0,0.025
"374",0.035,0.05,0.035,0.05,60500,0.05
"375",0.05,0.05,0.05,0.05,0,0.05
"376",0.05,0.05,0.05,0.05,0,0.05
"377",0.05,0.05,0.05,0.05,20000,0.05
"378",0.05,0.05,0.05,0.05,0,0.05
"379",0.05,0.05,0.05,0.05,0,0.05
"380",0.03,0.03,0.03,0.03,1e+05,0.03
"381",0.03,0.03,0.03,0.03,0,0.03
"382",0.035,0.035,0.035,0.035,25000,0.035
"383",0.035,0.035,0.035,0.035,0,0.035
"384",0.035,0.035,0.035,0.035,0,0.035
"385",0.03,0.035,0.03,0.035,45000,0.035
"386",0.035,0.035,0.035,0.035,0,0.035
"387",0.035,0.035,0.035,0.035,0,0.035
"388",0.035,0.035,0.035,0.035,0,0.035
"389",0.035,0.035,0.035,0.035,20000,0.035
"390",0.035,0.035,0.035,0.035,0,0.035
"391",0.035,0.035,0.035,0.035,3500,0.035
"392",0.04,0.05,0.04,0.05,133000,0.05
"393",0.035,0.035,0.035,0.035,0,0.035
"394",0.035,0.05,0.035,0.05,89500,0.05
"395",0.05,0.05,0.05,0.05,0,0.05
"396",0.05,0.05,0.05,0.05,0,0.05
"397",0.05,0.05,0.05,0.05,0,0.05
"398",0.04,0.04,0.04,0.04,1e+05,0.04
"399",0.04,0.04,0.04,0.04,95000,0.04
"400",0.04,0.04,0.04,0.04,0,0.04
"401",0.05,0.05,0.05,0.05,4000,0.05
"402",0.05,0.05,0.05,0.05,18800,0.05
"403",0.055,0.055,0.055,0.055,35800,0.055
"404",0.055,0.055,0.055,0.055,0,0.055
"405",0.055,0.055,0.055,0.055,0,0.055
"406",0.055,0.055,0.055,0.055,0,0.055
"407",0.045,0.045,0.045,0.045,77000,0.045
"408",0.045,0.045,0.045,0.045,0,0.045
"409",0.045,0.045,0.045,0.045,0,0.045
"410",0.045,0.045,0.045,0.045,0,0.045
"411",0.045,0.045,0.045,0.045,0,0.045
"412",0.035,0.055,0.035,0.035,32000,0.035
"413",0.035,0.035,0.035,0.035,0,0.035
"414",0.035,0.035,0.035,0.035,0,0.035
"415",0.035,0.035,0.035,0.035,0,0.035
"416",0.035,0.035,0.035,0.035,0,0.035
"417",0.05,0.06,0.05,0.06,125000,0.06
"418",0.055,0.06,0.055,0.06,56500,0.06
"419",0.06,0.06,0.06,0.06,14000,0.06
"420",0.065,0.07,0.065,0.07,102000,0.07
"421",0.07,0.07,0.07,0.07,75000,0.07
"422",0.07,0.07,0.07,0.07,0,0.07
"423",0.07,0.07,0.07,0.07,0,0.07
"424",0.05,0.05,0.05,0.05,2000,0.05
"425",0.06,0.06,0.06,0.06,45000,0.06
"426",0.06,0.07,0.06,0.07,40000,0.07
"427",0.07,0.07,0.07,0.07,0,0.07
"428",0.07,0.07,0.07,0.07,0,0.07
"429",0.07,0.08,0.07,0.08,50000,0.08
"430",0.07,0.07,0.07,0.07,1000,0.07
"431",0.07,0.07,0.07,0.07,0,0.07
"432",0.075,0.075,0.075,0.075,12000,0.075
"433",0.075,0.075,0.075,0.075,0,0.075
"434",0.07,0.07,0.07,0.07,5000,0.07
"435",0.07,0.07,0.07,0.07,0,0.07
"436",0.07,0.07,0.07,0.07,0,0.07
"437",0.07,0.07,0.07,0.07,0,0.07
"438",0.07,0.07,0.07,0.07,0,0.07
"439",0.07,0.07,0.07,0.07,0,0.07
"440",0.05,0.05,0.05,0.05,5000,0.05
"441",0.05,0.05,0.05,0.05,0,0.05
"442",0.05,0.05,0.05,0.05,0,0.05
"443",0.05,0.05,0.05,0.05,0,0.05
"444",0.05,0.05,0.05,0.05,0,0.05
"445",0.035,0.035,0.035,0.035,2000,0.035
"446",0.035,0.035,0.035,0.035,0,0.035
"447",0.035,0.035,0.035,0.035,0,0.035
"448",0.035,0.035,0.035,0.035,0,0.035
"449",0.035,0.035,0.035,0.035,0,0.035
"450",0.035,0.035,0.035,0.035,0,0.035
"451",0.035,0.035,0.035,0.035,0,0.035
"452",0.035,0.035,0.035,0.035,0,0.035
"453",0.035,0.035,0.035,0.035,0,0.035
"454",0.035,0.035,0.035,0.035,0,0.035
"455",0.04,0.04,0.04,0.04,50000,0.04
"456",0.04,0.04,0.04,0.04,0,0.04
"457",0.04,0.04,0.04,0.04,0,0.04
"458",0.04,0.04,0.04,0.04,0,0.04
"459",0.04,0.04,0.04,0.04,0,0.04
"460",0.04,0.04,0.04,0.04,0,0.04
"461",0.04,0.04,0.04,0.04,0,0.04
"462",0.04,0.04,0.04,0.04,0,0.04
"463",0.04,0.04,0.04,0.04,0,0.04
"464",0.04,0.04,0.04,0.04,0,0.04
"465",0.04,0.04,0.04,0.04,0,0.04
"466",0.04,0.04,0.04,0.04,0,0.04
"467",0.04,0.04,0.04,0.04,0,0.04
"468",0.04,0.04,0.04,0.04,0,0.04
"469",0.04,0.04,0.04,0.04,0,0.04
"470",0.035,0.035,0.035,0.035,1000,0.035
"471",0.035,0.035,0.035,0.035,0,0.035
"472",0.035,0.035,0.035,0.035,0,0.035
"473",0.035,0.035,0.035,0.035,0,0.035
"474",0.035,0.035,0.035,0.035,0,0.035
"475",0.035,0.035,0.035,0.035,0,0.035
"476",0.035,0.035,0.035,0.035,0,0.035
"477",0.035,0.035,0.035,0.035,0,0.035
"478",0.035,0.035,0.035,0.035,0,0.035
"479",0.035,0.035,0.035,0.035,10000,0.035
"480",0.04,0.04,0.04,0.04,10000,0.04
"481",0.04,0.04,0.04,0.04,0,0.04
"482",0.04,0.04,0.04,0.04,0,0.04
"483",0.04,0.04,0.04,0.04,0,0.04
"484",0.04,0.04,0.04,0.04,0,0.04
"485",0.04,0.04,0.04,0.04,0,0.04
"486",0.04,0.04,0.04,0.04,0,0.04
"487",0.04,0.04,0.04,0.04,29000,0.04
"488",0.04,0.04,0.04,0.04,0,0.04
"489",0.04,0.04,0.04,0.04,0,0.04
"490",0.04,0.04,0.04,0.04,0,0.04
"491",0.04,0.04,0.04,0.04,0,0.04
"492",0.04,0.04,0.04,0.04,0,0.04
"493",0.04,0.04,0.04,0.04,0,0.04
"494",0.04,0.04,0.04,0.04,0,0.04
"495",0.04,0.04,0.04,0.04,0,0.04
"496",0.04,0.04,0.04,0.04,0,0.04
"497",0.04,0.04,0.04,0.04,0,0.04
"498",0.04,0.04,0.04,0.04,0,0.04
"499",0.03,0.03,0.03,0.03,1000,0.03
"500",0.03,0.03,0.03,0.03,0,0.03
"501",0.03,0.03,0.03,0.03,0,0.03
"502",0.03,0.03,0.03,0.03,0,0.03
"503",0.03,0.03,0.03,0.03,0,0.03
"504",0.03,0.03,0.03,0.03,12000,0.03
"505",0.03,0.03,0.03,0.03,0,0.03
"506",0.03,0.03,0.03,0.03,0,0.03
"507",0.04,0.04,0.04,0.04,25000,0.04
"508",0.04,0.04,0.04,0.04,0,0.04
"509",0.04,0.04,0.04,0.04,0,0.04
"510",0.04,0.04,0.04,0.04,0,0.04
"511",0.04,0.04,0.04,0.04,0,0.04
"512",0.04,0.04,0.04,0.04,0,0.04
"513",0.04,0.04,0.04,0.04,6000,0.04
"514",0.04,0.04,0.04,0.04,0,0.04
"515",0.04,0.04,0.04,0.04,0,0.04
"516",0.04,0.04,0.04,0.04,0,0.04
"517",0.04,0.04,0.04,0.04,10000,0.04
"518",0.04,0.04,0.04,0.04,6000,0.04
"519",0.04,0.04,0.04,0.04,28000,0.04
"520",0.04,0.04,0.04,0.04,22000,0.04
"521",0.04,0.04,0.04,0.04,0,0.04
"522",0.04,0.04,0.04,0.04,10000,0.04
"523",0.04,0.04,0.03,0.03,50000,0.03
"524",0.03,0.03,0.03,0.03,0,0.03
"525",0.03,0.03,0.025,0.025,33000,0.025
"526",0.03,0.03,0.03,0.03,59000,0.03
"527",0.05,0.05,0.05,0.05,30000,0.05
"528",0.05,0.06,0.05,0.06,20000,0.06
"529",0.06,0.06,0.06,0.06,0,0.06
"530",0.06,0.06,0.06,0.06,0,0.06
"531",0.06,0.06,0.06,0.06,0,0.06
"532",0.06,0.06,0.06,0.06,0,0.06
"533",0.06,0.06,0.06,0.06,0,0.06
"534",0.035,0.035,0.035,0.035,5000,0.035
"535",0.035,0.035,0.035,0.035,0,0.035
"536",0.035,0.035,0.035,0.035,0,0.035
"537",0.035,0.035,0.035,0.035,0,0.035
"538",0.035,0.035,0.035,0.035,10000,0.035
"539",0.035,0.035,0.035,0.035,0,0.035
"540",0.035,0.035,0.035,0.035,0,0.035
"541",0.035,0.035,0.035,0.035,0,0.035
"542",0.03,0.03,0.03,0.03,187000,0.03
"543",0.03,0.03,0.03,0.03,13000,0.03
"544",0.03,0.03,0.03,0.03,0,0.03
