"","ROK.Open","ROK.High","ROK.Low","ROK.Close","ROK.Volume","ROK.Adjusted"
"741",90.610001,91.669998,90.300003,90.910004,539400,87.152343
"742",91.050003,91.5,90.120003,90.690002,549700,86.941435
"743",90.690002,91,87.940002,88.589996,930700,84.92823
"744",87.970001,88.580002,87.489998,87.849998,794700,84.218819
"745",87.410004,87.720001,86.650002,87.410004,624500,83.797011
"746",89.339996,89.400002,87.889999,88.540001,543800,84.880301
"747",88.150002,89.07,87.900002,87.940002,467500,84.305103
"748",88.050003,89.400002,87.93,88.599998,422700,84.937819
"749",88.209999,90.269997,87.660004,88.019997,1069600,84.381791
"750",88.410004,88.760002,86.709999,88.190002,856600,84.54477
"751",88.300003,89.07,87.07,87.489998,686400,83.873699
"752",87.160004,87.57,85.449997,85.650002,597800,82.109757
"753",85.660004,86.18,84.980003,85.400002,846100,81.87009
"754",85.970001,86.959999,85.690002,86.370003,1239400,82.799998
"755",86.839996,86.980003,86.160004,86.400002,690400,82.828756
"756",85.519997,85.959999,85.110001,85.309998,639900,81.783807
"757",86.099998,86.190002,84.07,84.260002,680200,80.777211
"758",84.309998,86.769997,83.260002,86.639999,760700,83.058834
"759",86.529999,87.099998,86.040001,86.690002,748200,83.106771
"760",87.239998,87.330002,85.709999,86.870003,744000,83.279331
"761",86.900002,88.199997,86.419998,88.110001,601700,84.468075
"762",88.010002,88.449997,86.860001,86.879997,510600,83.288912
"763",85.839996,85.940002,83.32,83.589996,1171200,80.1349
"764",84.220001,84.800003,83.190002,83.849998,822300,80.384155
"765",82.790001,82.900002,80.599998,81.809998,1161900,78.428475
"766",82.669998,83.639999,82.300003,83.269997,850500,79.828127
"767",84.120003,84.449997,83.440002,83.480003,824600,80.029453
"768",84.309998,84.639999,83.959999,84.209999,880000,80.729275
"769",83.839996,84.379997,83.129997,83.139999,1834600,79.703503
"770",84.110001,85.190002,83.589996,84.989998,1106600,81.477034
"771",84.809998,85.309998,84.190002,84.809998,1008800,81.304473
"772",84.540001,85.230003,84,84.790001,527600,81.285303
"773",85.68,86.790001,85.330002,86.739998,486200,83.154699
"774",87.470001,87.919998,86.940002,87.480003,967500,83.864118
"775",88.010002,88.620003,87.93,88.160004,484000,84.516011
"776",87.93,88.209999,86.800003,87.5,847300,83.883288
"777",88.339996,90.089996,88.339996,89.959999,776600,86.241606
"778",90,91.029999,89.57,90.910004,964700,87.152343
"779",90.830002,91.440002,90.669998,91.349998,686100,87.574151
"780",91.5,91.980003,90.709999,91.010002,751900,87.248208
"781",91.5,92.370003,91.190002,92.220001,896400,88.408193
"782",92.239998,93.379997,92,93.290001,757800,89.433966
"783",93.209999,93.379997,91.949997,92.82,870200,88.983391
"784",92.199997,92.790001,89.260002,92.699997,626700,88.868349
"785",92.989998,93.07,92.099998,93.040001,639100,89.194299
"786",93.300003,93.300003,91.599998,92.019997,646400,88.216456
"787",91.540001,91.709999,90.629997,91.389999,686400,87.612498
"788",91,91.449997,90.239998,90.809998,959500,87.05647
"789",90.400002,91.720001,90.150002,90.550003,840400,86.807222
"790",93.239998,96.339996,92.5,95.629997,2269400,91.677241
"791",94.849998,97.43,94.849998,96.849998,1369400,92.846815
"792",97.68,99.68,97.599998,99.18,1411600,95.080509
"793",99,100.129997,96.690002,100.099998,977000,95.96248
"794",100,100.190002,98.879997,100.099998,751200,95.96248
"795",99.980003,100.18,99.199997,99.389999,847400,95.281828
"796",99.32,99.610001,98.129997,98.699997,638700,94.620346
"797",99.050003,100.220001,98.910004,99.519997,625900,95.911763
"798",99.400002,99.93,98.419998,98.720001,629100,95.140772
"799",98.360001,99.459999,98,98.879997,866000,95.294967
"800",99.07,99.529999,98.529999,99.139999,804000,95.545543
"801",99.230003,99.230003,98.360001,98.800003,447300,95.217873
"802",100.129997,100.129997,93.470001,96.699997,721800,93.194006
"803",96.330002,97.830002,96.199997,97.040001,567000,93.521682
"804",96.739998,97.349998,96.459999,96.860001,588200,93.348208
"805",96.910004,97.660004,96.309998,97.309998,405300,93.78189
"806",97.010002,98.089996,96.629997,97.220001,574300,93.695157
"807",97.610001,99.949997,97.599998,99.800003,642400,96.181617
"808",99.830002,99.889999,98.230003,98.800003,748200,95.217873
"809",99.18,100.150002,98.699997,99.029999,706100,95.43953
"810",97.809998,97.839996,96.970001,97.059998,693400,93.540954
"811",97.099998,97.610001,96.769997,97.040001,671700,93.521682
"812",96.919998,98.389999,96.919998,97.769997,356000,94.225211
"813",97.940002,97.940002,96.860001,97.230003,561400,93.704796
"814",98.550003,99.529999,97.07,98,640600,94.446875
"815",97.849998,99.489998,96.980003,99.080002,620700,95.48772
"816",98.790001,100,98.470001,99.769997,424000,96.152698
"817",100.18,101.220001,98.510002,100.040001,822100,96.412913
"818",100.419998,102.589996,99.980003,102.25,774000,98.542786
"819",103,105.220001,102.690002,104.019997,1002200,100.248609
"820",103.389999,103.809998,102.18,103.739998,1092300,99.978762
"821",103.900002,109.220001,103.139999,104.5,718700,100.711209
"822",104.559998,105.239998,104.080002,105.040001,412400,101.231631
"823",106.93,107.629997,106.089996,106.970001,772600,103.091657
"824",106.400002,107.370003,105.379997,106.349998,901700,102.494133
"825",106.089996,108.620003,105.870003,108.470001,701200,104.537272
"826",109.099998,109.720001,108.400002,109.129997,669300,105.173339
"827",108.720001,109.419998,107.209999,107.400002,915900,103.506067
"828",107.199997,107.769997,106.459999,106.93,571600,103.053106
"829",107.099998,108.290001,106.610001,107.199997,610800,103.313314
"830",106.809998,108.419998,106.730003,107.349998,597300,103.457877
"831",107.910004,108.389999,107.279999,108.150002,388800,104.228875
"832",107.650002,107.93,106.769997,107.18,454800,103.294042
"833",105.620003,107.690002,105.620003,106.940002,657700,103.062746
"834",107.239998,108.769997,106.730003,107.959999,661600,104.045761
"835",107.110001,107.699997,102.980003,106.959999,732900,103.082017
"836",106.910004,107.349998,104.879997,106.239998,557600,102.388121
"837",106.57,107.599998,106.059998,107.129997,471800,103.245852
"838",106.010002,107.580002,105.910004,106.68,574800,102.81217
"839",107.099998,107.879997,105.68,105.760002,759000,101.925528
"840",105.760002,106.449997,103.949997,104.389999,1156100,100.605197
"841",105.730003,108.769997,105.339996,108.360001,667800,104.43126
"842",108.019997,108.68,107.57,108.589996,693800,104.652917
"843",108.110001,108.959999,107.839996,108.769997,574100,104.826391
"844",108.550003,108.550003,106.07,106.349998,726200,102.494133
"845",106.309998,106.900002,105.82,106.370003,1108100,102.513412
"846",105.589996,108.199997,105.589996,108.080002,555200,104.161413
"847",110.190002,110.690002,108.760002,110.419998,851300,106.41657
"848",110.400002,110.879997,109.459999,110.129997,419100,106.137083
"849",110.809998,111.870003,109.949997,110.260002,497700,106.262374
"850",109.730003,110.43,109.010002,110.43,672400,106.426209
"851",110.449997,112.080002,110.339996,111.75,554300,107.69835
"852",111.360001,111.879997,109.900002,110.599998,719600,106.590044
"853",110.300003,110.879997,109.339996,109.690002,653500,105.713041
"854",110.230003,111.029999,109.889999,110.910004,940600,106.888809
"855",111.129997,111.660004,109.970001,110.059998,565700,106.069621
"856",110.089996,112.260002,109.639999,110.410004,734300,106.406937
"857",110.629997,111.220001,108.839996,109.43,716200,105.462465
"858",110.010002,110.809998,109.540001,109.769997,696900,105.790135
"859",109.080002,109.57,108.120003,108.790001,653700,104.84567
"860",109.059998,110.129997,108.690002,109.029999,807600,105.076966
"861",111.110001,113.949997,110.010002,111.559998,1444900,107.515237
"862",111.32,111.889999,110.870003,111.720001,1154600,107.669439
"863",111.82,113.18,111.419998,112.690002,738200,108.604272
"864",112.480003,113.400002,111.910004,112.949997,638600,108.85484
"865",112.470001,114.07,112.019997,113.75,925400,109.625838
"866",113.269997,113.870003,112.529999,112.599998,611600,109.073685
"867",112.910004,113.75,111.93,111.980003,1004000,108.473106
"868",112.610001,112.75,111,111.449997,890900,107.959698
"869",111.610001,112.129997,110.82,111.120003,564300,107.640038
"870",111.18,111.760002,110.300003,110.959999,424300,107.485045
"871",111.07,111.989998,111.029999,111.440002,729400,107.950016
"872",111.669998,114.169998,111.080002,114.07,815600,110.49765
"873",114.209999,114.349998,113.029999,113.290001,561300,109.742078
"874",113.019997,114.32,113.019997,113.900002,501000,110.332975
"875",114.489998,114.489998,113.480003,114.360001,360600,110.778569
"876",114.739998,114.760002,113.400002,113.580002,274900,110.022997
"877",113.139999,113.559998,111.669998,111.849998,701800,108.347173
"878",112.559998,112.559998,110.279999,111.160004,640000,107.678786
"879",110.5,111.209999,108.349998,108.889999,1577800,105.479872
"880",108.980003,110.199997,108.5,109.209999,624700,105.78985
"881",110.5,111.879997,110.010002,111.699997,666300,108.201869
"882",111.440002,112.370003,111.110001,111.959999,706500,108.453728
"883",111.620003,112.949997,111.379997,111.879997,678400,108.376232
"884",112.360001,112.360001,109.440002,109.669998,516900,106.235444
"885",109.610001,110.949997,108.779999,110.529999,798000,107.068512
"886",110.57,111.449997,110.040001,110.519997,385100,107.058823
"887",110.809998,111.900002,110.730003,110.959999,797200,107.485045
"888",111.029999,111.459999,110.260002,110.529999,477900,107.068512
"889",110.32,113.32,109.629997,113.110001,752700,109.567715
"890",112.589996,114.129997,112.309998,114.029999,651300,110.458901
"891",113.889999,117.110001,113.889999,116.510002,1154700,112.861238
"892",117.260002,117.669998,116.209999,116.349998,773800,112.706245
"893",116.5,117.379997,116.190002,117.099998,250300,113.432757
"894",117.489998,118,117.029999,117.809998,307300,114.120521
"895",118.730003,119.029999,117.559998,117.980003,464900,114.285203
"896",117.760002,118.489998,117.400002,117.699997,513300,114.013966
"897",117.970001,118.809998,117.790001,118.160004,346200,114.459566
"898",117.620003,117.989998,116.010002,116.379997,479100,112.735305
"899",116.610001,118.010002,116.449997,117.830002,606600,114.139899
"900",118.199997,118.739998,116.120003,116.519997,662300,112.87092
"901",117.57,117.57,115.779999,117.040001,556200,113.374639
"902",117.279999,117.279999,115.709999,116.470001,785500,112.82249
"903",116.75,117.330002,115.029999,116.43,537700,112.783742
"904",116.82,117.300003,115.959999,116.959999,503500,113.297142
"905",116.459999,117.32,114.769997,115.07,657700,111.466332
"906",115.43,118.830002,115.029999,118.239998,1203600,114.537055
"907",118.32,119.029999,118.199997,118.860001,889200,115.137641
"908",117.68,119.709999,117.639999,119.660004,985300,115.91259
"909",119.660004,119.660004,118.660004,119.230003,735700,115.496057
"910",120.18,121.010002,118.300003,119.830002,665100,116.077265
"911",119.370003,119.760002,118.059998,119.059998,636800,115.331375
"912",118.220001,118.5,116.489998,117.010002,576500,113.345579
"913",116.610001,116.720001,112.870003,112.989998,941500,109.45147
"914",114.209999,114.720001,111.790001,112.959999,1131200,109.422411
"915",113.699997,115.309998,113.32,115.010002,1232800,111.408214
"916",117.029999,118.029999,114.18,115.089996,1788800,111.485703
"917",115.5,116.32,114.610001,115.099998,1284200,111.495392
"918",113.099998,115.43,113.099998,114.839996,1032100,111.243532
"919",114.900002,115.660004,111.769997,111.970001,1758300,108.463417
"920",111.940002,112.059998,110.18,111.18,1435100,107.698157
"921",110.82,111.050003,108.830002,109.910004,1576100,106.467933
"922",110.279999,111.309998,110.089996,110.639999,935400,107.175067
"923",111.379997,112.589996,110.639999,112.349998,1239200,108.831514
"924",112.580002,112.68,111.599998,112.040001,543100,108.531225
"925",112.440002,114.010002,112.330002,113.480003,937100,109.92613
"926",113.5,115.800003,113.43,115.559998,1074100,111.940985
"927",114.32,116.470001,113.709999,116.449997,1040400,113.372132
"928",116.370003,117.120003,115.540001,117,777700,113.907598
"929",116.889999,118.720001,116.889999,118.5,897700,115.367952
"930",117.989998,119.07,117.650002,118,1174700,114.881167
"931",117.959999,119.300003,117.5,118.989998,932700,115.844999
"932",119.040001,120.400002,118.5,119.32,1019600,116.166278
"933",119.349998,120.970001,119.059998,120.559998,828900,117.373502
"934",120.379997,121.480003,119.660004,120.849998,831400,117.655838
"935",121.029999,122.580002,120.629997,121.730003,677400,118.512584
"936",121.5,122.400002,121.18,122.18,473000,118.950687
"937",122.18,124.110001,121.900002,122.839996,830100,119.593239
"938",119.900002,122.120003,119.900002,121.589996,721500,118.376277
