"","MTB.Open","MTB.High","MTB.Low","MTB.Close","MTB.Volume","MTB.Adjusted"
"154",86.300003,86.790001,85.139999,86.199997,1388300,75.862902
"155",85.879997,87.480003,85.879997,86.489998,983400,76.118126
"156",86.449997,86.540001,85.099998,85.730003,739800,75.44927
"157",87.040001,87.709999,86.120003,86.769997,810100,76.364548
"158",86.639999,86.910004,85.790001,86.370003,595300,76.012521
"159",86.279999,87,85.900002,86.980003,724600,76.54937
"160",87.290001,87.290001,85.190002,86.080002,769300,75.757297
"161",86.080002,87.029999,85.330002,86.919998,681600,76.496561
"162",86.830002,87.82,86.309998,86.349998,637200,75.994916
"163",86.470001,86.919998,86.080002,86.470001,525200,76.100528
"164",86.800003,87.75,86.099998,87.269997,872400,76.804588
"165",86.940002,87.650002,86.230003,86.720001,491100,76.320548
"166",86.410004,87.199997,86.099998,86.699997,420800,76.302942
"167",86.68,87.5,85.989998,87.489998,569800,76.998206
"168",87.32,88.400002,87.239998,87.989998,485200,77.438246
"169",88.220001,89.160004,87.75,89.120003,627800,78.432741
"170",88.620003,89.93,88.110001,88.769997,623100,78.124708
"171",88.300003,88.370003,87.269997,88.110001,513400,77.543858
"172",87.540001,90.879997,87.540001,89.860001,921000,79.083999
"173",89.82,90.059998,89,89.209999,533500,78.511945
"174",89,89.779999,88.900002,89.440002,613500,78.714367
"175",89.629997,90.389999,89.599998,90,473000,79.207209
"176",89.849998,90.169998,89.349998,89.989998,468900,79.198407
"177",89.949997,91.050003,89.68,91.010002,861600,80.096092
"178",89.879997,90.440002,88.75,89.599998,794200,78.855176
"179",89.610001,90.209999,88.540001,89.089996,813700,78.406333
"180",88.870003,88.870003,87,87.629997,993600,77.732176
"181",87.949997,88.879997,87.830002,88.559998,638000,78.557133
"182",89.040001,89.489998,87.970001,88.050003,882800,78.104742
"183",88.540001,88.540001,86.18,86.199997,947400,76.463695
"184",86.169998,86.739998,85.330002,85.709999,699700,76.029042
"185",86.550003,87.540001,86.089996,87.419998,540700,77.545897
"186",87.18,88.239998,86.989998,88.010002,989300,78.06926
"187",88.169998,88.580002,86.580002,87.080002,678400,77.244303
"188",87.389999,89.980003,87.389999,89.790001,737300,79.648207
"189",89.610001,89.730003,88.730003,89.489998,380200,79.38209
"190",88.690002,88.919998,87.25,87.660004,687100,77.758793
"191",86.980003,88.489998,86.980003,87.699997,489500,77.794269
"192",87.199997,87.779999,86.660004,87.580002,1001700,77.687828
"193",85.730003,87.150002,85.529999,86.529999,512300,76.756423
"194",86.489998,86.730003,84.690002,84.989998,779000,75.390365
"195",86.32,87.709999,85.839996,87.339996,929200,77.474931
"196",88.480003,89.18,86.830002,87.57,1202500,77.678955
