"","PCLN.Open","PCLN.High","PCLN.Low","PCLN.Close","PCLN.Volume","PCLN.Adjusted"
"604",579.25,579.330017,569.049988,573.77002,774900,573.77002
"605",574.900024,586.840027,568.619995,586.099976,1275400,586.099976
"606",650.059998,657.599976,634.039978,634.73999,2513000,634.73999
"607",634.799988,635.969971,627.340027,634.789978,807600,634.789978
"608",636,645.880005,634,644.900024,756500,644.900024
"609",639.299988,643,628.130005,634.609985,785000,634.609985
"610",632.349976,640.650024,627.109985,627.869995,676400,627.869995
"611",618.5,632.590027,616.039978,625.869995,1250800,625.869995
"612",629.099976,635.75,626,633.429993,578700,633.429993
"613",629.359985,640.929993,628.400024,630.309998,555300,630.309998
"614",634.030029,635.210022,615.77002,616.400024,730400,616.400024
"615",614.98999,622.5,611.549988,617.52002,649200,617.52002
"616",616.940002,623.690002,611.299988,614.780029,883300,614.780029
"617",624.539978,629,620.789978,625.5,510000,625.5
"618",627.52002,639,624.690002,635.580017,576900,635.580017
"619",636.22998,643.48999,634.849976,639.580017,364900,639.580017
"620",642.030029,643.090027,636.780029,641.909973,196700,641.909973
"621",640.869995,643.5,636.559998,639.98999,287400,639.98999
"622",638.859985,644.919983,633.849976,636.75,444600,636.75
"623",635.919983,659.890015,632.780029,658.049988,817200,658.049988
"624",661.25,672.440002,660,665.73999,1087600,665.73999
"625",663.23999,666.299988,656.659973,663.190002,645600,663.190002
"626",670,679.22998,665.880005,667.799988,879000,667.799988
"627",665.5,668.97998,659.51001,663.809998,470200,663.809998
"628",664.380005,667.599976,654.130005,664.22998,449800,664.22998
"629",664,670.359985,658.01001,664.140015,447400,664.140015
"630",667,672.950012,656.650024,659.099976,542600,659.099976
"631",645.890015,649.98999,623.099976,625.960022,1221800,625.960022
"632",631.01001,634.400024,621.090027,623.219971,845800,623.219971
"633",626.5,631.97998,623.419983,624.72998,690100,624.72998
"634",625.51001,628.320007,607.549988,613.080017,749400,613.080017
"635",610.320007,617.929993,609.429993,613.539978,393400,613.539978
"636",613.030029,617.900024,606.450012,616.869995,538800,616.869995
"637",620.299988,634.719971,618.52002,632.73999,664900,632.73999
"638",632.73999,638.640015,626,627.22998,597100,627.22998
"639",628.97998,633.849976,622.859985,630.830017,309200,630.830017
"640",622.630005,625.640015,612.119995,618.880005,936900,618.880005
"641",614.359985,619.01001,612.25,617.340027,178000,617.340027
"642",615.159973,617.460022,600.390015,602.369995,489100,602.369995
"643",604.429993,612.340027,597.150024,610.030029,410900,610.030029
"644",606.599976,614.23999,604.099976,608.880005,362900,608.880005
"645",607.150024,623,601.5,620.390015,584600,620.390015
"646",637.830017,641.929993,627.669983,638.400024,681000,638.400024
"647",652.590027,659,645.869995,648.72998,925600,648.72998
"648",648.25,649.869995,642,648.409973,404500,648.409973
"649",648,659.98999,644.369995,657.380005,557200,657.380005
"650",657.719971,662.97998,654.299988,657.419983,455600,657.419983
"651",655.919983,658.22998,650.179993,651.590027,306900,651.590027
"652",655.23999,657.830017,645.549988,653.619995,385600,653.619995
"653",653.47998,657.380005,650.349976,655.48999,368200,655.48999
"654",657.77002,667.869995,657.25,662.919983,523700,662.919983
"655",658.380005,665.789978,653.539978,663.349976,397900,663.349976
"656",661.099976,671,658.25,667.840027,396500,667.840027
"657",670.72998,675.299988,661.340027,669.890015,547300,669.890015
"658",669.969971,677.080017,668.549988,672.719971,598600,672.719971
"659",671.5,678.880005,668.51001,671.27002,552300,671.27002
"660",674.909973,675.98999,668.109985,672.26001,365300,672.26001
"661",671.840027,681.719971,670.869995,679.549988,630600,679.549988
"662",682,719.369995,681.049988,718.820007,1573100,718.820007
"663",718.650024,721.960022,700.400024,704.97998,925600,704.97998
"664",703.159973,710.580017,694.02002,700.289978,528800,700.289978
"665",701.900024,705.429993,694,695.090027,429000,695.090027
"666",675.960022,687.340027,673.719971,685.469971,1053800,685.469971
"667",693.119995,698.030029,684.679993,685.559998,915100,685.559998
"668",681.859985,686.01001,678.72998,679.289978,507200,679.289978
"669",683.890015,697.780029,683.02002,691.570007,548600,691.570007
"670",693.77002,704.169983,690,694.099976,652200,694.099976
"671",694.099976,697.460022,679.650024,690.690002,444400,690.690002
"672",693.549988,702.039978,691.469971,700.830017,468400,700.830017
"673",699.679993,700,692.159973,696.109985,301600,696.109985
"674",696.799988,705.77002,695.369995,703.380005,487100,703.380005
"675",703,708,698.900024,704.169983,334000,704.169983
"676",699.950012,707.98999,697.659973,705.619995,345700,705.619995
"677",704.200012,706.22998,698.5,702.26001,669800,702.26001
"678",703.159973,707.570007,700.52002,703.469971,476700,703.469971
"679",705.210022,707.570007,687.640015,688.200012,573400,688.200012
"680",688.5,690.559998,675.109985,683.330017,1109600,683.330017
"681",688.5,689.900024,680.919983,684.700012,543100,684.700012
"682",686.940002,692.789978,671.539978,671.539978,713300,671.539978
"683",671.650024,680.5,665.049988,678.48999,1314600,678.48999
"684",709.049988,712.5,692,695.909973,2010300,695.909973
"685",696.299988,697.719971,680.690002,689.109985,1088200,689.109985
"686",689.049988,698.77002,683.679993,695.619995,1009200,695.619995
"687",694.549988,714.710022,692.469971,714.01001,890600,714.01001
"688",716,723.049988,715.299988,718.409973,708000,718.409973
"689",721.070007,728.700012,717.030029,718.900024,492100,718.900024
"690",722.150024,723.73999,716.530029,719.030029,462700,719.030029
"691",722.059998,724.299988,716.02002,720.919983,470800,720.919983
"692",721.01001,725.919983,719.789978,725.070007,459700,725.070007
"693",723,727.380005,714.559998,722.039978,523600,722.039978
"694",723,723.72998,714.530029,715.530029,376200,715.530029
"695",715.400024,717.799988,708.859985,713.150024,383400,713.150024
"696",711.609985,716.440002,711.059998,713.5,697900,713.5
"697",706.429993,707.619995,694.900024,696.809998,597400,696.809998
"698",697.530029,702.690002,679.710022,684.150024,940600,684.150024
"699",689.679993,691.219971,685.530029,687.580017,379200,687.580017
"700",688.440002,699.48999,683.51001,683.98999,537100,683.98999
"701",689.359985,697.919983,686,697.909973,557500,697.909973
"702",700.02002,703.5,693.299988,695.640015,370500,695.640015
"703",697.880005,700,693.23999,694.590027,278800,694.590027
"704",687.599976,695.530029,682.5,694.859985,407200,694.859985
"705",694.299988,694.799988,686.01001,688.159973,539700,688.159973
"706",689.080017,697.919983,686.809998,695.76001,578700,695.76001
"707",701.48999,706,698.52002,705.909973,512300,705.909973
"708",706.23999,707.27002,697.109985,698.719971,505800,698.719971
"709",698,702.130005,689,701.349976,469900,701.349976
"710",693.219971,697.76001,687.419983,693.309998,481200,693.309998
"711",691.76001,696.809998,688.099976,696.530029,292900,696.530029
"712",696,700.710022,690.650024,696.130005,321300,696.130005
"713",699.049988,719.710022,697.23999,718.940002,652100,718.940002
"714",720.909973,735.289978,718.719971,733.98999,725000,733.98999
"715",732.77002,745.23999,722.450012,743.109985,972700,743.109985
"716",733.450012,735.630005,710.929993,711.380005,814400,711.380005
"717",719.619995,723.309998,713.47998,720.700012,493600,720.700012
"718",714.98999,716.02002,702.400024,708.799988,606500,708.799988
"719",707.070007,707.359985,683.539978,690.01001,800400,690.01001
"720",686.929993,697.900024,682.309998,683.570007,831800,683.570007
"721",685.01001,691.590027,677.719971,690.869995,520200,690.869995
"722",692.75,707.409973,692.460022,702.349976,468000,702.349976
"723",702.97998,704.530029,693.719971,700.799988,280900,700.799988
"724",705,720.5,703.5,711.219971,561000,711.219971
"725",705.929993,710.710022,693.919983,701.190002,740000,701.190002
"726",704.48999,709.049988,697.059998,699.429993,572900,699.429993
"727",698.549988,702.72998,693.48999,695.98999,484200,695.98999
"728",696.559998,700,691.099976,694.059998,454300,694.059998
"729",693.75,712.599976,693.75,707.950012,617900,707.950012
"730",717.429993,728.539978,716.849976,724.77002,662900,724.77002
"731",723.5,730.950012,722.700012,726.710022,405900,726.710022
"732",730.960022,730.98999,717.900024,725.049988,314700,725.049988
"733",726.219971,736,726.109985,735.27002,461800,735.27002
"734",735,744.97998,728.719971,737.5,1053800,737.5
"735",742,769.669983,742,765.409973,2110500,765.409973
"736",761,779.25,758.369995,777.440002,786200,777.440002
"737",776.039978,794,776.039978,791.140015,1015500,791.140015
"738",790.049988,808.51001,789.950012,805.75,927600,805.75
"739",806,811.47998,797.5,800.080017,898400,800.080017
"740",805.030029,814.580017,802.179993,813.659973,784100,813.659973
"741",825.700012,842.75,824.190002,842.5,1331200,842.5
"742",842.900024,847.330017,825.059998,825.960022,1115800,825.960022
"743",803.450012,820.719971,795.309998,798.030029,1857200,798.030029
"744",789,805.650024,784.320007,803.599976,906700,803.599976
"745",797.650024,804.179993,795.549988,801.119995,437900,801.119995
"746",811.799988,819.98999,801.309998,804.330017,653300,804.330017
"747",796.119995,801.679993,789.450012,792.27002,548600,792.27002
"748",795,816.400024,792.27002,807.539978,1258800,807.539978
"749",805.77002,819.97998,802.869995,803.929993,826200,803.929993
"750",805.150024,805.859985,788.26001,802.619995,626800,802.619995
"751",800.76001,811,794.049988,798.690002,533300,798.690002
"752",797.950012,809,795,795.5,539000,795.5
"753",794.849976,806.030029,787,805.900024,582700,805.900024
"754",810.179993,819.23999,805.109985,816.450012,693100,816.450012
"755",819.210022,825,815.059998,823.450012,524700,823.450012
"756",815.320007,821.669983,809.330017,813.419983,551200,813.419983
"757",821.47998,821.580017,802.669983,807.900024,580700,807.900024
