"","KMB.Open","KMB.High","KMB.Low","KMB.Close","KMB.Volume","KMB.Adjusted"
"442",71.91,71.989996,71.639995,71.769996,1773900,61.854374
"443",71.669995,72.289992,71.669995,72.209996,2154700,62.233584
"444",72.360002,73.070006,72.360002,73.050001,2402700,62.957535
"445",72.999996,73.260006,72.539999,72.809996,2092200,62.750689
"446",72.769994,73.099998,72.510008,72.92,2153600,62.845495
"447",72.910005,72.999996,72.639993,72.92,2436800,62.845495
"448",72.830001,73.150002,72.569999,73.009999,1508600,62.92306
"449",72.639993,73.480006,72.639993,73.389991,1832900,63.250553
"450",73.33,73.639999,73.250004,73.419999,1509500,63.276415
"451",73.300008,73.529995,73.120003,73.36,1930100,63.224705
"452",73.470004,73.569997,72.999996,73.129997,1676700,63.026479
"453",73.290006,73.730006,73.169991,73.699998,2346500,63.51773
"454",73.830007,73.93,73.650001,73.680001,1698900,63.500495
"455",73.599989,73.919998,73.480006,73.900001,2161700,63.6901
"456",73.769992,73.949989,73.240001,73.839994,2552100,63.638384
"457",73.93,74.390005,73.839994,73.889998,3153500,63.68148
"458",73.759997,74.839991,73.71,74.570003,2537600,64.267536
"459",74.510004,74.73999,74.260004,74.440002,2016500,64.155496
"460",74.280001,74.709998,74.15,74.220002,2818400,63.965891
"461",74.120001,74.41001,73.820004,74.37,1625300,64.095165
"462",74.059993,74.230004,73.870001,74.030002,1493000,63.802141
"463",73.919998,74.030002,73.33,73.529995,2092400,63.371214
"464",74.160003,74.160003,73.629996,73.940003,1929600,63.724576
"465",73.919998,74.250002,73.559994,74.169989,1611600,63.922788
"466",74.089993,74.790003,74.009997,74.349995,2083400,64.077924
"467",74.480004,74.940001,74.390005,74.730003,2021600,64.405431
"468",74.859996,75.499991,74.679999,75.499991,2546400,65.069039
"469",75.360003,75.760001,75.319993,75.66,2075700,65.206941
"470",75.629992,75.769995,74.980003,75.269989,2367100,64.870813
"471",76.029997,77.089995,75.899996,76.469997,4053700,65.90503
"472",75.889994,76.749996,75.509993,76.649995,3519200,66.06016
"473",76.649995,78.729995,76.569999,78.699987,5798000,67.826929
"474",78.679998,79.209997,78.419996,78.729995,3693400,67.852791
"475",78.529992,79.249999,78.470001,79.040002,2447600,68.119967
"476",79.079996,79.079996,78.529992,78.679998,2693900,67.809701
"477",77.9,78.51999,77.810001,78.470001,3567500,67.628717
"478",77.910003,78.879993,77.849996,78.279993,3496100,67.46496
"479",77.859998,78.660001,77.739992,78.539995,3710600,67.689041
"480",78.260004,79.019997,78.260004,78.739997,3140300,67.861411
"481",78.610004,78.999999,78.239999,78.289995,2481300,67.473581
"482",78.010004,79.199994,78.010004,78.999999,2860800,68.085492
"483",78.690001,79.209997,78.610004,78.879993,3361300,67.982065
"484",78.56,79.800003,78.499993,79.540001,4198800,68.550887
"485",79.879999,79.930004,79.529998,79.739995,2548900,68.723251
"486",79.730009,79.779997,79.35,79.389994,1742400,68.421606
"487",79.179997,79.749998,79.179997,79.529998,2391300,68.542267
"488",79.610002,79.839989,79.150006,79.689999,2724600,68.680162
"489",79.879999,79.999997,79.580003,79.76,3079600,68.740492
"490",79.890001,79.940006,79.010002,79.010002,2066300,68.094112
