"","ROST.Open","ROST.High","ROST.Low","ROST.Close","ROST.Volume","ROST.Adjusted"
"203",69.910004,70.32,69.669998,70.18,7035200,16.803775
"204",70.599998,71.739998,70.32,71.709999,7586400,17.170116
"205",71.559998,71.900002,70.440002,71.120003,10776800,17.028848
"206",71.339996,71.769997,70.93,71.550003,7328000,17.131806
"207",71.449997,71.739998,70.559998,71.330002,7263200,17.07913
"208",71.190002,73.25,71.190002,72.419998,14712000,17.340117
"209",72.75,72.980003,71.75,71.800003,10507200,17.191666
"210",71.449997,72,70.169998,70.900002,16800000,16.976171
"211",71.059998,71.099998,69.889999,70.599998,7352000,16.904339
"212",70.669998,71.480003,70.419998,71.25,7280800,17.059974
"213",70.720001,72,70.720001,71.220001,6543200,17.052791
"214",71.360001,71.690002,70.769997,71.480003,9380800,17.115046
"215",70.949997,71.269997,70.150002,70.75,10177600,16.940255
"216",70.800003,71.279999,69.949997,71.209999,7460800,17.050397
"217",70.389999,70.860001,69.629997,70.739998,7844000,16.93786
"218",70.739998,70.959999,70.25,70.57,5250400,16.897156
"219",71.300003,72.610001,71.169998,72.459999,10423200,17.349694
"220",72.449997,72.639999,72.089996,72.260002,5081600,17.301807
"221",72.110001,72.550003,71.860001,72.459999,4482400,17.349694
"222",72.709999,73.010002,72.110001,72.5,9600000,17.359272
"223",72.760002,73.029999,72.18,72.959999,6662400,17.469413
"224",73.019997,74.18,72.739998,74.019997,7856800,17.723217
"225",74.010002,74.239998,73.529999,73.690002,12800000,17.644204
"226",74.169998,74.599998,73.239998,73.400002,7781600,17.574767
"227",73.389999,73.800003,72.459999,73.349998,10400000,17.562794
"228",73.230003,74.050003,72.879997,73.449997,14084800,17.586738
"229",75.080002,79.360001,74.809998,78.550003,30368800,18.807874
"230",79.110001,79.629997,77.959999,78.190002,11848800,18.721676
"231",78.480003,79.089996,77.970001,78.580002,7376000,18.815057
"232",78.980003,80.580002,78.650002,79.760002,9788000,19.097594
"233",79.599998,81.150002,79.32,81.080002,12800000,19.413653
"234",81.330002,83.110001,80.769997,82.440002,19200000,19.739289
"235",82.699997,82.919998,82.089996,82.639999,9623200,19.787176
"236",82.459999,82.669998,81.489998,81.760002,10503200,19.576471
"237",81.639999,82.059998,80.720001,81,10760800,19.394497
"238",80.730003,81.900002,79.779999,81.860001,11370400,19.600414
"239",80.660004,81.690002,80,80.779999,16817600,19.34182
"240",80.360001,81.040001,79.260002,80.790001,13266400,19.344215
"241",80.07,80.980003,79.879997,80.400002,8734400,19.250835
"242",80.75,80.959999,79.559998,79.599998,7240000,19.059283
"243",79.620003,81.550003,79.089996,81.160004,13489600,19.432808
"244",80.760002,82.330002,80.599998,82.209999,12058400,19.684217
"245",82.019997,82.410004,81.489998,81.709999,9274400,19.564498
"246",82.019997,82.400002,81.220001,81.959999,9609600,19.624358
"247",81.940002,82.550003,80.610001,80.720001,11240000,19.327455
"248",80.300003,80.760002,79.68,80.099998,6539200,19.179002
"249",79.209999,79.910004,78.839996,79.110001,8584000,18.994128
"250",79.139999,79.379997,77.879997,77.93,8048800,18.710813
"251",77.900002,79.139999,77.900002,78.220001,4469600,18.780441
"252",77.790001,78.150002,76.839996,77.620003,8660000,18.636383
"253",77.370003,78.309998,77.010002,77.68,6713600,18.650788
"254",77.260002,77.330002,76.199997,76.230003,7940800,18.302647
"255",76.25,76.839996,75.82,76.449997,10276000,18.355467
"256",77.089996,77.519997,76.580002,76.769997,8110400,18.432299
"257",76.010002,76.599998,75.199997,75.589996,9894400,18.148983
"258",75.599998,75.779999,74.489998,75.089996,9508000,18.028934
"259",75.889999,76.760002,75.160004,75.18,10856000,18.050544
"260",74.989998,76.550003,74.629997,76.110001,8498400,18.273835
"261",76.309998,78.309998,75.389999,78.239998,10884000,18.785242
"262",77.809998,78.75,77.370003,78.25,9757600,18.787644
"263",77.410004,79.25,77.290001,79.089996,12364800,18.989325
"264",78.970001,79.360001,77.300003,77.599998,16160800,18.63158
