"","S.Open","S.High","S.Low","S.Close","S.Volume","S.Adjusted"
"115",3.85,4.02,3.81,4.01,62004900,4.01
"116",3.96,3.97,3.89,3.92,34723000,3.92
"117",3.87,3.92,3.85,3.85,31742900,3.85
"118",3.83,4,3.83,3.97,30132200,3.97
"119",3.88,4,3.87,3.93,18170300,3.93
"120",3.92,3.96,3.87,3.92,27050200,3.92
"121",3.87,3.92,3.78,3.78,56939100,3.78
"122",3.84,3.87,3.76,3.77,48159400,3.77
"123",4.03,4.04,3.83,3.86,132058300,3.86
"124",3.82,3.93,3.81,3.92,28936700,3.92
"125",4.09,4.26,4.05,4.17,125598300,4.17
"126",4.3,4.3,4.18,4.21,48955400,4.21
"127",4.24,4.25,4.1,4.12,59404200,4.12
"128",4.16,4.19,4.11,4.15,32369000,4.15
"129",4.15,4.24,4.14,4.22,27476200,4.22
"130",4.35,4.46,4.31,4.37,78878000,4.37
"131",4.42,4.45,4.33,4.38,55398700,4.38
"132",4.3,4.35,4.21,4.23,44183100,4.23
"133",4.22,4.25,4.12,4.17,38347000,4.17
"134",4.16,4.25,4.12,4.16,68324200,4.16
"135",4.22,4.31,4.19,4.27,34884500,4.27
"136",4.26,4.37,4.25,4.31,35023000,4.31
"137",4.27,4.31,4.21,4.21,28855400,4.21
"138",4.21,4.24,4.15,4.19,39544300,4.19
"139",4.18,4.27,4.17,4.27,12440800,4.27
"140",4.27,4.31,4.2,4.2,22467000,4.2
"141",4.23,4.24,4.16,4.17,18726300,4.17
"142",4.18,4.2,4.15,4.16,18731900,4.16
"143",4.19,4.24,4.18,4.23,24595200,4.23
"144",4.3,4.52,4.3,4.51,89779900,4.51
"145",4.53,4.61,4.44,4.45,118162100,4.45
"146",4.46,4.69,4.37,4.62,82372700,4.62
"147",4.68,4.68,4.59,4.65,57155100,4.65
"148",4.62,4.68,4.57,4.68,52699200,4.68
"149",4.65,4.66,4.42,4.58,63601100,4.58
"150",4.55,4.57,4.4,4.4,68692500,4.4
"151",4.42,4.45,4.37,4.41,59029600,4.41
"152",4.44,4.49,4.38,4.48,58146500,4.48
"153",4.42,4.51,4.4,4.45,46846500,4.45
"154",4.41,4.44,4.32,4.36,60548600,4.36
"155",4.38,4.43,4.22,4.28,59073800,4.28
"156",4.26,4.3,4.18,4.27,49114500,4.27
"157",4.31,4.36,4.25,4.31,34397200,4.31
"158",4.3,4.39,4.3,4.37,23932400,4.37
"159",4.37,4.4,4.31,4.36,23608300,4.36
"160",4.38,4.55,4.35,4.5,54292300,4.5
"161",4.5,4.6,4.49,4.59,35835200,4.59
"162",4.59,4.6,4.44,4.45,42980200,4.45
"163",4.47,4.53,4.42,4.52,32014400,4.52
"164",4.51,4.53,4.38,4.39,56035500,4.39
"165",4.38,4.4,4.3,4.35,43708000,4.35
"166",4.35,4.37,4.27,4.35,43168600,4.35
"167",4.36,4.5,4.32,4.4,103891900,4.4
"168",4.47,4.49,4.35,4.4,53818200,4.4
"169",4.38,4.38,4.29,4.31,52314400,4.31
"170",4.3,4.4,4.28,4.35,53625200,4.35
"171",4.5,4.62,4.4,4.6,138431300,4.6
"172",4.49,4.6,4.46,4.6,58145200,4.6
"173",4.59,4.61,4.5,4.55,49871900,4.55
"174",4.57,4.59,4.44,4.46,52068700,4.46
"175",4.5,4.54,4.44,4.47,64281400,4.47
"176",4.49,4.51,4.41,4.43,41033700,4.43
"177",4.45,4.53,4.4,4.5,66267600,4.5
"178",4.45,4.46,4.3,4.32,49075000,4.32
"179",4.35,4.39,4.12,4.2,71335400,4.2
"180",4.24,4.29,4.12,4.26,69304700,4.26
"181",4.31,4.35,4.26,4.31,35089100,4.31
"182",4.32,4.37,4.32,4.37,27729200,4.37
"183",4.37,4.37,4.2,4.21,40068800,4.21
"184",4.23,4.33,4.19,4.25,54065800,4.25
"185",4.3,4.4,4.29,4.33,46670600,4.33
"186",4.36,4.39,4.27,4.34,25523900,4.34
"187",4.44,4.53,4.36,4.48,65569600,4.48
"188",4.72,4.81,4.61,4.7,170369200,4.7
"189",4.63,4.71,4.62,4.7,50296600,4.7
"190",4.66,4.93,4.64,4.9,110442200,4.9
"191",4.85,5.15,4.83,5,102951300,5
"192",5.01,5.15,4.95,5.02,85272700,5.02
"193",4.87,5.04,4.83,4.95,68662700,4.95
"194",4.94,4.98,4.78,4.86,46509400,4.86
"195",4.97,5.07,4.96,5.06,47861700,5.06
"196",5.12,5.26,5.01,5.05,60580700,5.05
"197",4.45,4.5,4.17,4.36,303227900,4.36
"198",4.45,4.56,4.35,4.47,124366100,4.47
"199",4.51,4.52,4.34,4.49,70457000,4.49
"200",4.51,4.6,4.48,4.56,61669700,4.56
"201",4.59,4.69,4.55,4.68,48585600,4.68
"202",4.71,4.8,4.68,4.78,66551000,4.78
"203",4.73,4.76,4.5,4.62,93943200,4.62
"204",4.6,4.64,4.55,4.56,53285400,4.56
"205",4.52,4.66,4.51,4.64,48651700,4.64
"206",4.7,4.7,4.56,4.56,30358700,4.56
"207",4.58,4.66,4.57,4.62,23130600,4.62
"208",4.61,4.62,4.54,4.55,25477600,4.55
"209",4.6,4.72,4.6,4.64,43525800,4.64
"210",4.65,4.72,4.59,4.62,32389700,4.62
"211",4.63,4.79,4.61,4.73,57281500,4.73
"212",4.78,4.8,4.7,4.71,41194900,4.71
"213",4.69,4.8,4.66,4.8,43900500,4.8
"214",4.81,4.86,4.71,4.81,52673700,4.81
"215",4.77,4.98,4.71,4.96,71248800,4.96
"216",4.97,4.98,4.8,4.81,63818700,4.81
"217",4.73,4.76,4.6,4.7,49769800,4.7
"218",4.81,4.82,4.66,4.74,48680300,4.74
"219",4.8,4.88,4.75,4.8,47926900,4.8
"220",4.8,4.82,4.73,4.81,29512200,4.81
"221",4.75,4.82,4.75,4.8,23065100,4.8
"222",4.81,4.84,4.76,4.81,30400000,4.81
"223",4.82,4.83,4.72,4.79,43776900,4.79
"224",4.93,5.11,4.86,5.11,130814700,5.11
"225",5.13,5.35,5.11,5.18,99910200,5.18
"226",5.25,5.34,5.17,5.19,48402300,5.19
"227",5.17,5.26,5.08,5.12,40111500,5.12
"228",5.12,5.3,5.07,5.27,56236200,5.27
"229",5.19,5.35,5.18,5.19,36371700,5.19
"230",5.31,5.32,5.19,5.2,29418200,5.2
"231",5.21,5.29,5.17,5.29,27804000,5.29
"232",5.3,5.37,5.27,5.3,64149700,5.3
"233",5.3,5.32,5.13,5.18,37382600,5.18
"234",5.17,5.25,5.13,5.17,34429500,5.17
"235",5.2,5.21,5.03,5.1,43003600,5.1
"236",5.08,5.2,5.04,5.11,34523500,5.11
"237",5.12,5.2,5.07,5.11,37833100,5.11
"238",5.14,5.25,5.13,5.23,33379300,5.23
"239",5.27,5.35,5.13,5.33,100215400,5.33
"240",5.42,5.57,5.37,5.47,95940000,5.47
"241",5.4,5.6,5.37,5.57,56728100,5.57
"242",5.57,5.9,5.56,5.84,145480200,5.84
"243",5.85,5.95,5.73,5.87,84842000,5.87
"244",5.87,5.96,5.75,5.91,68219000,5.91
"245",5.95,6.05,5.84,5.85,52398200,5.85
"246",5.9,5.93,5.8,5.85,48432800,5.85
"247",5.8,5.97,5.76,5.83,71151500,5.83
"248",5.84,6.45,5.81,5.93,80893900,5.93
"249",5.88,5.96,5.66,5.67,68096400,5.67
"250",5.69,5.8,5.58,5.6,36579400,5.6
"251",5.42,5.52,5.31,5.49,88652800,5.49
"252",5.39,5.5,5.34,5.34,47413500,5.34
"253",5.39,5.45,5.29,5.41,43793900,5.41
"254",5.39,5.4,5.21,5.22,42912800,5.22
"255",5.14,5.32,5.12,5.26,70552300,5.26
"256",5.32,5.38,5.26,5.33,45288200,5.33
"257",5.26,5.38,5.21,5.31,64718400,5.31
"258",5.3,5.32,5.2,5.21,34373500,5.21
"259",5.24,5.28,5.04,5.19,74143900,5.19
"260",5.23,5.25,5.14,5.21,26780600,5.21
"261",5.18,5.33,5.16,5.24,60571900,5.24
"262",5.22,5.23,5.09,5.12,53931900,5.12
"263",5.06,5.1,5.01,5.06,37591600,5.06
"264",5.08,5.12,4.98,5,42232500,5
"265",5.02,5.18,4.98,5.15,46158600,5.15
"266",5.16,5.23,5.1,5.22,35620900,5.22
"267",5.24,5.34,5.19,5.21,42863400,5.21
"268",5.26,5.4,5.18,5.39,59226600,5.39
"269",5.42,5.43,5.3,5.43,27386300,5.43
"270",5.39,5.44,5.33,5.39,32071400,5.39
"271",5.38,5.55,5.36,5.51,59303800,5.51
"272",5.59,5.75,5.57,5.65,60928600,5.65
"273",5.58,5.6,5.44,5.49,28635800,5.49
"274",5.41,5.47,5.39,5.42,35459100,5.42
"275",5.4,5.52,5.37,5.43,24162700,5.43
"276",5.44,5.5,5.39,5.41,19445700,5.41
"277",5.44,5.45,5.19,5.29,49271300,5.29
"278",5.32,5.41,5.3,5.35,29804200,5.35
"279",5.32,5.35,5.11,5.19,36277800,5.19
"280",5.23,5.28,5.17,5.26,56705400,5.26
"281",5.27,5.29,5.14,5.19,36315500,5.19
"282",5.18,5.26,5.15,5.17,33499900,5.17
"283",5.2,5.24,5.13,5.16,31033700,5.16
"284",5.11,5.18,5.07,5.15,21974300,5.15
"285",5.24,5.26,5.1,5.18,78240600,5.18
"286",5.16,5.27,5.14,5.16,45153300,5.16
"287",4.51,4.58,4.14,4.34,207107300,4.34
"288",4.26,4.29,4.16,4.23,73595700,4.23
"289",4.31,4.32,4.13,4.29,71356200,4.29
"290",4.24,4.25,3.88,4,136277100,4
"291",4.1,4.18,3.94,4.15,78893300,4.15
"292",4.08,4.09,3.72,3.74,102923200,3.74
"293",3.87,3.93,3.59,3.72,65597700,3.72
"294",3.48,3.6,3.11,3.13,96263900,3.13
"295",3.28,3.31,3.05,3.28,115338700,3.28
"296",3.22,3.23,3.06,3.16,127798600,3.16
"297",3.08,3.17,2.98,3.12,134535200,3.12
"298",3.15,3.21,3.1,3.2,60905200,3.2
"299",3.28,3.49,3.11,3.48,92266000,3.48
"300",3.47,3.65,3.31,3.59,65275300,3.59
"301",3.65,3.79,3.62,3.72,65021600,3.72
"302",3.62,3.67,3.45,3.49,69958100,3.49
"303",3.37,3.6,3.37,3.42,49714300,3.42
"304",3.58,3.59,3.17,3.26,63787900,3.26
"305",3.3,3.72,3.23,3.59,65465500,3.59
"306",3.68,3.69,3.43,3.45,56690200,3.45
"307",3.45,3.48,3.2,3.23,67610000,3.23
"308",3.25,3.31,3.17,3.25,65574500,3.25
"309",3.36,3.46,3.34,3.46,39583900,3.46
"310",3.43,3.62,3.42,3.55,72665300,3.55
"311",3.61,3.9,3.58,3.76,196623800,3.76
"312",3.79,3.83,3.74,3.74,88412500,3.74
"313",3.52,3.61,3.5,3.53,55937600,3.53
"314",3.42,3.51,3.34,3.37,36792100,3.37
"315",3.48,3.49,3.38,3.47,37160000,3.47
"316",3.45,3.49,3.4,3.45,30146000,3.45
"317",3.42,3.49,3.36,3.45,82665100,3.45
"318",3.39,3.43,3.31,3.4,37825200,3.4
"319",3.4,3.59,3.38,3.57,48022700,3.57
"320",3.55,3.58,3.37,3.53,61532300,3.53
"321",3.54,3.55,3.41,3.44,57679400,3.44
"322",3.46,3.47,3.24,3.36,76297400,3.36
"323",3.29,3.38,3.25,3.35,39098200,3.35
"324",3.38,3.42,3.32,3.33,24943200,3.33
"325",3.37,3.45,3.25,3.25,34925700,3.25
"326",3.17,3.22,2.95,3.01,98873800,3.01
"327",3.03,3.24,3,3.18,60323700,3.18
"328",3.22,3.22,3.07,3.09,58122400,3.09
"329",3.18,3.28,3.11,3.13,49208900,3.13
"330",3.17,3.2,3.08,3.08,32020400,3.08
"331",3.13,3.23,3.08,3.13,42526600,3.13
"332",3.1,3.12,3.04,3.04,36215600,3.04
"333",3.05,3.05,2.72,2.73,97298200,2.73
"334",2.82,2.89,2.25,2.86,163800000,2.86
"335",2.84,2.86,2.73,2.86,43092000,2.86
"336",2.88,3.03,2.83,3.01,46323800,3.01
"337",3.09,3.39,2.4,2.41,256718800,2.41
"338",2.38,2.38,2.1,2.22,306545500,2.22
"339",2.19,2.41,2.15,2.38,145541600,2.38
"340",2.47,2.71,2.41,2.57,123428900,2.57
"341",2.57,2.81,2.55,2.78,98451000,2.78
"342",3,3.01,2.71,2.79,123310700,2.79
"343",2.83,2.88,2.75,2.81,75336800,2.81
"344",2.81,2.89,2.77,2.88,41992800,2.88
"345",2.81,2.95,2.76,2.8,41033100,2.8
"346",2.81,2.82,2.7,2.71,35952000,2.71
"347",2.77,2.79,2.71,2.77,43129700,2.77
"348",2.77,2.79,2.65,2.69,72747500,2.69
"349",2.71,2.72,2.53,2.7,61226100,2.7
"350",2.65,2.68,2.37,2.51,118127900,2.51
"351",2.67,2.7,2.53,2.63,58899000,2.63
"352",2.65,2.82,2.64,2.72,66494600,2.72
"353",2.69,2.7,2.56,2.57,42825800,2.57
"354",2.53,2.58,2.47,2.49,41175900,2.49
"355",2.58,2.72,2.56,2.72,51645400,2.72
"356",2.74,2.84,2.69,2.81,68053100,2.81
"357",2.77,2.89,2.77,2.87,55650700,2.87
"358",2.87,2.92,2.75,2.91,40629100,2.91
"359",2.88,2.94,2.82,2.89,35868800,2.89
"360",2.83,2.9,2.74,2.74,41209400,2.74
"361",2.86,2.9,2.81,2.84,25274700,2.84
"362",2.87,2.93,2.85,2.91,28318300,2.91
"363",2.9,2.93,2.85,2.86,25921200,2.86
"364",2.86,2.93,2.83,2.92,23689500,2.92
"365",2.85,2.91,2.82,2.85,28194400,2.85
"366",2.85,2.86,2.68,2.7,33021100,2.7
"367",2.74,2.75,2.51,2.62,54767000,2.62
"368",2.58,2.63,2.54,2.6,23952800,2.6
"369",2.62,2.62,2.52,2.62,33760300,2.62
"370",2.57,2.62,2.46,2.47,34392600,2.47
"371",2.52,2.58,2.34,2.38,22576400,2.38
"372",2.51,2.59,2.4,2.45,55041100,2.45
"373",2.47,2.53,2.43,2.5,35257100,2.5
"374",2.57,2.7,2.55,2.7,52495100,2.7
"375",2.68,2.85,2.55,2.7,67032500,2.7
"376",2.73,2.73,2.56,2.6,35635900,2.6
"377",2.66,2.67,2.6,2.65,37075300,2.65
"378",2.63,2.65,2.51,2.61,35124900,2.61
"379",2.54,2.56,2.51,2.56,25304800,2.56
"380",2.53,2.55,2.42,2.44,29152100,2.44
"381",2.48,2.48,2.42,2.47,23241300,2.47
"382",2.44,2.46,2.37,2.37,26247700,2.37
"383",2.41,2.53,2.37,2.39,42657600,2.39
"384",2.39,2.4,2.26,2.27,32258700,2.27
"385",2.33,2.33,2.21,2.28,36911200,2.28
"386",2.3,2.31,2.23,2.25,38206200,2.25
"387",2.24,2.3,2.15,2.16,28773300,2.16
"388",2.26,2.4,2.18,2.36,73235100,2.36
"389",2.37,2.39,2.28,2.33,25703600,2.33
"390",2.31,2.35,2.3,2.35,34894000,2.35
"391",2.36,2.37,2.31,2.31,14150600,2.31
"392",2.33,2.35,2.32,2.32,11736300,2.32
"393",2.32,2.34,2.25,2.28,20205000,2.28
"394",2.27,2.31,2.26,2.31,18754600,2.31
"395",2.3,2.37,2.28,2.34,21873600,2.34
"396",2.39,2.41,2.31,2.34,31400900,2.34
"397",2.33,2.34,2.28,2.31,21191500,2.31
"398",2.31,2.32,2.22,2.24,33984100,2.24
"399",2.26,2.28,2.16,2.19,50697000,2.19
"400",2.22,2.23,2.17,2.2,39810900,2.2
"401",2.24,2.24,2.19,2.23,30014000,2.23
"402",2.21,2.32,2.21,2.3,32317800,2.3
"403",2.33,2.37,2.3,2.32,47308000,2.32
"404",2.33,2.34,2.28,2.31,18270200,2.31
"405",2.33,2.35,2.21,2.21,39881200,2.21
"406",2.23,2.33,2.22,2.33,24709500,2.33
"407",2.34,2.36,2.3,2.34,21012500,2.34
"408",2.34,2.35,2.25,2.27,35923800,2.27
"409",2.27,2.3,2.25,2.25,27457200,2.25
"410",2.25,2.27,2.16,2.17,54264900,2.17
"411",2.2,2.22,2.13,2.2,50388800,2.2
"412",2.21,2.26,2.17,2.17,53000100,2.17
"413",2.17,2.19,2.16,2.17,25655200,2.17
"414",2.17,2.18,2.13,2.16,34985600,2.16
"415",2.14,2.17,2.1,2.12,61842600,2.12
"416",2.14,2.24,2.12,2.23,68237100,2.23
"417",2.25,2.25,2.19,2.21,32434200,2.21
"418",2.24,2.32,2.22,2.32,54522000,2.32
"419",2.31,2.48,2.3,2.46,66247600,2.46
"420",2.55,2.55,2.43,2.45,73699300,2.45
"421",2.43,2.49,2.27,2.41,125487300,2.41
"422",2.39,2.4,2.32,2.39,45924400,2.39
"423",2.35,2.36,2.29,2.29,38179400,2.29
"424",2.33,2.34,2.27,2.31,48813700,2.31
"425",2.31,2.31,2.27,2.31,24829300,2.31
"426",2.31,2.32,2.26,2.26,35141800,2.26
"427",2.25,2.29,2.2,2.26,63587800,2.26
"428",2.27,2.3,2.25,2.3,20408500,2.3
"429",2.3,2.31,2.27,2.27,18762200,2.27
"430",2.27,2.28,2.2,2.23,34102600,2.23
"431",2.22,2.54,2.2,2.52,100600200,2.52
"432",2.47,2.52,2.4,2.47,66981700,2.47
"433",2.43,2.6,2.37,2.55,63569400,2.55
"434",2.53,2.58,2.5,2.55,36305900,2.55
"435",2.53,2.59,2.46,2.47,33805500,2.47
"436",2.49,2.54,2.47,2.5,20889100,2.5
"437",2.53,2.53,2.48,2.5,15962700,2.5
"438",2.51,2.51,2.41,2.43,32565800,2.43
"439",2.4,2.43,2.36,2.39,33621600,2.39
"440",2.41,2.47,2.41,2.43,39626200,2.43
"441",2.46,2.65,2.44,2.6,71303000,2.6
"442",2.61,2.85,2.57,2.78,138746900,2.78
"443",2.76,2.83,2.69,2.72,52013400,2.72
"444",2.76,2.82,2.73,2.79,66395700,2.79
"445",2.82,2.85,2.72,2.77,55071600,2.77
"446",2.8,2.83,2.76,2.8,47027600,2.8
"447",2.8,2.94,2.77,2.89,61097300,2.89
"448",2.74,2.83,2.68,2.76,103448300,2.76
"449",2.66,2.76,2.66,2.75,38067000,2.75
"450",2.72,2.8,2.7,2.78,38952600,2.78
"451",2.76,2.79,2.72,2.74,37112900,2.74
"452",2.75,2.76,2.7,2.74,27057100,2.74
"453",2.78,2.87,2.76,2.86,46187000,2.86
"454",2.87,2.89,2.79,2.83,36360800,2.83
"455",2.82,2.89,2.79,2.83,27908800,2.83
"456",2.87,2.98,2.83,2.98,90876400,2.98
"457",3,3.03,2.85,2.85,43078400,2.85
"458",2.88,2.9,2.83,2.86,31061900,2.86
"459",2.88,2.9,2.83,2.88,37341200,2.88
"460",2.86,2.86,2.75,2.75,33295700,2.75
"461",2.78,2.81,2.74,2.76,33077800,2.76
"462",2.71,2.79,2.63,2.75,36443400,2.75
"463",2.74,2.79,2.65,2.66,39573600,2.66
"464",2.7,2.8,2.68,2.75,35379200,2.75
"465",2.76,2.79,2.72,2.75,18875800,2.75
"466",2.75,2.76,2.66,2.68,20397100,2.68
"467",2.7,2.71,2.51,2.51,56170500,2.51
"468",2.56,2.62,2.5,2.61,52231300,2.61
"469",2.59,2.6,2.51,2.52,66925900,2.52
"470",2.52,2.52,2.35,2.4,108713900,2.4
"471",2.42,2.43,2.36,2.37,54299900,2.37
"472",2.32,2.38,2.3,2.34,49111400,2.34
"473",2.34,2.48,2.32,2.47,92848200,2.47
"474",2.6,2.65,2.41,2.43,145813400,2.43
"475",2.43,2.51,2.36,2.37,77494100,2.37
"476",2.38,2.39,2.31,2.36,67887100,2.36
"477",2.36,2.49,2.33,2.48,54116100,2.48
"478",2.5,2.6,2.49,2.55,52293500,2.55
"479",2.54,2.62,2.51,2.57,43174700,2.57
"480",2.61,2.62,2.47,2.48,30899800,2.48
"481",2.45,2.48,2.35,2.36,51172500,2.36
"482",2.34,2.45,2.33,2.41,36894300,2.41
"483",2.41,2.44,2.33,2.35,41249800,2.35
"484",2.34,2.51,2.32,2.4,69203900,2.4
"485",2.46,2.49,2.42,2.45,32658000,2.45
"486",2.43,2.53,2.42,2.49,40299300,2.49
"487",2.47,2.51,2.45,2.5,30950000,2.5
"488",2.51,2.54,2.47,2.47,40606800,2.47
"489",2.49,2.5,2.4,2.4,43285000,2.4
"490",2.41,2.44,2.36,2.36,41218500,2.36
"491",2.44,2.44,2.32,2.34,39235800,2.34
"492",2.35,2.39,2.33,2.37,22741700,2.37
"493",2.38,2.46,2.37,2.41,37361000,2.41
"494",2.38,2.49,2.36,2.46,49763100,2.46
"495",2.47,2.53,2.46,2.53,41634200,2.53
"496",2.53,2.65,2.52,2.62,62607500,2.62
"497",2.66,2.67,2.61,2.67,70531900,2.67
"498",2.66,2.66,2.52,2.58,35508200,2.58
"499",2.57,2.62,2.51,2.57,31184400,2.57
"500",2.53,2.65,2.5,2.51,48382500,2.51
"501",2.51,2.55,2.44,2.54,62069700,2.54
"502",2.5,2.6,2.49,2.53,39506300,2.53
"503",2.55,2.73,2.54,2.72,64132000,2.72
"504",2.74,2.8,2.66,2.74,50889000,2.74
"505",2.73,3,2.73,2.98,84121500,2.98
"506",3.06,3.08,2.82,2.83,61121600,2.83
"507",2.87,2.95,2.8,2.92,53224800,2.92
"508",2.89,2.99,2.86,2.94,31194200,2.94
"509",2.94,3.11,2.9,3.1,59422000,3.1
"510",3.11,3.14,3.02,3.09,71602800,3.09
"511",3.09,3.09,3.01,3.08,52937400,3.08
"512",3.12,3.15,3.07,3.15,31881900,3.15
"513",3.13,3.18,3.09,3.13,42261300,3.13
"514",3.14,3.22,3.14,3.18,51331400,3.18
"515",3.2,3.29,3.19,3.29,78981100,3.29
"516",3.28,3.28,3.05,3.09,78866200,3.09
"517",3.11,3.16,3.07,3.13,47295900,3.13
