"","FSLR.Open","FSLR.High","FSLR.Low","FSLR.Close","FSLR.Volume","FSLR.Adjusted"
"219",135.520004,139.570007,133.880005,138.470001,1747700,138.470001
"220",139.850006,139.899994,135.899994,137.220001,1145900,137.220001
"221",137.589996,137.589996,134.520004,134.710007,991400,134.710007
"222",134.759995,137.919998,133.630005,136.490005,1393500,136.490005
"223",137.800003,139.839996,136.279999,138.589996,1655100,138.589996
"224",138.679993,139.639999,136.210007,138.389999,2091700,138.389999
"225",145.160004,145.160004,138,139.570007,3411200,139.570007
"226",140.839996,140.869995,136.820007,137.529999,1187700,137.529999
"227",136.899994,136.899994,133.850006,134.660004,2574000,134.660004
"228",126.610001,129.699997,124.300003,126.309998,4464100,126.309998
"229",125.540001,130.949997,125.5,127.910004,2380600,127.910004
"230",129.550003,132.649994,128.199997,129.960007,1750700,129.960007
"231",131.169998,131.539993,127.699997,130.039993,1324800,130.039993
"232",129.139999,130.479996,125.599998,128.509995,1690700,128.509995
"233",128.929993,128.929993,123.389999,124.300003,2125500,124.300003
"234",124.540001,132.289993,124.410004,132.070007,2800000,132.070007
"235",131.279999,131.740005,125,125.650002,1880700,125.650002
"236",125,127.029999,124.089996,125.279999,1017600,125.279999
"237",124.839996,126.980003,122.510002,126.620003,1940200,126.620003
"238",127.279999,130.440002,126.620003,129.240005,1637500,129.240005
"239",130.570007,131.880005,127.220001,128.369995,1427300,128.369995
"240",127.93,128.75,125.190002,126.379997,1405500,126.379997
"241",124.120003,125.260002,123.800003,124.099998,1400000,124.099998
"242",125.080002,126.610001,123.650002,123.889999,1391400,123.889999
"243",122.959999,124.290001,120,120.620003,3188600,120.620003
"244",120.120003,120.489998,114.400002,117.959999,3348800,117.959999
"245",118.970001,121.800003,117.150002,121.370003,2555300,121.370003
"246",126.370003,128.949997,122.080002,124.25,2694500,124.25
"247",125.830002,125.830002,119.5,119.709999,1972200,119.709999
"248",122.269997,122.269997,119.699997,120.540001,1691800,120.540001
"249",119,120.559998,118.150002,118.660004,1363900,118.660004
"250",118.269997,119.489998,116.160004,116.629997,1074000,116.629997
"251",117.139999,118.589996,116.709999,117.860001,915500,117.860001
"252",117.75,117.75,111.400002,114.389999,2148900,114.389999
"253",114.800003,117.43,113.68,114.059998,1433500,114.059998
"254",113.410004,119.440002,113,117.089996,1485600,117.089996
"255",118.480003,120.25,115.330002,116.309998,1361200,116.309998
"256",117.760002,120.5,117.010002,119.300003,1050900,119.300003
"257",117.32,119.559998,116.080002,116.760002,1015500,116.760002
"258",116.690002,118.93,116.690002,118.830002,1559000,118.830002
