"","GWW.Open","GWW.High","GWW.Low","GWW.Close","GWW.Volume","GWW.Adjusted"
"181",130.559998,131.850006,129.979996,131.720001,427300,122.9741
"182",132.080002,133.410004,131.850006,133.210007,516500,124.365173
"183",134.339996,137.139999,131.869995,132.020004,533700,123.254184
"184",131.539993,135.309998,131.080002,134.75,541400,125.802914
"185",135.910004,137.919998,135.910004,137.380005,730600,128.258293
"186",136.830002,137.919998,135.179993,136.429993,294100,127.371359
"187",136.729996,137.190002,135.460007,135.770004,512200,126.755193
"188",136.330002,137.380005,135.600006,136.699997,379000,127.623436
"189",136.339996,137.399994,134.759995,137.080002,548500,127.97821
"190",135.350006,135.940002,134.050003,134.410004,551500,125.485493
"191",134.020004,137.009995,133.839996,136.479996,417700,127.418042
"192",135.539993,136.619995,134.179993,135.529999,357900,126.531123
"193",132.490005,135.330002,132.029999,134.389999,466500,125.466817
"194",134.029999,135.080002,131.449997,133.119995,687800,124.281138
"195",135.699997,135.710007,133.509995,134.550003,600600,125.616197
"196",136.520004,136.619995,134.820007,135.529999,435800,126.531123
"197",137.440002,137.910004,136.330002,136.529999,509800,127.464725
"198",136.190002,136.490005,135.119995,135.690002,390200,126.680503
"199",135.320007,135.699997,133.949997,135.039993,407400,126.073653
"200",135.619995,136.360001,135.380005,135.729996,373000,126.717841
"201",135.869995,136.929993,135.649994,135.910004,275400,126.885897
"202",136.520004,137.440002,135.440002,136.429993,512900,127.371359
"203",136.220001,138.130005,135.460007,137.970001,365100,128.809115
"204",138.679993,139.139999,137.119995,137.279999,383100,128.164927
"205",137.229996,137.800003,137.070007,137.679993,446400,128.538362
"206",138,140.979996,137.75,140.880005,583600,131.525901
"207",140.800003,141.589996,140.5,140.949997,391900,131.591246
"208",140.919998,142.339996,140.789993,141.520004,480400,132.123406
"209",143.720001,145.929993,143.429993,144.199997,851800,134.625454
"210",143.850006,145.259995,143.320007,143.820007,384200,134.270694
"211",144.509995,144.75,142.330002,143.169998,271100,133.663844
"212",143.130005,144.279999,142.779999,143.520004,366900,133.990611
"213",142.690002,143.330002,141.470001,141.960007,305000,132.534193
"214",142.309998,142.75,140.309998,141.649994,448100,132.244765
"215",141.070007,142.380005,140.089996,142.240005,3e+05,132.795601
"216",142.630005,143.990005,142.139999,142.860001,593100,133.37443
"217",146.210007,148.169998,145,145.320007,1635800,135.671098
"218",145.860001,146.679993,145.619995,145.919998,763100,136.231251
"219",147.389999,149.960007,146.779999,149.869995,879600,139.918977
"220",150,150,148.830002,149.649994,382100,139.713583
"221",149.240005,149.470001,148.139999,148.940002,294400,139.050734
"222",149.839996,149.899994,148.800003,149.020004,678100,139.125424
"223",149.139999,150.399994,149,150.190002,575600,140.217737
"224",149.529999,151.110001,149.529999,150.839996,278900,140.824573
"225",151.550003,152.240005,150.550003,151.600006,386000,141.534119
"226",151.429993,151.850006,149.710007,149.800003,315300,139.853632
"227",149.440002,150.75,148.649994,149.380005,403300,139.461521
"228",148.979996,149.619995,147.350006,148.309998,456800,138.46256
"229",147.089996,148.630005,145.800003,146.789993,404400,137.656067
"230",148.470001,149.619995,147.259995,147.910004,316500,138.706385
"231",147.559998,149.050003,147.559998,148.270004,272000,139.043985
"232",148.449997,151.029999,148.449997,150.889999,407600,141.500953
"233",150.589996,150.880005,148.229996,150.050003,462800,140.713224
"234",149.940002,152.039993,148.899994,151.779999,536000,142.335572
"235",152.190002,153.600006,150.619995,151,564800,141.604108
"236",150.580002,151.259995,149.380005,150.300003,371700,140.947668
"237",149.880005,150.100006,148.149994,149.089996,493000,139.812954
"238",149.089996,151.800003,148.610001,151.740005,275800,142.298067
"239",151.960007,152.449997,150.440002,151.449997,353800,142.026105
"240",151.470001,151.470001,149.25,150.830002,437200,141.444688
"241",149.270004,149.899994,148.270004,148.889999,462600,139.625401
"242",149.259995,149.789993,146.850006,147.339996,620400,138.171846
"243",147.139999,148.75,147.050003,148.5,401600,139.25967
"244",148.339996,149.75,147.300003,149.369995,240100,140.07553
"245",149.800003,150.179993,149.240005,149.410004,222800,140.113049
"246",151.160004,151.160004,149.229996,151.070007,497000,141.66976
"247",150.639999,151.179993,144.610001,144.800003,665100,135.789903
"248",145.029999,146.119995,143.470001,144.789993,470600,135.780516
"249",142.710007,144.660004,142.059998,143.570007,393000,134.636443
"250",143.220001,144.229996,142.100006,144.029999,525700,135.067812
"251",144.320007,144.990005,143.600006,143.610001,242400,134.673948
"252",143.360001,143.449997,141.979996,142.649994,368500,133.773677
"253",142.809998,143.940002,142.380005,143.419998,207400,134.495768
"254",143.009995,143.160004,141.179993,141.899994,513400,133.070345
"255",142.639999,143.5,142.009995,142.809998,505000,133.923724
"256",143.880005,146.970001,143.75,145.690002,574500,136.624523
"257",144.429993,145.5,143.100006,143.139999,554400,134.233192
"258",143.25,144.550003,142.009995,144.270004,525300,135.292883
"259",145.479996,145.789993,144.449997,144.539993,491600,135.546072
"260",144.119995,146.259995,143.479996,146.039993,301400,136.952735
"261",147.190002,148.759995,145.300003,148.5,417300,139.25967
"262",148.139999,149.580002,147.589996,149.100006,579200,139.822341
"263",147.339996,149.350006,146.320007,149.160004,943000,139.878605
"264",149.110001,149.460007,146.550003,147.369995,575500,138.199979
"265",147.75,149.179993,146.550003,148.119995,689000,138.90331
"266",149.169998,151.539993,149.009995,151.509995,477900,142.082369
"267",152,152.550003,150.850006,151.589996,348800,142.157393
"268",151.440002,154.679993,151.440002,153.649994,595500,144.089208
"269",154.020004,158.460007,153.130005,158.210007,569100,148.365476
"270",158.210007,159,157,158.190002,575500,148.346717
"271",157.610001,159.710007,157.369995,159.630005,359200,149.697116
"272",160.770004,161.210007,160.169998,160.779999,294300,150.775552
"273",159.25,160.949997,158.740005,160.75,373800,150.74742
"274",159.039993,160.119995,157.979996,158.539993,362900,148.67493
"275",158.380005,159.529999,157.75,158.300003,303900,148.449873
"276",158.770004,161.020004,158.360001,158.75,302500,148.871869
"277",159.539993,160.679993,156.119995,156.589996,460300,146.84627
"278",157.550003,158.360001,156.630005,157.619995,454300,147.812178
"279",157.440002,157.580002,154.75,156.309998,506600,146.583694
"280",155.490005,156.820007,152.789993,156.240005,1012600,146.518057
"281",157.449997,157.649994,154.529999,155.660004,464900,145.974146
"282",156.570007,157.889999,155.330002,156.169998,694100,146.452406
"283",156.149994,156.720001,154.729996,155.449997,339400,145.777207
"284",154.149994,155.919998,153.389999,154.839996,528800,145.205163
"285",154.479996,154.479996,149.550003,149.990005,626900,140.65696
"286",150,150.610001,146.320007,148.759995,879700,139.503486
"287",148.759995,152.929993,147.830002,148.839996,728900,139.57851
"288",146.320007,149.619995,146.320007,148.369995,615000,139.137754
"289",149.589996,149.759995,145.660004,147.300003,859500,138.134342
"290",146.029999,146.990005,141.270004,141.429993,843500,132.629589
"291",141.360001,143.779999,139.149994,142.779999,834000,133.895592
"292",140.460007,140.889999,136.470001,136.630005,831400,128.723304
"293",138.449997,141.880005,134.720001,138.5,1341700,130.485083
"294",135,136.740005,129.789993,129.860001,1466400,122.345076
"295",131.639999,133.440002,124.330002,132.570007,1512400,124.898256
"296",128.869995,131.149994,125.82,126.110001,1277700,118.812086
"297",127.160004,135.529999,126.800003,133.220001,976100,125.510635
"298",134.509995,137.360001,133.880005,135.839996,680600,127.979013
"299",138.009995,139.429993,136.259995,138.570007,817000,130.551039
"300",136.979996,139.949997,136.550003,137.259995,632300,129.316836
"301",138,138.669998,135.649994,137.080002,325400,129.14726
"302",133.509995,133.600006,129.410004,130.949997,868000,123.371995
"303",129.270004,134.589996,129.270004,130.339996,989700,122.797294
"304",133.240005,134.089996,131.520004,132.679993,731300,125.001877
"305",133.279999,138.220001,132,138.149994,531500,130.155332
"306",137.729996,141.100006,137.190002,140.979996,639200,132.821563
"307",141.199997,141.910004,137.270004,138.020004,452600,130.032865
"308",136.949997,143.130005,135.559998,143.050003,525400,134.77178
"309",145.649994,148.75,145.649994,148.589996,530100,139.991177
"310",148.179993,151.350006,147.809998,150.410004,500400,141.705862
"311",151.809998,156.850006,151.809998,154.100006,880200,145.182326
"312",153.009995,155.710007,149.729996,150.960007,833900,142.224037
"313",147.399994,150.380005,145.850006,148.399994,568600,139.81217
"314",144.270004,149.190002,143.570007,148.990005,813700,140.368038
"315",151.429993,153.539993,150.240005,153.039993,659200,144.183655
"316",152.070007,154.619995,151.820007,152.449997,657600,143.627802
"317",151.130005,152.580002,147.270004,149.220001,675400,140.584724
"318",147.259995,151.880005,147.149994,151.720001,749200,142.940051
"319",152,158.820007,151.839996,157.270004,1089200,148.168878
"320",158.979996,161.970001,155.589996,159.729996,782600,150.486511
"321",160.860001,162.440002,158.309998,161.630005,883400,152.276568
"322",165.550003,165.550003,158.960007,159.889999,1347500,150.637256
"323",156.100006,161,155.759995,160.360001,577800,151.080058
"324",160.860001,163.979996,159.320007,160.470001,424700,151.183693
"325",160.089996,161.320007,156.949997,157.050003,582500,147.961608
"326",152.25,155.279999,151.710007,154.490005,1182500,145.549756
"327",153.639999,155.490005,152.960007,154.270004,535300,145.342486
"328",154.940002,158.449997,153.029999,158.130005,593200,148.979111
"329",162.509995,162.979996,159.479996,159.979996,865200,150.722044
"330",159.190002,161.410004,154.139999,154.520004,758300,145.578019
"331",157.300003,158.649994,150.429993,153.270004,1010600,144.400356
"332",151.160004,153.550003,149.350006,149.539993,660500,140.886198
"333",147.210007,148.270004,143.580002,143.860001,1122900,135.534904
"334",142.360001,149.559998,141.360001,149.440002,1200000,140.791994
"335",148.779999,152.029999,147.619995,151.490005,512700,142.723365
