"","VFC.Open","VFC.High","VFC.Low","VFC.Close","VFC.Volume","VFC.Adjusted"
"285",119,119,117.25,117.620003,3865600,27.249963
"286",116.790001,117.220001,114.309998,115.029999,4285200,26.649916
"287",115.43,118.279999,115.43,117.059998,3537600,27.120222
"288",116.309998,117.940002,115.160004,116.800003,4475200,27.059987
"289",117.959999,118,114.879997,116.629997,3672400,27.0206
"290",115.5,116.870003,112.629997,112.699997,3285200,26.110106
"291",112.790001,114.75,110.389999,114.589996,4013600,26.547977
"292",112.980003,113.510002,109.040001,109.120003,5551600,25.2807
"293",110.68,112.040001,107.129997,111.370003,5411600,25.801976
"294",108.260002,110.389999,102.720001,103.879997,5375200,24.066706
"295",105.389999,109.370003,101.739998,109.150002,6810400,25.28765
"296",107.480003,108.989998,103.970001,104.199997,5977600,24.140843
"297",105.470001,110.75,103.75,109.239998,6325200,25.3085
"298",109.589996,112.029999,108.860001,111.150002,3038000,25.751006
"299",111.699997,113.43,110.43,113.349998,3432000,26.260697
"300",112.889999,112.940002,111.230003,112.190002,2983200,25.991951
"301",112.099998,113.599998,109.360001,110.709999,3646400,25.649067
"302",107.660004,107.660004,104.309998,106.029999,5021600,24.564814
"303",104.019997,108.510002,104.019997,104.209999,5718000,24.14316
"304",105.949997,106.919998,104.360001,105.410004,4487600,24.421175
"305",106.510002,111.589996,105.400002,111.589996,4204800,25.852943
"306",111.099998,113.529999,110.519997,113.459999,4150400,26.286182
"307",113.68,114.169998,110.080002,110.610001,2908000,25.6259
"308",110.120003,114.139999,108.330002,114.07,3288400,26.427505
"309",114.089996,117,112.959999,116.849998,4425200,27.07157
"310",116.959999,117.870003,115.839996,117.120003,4187600,27.134124
"311",118,119.809998,116.190002,117.059998,4047600,27.120222
"312",117.449997,118.760002,115.260002,115.580002,4095200,26.77734
"313",113.43,113.949997,111.959999,112.550003,3115600,26.075356
"314",110.309998,112.459999,107.57,112.290001,3594000,26.015119
"315",113.790001,116.32,112.5,116.269997,3466800,27.08918
"316",115.839996,119.940002,115.239998,116.599998,7982000,27.166065
"317",114.639999,116.75,112.139999,113.400002,4253200,26.420513
"318",111.309998,115.379997,111.120003,115.230003,3001600,26.846877
"319",115.93,119.559998,115.110001,119.139999,3966800,27.757848
"320",119.57,123.849998,118.370003,122.349998,4908800,28.50573
"321",123.139999,125.25,121.870003,124.18,5464400,28.932093
"322",124.43,125.620003,123.279999,124.68,5156400,29.048585
"323",122.800003,127.25,122.040001,126.720001,3772000,29.523875
"324",126.940002,129.710007,125.25,126.629997,4616800,29.502906
"325",125.989998,127.050003,120.870003,120.980003,3508800,28.186541
"326",117.650002,120.580002,116.889999,118.769997,3912800,27.671642
"327",118.82,126.449997,118.629997,125.089996,6837600,29.144108
"328",125.720001,127.489998,123.010002,127.330002,4385200,29.665996
"329",129.100006,132.820007,128.380005,130.259995,7010400,30.348641
"330",130.089996,131.860001,126.300003,126.330002,3862800,29.433011
"331",129.300003,129.929993,120.629997,125.559998,4899200,29.253612
"332",123.720001,126.18,121.519997,121.519997,4652400,28.312351
"333",120.360001,124.239998,117.620003,118.220001,4749600,27.543502
"334",117.260002,123.669998,115.910004,123.629997,6036400,28.80395
"335",124.18,126.690002,121.190002,126.18,4543200,29.398063
"336",126.370003,129,124.910004,128.710007,3271200,29.987517
"337",129.190002,132.259995,128.410004,129.479996,4646800,30.166913
"338",131.330002,133.660004,130.630005,133.020004,4688800,30.991682
"339",132.410004,133.619995,130.279999,131.360001,2936000,30.604926
"340",132.130005,134.610001,130.130005,130.759995,4320000,30.465134
"341",129.460007,131.800003,129.339996,131.649994,3819200,30.67249
"342",132.639999,134,132.020004,133.949997,2309600,31.208357
"343",133.490005,133.789993,130.470001,130.759995,2109600,30.465134
"344",130.949997,133.800003,127.050003,131.860001,3389200,30.721419
"345",131.199997,132.309998,128.429993,128.880005,4088800,30.027124
"346",129.580002,132.029999,127.510002,131.699997,4365600,30.68414
"347",132.550003,134,130.339996,132.690002,5190000,30.914797
"348",138,139.639999,132.639999,136.990005,7094400,31.916633
"349",137.020004,137.419998,132.490005,132.899994,5522400,30.963722
"350",136.190002,137.850006,132.679993,133.940002,4774000,31.206028
"351",137.940002,139.809998,136.440002,138.979996,4999600,32.380272
"352",138.550003,140.589996,136.820007,140.169998,5980000,32.657524
"353",139.309998,142.5,138.220001,138.220001,4757600,32.203204
"354",135.119995,137.619995,134.119995,135.5,4310400,31.569484
"355",137.529999,139.229996,135.929993,139.059998,4706800,32.398911
"356",139.979996,141.339996,135.369995,141.039993,5761600,32.86022
"357",139.360001,140.839996,136.080002,136.960007,4120000,31.909644
"358",136,137.800003,133.740005,135.380005,3694000,31.541527
"359",136.330002,136.759995,133.160004,135.960007,3143600,31.676659
"360",133.240005,133.529999,130.690002,131.050003,3429600,30.532701
"361",132.25,133.320007,130.639999,132.899994,3394000,30.963722
"362",134.5,137.470001,133.350006,136.149994,2984400,31.720923
"363",135.699997,136.720001,135.009995,135.740005,2325600,31.625402
"364",135.050003,137.220001,134.550003,136.190002,2214400,31.730245
"365",134.649994,136.490005,133.720001,134.300003,3263200,31.289903
"366",134.050003,134.970001,130.860001,132.990005,2830400,30.984693
"367",132.940002,133.559998,130.199997,131.75,3077200,30.69579
